,Address,CommandResponse,ControlMode,ControlScheme,CRC,DataLength,FunctionCode,InvalidDataLength,InvalidFunctionCode,PIDCycleTime,PIDDeadband,PIDGain,PIDRate,PIDReset,PipelinePSI,PumpState,SetPoint,SolenoidState,TimeInterval,deltaPIDCycleTime,deltaPIDDeadband,deltaPIDGain,deltaPIDRate,deltaPIDReset,deltaPipelinePSI,deltaSetPoint, Label
0,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0.0,0,2
1,4,0,0,0,3439,19,3,1,1,0,0,0,0,0,0.19540231,0,0,0,604,0,0,0,0,0,0.19540231,0,2
2,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,682,0,0,0,0,0,-0.19540231,0,2
3,4,0,0,0,3533,19,3,1,1,0,0,0,0,0,0.20689654,0,0,0,565,0,0,0,0,0,0.20689654,0,2
4,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,655,0,0,0,0,0,-0.20689654,0,2
5,4,0,0,0,3438,19,3,1,1,0,0,0,0,0,0.19540231,0,0,0,676,0,0,0,0,0,0.19540231,0,2
6,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,638,0,0,0,0,0,-0.19540231,0,2
7,4,0,0,0,3631,19,3,1,1,0,0,0,0,0,0.22988506,0,0,0,564,0,0,0,0,0,0.22988506,0,2
8,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,621,0,0,0,0,0,-0.22988506,0,2
9,4,0,0,0,3432,19,3,1,1,0,0,0,0,0,0.18390805,0,0,0,603,0,0,0,0,0,0.18390805,0,2
10,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,754,0,0,0,0,0,-0.18390805,0,2
11,4,0,0,0,3439,19,3,1,1,0,0,0,0,0,0.19540231,0,0,0,595,0,0,0,0,0,0.19540231,0,2
12,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,646,0,0,0,0,0,-0.19540231,0,2
13,4,0,0,0,3431,19,3,1,1,0,0,0,0,0,0.18390805,0,0,0,640,0,0,0,0,0,0.18390805,0,2
14,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,656,0,0,0,0,0,-0.18390805,0,2
15,4,0,0,0,3432,19,3,1,1,0,0,0,0,0,0.18390805,0,0,0,604,0,0,0,0,0,0.18390805,0,2
16,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,746,0,0,0,0,0,-0.18390805,0,2
17,4,0,0,0,3438,19,3,1,1,0,0,0,0,0,0.19540231,0,0,0,604,0,0,0,0,0,0.19540231,0,2
18,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,682,0,0,0,0,0,-0.19540231,0,2
19,4,0,0,0,3431,19,3,1,1,0,0,0,0,0,0.18390805,0,0,0,715,0,0,0,0,0,0.18390805,0,2
20,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,684,0,0,0,0,0,-0.18390805,0,2
