Jonathon Simmons,SF,Spurs,400899377,0,28,8-14,3-5,1-3,1,3,4,3,0,1,2,2,+33,20
Jonathon Simmons,SF,Spurs,400899424,0,18,1-2,0-0,3-4,1,1,2,3,0,0,2,3,+2,5
Jonathon Simmons,SF,Spurs,400899428,0,20,3-9,0-3,0-0,0,4,4,3,1,1,3,2,-4,6
Jonathon Simmons,SF,Spurs,400899437,0,11,0-0,0-0,0-0,0,1,1,1,0,1,1,1,+8,0
Jonathon Simmons,SF,Spurs,400899470,0,19,3-8,0-1,5-6,0,3,3,0,0,1,0,2,+11,11
Jonathon Simmons,SF,Spurs,400899473,0,34,7-14,1-3,2-2,0,1,1,2,1,0,1,5,+0,17
Jonathon Simmons,SF,Spurs,400899482,0,26,5-12,0-1,1-2,0,3,3,1,1,1,2,2,+8,11
Jonathon Simmons,SF,Spurs,400899487,0,25,2-8,0-1,2-2,0,2,2,3,0,0,0,1,-1,6
Jonathon Simmons,SF,Spurs,400899503,1,29,1-7,0-3,0-0,0,2,2,3,0,0,0,1,+5,2
Jonathon Simmons,SF,Spurs,400899527,0,21,1-3,0-0,1-2,0,4,4,2,2,0,2,3,+15,3
Jonathon Simmons,SF,Spurs,400899536,0,19,3-6,0-1,0-0,1,3,4,2,2,0,2,0,+1,6
Jonathon Simmons,SF,Spurs,400899564,0,21,3-4,0-0,3-3,0,3,3,1,1,1,0,2,+9,9
Jonathon Simmons,SF,Spurs,400899577,0,18,0-3,0-2,5-6,0,4,4,2,0,0,0,2,+3,5
Jonathon Simmons,SF,Spurs,400899584,0,16,3-4,0-1,0-0,0,2,2,1,0,1,0,1,+12,6
Jonathon Simmons,SF,Spurs,400899600,0,22,1-5,0-2,3-4,2,2,4,2,1,1,1,1,+1,5
Jonathon Simmons,SF,Spurs,400899618,0,18,0-0,0-0,2-2,0,0,0,2,0,0,0,2,-24,2
Jonathon Simmons,SF,Spurs,400899632,0,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,-6,0
Jonathon Simmons,SF,Spurs,400899656,0,9,0-2,0-1,0-2,0,1,1,3,1,0,1,2,+0,0
