Shabazz Muhammad,SG,Timberwolves,400899385,0,23,5-11,2-4,0-0,1,5,6,0,1,0,2,3,+6,12
Shabazz Muhammad,SG,Timberwolves,400899386,0,14,1-6,0-1,0-0,1,1,2,0,0,0,0,0,+1,2
Shabazz Muhammad,SG,Timberwolves,400899399,0,16,2-6,0-0,2-2,1,1,2,0,0,0,1,2,-15,6
Shabazz Muhammad,SG,Timberwolves,400899421,0,19,3-6,1-1,3-4,1,4,5,0,1,0,2,2,-9,10
Shabazz Muhammad,SG,Timberwolves,400899442,0,24,7-12,0-2,4-4,2,1,3,1,0,0,1,3,+10,18
Shabazz Muhammad,SG,Timberwolves,400899484,0,11,3-3,0-0,3-3,0,1,1,1,0,0,0,0,+4,9
Shabazz Muhammad,SG,Timberwolves,400899502,0,19,2-6,0-0,4-4,2,2,4,1,0,0,0,0,-2,8
Shabazz Muhammad,SG,Timberwolves,400899517,0,13,2-5,1-1,0-0,1,0,1,0,1,0,0,0,-5,5
Shabazz Muhammad,SG,Timberwolves,400899529,0,21,6-9,0-0,3-3,3,1,4,0,0,1,1,1,+7,15
Shabazz Muhammad,SG,Timberwolves,400899551,0,24,3-12,1-4,0-0,2,2,4,0,0,0,1,3,-5,7
Shabazz Muhammad,SG,Timberwolves,400899559,0,19,4-6,1-1,4-7,0,1,1,0,1,0,1,3,+12,13
Shabazz Muhammad,SG,Timberwolves,400899585,0,15,1-2,0-0,2-2,0,1,1,0,0,0,1,0,+0,4
Shabazz Muhammad,SG,Timberwolves,400899640,0,18,2-2,0-0,0-0,0,2,2,1,1,0,0,1,-8,4
Shabazz Muhammad,SG,Timberwolves,400899655,0,16,1-4,0-2,0-0,0,2,2,1,0,0,3,3,+7,2
Shabazz Muhammad,SG,Timberwolves,400899672,0,17,4-6,0-1,3-5,1,1,2,0,1,0,1,0,+2,11
Shabazz Muhammad,SG,Timberwolves,400899686,0,7,0-3,0-1,0-0,1,3,4,0,0,0,0,1,-6,0
Shabazz Muhammad,SG,Timberwolves,400899694,0,9,0-2,0-2,4-4,0,1,1,1,0,0,1,1,+2,4
Shabazz Muhammad,SG,Timberwolves,400899708,0,17,3-6,0-1,4-4,0,1,1,0,0,0,0,0,-12,10
Shabazz Muhammad,SG,Timberwolves,400899721,0,8,1-4,0-0,1-2,1,0,1,0,0,0,0,1,-13,3
Shabazz Muhammad,SG,Timberwolves,400899727,0,21,6-10,2-5,0-0,0,2,2,1,0,0,2,1,+13,14
Shabazz Muhammad,SG,Timberwolves,400899734,0,25,5-10,0-1,2-3,2,4,6,1,0,0,0,1,+10,12
Shabazz Muhammad,SG,Timberwolves,400899761,0,20,1-6,0-1,0-0,1,2,3,0,0,0,1,1,-10,2
Shabazz Muhammad,SG,Timberwolves,400899773,0,20,1-3,0-0,1-2,2,0,2,0,0,0,0,1,+8,3
Shabazz Muhammad,SG,Timberwolves,400899784,0,17,0-2,0-1,1-2,1,2,3,0,0,0,0,1,-19,1
Shabazz Muhammad,SG,Timberwolves,400899800,0,15,1-5,1-3,3-4,2,3,5,2,0,0,0,0,-1,6
Shabazz Muhammad,SG,Timberwolves,400899812,0,13,2-5,0-0,1-2,1,1,2,0,0,0,0,0,-5,5
Shabazz Muhammad,SG,Timberwolves,400899845,0,17,3-7,0-1,2-4,2,4,6,1,0,1,2,0,+0,8
Shabazz Muhammad,SG,Timberwolves,400899858,0,21,3-8,0-1,2-2,1,1,2,2,0,0,1,2,-3,8
Shabazz Muhammad,SG,Timberwolves,400899872,0,19,3-10,1-3,0-0,3,2,5,0,1,0,1,0,+8,7
Shabazz Muhammad,SG,Timberwolves,400899892,0,17,1-1,1-1,3-4,0,1,1,0,0,0,1,2,+4,6
Shabazz Muhammad,SG,Timberwolves,400899901,0,25,5-8,0-1,5-5,0,1,1,0,1,1,0,1,+0,15
Shabazz Muhammad,SG,Timberwolves,400899910,0,29,4-13,1-3,3-4,2,1,3,0,1,0,3,2,-4,12
Shabazz Muhammad,SG,Timberwolves,400899925,0,19,2-4,1-1,0-0,1,1,2,0,0,0,0,3,-4,5
Shabazz Muhammad,SG,Timberwolves,400899939,0,18,8-13,4-5,2-2,0,1,1,0,0,0,2,1,+8,22
Shabazz Muhammad,SG,Timberwolves,400899977,0,18,2-3,1-2,0-0,0,3,3,0,0,0,0,1,+1,5
Shabazz Muhammad,SG,Timberwolves,400899991,0,20,5-9,1-2,0-0,0,2,2,0,0,0,1,2,+17,11
Shabazz Muhammad,SG,Timberwolves,400900003,0,30,7-11,2-3,4-4,1,6,7,1,0,0,0,1,+13,20
Shabazz Muhammad,SG,Timberwolves,400900017,0,23,3-6,1-2,0-0,0,1,1,0,0,0,1,0,+5,7
Shabazz Muhammad,SG,Timberwolves,400900029,0,12,0-6,0-1,0-0,0,1,1,0,0,0,0,1,-20,0
Shabazz Muhammad,SG,Timberwolves,400900046,0,23,4-6,2-3,5-5,1,3,4,0,0,0,2,3,-9,15
Shabazz Muhammad,SG,Timberwolves,400900061,0,18,2-5,1-1,2-4,1,3,4,0,0,0,0,0,+3,7
Shabazz Muhammad,SG,Timberwolves,400900085,0,33,9-14,2-5,0-0,3,2,5,1,1,0,2,1,+8,20
Shabazz Muhammad,SG,Timberwolves,400900100,0,27,6-9,2-3,2-3,0,3,3,1,0,0,0,0,-7,16
Shabazz Muhammad,SG,Timberwolves,400900112,0,20,2-5,0-0,4-4,1,1,2,0,1,0,0,1,-12,8
Shabazz Muhammad,SG,Timberwolves,400900131,0,28,6-11,2-3,4-4,5,2,7,1,0,1,0,3,+16,18
Shabazz Muhammad,SG,Timberwolves,400900141,0,22,4-10,2-5,0-0,0,5,5,1,0,0,0,0,+9,10
Shabazz Muhammad,SG,Timberwolves,400900153,0,23,6-11,3-4,0-0,0,0,0,0,1,0,1,3,-1,15
Shabazz Muhammad,SG,Timberwolves,400900168,0,26,5-11,1-3,0-1,2,1,3,0,0,0,0,4,+3,11
Shabazz Muhammad,SG,Timberwolves,400900180,0,21,4-11,0-0,4-4,1,2,3,1,0,0,1,1,+0,12
Shabazz Muhammad,SG,Timberwolves,400900195,0,26,8-13,2-5,4-6,0,2,2,2,0,0,0,2,+1,22
Shabazz Muhammad,SG,Timberwolves,400900209,0,22,2-8,0-3,1-2,1,1,2,0,0,0,0,0,-14,5
Shabazz Muhammad,SG,Timberwolves,400900221,0,19,5-7,0-2,2-3,1,1,2,0,1,0,1,2,+17,12
Shabazz Muhammad,SG,Timberwolves,400900237,0,15,2-5,0-2,3-5,0,1,1,1,1,0,0,0,-12,7
Shabazz Muhammad,SG,Timberwolves,400900248,0,17,5-7,0-1,5-5,0,3,3,2,0,0,0,0,+6,15
Shabazz Muhammad,SG,Timberwolves,400900268,0,16,2-6,0-2,1-1,0,2,2,0,0,0,0,0,+0,5
Shabazz Muhammad,SG,Timberwolves,400900278,0,13,4-8,1-2,2-2,2,1,3,0,0,0,1,2,-8,11
Shabazz Muhammad,SG,Timberwolves,400900294,0,15,4-7,1-2,1-2,0,0,0,1,1,0,1,0,+11,10
Shabazz Muhammad,SG,Timberwolves,400900320,0,16,2-4,0-1,0-0,2,0,2,0,0,0,0,1,+5,4
Shabazz Muhammad,SG,Timberwolves,400900350,1,26,7-13,0-1,3-4,3,3,6,0,1,0,3,1,+19,17
Shabazz Muhammad,SG,Timberwolves,400900363,0,28,5-9,0-2,1-2,2,5,7,0,0,0,1,1,-6,11
Shabazz Muhammad,SG,Timberwolves,400900373,0,16,2-7,0-1,0-1,0,2,2,1,0,0,1,2,-2,4
Shabazz Muhammad,SG,Timberwolves,400900390,0,15,1-6,0-1,0-0,0,2,2,0,0,0,1,3,-10,2
Shabazz Muhammad,SG,Timberwolves,400900401,0,31,7-14,0-5,7-8,2,1,3,1,0,1,0,0,-9,21
Shabazz Muhammad,SG,Timberwolves,400900420,0,28,7-10,0-3,1-1,0,1,1,2,0,0,1,3,-13,15
Shabazz Muhammad,SG,Timberwolves,400900434,0,24,8-13,1-3,3-5,2,4,6,1,1,0,1,0,-2,20
Shabazz Muhammad,SG,Timberwolves,400900451,0,24,8-15,2-3,0-0,3,1,4,0,1,0,1,0,+7,18
Shabazz Muhammad,SG,Timberwolves,400900475,0,12,0-3,0-0,0-0,0,0,0,0,0,0,0,0,-20,0
Shabazz Muhammad,SG,Timberwolves,400900481,0,20,4-6,0-1,5-7,0,2,2,0,0,0,1,0,+2,13
Shabazz Muhammad,SG,Timberwolves,400900499,0,9,1-3,0-2,0-2,1,1,2,0,0,0,0,0,-1,2
Shabazz Muhammad,SG,Timberwolves,400900518,0,10,1-1,0-0,0-0,0,1,1,0,0,0,1,0,-8,2
Shabazz Muhammad,SG,Timberwolves,400900540,0,32,8-18,1-2,7-9,8,3,11,1,0,0,0,1,-6,24
Shabazz Muhammad,SG,Timberwolves,400900556,0,12,3-7,1-2,0-0,0,0,0,0,0,0,0,1,-12,7
Shabazz Muhammad,SG,Timberwolves,400900563,0,20,5-8,0-0,1-1,2,1,3,0,1,0,2,3,+2,11
Shabazz Muhammad,SG,Timberwolves,400900580,0,18,4-9,0-4,4-5,1,1,2,0,0,0,2,0,-9,12
Shabazz Muhammad,SG,Timberwolves,400900591,0,15,3-6,0-2,3-4,0,1,1,1,0,1,1,1,-5,9
Shabazz Muhammad,SG,Timberwolves,400900602,0,22,9-18,1-6,3-5,1,1,2,1,2,0,1,1,+10,22
