Wade Baldwin IV,PG,Grizzlies,400899386,0,25,3-8,1-2,0-0,2,3,5,6,3,3,1,2,+3,7
Wade Baldwin IV,PG,Grizzlies,400899392,0,18,3-7,0-1,2-2,1,3,4,2,0,0,0,1,-4,8
Wade Baldwin IV,PG,Grizzlies,400899408,0,15,1-1,0-0,0-0,0,0,0,1,1,1,2,0,-11,2
Wade Baldwin IV,PG,Grizzlies,400899453,0,8,0-0,0-0,4-4,0,1,1,1,0,0,1,0,+3,4
Wade Baldwin IV,PG,Grizzlies,400899478,0,22,2-4,1-1,0-0,0,2,2,3,0,0,2,1,-10,5
Wade Baldwin IV,PG,Grizzlies,400899489,0,18,0-5,0-0,0-0,0,0,0,4,2,0,0,1,-3,0
Wade Baldwin IV,PG,Grizzlies,400899502,1,23,2-8,0-4,4-4,1,2,3,1,3,0,5,1,-31,8
Wade Baldwin IV,PG,Grizzlies,400899510,0,24,2-5,0-0,0-0,0,3,3,5,0,0,0,2,-15,4
Wade Baldwin IV,PG,Grizzlies,400899524,0,14,1-5,0-1,0-0,1,1,2,2,0,0,4,2,-10,2
Wade Baldwin IV,PG,Grizzlies,400899538,0,DNP-COACH'S DECISION
Wade Baldwin IV,PG,Grizzlies,400899552,0,DNP-COACH'S DECISION
Wade Baldwin IV,PG,Grizzlies,400899587,0,12,1-2,0-1,0-0,0,1,1,1,0,0,2,1,-8,2
Wade Baldwin IV,PG,Grizzlies,400899601,0,DNP-COACH'S DECISION
Wade Baldwin IV,PG,Grizzlies,400899617,0,DNP-COACH'S DECISION
Wade Baldwin IV,PG,Grizzlies,400899630,0,4,0-1,0-0,0-0,0,0,0,0,0,0,0,1,+0,0
Wade Baldwin IV,PG,Grizzlies,400899640,0,2,0-0,0-0,0-0,0,0,0,0,1,0,0,0,+1,0
Wade Baldwin IV,PG,Grizzlies,400899683,0,13,2-5,0-0,1-2,1,0,1,0,0,0,1,0,+5,5
Wade Baldwin IV,PG,Grizzlies,400899693,0,DNP-COACH'S DECISION
Wade Baldwin IV,PG,Grizzlies,400899707,0,15,3-5,0-2,0-2,1,2,3,3,0,1,1,3,-6,6
Wade Baldwin IV,PG,Grizzlies,400899718,0,24,1-7,0-1,0-0,0,3,3,2,0,0,3,4,-3,2
Wade Baldwin IV,PG,Grizzlies,400899737,0,20,2-7,0-1,3-4,0,2,2,9,3,1,2,2,+6,7
Wade Baldwin IV,PG,Grizzlies,400899752,0,21,1-5,0-1,2-2,0,1,1,3,0,0,0,1,-10,4
Wade Baldwin IV,PG,Grizzlies,400899760,0,24,2-6,0-1,7-8,0,1,1,2,0,0,3,5,-2,11
Wade Baldwin IV,PG,Grizzlies,400899775,0,3,0-0,0-0,0-0,0,0,0,0,0,0,2,1,-3,0
Wade Baldwin IV,PG,Grizzlies,400899793,0,2,0-1,0-1,0-0,0,0,0,0,0,0,1,0,-1,0
Wade Baldwin IV,PG,Grizzlies,400899810,0,4,1-1,0-0,4-4,0,0,0,0,0,1,0,0,+1,6
Wade Baldwin IV,PG,Grizzlies,400899821,0,3,0-0,0-0,0-0,0,0,0,0,0,0,2,0,-10,0
Wade Baldwin IV,PG,Grizzlies,400899929,0,4,0-1,0-0,0-0,0,1,1,4,0,0,0,0,+9,0
Wade Baldwin IV,PG,Grizzlies,400899944,0,2,0-1,0-1,0-0,0,0,0,0,0,0,0,0,-2,0
Wade Baldwin IV,PG,Grizzlies,400899954,0,DNP-COACH'S DECISION
Wade Baldwin IV,PG,Grizzlies,400900129,0,DNP-COACH'S DECISION
Wade Baldwin IV,PG,Grizzlies,400900144,0,5,0-1,0-0,0-0,0,0,0,1,1,0,0,3,-6,0
Wade Baldwin IV,PG,Grizzlies,400900489,0,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,-3,0
Wade Baldwin IV,PG,Grizzlies,400900496,0,DNP-COACH'S DECISION
Wade Baldwin IV,PG,Grizzlies,400900511,0,3,0-1,0-1,0-0,0,0,0,1,0,0,0,0,-5,0
Wade Baldwin IV,PG,Grizzlies,400900526,0,14,1-2,0-0,0-0,0,1,1,4,0,0,1,3,-2,2
Wade Baldwin IV,PG,Grizzlies,400900539,0,20,0-6,0-0,1-2,2,5,7,4,0,0,2,4,-5,1
Wade Baldwin IV,PG,Grizzlies,400900545,0,11,1-3,0-1,0-0,0,0,0,1,1,0,0,0,+3,2
Wade Baldwin IV,PG,Grizzlies,400900559,0,3,1-1,1-1,0-0,0,0,0,0,0,0,0,0,-2,3
Wade Baldwin IV,PG,Grizzlies,400900579,0,12,3-8,0-0,0-0,1,0,1,1,1,0,0,0,-5,6
Wade Baldwin IV,PG,Grizzlies,400900601,0,18,3-8,0-1,3-3,1,3,4,0,2,0,4,2,-13,9
