Zaza Pachulia,C,Warriors,400899377,1,20,1-1,0-0,0-0,1,2,3,1,0,0,3,2,-3,2
Zaza Pachulia,C,Warriors,400899419,1,19,4-8,0-0,3-3,4,5,9,1,0,0,2,4,+17,11
Zaza Pachulia,C,Warriors,400899436,1,8,0-1,0-0,2-2,3,0,3,1,0,1,1,2,-14,2
Zaza Pachulia,C,Warriors,400899459,1,17,4-6,0-0,2-2,2,9,11,1,0,0,2,2,-2,10
Zaza Pachulia,C,Warriors,400899474,1,14,3-5,0-0,2-2,1,4,5,1,1,0,1,2,+8,8
Zaza Pachulia,C,Warriors,400899486,1,22,1-5,0-0,3-3,4,6,10,4,0,0,3,1,-7,5
Zaza Pachulia,C,Warriors,400899504,1,19,2-3,0-0,1-2,1,5,6,2,0,0,0,0,+2,5
Zaza Pachulia,C,Warriors,400899519,1,23,4-4,0-0,0-0,6,4,10,5,2,3,1,3,+5,8
Zaza Pachulia,C,Warriors,400899528,1,19,0-0,0-0,0-0,2,1,3,3,0,0,2,1,+4,0
Zaza Pachulia,C,Warriors,400899549,1,11,1-2,0-0,0-0,0,1,1,1,0,0,1,2,-14,2
Zaza Pachulia,C,Warriors,400899566,1,13,1-2,0-0,0-0,0,4,4,4,0,0,1,1,+3,2
Zaza Pachulia,C,Warriors,400899569,1,14,2-2,0-0,0-0,2,2,4,0,4,0,1,2,+14,4
Zaza Pachulia,C,Warriors,400899593,1,12,1-3,0-0,2-2,1,5,6,1,0,0,0,2,-6,4
Zaza Pachulia,C,Warriors,400899615,1,16,2-3,0-0,4-4,0,1,1,2,0,0,1,4,+7,8
Zaza Pachulia,C,Warriors,400899629,1,21,2-5,0-0,0-0,4,9,13,3,2,0,1,1,+19,4
Zaza Pachulia,C,Warriors,400899641,1,17,2-7,0-0,0-0,6,4,10,4,1,0,2,3,+5,4
Zaza Pachulia,C,Warriors,400899652,1,14,2-4,0-0,2-2,2,5,7,1,0,0,0,1,+18,6
Zaza Pachulia,C,Warriors,400899673,1,18,2-3,0-0,2-2,0,3,3,2,3,0,0,3,+22,6
Zaza Pachulia,C,Warriors,400899688,1,21,1-5,0-0,0-0,0,6,6,4,0,3,3,3,-2,2
Zaza Pachulia,C,Warriors,400899694,1,25,2-6,0-0,2-2,1,3,4,3,1,1,0,1,+14,6
Zaza Pachulia,C,Warriors,400899709,1,16,2-2,0-0,0-0,2,4,6,1,0,1,2,2,+2,4
Zaza Pachulia,C,Warriors,400899741,1,15,3-5,0-0,1-3,0,3,3,1,3,0,3,1,+20,7
Zaza Pachulia,C,Warriors,400899756,1,18,1-3,0-0,1-2,3,2,5,5,3,1,1,2,+17,3
Zaza Pachulia,C,Warriors,400899772,1,22,2-4,0-1,0-0,3,2,5,3,0,1,2,3,+17,4
Zaza Pachulia,C,Warriors,400899777,1,22,1-3,0-0,0-2,2,2,4,3,0,0,1,4,+11,2
Zaza Pachulia,C,Warriors,400899793,0,DNP-RIGHT WRIST INJURY
Zaza Pachulia,C,Warriors,400899847,1,17,1-3,0-0,2-4,4,3,7,0,1,1,1,4,+21,4
Zaza Pachulia,C,Warriors,400899869,1,15,0-1,0-0,2-2,1,2,3,1,0,0,0,0,+13,2
Zaza Pachulia,C,Warriors,400899879,1,26,6-9,0-0,3-4,7,7,14,4,0,1,1,4,+18,15
Zaza Pachulia,C,Warriors,400899888,1,19,2-2,0-0,3-3,3,5,8,0,1,0,2,1,-6,7
Zaza Pachulia,C,Warriors,400899899,1,13,2-3,0-0,0-0,1,4,5,1,0,0,3,4,+2,4
Zaza Pachulia,C,Warriors,400899927,1,18,3-5,0-0,2-2,2,1,3,3,0,0,1,3,+8,8
Zaza Pachulia,C,Warriors,400899943,1,18,1-6,0-0,0-0,1,4,5,0,1,0,0,1,+11,2
Zaza Pachulia,C,Warriors,400899955,1,19,5-7,0-0,3-3,1,2,3,1,1,3,1,1,+10,13
Zaza Pachulia,C,Warriors,400899971,1,30,3-4,0-0,4-4,0,5,5,2,0,0,0,3,-9,10
Zaza Pachulia,C,Warriors,400899987,1,22,4-5,0-0,2-2,5,2,7,2,3,0,1,5,+15,10
Zaza Pachulia,C,Warriors,400899999,1,24,3-5,0-0,2-2,1,5,6,3,1,0,2,3,+7,8
Zaza Pachulia,C,Warriors,400900011,1,24,3-6,0-0,1-2,0,5,5,1,2,1,2,2,+15,7
Zaza Pachulia,C,Warriors,400900040,1,21,2-7,0-0,0-0,3,10,13,1,1,0,1,3,+24,4
Zaza Pachulia,C,Warriors,400900055,1,19,1-5,0-0,3-5,3,3,6,2,1,0,1,3,+8,5
Zaza Pachulia,C,Warriors,400900067,1,20,3-5,0-0,4-6,2,7,9,2,2,0,1,4,+20,10
Zaza Pachulia,C,Warriors,400900082,1,20,7-8,0-0,0-2,2,3,5,1,2,0,1,2,+5,14
Zaza Pachulia,C,Warriors,400900089,1,27,2-6,0-0,2-4,4,6,10,2,2,0,1,3,-6,6
Zaza Pachulia,C,Warriors,400900108,1,13,0-1,0-0,2-2,1,3,4,1,0,1,0,2,-11,2
Zaza Pachulia,C,Warriors,400900128,1,14,2-3,0-0,0-0,2,4,6,3,1,0,1,3,+13,4
Zaza Pachulia,C,Warriors,400900139,1,24,3-5,0-0,8-10,2,3,5,2,4,0,1,3,+12,14
Zaza Pachulia,C,Warriors,400900260,1,18,3-3,0-0,0-0,1,3,4,1,1,4,1,4,+9,6
Zaza Pachulia,C,Warriors,400900279,1,20,3-5,0-0,2-3,1,8,9,3,0,1,1,5,+29,8
Zaza Pachulia,C,Warriors,400900289,1,15,5-5,0-0,6-7,1,4,5,2,1,1,0,0,+1,16
Zaza Pachulia,C,Warriors,400900295,1,18,4-8,0-0,4-5,6,2,8,0,1,0,2,2,-6,12
Zaza Pachulia,C,Warriors,400900301,1,14,4-7,0-0,0-0,2,3,5,0,1,0,0,1,+0,8
Zaza Pachulia,C,Warriors,400900323,1,18,5-6,0-0,0-0,0,1,1,2,1,1,2,1,+14,10
Zaza Pachulia,C,Warriors,400900332,1,15,3-6,0-0,0-0,1,4,5,2,0,0,0,2,+11,6
Zaza Pachulia,C,Warriors,400900354,1,19,1-5,0-0,0-0,2,4,6,3,0,1,1,2,+4,2
Zaza Pachulia,C,Warriors,400900363,1,26,4-4,0-0,1-2,1,4,5,3,3,1,1,6,+4,9
Zaza Pachulia,C,Warriors,400900375,1,20,4-9,0-0,3-5,6,6,12,3,1,1,2,0,-18,11
Zaza Pachulia,C,Warriors,400900398,1,12,0-5,0-0,2-2,1,4,5,1,2,1,3,3,-11,2
Zaza Pachulia,C,Warriors,400900414,1,21,5-8,0-0,0-0,3,7,10,3,1,0,0,3,+18,10
Zaza Pachulia,C,Warriors,400900430,1,12,3-5,0-0,2-4,0,4,4,2,1,0,2,3,-8,8
Zaza Pachulia,C,Warriors,400900444,1,14,1-4,0-0,0-0,1,1,2,1,0,0,2,4,-3,2
Zaza Pachulia,C,Warriors,400900450,1,14,3-3,0-0,0-0,1,5,6,0,0,0,1,3,+5,6
Zaza Pachulia,C,Warriors,400900476,1,19,1-4,0-0,2-2,2,6,8,3,2,1,2,1,+13,4
Zaza Pachulia,C,Warriors,400900489,1,12,1-2,0-0,0-0,3,2,5,0,0,0,2,2,-3,2
Zaza Pachulia,C,Warriors,400900503,1,14,1-1,0-0,0-0,1,2,3,2,0,0,1,4,+1,2
Zaza Pachulia,C,Warriors,400900513,1,18,2-7,0-0,2-2,4,0,4,2,1,0,1,3,+3,6
Zaza Pachulia,C,Warriors,400900531,1,12,1-3,0-0,0-0,0,1,1,0,0,0,0,1,-5,2
Zaza Pachulia,C,Warriors,400900540,1,19,3-5,0-0,0-0,1,6,7,0,0,0,0,1,+7,6
Zaza Pachulia,C,Warriors,400900549,1,18,2-4,0-0,0-0,0,3,3,2,0,1,3,3,+6,4
Zaza Pachulia,C,Warriors,400900573,1,22,1-2,0-0,0-0,1,8,9,3,0,0,1,3,+6,2
