400899387,Raptors,Lakers,123,114
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Pascal Siakam,PF,1,31,1-4,0-0,1-2,1,9,10,0,0,4,2,5,-2,3
DeMarre Carroll,SF,1,17,1-2,1-2,2-2,0,0,0,0,0,1,2,4,-6,5
Jonas Valanciunas,C,1,31,6-7,0-0,2-2,1,8,9,0,2,0,3,3,+1,14
Kyle Lowry,PG,1,39,12-16,6-7,11-11,1,8,9,7,0,0,4,3,+12,41
DeMar DeRozan,SG,1,35,10-25,0-0,11-13,0,1,1,3,1,1,1,3,-9,31
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Norman Powell,SF,0,8,1-2,0-1,0-0,0,0,0,0,2,0,0,0,+2,2
Lucas Nogueira,C,0,20,2-3,0-0,0-0,1,2,3,1,0,2,0,2,+12,4
Jakob Poeltl,C,0,9,1-1,0-0,2-2,1,1,2,0,0,0,0,2,+15,4
Cory Joseph,PG,0,27,4-6,0-1,0-0,0,1,1,7,0,1,3,1,+8,8
Terrence Ross,SG,0,24,4-9,3-6,0-0,0,5,5,0,0,0,1,2,+12,11
Patrick Patterson,PF,0,DNP-LEFT KNEE
Bruno Caboclo,SF,0,DNP-COACH'S DECISION
Fred VanVleet,PG,0,DNP-COACH'S DECISION
TEAM,,,,42-75,10-17,29-32,5,35,40,18,5,9,16,25,,123
 ,,,,56.0%,58.8%,90.6%
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Julius Randle,PF,1,36,3-10,0-0,9-10,3,6,9,6,3,2,2,4,-7,15
Luol Deng,SF,1,30,1-6,0-2,0-0,1,2,3,2,0,0,0,1,+1,2
Timofey Mozgov,C,1,21,2-6,0-0,2-2,0,3,3,0,1,1,1,3,-7,6
D'Angelo Russell,PG,1,31,9-18,6-12,4-6,1,3,4,5,1,0,0,2,-3,28
Nick Young,SG,1,30,8-14,7-9,3-3,0,2,2,0,2,0,2,3,+1,26
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
