400899389,Thunder,76ers,103,97
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Steven Adams,C,1,36,7-16,0-0,2-2,2,3,5,1,3,0,2,4,+13,16
Domantas Sabonis,C,1,16,2-5,1-3,0-0,0,4,4,0,0,0,0,2,-10,5
Russell Westbrook,PG,1,36,11-21,1-2,9-11,1,11,12,9,0,0,2,2,+10,32
Victor Oladipo,SG,1,26,4-16,0-5,2-3,2,3,5,1,0,1,3,2,-5,10
Andre Roberson,SG,1,32,0-2,0-0,1-4,2,5,7,3,2,1,0,3,+10,1
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Ersan Ilyasova,PF,0,20,4-7,2-5,0-0,1,4,5,1,1,0,0,1,-2,10
Kyle Singler,SF,0,22,1-6,1-5,2-2,0,1,1,0,0,0,1,2,+8,5
Enes Kanter,C,0,24,7-14,0-0,3-4,5,7,12,0,1,1,0,3,+9,17
Cameron Payne,PG,0,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,-1,0
Semaj Christon,PG,0,15,2-5,0-1,0-0,0,1,1,4,0,0,0,1,-8,4
Alex Abrines,SG,0,13,1-2,1-1,0-0,0,1,1,0,0,0,2,3,+5,3
Nick Collison,PF,0,DNP-COACH'S DECISION
Joffrey Lauvergne,C,0,DNP-COACH'S DECISION
Anthony Morrow,SG,0,DNP-COACH'S DECISION
TEAM,,,,39-94,6-22,19-26,13,40,53,19,7,3,10,23,,103
 ,,,,41.5%,27.3%,73.1%
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Dario Saric,PF,1,27,2-12,0-4,1-2,1,6,7,2,0,0,2,3,-4,5
Robert Covington,SF,1,32,3-6,2-4,2-2,1,4,5,2,2,1,0,1,+2,10
Joel Embiid,C,1,22,6-16,1-3,7-8,0,7,7,0,0,2,4,4,-6,20
Sergio Rodriguez,PG,1,32,5-11,2-6,0-0,0,4,4,9,0,0,0,1,+8,12
Gerald Henderson,SG,1,25,3-6,2-3,1-2,0,2,2,0,0,0,0,2,-7,9
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Richaun Holmes,PF,0,12,2-2,0-0,2-2,1,2,3,0,0,3,1,3,+1,6
Hollis Thompson,SF,0,13,2-5,0-2,0-2,1,2,3,0,1,1,0,1,-10,4
