time,play,score
12:00,Tristan Thompson vs. Dwight Howard (Dennis Schroder gains possession),0 - 0
11:45,Dennis Schroder  misses Driving Floating Jump Shot,0 - 0
11:45,Cavaliers defensive team rebound,0 - 0
11:45,Dwight Howard personal foul  (Channing Frye draws the foul),0 - 0
11:30,Kyrie Irving makes 19-foot two point shot (LeBron James assists),2 - 0
11:11,Dwight Howard  misses 7-foot hook shot,2 - 0
11:10,LeBron James defensive rebound,2 - 0
10:56,Kyrie Irving  misses three point jumper,2 - 0
10:56,Kent Bazemore defensive rebound,2 - 0
10:48,Kent Bazemore makes two point shot,2 - 2
10:33,LeBron James  misses 21-foot jumper,2 - 2
10:33,Dwight Howard defensive rebound,2 - 2
10:26,LeBron James shooting foul  (Thabo Sefolosha draws the foul),2 - 2
10:26,Thabo Sefolosha misses free throw 1 of 2,2 - 2
10:26,Hawks offensive team rebound,2 - 2
10:26,Thabo Sefolosha misses free throw 2 of 2,2 - 2
10:25,Channing Frye defensive rebound,2 - 2
10:15,Iman Shumpert  misses 23-foot three point jumper,2 - 2
10:14,Paul Millsap defensive rebound,2 - 2
10:03,Dennis Schroder  misses 24-foot three point pullup jump shot,2 - 2
10:03,LeBron James defensive rebound,2 - 2
10:00,Paul Millsap shooting foul  (Iman Shumpert draws the foul),2 - 2
10:00,Iman Shumpert makes free throw 1 of 2,3 - 2
10:00,Iman Shumpert makes free throw 2 of 2,4 - 2
9:45,Dwight Howard makes driving layup (Dennis Schroder assists),4 - 4
9:22,Tristan Thompson makes dunk (LeBron James assists),6 - 4
9:07,Dwight Howard  misses 9-foot two point shot,6 - 4
9:03,Tristan Thompson defensive rebound,6 - 4
8:59,Kyrie Irving makes 25-foot Running Pullup Jump Shot,9 - 4
8:45,Thabo Sefolosha makes driving layup (Dwight Howard assists),9 - 6
8:36,LeBron James makes 24-foot  three pointer,12 - 6
8:19,Paul Millsap makes 18-foot two point shot,12 - 8
8:00,Kyrie Irving  misses 23-foot jumper,12 - 8
8:00,Channing Frye offensive rebound,12 - 8
7:54,Channing Frye makes 26-foot  step back jumpshot  (Kyrie Irving assists),15 - 8
7:39,Dwight Howard  misses 9-foot hook shot,15 - 8
7:37,Tristan Thompson defensive rebound,15 - 8
7:26,Channing Frye  misses 25-foot three point jumper,15 - 8
7:26,Hawks defensive team rebound,15 - 8
7:13,Tristan Thompson shooting foul  (Paul Millsap draws the foul),15 - 8
7:13,Paul Millsap misses free throw 1 of 2,15 - 8
7:13,Hawks offensive team rebound,15 - 8
7:13,Paul Millsap makes free throw 2 of 2,15 - 9
6:56,Kyrie Irving makes two point shot,17 - 9
6:39,Thabo Sefolosha  misses 16-foot two point jumper,17 - 9
6:37,LeBron James defensive rebound,17 - 9
6:31,Channing Frye  bad pass (Dwight Howard steals),17 - 9
6:26,Dennis Schroder Out-of-Bounds Bad Pass Turnover,17 - 9
6:16,LeBron James makes 25-foot  three pointer  (Kyrie Irving assists),20 - 9
6:15,Hawks Full timeout,20 - 9
6:15,Tim Hardaway Jr. enters the game for Kent Bazemore,20 - 9
6:00,Channing Frye shooting foul  (Dwight Howard draws the foul),20 - 9
6:00,Dwight Howard misses free throw 1 of 2,20 - 9
6:00,Hawks offensive team rebound,20 - 9
6:00,Dwight Howard makes free throw 2 of 2,20 - 10
5:43,LeBron James makes 14-foot two point shot,22 - 10
5:26,Paul Millsap  misses 25-foot three point jumper,22 - 10
5:24,Dwight Howard makes two point shot,22 - 12
5:24,Dwight Howard offensive rebound,22 - 10
5:03,LeBron James  misses 23-foot,22 - 12
5:01,Dwight Howard defensive rebound,22 - 12
4:50,Tim Hardaway Jr. makes two point shot (Dennis Schroder assists),22 - 14
4:33,Iman Shumpert makes 23-foot  three point jumper  (LeBron James assists),25 - 14
4:11,Dwight Howard makes layup (Thabo Sefolosha assists),25 - 16
3:56,Kyrie Irving makes driving layup,27 - 16
3:44,Dennis Schroder Out-of-Bounds Bad Pass Turnover,27 - 16
3:44,Ersan Ilyasova enters the game for Paul Millsap,27 - 16
3:44,Taurean Prince enters the game for Thabo Sefolosha,27 - 16
3:44,Derrick Williams enters the game for Channing Frye,27 - 16
3:27,Derrick Williams  lost ball turnover (Taurean Prince steals),27 - 16
3:20,Taurean Prince makes two point shot,27 - 18
3:15,Dennis Schroder personal foul  (Kyrie Irving draws the foul),27 - 18
3:15,Kyle Korver enters the game for LeBron James,27 - 18
3:05,Iman Shumpert makes 25-foot  three point jumper  (Derrick Williams assists),30 - 18
2:49,Dennis Schroder makes 7-foot two point shot,30 - 20
2:40,Kyrie Irving makes two point shot,32 - 20
2:30,Tim Hardaway Jr. makes 24-foot  three point jumper  (Dwight Howard assists),32 - 23
2:15,Kyle Korver  misses 21-foot jumper,32 - 23
2:14,Dwight Howard defensive rebound,32 - 23
2:04,Dennis Schroder  bad pass (Kyle Korver steals),32 - 23
1:58,Kyrie Irving makes two point shot,34 - 23
1:47,Dennis Schroder makes driving layup,34 - 25
1:32,Kyrie Irving  bad pass (Taurean Prince steals),34 - 25
1:24,Taurean Prince  bad pass (Kyrie Irving steals),34 - 25
1:22,Dwight Howard blocks Derrick Williams's  layup,34 - 25
1:22,Cavaliers offensive team rebound,34 - 25
1:22,Cavaliers Full timeout,34 - 25
1:22,Deron Williams enters the game for Kyrie Irving,34 - 25
1:22,Malcolm Delaney enters the game for Dwight Howard,34 - 25
1:22,Paul Millsap enters the game for Dennis Schroder,34 - 25
1:14,Kyle Korver makes 23-foot  three point jumper  (Deron Williams assists),37 - 25
59.0,Deron Williams shooting foul  (Paul Millsap draws the foul),37 - 25
59.0,Paul Millsap makes free throw 1 of 2,37 - 26
59.0,Paul Millsap makes free throw 2 of 2,37 - 27
47.0,Tristan Thompson makes 6-foot two point shot (Kyle Korver assists),39 - 27
34.0,Tim Hardaway Jr. makes 24-foot  three point jumper  (Taurean Prince assists),39 - 30
25.0,Iman Shumpert  misses three point jumper,39 - 30
24.0,Malcolm Delaney defensive rebound,39 - 30
6.0,Malcolm Delaney makes 19-foot two point shot,39 - 32
6.0,Iman Shumpert away from play foul  (Paul Millsap draws the foul),39 - 33
6.0,Kyrie Irving enters the game for Tristan Thompson,39 - 32
6.0,Dennis Schroder enters the game for Ersan Ilyasova,39 - 32
6.0,Paul Millsap makes free throw 1 of 1,39 - 33
1.0,Dennis Schroder personal foul  (Deron Williams draws the foul),39 - 33
1.0,Kent Bazemore enters the game for Dennis Schroder,39 - 33
0.0,End of the 1st Quarter,39 - 33
11:38,LeBron James makes driving layup,41 - 33
11:21,Ersan Ilyasova  bad pass (Derrick Williams steals),41 - 33
11:12,Paul Millsap blocks LeBron James 's 4-foot  layup,41 - 33
11:11,Taurean Prince defensive rebound,41 - 33
11:06,Ersan Ilyasova makes 18-foot two point shot (Malcolm Delaney assists),41 - 35
10:48,LeBron James makes 25-foot  three point jumper  (Deron Williams assists),44 - 35
10:30,Tim Hardaway Jr.  misses driving layup,44 - 35
10:27,Kyle Korver defensive rebound,44 - 35
10:25,Kyle Korver steps out of bounds turnover,44 - 35
10:25,Cavaliers delay of game violation,44 - 35
10:11,Paul Millsap makes 10-foot two point shot,44 - 37
9:56,LeBron James  misses layup,44 - 37
9:56,LeBron James offensive rebound,44 - 37
9:56,LeBron James makes two point shot,46 - 37
9:56,Ersan Ilyasova shooting foul  (LeBron James draws the foul),46 - 37
9:56,Thabo Sefolosha enters the game for Taurean Prince,46 - 37
9:56,LeBron James misses free throw 1 of 1,46 - 37
9:55,Paul Millsap defensive rebound,46 - 37
9:44,Paul Millsap  misses 8-foot two point shot,46 - 37
9:41,Paul Millsap offensive rebound,46 - 37
9:37,Malcolm Delaney  misses 26-foot three point jumper,46 - 37
9:36,Deron Williams defensive rebound,46 - 37
9:27,Kyle Korver  misses 23-foot three point jumper,46 - 37
9:26,Ersan Ilyasova defensive rebound,46 - 37
9:21,Hawks Full timeout,46 - 37
9:21,Kent Bazemore enters the game for Malcolm Delaney,46 - 37
9:12,Paul Millsap makes layup (Tim Hardaway Jr. assists),46 - 39
8:57,LeBron James makes layup (Deron Williams assists),48 - 39
8:42,Kent Bazemore  misses 12-foot two point jumper,48 - 39
8:38,LeBron James defensive rebound,48 - 39
8:30,Derrick Williams makes 23-foot  three point jumper  (Deron Williams assists),51 - 39
8:14,Kent Bazemore makes layup (Thabo Sefolosha assists),51 - 41
7:50,Derrick Williams  misses 24-foot three point jumper,51 - 41
7:48,Ersan Ilyasova defensive rebound,51 - 41
7:41,Kent Bazemore  misses Running Pullup Jump Shot,51 - 41
7:39,Richard Jefferson defensive rebound,51 - 41
7:35,Kyle Korver  misses 24-foot three point jumper,51 - 41
7:33,Thabo Sefolosha defensive rebound,51 - 41
7:26,Tim Hardaway Jr. makes 25-foot  three point jumper  (Thabo Sefolosha assists),51 - 44
7:07,Richard Jefferson makes 25-foot  three point jumper  (LeBron James assists),54 - 44
6:56,Derrick Williams personal foul  (Paul Millsap draws the foul),54 - 44
6:56,Kyrie Irving enters the game for Derrick Williams,54 - 44
6:48,Tim Hardaway Jr.  bad pass (Deron Williams steals),54 - 44
6:41,Kyrie Irving makes 7-foot two point shot (Deron Williams assists),56 - 44
6:22,Tim Hardaway Jr.  misses 26-foot three point jumper,56 - 44
6:20,LeBron James defensive rebound,56 - 44
6:11,LeBron James  misses driving layup,56 - 44
6:11,Ersan Ilyasova defensive rebound,56 - 44
6:11,Richard Jefferson personal foul  (Ersan Ilyasova draws the foul),56 - 44
6:11,Dwight Howard enters the game for Tim Hardaway Jr.,56 - 44
6:11,Dennis Schroder enters the game for Ersan Ilyasova,56 - 44
6:11,Cavaliers Full timeout,56 - 44
6:11,Channing Frye enters the game for Richard Jefferson,56 - 44
6:00,Dennis Schroder makes 24-foot  three pointer,56 - 47
5:43,LeBron James makes 2-foot layup (Deron Williams assists),58 - 47
5:24,Paul Millsap  misses 15-foot step back jumpshot,58 - 47
5:22,Thabo Sefolosha offensive rebound,58 - 47
5:22,Thabo Sefolosha  misses,58 - 47
5:20,Channing Frye defensive rebound,58 - 47
5:13,Kyle Korver makes  three point jumper  (LeBron James assists),61 - 47
4:52,Thabo Sefolosha makes 25-foot  three point jumper  (Dennis Schroder assists),61 - 50
4:28,LeBron James makes layup (Kyrie Irving assists),63 - 50
4:15,Dennis Schroder makes 18-foot two point shot,63 - 52
4:01,Deron Williams makes 17-foot two point shot,65 - 52
3:47,Kyle Korver blocks Thabo Sefolosha 's 2-foot  shot,65 - 52
3:45,Kyrie Irving defensive rebound,65 - 52
3:44,Paul Millsap shooting foul  (LeBron James draws the foul),65 - 52
3:44,LeBron James misses free throw 1 of 2,65 - 52
3:44,Cavaliers offensive team rebound,65 - 52
3:44,Tim Hardaway Jr. enters the game for Paul Millsap,65 - 52
3:44,Iman Shumpert enters the game for Deron Williams,65 - 52
3:44,LeBron James makes free throw 2 of 2,66 - 52
3:27,Dwight Howard  misses driving layup,66 - 52
3:25,LeBron James defensive rebound,66 - 52
3:16,Kyrie Irving  bad pass (Dwight Howard steals),66 - 52
3:11,Kent Bazemore  misses 24-foot three point running jumper,66 - 52
3:09,Kyle Korver defensive rebound,66 - 52
2:54,Kyrie Irving makes 23-foot  three point jumper  (Kyle Korver assists),69 - 52
2:54,Hawks 20 Sec. timeout,69 - 52
2:54,Official timeout,69 - 52
2:54,Tristan Thompson enters the game for LeBron James,69 - 52
2:54,Taurean Prince enters the game for Thabo Sefolosha,69 - 52
2:45,Dwight Howard makes two point shot (Kent Bazemore assists),69 - 54
2:27,Kyle Korver  bad pass (Kent Bazemore steals),69 - 54
2:21,Tim Hardaway Jr. makes two point shot (Kent Bazemore assists),69 - 56
1:59,Channing Frye  misses 24-foot three point pullup jump shot,69 - 56
1:55,Dennis Schroder defensive rebound,69 - 56
1:53,Kent Bazemore  lost ball turnover (Kyrie Irving steals),69 - 56
1:44,Kyrie Irving makes 26-foot  three point jumper  (Channing Frye assists),72 - 56
1:28,Dennis Schroder  misses 16-foot two point jumper,72 - 56
1:25,Iman Shumpert defensive rebound,72 - 56
1:22,Tristan Thompson offensive foul  (Kent Bazemore draws the foul),72 - 56
1:22,Tristan Thompson  turnover,72 - 56
1:22,Derrick Williams enters the game for Kyle Korver,72 - 56
1:22,Richard Jefferson enters the game for Tristan Thompson,72 - 56
1:13,Channing Frye shooting foul  (Dwight Howard draws the foul),72 - 56
1:13,Dwight Howard misses free throw 1 of 2,72 - 56
1:13,Hawks offensive team rebound,72 - 56
1:13,Dwight Howard misses free throw 2 of 2,72 - 56
1:12,Channing Frye defensive rebound,72 - 56
57.0,Richard Jefferson offensive Charge  (Dennis Schroder draws the foul),72 - 56
57.0,Richard Jefferson  turnover,72 - 56
46.0,Dwight Howard makes two point shot (Kent Bazemore assists),72 - 58
34.0,Richard Jefferson makes 24-foot  three point jumper  (Kyrie Irving assists),75 - 58
28.0,Tim Hardaway Jr. makes 18-foot two point shot,75 - 60
6.0,Kyrie Irving makes driving layup,77 - 60
2.0,Dennis Schroder  misses 24-foot three point pullup jump shot,77 - 60
2.0,Cavaliers defensive team rebound,77 - 60
2.0,Cavaliers 20 Sec. timeout,77 - 60
2.0,LeBron James enters the game for Derrick Williams,77 - 60
2.0,Paul Millsap enters the game for Dwight Howard,77 - 60
2.0,Thabo Sefolosha enters the game for Dennis Schroder,77 - 60
0.0,End of the 2nd Quarter,77 - 60
11:34,Channing Frye makes 25-foot  three point jumper  (Kyrie Irving assists),80 - 60
11:17,Paul Millsap  misses Driving Floating Jump Shot,80 - 60
11:15,Paul Millsap offensive rebound,80 - 60
11:10,Kyrie Irving blocks Dwight Howard's  layup,80 - 60
11:07,Dwight Howard offensive rebound,80 - 60
11:06,Dwight Howard makes two point shot,80 - 62
10:49,Kyrie Irving makes 24-foot  three point jumper  (Iman Shumpert assists),83 - 62
10:34,Thabo Sefolosha  out of bounds lost ball turnover,83 - 62
10:19,Kyrie Irving  misses 26-foot three point pullup jump shot,83 - 62
10:18,Thabo Sefolosha defensive rebound,83 - 62
10:04,LeBron James shooting foul  (Paul Millsap draws the foul),83 - 62
10:04,Paul Millsap misses free throw 1 of 2,83 - 62
10:04,Hawks offensive team rebound,83 - 62
10:04,Paul Millsap makes free throw 2 of 2,83 - 63
9:41,Iman Shumpert  misses 25-foot three point jumper,83 - 63
9:38,Iman Shumpert offensive rebound,83 - 63
9:30,Dwight Howard shooting foul  (LeBron James draws the foul),83 - 63
9:30,LeBron James misses free throw 1 of 3,83 - 63
9:30,Cavaliers offensive team rebound,83 - 63
9:30,LeBron James makes free throw 2 of 3,84 - 63
9:30,LeBron James makes free throw 3 of 3,85 - 63
