time,play,score
12:00,Tristan Thompson vs. Hassan Whiteside (Luke Babbitt gains possession),0 - 0
11:40,Hassan Whiteside  misses two point shot,0 - 0
11:38,Deron Williams defensive rebound,0 - 0
11:23,James Jones  misses 24-foot three point jumper,0 - 0
11:22,Hassan Whiteside defensive rebound,0 - 0
11:14,Goran Dragic  bad pass (Iman Shumpert steals),0 - 0
11:06,Iman Shumpert makes 24-foot  three point jumper  (Deron Williams assists),3 - 0
10:37,Rodney McGruder  misses 24-foot three point jumper,3 - 0
10:37,Deron Williams defensive rebound,3 - 0
10:22,Kyle Korver makes 25-foot  three point jumper  (Deron Williams assists),6 - 0
10:07,Goran Dragic makes 25-foot  three point jumper,6 - 3
9:53,Tristan Thompson makes dunk (Kyle Korver assists),8 - 3
9:37,Dion Waiters  misses 16-foot jumper,8 - 3
9:36,Goran Dragic offensive rebound,8 - 3
9:26,Kyle Korver shooting foul  (Rodney McGruder draws the foul),8 - 3
9:26,Rodney McGruder misses free throw 1 of 3,8 - 3
9:26,Heat offensive team rebound,8 - 3
9:26,Rodney McGruder makes free throw 2 of 3,8 - 4
9:26,Rodney McGruder makes free throw 3 of 3,8 - 5
9:03,Dion Waiters personal foul  (Iman Shumpert draws the foul),8 - 5
8:56,Kyle Korver  misses 24-foot three point jumper,8 - 5
8:55,Hassan Whiteside defensive rebound,8 - 5
8:45,Dion Waiters  bad pass (James Jones steals),8 - 5
8:34,Luke Babbitt personal foul  (Deron Williams draws the foul),8 - 5
8:26,Tristan Thompson makes two point shot (Iman Shumpert assists),10 - 5
8:10,Luke Babbitt makes 26-foot  three point jumper  (Goran Dragic assists),10 - 8
7:47,Deron Williams makes 19-foot jumper (Tristan Thompson assists),12 - 8
7:26,Hassan Whiteside makes 10-foot two point shot,12 - 10
7:16,Deron Williams makes 9-foot jumper,14 - 10
6:58,Hassan Whiteside  misses 13-foot jumper,14 - 10
6:58,James Jones defensive rebound,14 - 10
6:46,Iman Shumpert makes 14-foot two point shot,16 - 10
6:31,Dion Waiters  misses 20-foot jumper,16 - 10
6:31,Kyle Korver defensive rebound,16 - 10
6:15,Tristan Thompson makes 4-foot two point shot,18 - 10
6:09,Heat Full timeout,18 - 10
6:09,Tyler Johnson enters the game for Luke Babbitt,18 - 10
6:09,James Johnson enters the game for Dion Waiters,18 - 10
6:01,Tyler Johnson makes 25-foot  three point jumper  (Goran Dragic assists),18 - 13
5:43,Kyle Korver makes 25-foot  three point jumper  (Deron Williams assists),21 - 13
5:35,Goran Dragic makes 15-foot two point shot,21 - 15
5:18,Tristan Thompson makes two point shot,23 - 15
5:11,Goran Dragic steps out of bounds turnover,23 - 15
5:11,Derrick Williams enters the game for James Jones,23 - 15
5:00,Kyle Korver  misses 19-foot jumper,23 - 15
4:58,Tyler Johnson defensive rebound,23 - 15
4:46,James Johnson makes 23-foot  three point jumper  (Rodney McGruder assists),23 - 18
4:31,Deron Williams  misses 17-foot two point jumper,23 - 18
4:30,Tyler Johnson defensive rebound,23 - 18
4:22,Goran Dragic makes 10-foot two point shot,23 - 20
4:22,Cavaliers Full timeout,23 - 20
4:22,Josh Richardson enters the game for Rodney McGruder,23 - 20
4:22,DeAndre Liggins enters the game for Deron Williams,23 - 20
4:09,James Johnson shooting foul  (Derrick Williams draws the foul),23 - 20
4:09,Derrick Williams makes free throw 1 of 2,24 - 20
4:09,Derrick Williams misses free throw 2 of 2,24 - 20
4:09,Hassan Whiteside defensive rebound,24 - 20
3:51,Tyler Johnson  misses 22-foot jumper,24 - 20
3:50,Derrick Williams defensive rebound,24 - 20
3:46,DeAndre Liggins offensive foul  (Tyler Johnson draws the foul),24 - 20
3:46,DeAndre Liggins  turnover,24 - 20
3:46,Richard Jefferson enters the game for Kyle Korver,24 - 20
3:27,James Johnson makes two point shot,24 - 22
3:14,Iman Shumpert makes 2-foot two point shot,26 - 22
3:14,Tyler Johnson defensive goaltending violation,26 - 22
3:00,Goran Dragic  misses driving layup,26 - 22
3:00,Hassan Whiteside offensive rebound,26 - 22
2:59,Hassan Whiteside makes tip shot,26 - 24
2:44,Iman Shumpert  misses 19-foot two point jumper,26 - 24
