time,play,score
12:00,Tristan Thompson vs. Cody Zeller (Kevin Love gains possession),0 - 0
11:44,Kevin Love  misses 17-foot jumper,0 - 0
11:42,Marvin Williams defensive rebound,0 - 0
11:26,Michael Kidd-Gilchrist makes 17-foot jumper (Cody Zeller assists),0 - 2
11:02,Kevin Love makes driving layup (LeBron James assists),2 - 2
10:49,Cody Zeller  lost ball turnover (LeBron James steals),2 - 2
10:44,LeBron James makes two point shot,4 - 2
10:33,Nicolas Batum steps out of bounds turnover,4 - 2
10:21,LeBron James makes 24-foot  three point jumper,7 - 2
10:06,Kemba Walker makes driving layup,7 - 4
9:45,LeBron James  misses 13-foot,7 - 4
9:44,Marvin Williams defensive rebound,7 - 4
9:40,Michael Kidd-Gilchrist makes two point shot (Nicolas Batum assists),7 - 6
9:26,Jordan McRae  misses 19-foot jumper,7 - 6
9:22,Kemba Walker defensive rebound,7 - 6
9:18,Michael Kidd-Gilchrist makes two point shot (Kemba Walker assists),7 - 8
9:03,DeAndre Liggins Out-of-Bounds Bad Pass Turnover,7 - 8
8:48,Marvin Williams  misses 25-foot three point jumper,7 - 8
8:47,Tristan Thompson defensive rebound,7 - 8
8:32,Cody Zeller blocks Kevin Love 's 1-foot  layup,7 - 8
8:30,Michael Kidd-Gilchrist defensive rebound,7 - 8
8:18,Nicolas Batum  misses driving layup,7 - 8
8:18,Kevin Love defensive rebound,7 - 8
8:11,Kevin Love  misses 14-foot jumper,7 - 8
8:11,Tristan Thompson offensive rebound,7 - 8
8:08,Marvin Williams blocks Tristan Thompson's  shot,7 - 8
8:07,LeBron James offensive rebound,7 - 8
8:03,Jordan McRae makes 25-foot  three point jumper  (DeAndre Liggins assists),10 - 8
7:52,Jordan McRae personal foul  (Nicolas Batum draws the foul),10 - 8
7:41,Nicolas Batum makes 10-foot jumper,10 - 10
7:28,LeBron James makes driving layup,12 - 10
7:05,Cody Zeller makes dunk (Nicolas Batum assists),12 - 12
6:41,Kevin Love  misses 25-foot three point jumper,12 - 12
6:39,Michael Kidd-Gilchrist defensive rebound,12 - 12
6:31,Michael Kidd-Gilchrist  misses 7-foot two point shot,12 - 12
6:30,Kevin Love defensive rebound,12 - 12
6:09,DeAndre Liggins makes layup (LeBron James assists),14 - 12
5:56,Kemba Walker  misses 24-foot three point jumper,14 - 12
