time,play,score
12:00,Tristan Thompson vs. Dirk Nowitzki (Kyrie Irving gains possession),0 - 0
11:47,Kyrie Irving  misses 25-foot three point jumper,0 - 0
11:45,Dirk Nowitzki defensive rebound,0 - 0
11:22,Wesley Matthews  misses 18-foot two point shot,0 - 0
11:21,Tristan Thompson defensive rebound,0 - 0
11:08,LeBron James makes 8-foot Driving Floating Jump Shot,2 - 0
11:08,Wesley Matthews shooting foul  (LeBron James draws the foul),2 - 0
11:08,LeBron James misses free throw 1 of 1,2 - 0
11:07,Wesley Matthews defensive rebound,2 - 0
10:49,Seth Curry makes 24-foot  three point jumper  (Wesley Matthews assists),2 - 3
10:27,Iman Shumpert  misses 14-foot jumper,2 - 3
10:27,Harrison Barnes defensive rebound,2 - 3
10:18,Harrison Barnes makes jumper (Seth Curry assists),2 - 5
9:52,Richard Jefferson  misses jumper,2 - 5
9:49,Seth Curry defensive rebound,2 - 5
9:45,Dirk Nowitzki  out of bounds lost ball turnover,2 - 5
9:33,Iman Shumpert makes  three point jumper  (LeBron James assists),5 - 5
9:11,Harrison Barnes makes 20-foot jumper (Wesley Matthews assists),5 - 7
8:53,Kyrie Irving  misses 19-foot two point jumper,5 - 7
8:52,Harrison Barnes defensive rebound,5 - 7
8:45,Tristan Thompson shooting foul  (Wesley Matthews draws the foul),5 - 7
8:45,Wesley Matthews makes free throw 1 of 2,5 - 8
8:45,Wesley Matthews makes free throw 2 of 2,5 - 9
8:33,LeBron James  misses 25-foot three point pullup jump shot,5 - 9
8:33,Dirk Nowitzki defensive rebound,5 - 9
8:22,Dirk Nowitzki makes 24-foot  three point jumper  (Yogi Ferrell assists),5 - 12
8:08,Kyrie Irving  misses two point jumper,5 - 12
8:07,Yogi Ferrell defensive rebound,5 - 12
8:00,Yogi Ferrell  misses 24-foot three point jumper,5 - 12
7:58,Tristan Thompson defensive rebound,5 - 12
7:43,Iman Shumpert  misses 23-foot three point jumper,5 - 12
7:43,Tristan Thompson offensive rebound,5 - 12
