time,play,score
12:00,Tristan Thompson vs. Myles Turner (Thaddeus Young gains possession),0 - 0
11:42,Thaddeus Young makes 1-foot two point shot (Jeff Teague assists),0 - 2
11:29,Iman Shumpert makes two point shot,2 - 2
11:10,Paul George makes two point shot,2 - 4
10:53,Kevin Love  misses,2 - 4
10:52,Myles Turner defensive rebound,2 - 4
10:45,Thaddeus Young  misses 3-foot jumper,2 - 4
10:45,Kevin Love defensive rebound,2 - 4
10:33,Kevin Love makes layup,4 - 4
10:33,Thaddeus Young shooting foul  (Kevin Love draws the foul),4 - 4
10:33,Kevin Love makes free throw 1 of 1,5 - 4
10:12,Thaddeus Young  misses layup,5 - 4
10:12,Kevin Love defensive rebound,5 - 4
9:56,Kyrie Irving makes two point shot,7 - 4
9:40,Myles Turner  misses 21-foot jumper,7 - 4
9:38,Richard Jefferson defensive rebound,7 - 4
9:27,Iman Shumpert  misses 16-foot two point jumper,7 - 4
9:27,Thaddeus Young defensive rebound,7 - 4
9:19,Paul George  misses 26-foot three point jumper,7 - 4
9:18,Kevin Love defensive rebound,7 - 4
9:03,Kevin Love  lost ball turnover (Paul George steals),7 - 4
8:57,Paul George  misses 26-foot three point jumper,7 - 4
8:57,Tristan Thompson defensive rebound,7 - 4
8:53,Iman Shumpert  bad pass,7 - 4
8:41,Myles Turner makes 10-foot jumper (Jeff Teague assists),7 - 6
8:22,Richard Jefferson  misses three point jumper,7 - 6
8:19,Kevin Love offensive rebound,7 - 6
8:17,Kyrie Irving  misses 26-foot three point jumper,7 - 6
8:15,Thaddeus Young defensive rebound,7 - 6
8:11,Thaddeus Young makes two point shot,7 - 8
7:48,Kevin Love  misses 8-foot hook shot,7 - 8
7:47,Monta Ellis defensive rebound,7 - 8
7:30,Myles Turner makes 13-foot two point shot (Paul George assists),7 - 10
7:07,Kyrie Irving  misses 27-foot three point jumper,7 - 10
7:07,Thaddeus Young defensive rebound,7 - 10
6:58,Jeff Teague makes 26-foot,7 - 13
6:56,Cavaliers Full timeout,7 - 13
6:46,Iman Shumpert  misses 20-foot two point jumper,7 - 13
6:45,Myles Turner defensive rebound,7 - 13
6:39,Kyrie Irving shooting foul  (Jeff Teague draws the foul),7 - 13
6:39,Jeff Teague makes free throw 1 of 2,7 - 14
6:39,Jeff Teague makes free throw 2 of 2,7 - 15
6:33,Monta Ellis personal foul  (Iman Shumpert draws the foul),7 - 15
6:20,Myles Turner blocks Kevin Love 's 4-foot  layup,7 - 15
6:20,Cavaliers offensive team rebound,7 - 15
6:18,Kevin Love makes 15-foot jumper (Richard Jefferson assists),9 - 15
5:58,Monta Ellis  misses 27-foot three point jumper,9 - 15
5:58,Tristan Thompson defensive rebound,9 - 15
5:41,Kevin Love makes 12-foot two point shot,11 - 15
5:24,Paul George  misses three point jumper,11 - 15
5:24,Tristan Thompson defensive rebound,11 - 15
5:15,Kevin Love  misses 25-foot three point jumper,11 - 15
5:13,Kyrie Irving offensive rebound,11 - 15
5:03,Richard Jefferson makes 13-foot two point shot,13 - 15
4:41,Kyrie Irving personal foul  (Paul George draws the foul),13 - 15
4:41,Kay Felder enters the game for Kyrie Irving,13 - 15
4:41,Jordan McRae enters the game for Richard Jefferson,13 - 15
4:41,Lavoy Allen enters the game for Thaddeus Young,13 - 15
4:41,Channing Frye enters the game for Tristan Thompson,13 - 15
4:37,Paul George  traveling,13 - 15
4:22,Channing Frye  misses 25-foot three point jumper,13 - 15
4:22,Paul George defensive rebound,13 - 15
4:11,Monta Ellis makes 25-foot  three point jumper  (Jeff Teague assists),13 - 18
3:53,Channing Frye  lost ball turnover (Paul George steals),13 - 18
3:47,Monta Ellis makes layup (Jeff Teague assists),13 - 20
3:36,Lavoy Allen personal foul  (Kevin Love draws the foul),13 - 20
3:36,C.J. Miles enters the game for Monta Ellis,13 - 20
3:36,Chris Andersen enters the game for Kevin Love,13 - 20
3:31,Kay Felder  misses 9-foot jumper,13 - 20
3:30,Chris Andersen offensive rebound,13 - 20
3:28,Chris Andersen  lost ball turnover (C.J. Miles steals),13 - 20
3:16,Lavoy Allen offensive foul  (Kay Felder draws the foul),13 - 20
3:16,Lavoy Allen  turnover,13 - 20
3:16,Al Jefferson enters the game for Myles Turner,13 - 20
3:09,Jordan McRae  misses 17-foot two point jumper,13 - 20
3:08,Paul George defensive rebound,13 - 20
2:55,Jeff Teague  misses 9-foot jumper,13 - 20
2:54,Kay Felder defensive rebound,13 - 20
2:54,Lavoy Allen loose ball foul  (Kay Felder draws the foul),13 - 20
2:54,Pacers Full timeout,13 - 20
2:54,Aaron Brooks enters the game for Jeff Teague,13 - 20
2:54,Thaddeus Young enters the game for Lavoy Allen,13 - 20
2:43,Jordan McRae  misses layup,13 - 20
2:41,Al Jefferson defensive rebound,13 - 20
2:25,Paul George makes   (Aaron Brooks assists),13 - 23
2:08,Kay Felder makes 19-foot two point shot,15 - 23
1:43,Aaron Brooks  misses 25-foot three point jumper,15 - 23
1:42,Chris Andersen defensive rebound,15 - 23
1:31,Jordan McRae makes two point shot,17 - 23
1:17,Paul George makes driving layup,17 - 25
1:04,Kay Felder  misses 17-foot Running Jumper,17 - 25
1:02,Chris Andersen  misses,17 - 25
1:02,Chris Andersen offensive rebound,17 - 25
1:02,Paul George defensive rebound,17 - 25
58.0,C.J. Miles makes  three point jumper  (Aaron Brooks assists),17 - 28
48.0,Chris Andersen  bad pass (Aaron Brooks steals),17 - 28
36.0,Paul George  bad pass,17 - 28
36.0,DeAndre Liggins enters the game for Iman Shumpert,17 - 28
21.0,Paul George shooting foul  (DeAndre Liggins draws the foul),17 - 28
21.0,DeAndre Liggins makes free throw 1 of 2,18 - 28
21.0,DeAndre Liggins makes free throw 2 of 2,19 - 28
1.0,Aaron Brooks makes 10-foot two point shot,19 - 30
0.0,Paul George blocks Jordan McRae 's 66-foot   three point jumper,19 - 30
0.0,Cavaliers offensive team rebound,19 - 30
0.0,End of the 1st Quarter,19 - 30
11:47,Kyrie Irving makes two point shot (Channing Frye assists),21 - 30
11:25,Channing Frye blocks Al Jefferson 's 1-foot  shot,21 - 30
11:23,Channing Frye defensive rebound,21 - 30
11:19,DeAndre Liggins offensive foul  (Monta Ellis draws the foul),21 - 30
11:19,DeAndre Liggins  turnover,21 - 30
11:03,Al Jefferson makes layup (Monta Ellis assists),21 - 32
10:49,Aaron Brooks kicked ball violation,21 - 32
10:49,Tristan Thompson enters the game for Chris Andersen,21 - 32
10:45,Al Jefferson defensive 3-seconds (Technical Foul),21 - 32
10:45,Kyrie Irving makes technical free throw,22 - 32
10:37,Kyrie Irving makes two point shot (Channing Frye assists),24 - 32
10:21,Aaron Brooks  misses 28-foot three point jumper,24 - 32
10:21,Monta Ellis offensive rebound,24 - 32
10:08,Al Jefferson  misses jumper,24 - 32
10:07,Thaddeus Young offensive rebound,24 - 32
10:06,Thaddeus Young makes two point shot,24 - 34
9:49,Channing Frye  lost ball turnover (Thaddeus Young steals),24 - 34
9:47,Channing Frye shooting foul  (Thaddeus Young draws the foul),24 - 34
9:47,Thaddeus Young misses free throw 1 of 2,24 - 34
9:47,Pacers offensive team rebound,24 - 34
9:47,Kevin Love enters the game for Channing Frye,24 - 34
9:47,Jeff Teague enters the game for Aaron Brooks,24 - 34
9:47,Thaddeus Young makes free throw 2 of 2,24 - 35
9:34,Kyrie Irving makes two point shot (Tristan Thompson assists),26 - 35
9:23,Thaddeus Young  misses jumper,26 - 35
9:22,DeAndre Liggins defensive rebound,26 - 35
9:11,Kyrie Irving  out of bounds lost ball turnover,26 - 35
8:56,C.J. Miles  misses 27-foot three point pullup jump shot,26 - 35
8:56,Kevin Love defensive rebound,26 - 35
8:38,Kevin Love makes 11-foot two point shot (Kyrie Irving assists),28 - 35
8:22,Al Jefferson  misses layup,28 - 35
8:21,Tristan Thompson defensive rebound,28 - 35
8:14,Jeff Teague shooting foul  (Tristan Thompson draws the foul),28 - 35
8:14,Official timeout,28 - 35
8:14,Myles Turner enters the game for Al Jefferson,28 - 35
8:14,Tristan Thompson misses free throw 1 of 2,28 - 35
8:14,Cavaliers offensive team rebound,28 - 35
8:14,Tristan Thompson misses free throw 2 of 2,28 - 35
8:12,Pacers defensive team rebound,28 - 35
7:56,C.J. Miles  misses 28-foot three point jumper,28 - 35
7:54,Tristan Thompson defensive rebound,28 - 35
7:46,Tristan Thompson makes dunk (Kyrie Irving assists),30 - 35
7:20,Jeff Teague  misses three point jumper,30 - 35
7:20,Tristan Thompson defensive rebound,30 - 35
7:11,Kevin Love makes 23-foot  three point jumper,33 - 35
6:50,Jeff Teague makes 26-foot  three point jumper  (Thaddeus Young assists),33 - 38
6:26,Kyrie Irving makes 20-foot two point shot,35 - 38
6:11,Jeff Teague makes 16-foot two point shot,35 - 40
5:48,Kevin Love  misses two point shot,35 - 40
5:48,Pacers defensive team rebound,35 - 40
5:48,Pacers Full timeout,35 - 40
5:48,Paul George enters the game for C.J. Miles,35 - 40
5:39,Myles Turner offensive Charge  (Kevin Love draws the foul),35 - 40
5:39,Myles Turner  turnover,35 - 40
5:30,Monta Ellis personal foul  (DeAndre Liggins draws the foul),35 - 40
5:26,Monta Ellis blocks Jordan McRae 's 1-foot  layup,35 - 40
5:26,Cavaliers offensive team rebound,35 - 40
5:24,Jordan McRae  misses jumper,35 - 40
5:22,Jeff Teague defensive rebound,35 - 40
5:18,Jeff Teague makes two point shot,35 - 42
5:07,Jordan McRae  misses 18-foot two point jumper,35 - 42
5:05,Paul George defensive rebound,35 - 42
4:56,Jordan McRae blocks Jeff Teague's  layup,35 - 42
4:54,Tristan Thompson defensive rebound,35 - 42
4:45,Myles Turner blocks Tristan Thompson's  layup,35 - 42
4:43,Thaddeus Young defensive rebound,35 - 42
4:39,Thaddeus Young makes two point shot,35 - 44
4:37,Cavaliers Full timeout,35 - 44
4:37,Iman Shumpert enters the game for Jordan McRae,35 - 44
4:37,Richard Jefferson enters the game for DeAndre Liggins,35 - 44
4:24,Kevin Love  misses 27-foot three point jumper,35 - 44
4:22,Paul George defensive rebound,35 - 44
4:05,Richard Jefferson blocks Myles Turner's  layup,35 - 44
4:03,Myles Turner offensive rebound,35 - 44
4:01,Myles Turner makes two point shot,35 - 46
3:46,Kyrie Irving makes 26-foot  three pointer,38 - 46
3:27,Paul George  misses 20-foot jumper,38 - 46
3:26,Richard Jefferson defensive rebound,38 - 46
3:19,Kyrie Irving  misses 27-foot three point jumper,38 - 46
3:18,Tristan Thompson offensive rebound,38 - 46
3:11,Kevin Love makes  three point jumper  (Kyrie Irving assists),41 - 46
2:58,DeAndre Liggins enters the game for Kyrie Irving,41 - 46
2:47,Jeff Teague possession lost ball turnover,41 - 46
2:33,Kevin Love makes 5-foot two point shot,43 - 46
2:08,Tristan Thompson blocks Myles Turner 's 11-foot  jumper,43 - 46
2:06,Tristan Thompson defensive rebound,43 - 46
1:45,Myles Turner blocks Richard Jefferson 's 3-foot  layup,43 - 46
1:44,Cavaliers offensive team rebound,43 - 46
1:40,Kevin Love  misses 26-foot three point jumper,43 - 46
1:39,Monta Ellis defensive rebound,43 - 46
1:39,Tristan Thompson personal foul  (Monta Ellis draws the foul),43 - 46
1:20,Paul George  misses 20-foot two point jumper,43 - 46
1:19,Kevin Love defensive rebound,43 - 46
1:02,DeAndre Liggins makes jumper (Iman Shumpert assists),45 - 46
49.0,Paul George makes jumper,45 - 48
37.0,Iman Shumpert  bad pass,45 - 48
37.0,Pacers 20 Sec. timeout,45 - 48
26.0,Myles Turner makes layup (Jeff Teague assists),45 - 50
26.0,Tristan Thompson shooting foul  (Myles Turner draws the foul),45 - 50
26.0,C.J. Miles enters the game for Monta Ellis,45 - 50
26.0,Channing Frye enters the game for Tristan Thompson,45 - 50
26.0,Myles Turner misses free throw 1 of 1,45 - 50
26.0,Kevin Love defensive rebound,45 - 50
4.0,Richard Jefferson  misses 21-foot jumper,45 - 50
4.0,Jeff Teague defensive rebound,45 - 50
2.0,Jeff Teague  lost ball turnover (DeAndre Liggins steals),45 - 50
2.0,Channing Frye  misses 37-foot three point jumper,45 - 50
0.0,Kevin Love  misses,45 - 50
0.0,Kevin Love offensive rebound,45 - 50
0.0,Cavaliers offensive team rebound,45 - 50
0.0,End of the 2nd Quarter,45 - 50
11:49,Iman Shumpert  misses,45 - 50
11:48,Monta Ellis defensive rebound,45 - 50
11:37,Tristan Thompson personal foul  (Myles Turner draws the foul),45 - 50
11:32,Iman Shumpert personal foul  (Jeff Teague draws the foul),45 - 50
11:21,Jeff Teague makes two point shot,45 - 52
11:02,Kyrie Irving  misses 18-foot two point jumper,45 - 52
11:02,Monta Ellis defensive rebound,45 - 52
10:45,Thaddeus Young  misses 11-foot two point shot,45 - 52
10:44,Tristan Thompson defensive rebound,45 - 52
10:36,Iman Shumpert  lost ball turnover (Monta Ellis steals),45 - 52
10:30,Paul George makes 2-foot layup (Monta Ellis assists),45 - 54
10:30,Cavaliers Full timeout,45 - 54
10:15,Kevin Love makes 28-foot  three point jumper  (Kyrie Irving assists),48 - 54
9:57,Thaddeus Young makes  three point jumper  (Monta Ellis assists),48 - 57
