time,play,score
12:00,Tristan Thompson vs. Clint Capela (Ryan Anderson gains possession),0 - 0
11:42,James Harden  misses 25-foot three point jumper,0 - 0
11:41,Clint Capela offensive rebound,0 - 0
11:36,Clint Capela makes two point shot,0 - 2
11:14,Iman Shumpert  misses 8-foot jumper,0 - 2
11:12,Clint Capela defensive rebound,0 - 2
11:06,James Harden  misses 26-foot three point jumper,0 - 2
11:06,James Harden offensive rebound,0 - 2
11:02,James Harden makes driving layup,0 - 4
10:42,Kyrie Irving makes two point shot,2 - 4
10:21,Trevor Ariza  misses 25-foot three point jumper,2 - 4
10:18,Richard Jefferson defensive rebound,2 - 4
10:07,Kyrie Irving makes 25-foot  three point jumper,5 - 4
9:56,Clint Capela  misses,5 - 4
9:56,Kyrie Irving defensive rebound,5 - 4
9:52,Kyrie Irving  lost ball turnover (Patrick Beverley steals),5 - 4
9:49,James Harden offensive Charge  (Richard Jefferson draws the foul),5 - 4
9:49,James Harden  turnover,5 - 4
9:30,Iman Shumpert  misses 24-foot three point jumper,5 - 4
9:29,Tristan Thompson offensive rebound,5 - 4
9:22,LeBron James makes 25-foot  three point jumper  (Kyrie Irving assists),8 - 4
9:07,Ryan Anderson makes 26-foot  three point jumper  (Trevor Ariza assists),8 - 7
8:51,LeBron James  misses 27-foot three point jumper,8 - 7
8:49,Clint Capela defensive rebound,8 - 7
8:41,Ryan Anderson makes 26-foot  three point jumper  (James Harden assists),8 - 10
8:41,Cavaliers Full timeout,8 - 10
8:25,LeBron James makes 6-foot two point shot,10 - 10
8:00,Patrick Beverley makes driving layup,10 - 12
7:56,LeBron James  bad pass,10 - 12
7:41,Richard Jefferson shooting foul  (James Harden draws the foul),10 - 12
7:41,James Harden misses free throw 1 of 2,10 - 12
7:41,Rockets offensive team rebound,10 - 12
7:41,James Harden makes free throw 2 of 2,10 - 13
7:26,Richard Jefferson makes dunk (Tristan Thompson assists),12 - 13
7:01,James Harden  misses three point jumper,12 - 13
7:01,Patrick Beverley offensive rebound,12 - 13
6:56,Trevor Ariza  misses 26-foot three point jumper,12 - 13
6:56,Clint Capela offensive rebound,12 - 13
6:56,Tristan Thompson personal foul  (Clint Capela draws the foul),12 - 13
6:46,Patrick Beverley  misses 25-foot three point jumper,12 - 13
6:45,Tristan Thompson defensive rebound,12 - 13
6:41,Patrick Beverley shooting foul  (LeBron James draws the foul),12 - 13
6:41,LeBron James makes free throw 1 of 2,13 - 13
6:41,LeBron James makes free throw 2 of 2,14 - 13
6:26,James Harden makes driving layup,14 - 15
6:05,Iman Shumpert  misses 24-foot three point jumper,14 - 15
6:03,James Harden defensive rebound,14 - 15
5:54,James Harden  misses driving layup,14 - 15
5:52,LeBron James defensive rebound,14 - 15
5:48,LeBron James offensive Charge  (Trevor Ariza draws the foul),14 - 15
5:48,LeBron James  turnover,14 - 15
5:48,Eric Gordon enters the game for Patrick Beverley,14 - 15
5:48,Nene  enters the game for Clint Capela,14 - 15
5:26,Ryan Anderson  misses 12-foot,14 - 15
5:24,Iman Shumpert defensive rebound,14 - 15
5:18,Richard Jefferson makes two point shot (Iman Shumpert assists),16 - 15
4:58,Trevor Ariza makes 26-foot  three point jumper  (James Harden assists),16 - 18
4:35,LeBron James  misses 25-foot three point jumper,16 - 18
4:33,Nene  defensive rebound,16 - 18
4:24,Iman Shumpert blocks Nene 's  layup,16 - 18
4:24,Tristan Thompson defensive rebound,16 - 18
4:16,Kyrie Irving makes two point shot,18 - 18
4:07,Trevor Ariza makes 25-foot  three point jumper  (James Harden assists),18 - 21
3:59,Cavaliers 20 Sec. timeout,18 - 21
3:59,Lou Williams enters the game for Ryan Anderson,18 - 21
3:59,J.R. Smith enters the game for Richard Jefferson,18 - 21
3:40,Kyrie Irving makes driving layup,20 - 21
3:19,James Harden makes 26-foot  three point jumper  (Eric Gordon assists),20 - 24
3:00,Kyrie Irving  misses 25-foot three point jumper,20 - 24
2:58,Lou Williams defensive rebound,20 - 24
2:42,Nene   misses two point shot,20 - 24
2:41,Iman Shumpert defensive rebound,20 - 24
2:34,LeBron James  lost ball turnover (Trevor Ariza steals),20 - 24
2:29,James Harden  misses 24-foot three point jumper,20 - 24
2:28,Kyrie Irving defensive rebound,20 - 24
2:14,J.R. Smith  misses three point jumper,20 - 24
2:14,Lou Williams defensive rebound,20 - 24
2:06,Iman Shumpert personal foul  (Lou Williams draws the foul),20 - 24
2:06,Rockets Full timeout,20 - 24
2:06,Sam Dekker enters the game for Trevor Ariza,20 - 24
2:06,Deron Williams enters the game for LeBron James,20 - 24
1:57,Eric Gordon makes 24-foot  three point jumper  (James Harden assists),20 - 27
1:43,Kyrie Irving  misses 20-foot two point jumper,20 - 27
1:42,Lou Williams defensive rebound,20 - 27
1:39,Kyrie Irving blocks Lou Williams 's 3-foot  layup,20 - 27
1:38,Lou Williams offensive rebound,20 - 27
1:35,Lou Williams  misses,20 - 27
1:35,Nene   misses,20 - 27
1:35,Nene  offensive rebound,20 - 27
1:35,Nene  offensive rebound,20 - 27
1:28,Iman Shumpert blocks Nene  's 2-foot  layup,20 - 27
1:25,Deron Williams defensive rebound,20 - 27
1:23,Sam Dekker personal foul  (Kyrie Irving draws the foul),20 - 27
1:07,Tristan Thompson makes dunk (Deron Williams assists),22 - 27
54.0,Eric Gordon makes 26-foot  three point jumper  (James Harden assists),22 - 30
37.0,Nene  blocks Iman Shumpert's  layup,22 - 30
37.0,Tristan Thompson offensive rebound,22 - 30
35.0,Tristan Thompson makes dunk,24 - 30
29.0,Derrick Williams enters the game for Kyrie Irving,24 - 30
20.0,Derrick Williams shooting foul  (James Harden draws the foul),24 - 30
20.0,James Harden makes free throw 1 of 3,24 - 31
20.0,James Harden makes free throw 2 of 3,24 - 32
20.0,LeBron James enters the game for Tristan Thompson,24 - 32
20.0,James Harden makes free throw 3 of 3,24 - 33
2.0,LeBron James makes driving layup,26 - 33
0.0,Lou Williams  misses 47-foot three point jumper,26 - 33
0.0,Rockets offensive team rebound,26 - 33
0.0,End of the 1st Quarter,26 - 33
11:48,Clint Capela blocks Deron Williams's  layup,26 - 33
11:48,Clint Capela defensive rebound,26 - 33
11:26,Patrick Beverley  misses two point shot,26 - 33
11:26,Channing Frye defensive rebound,26 - 33
11:17,Channing Frye makes 23-foot jumper (LeBron James assists),28 - 33
11:07,Patrick Beverley  misses driving layup,28 - 33
11:06,Channing Frye defensive rebound,28 - 33
11:00,LeBron James makes two point shot (Deron Williams assists),30 - 33
10:59,Rockets Full timeout,30 - 33
10:45,Eric Gordon  misses 23-foot three point jumper,30 - 33
10:45,Channing Frye defensive rebound,30 - 33
10:36,Deron Williams makes 25-foot  three pointer,33 - 33
10:18,Lou Williams  misses 15-foot two point shot,33 - 33
10:17,LeBron James defensive rebound,33 - 33
10:10,LeBron James makes driving layup,35 - 33
9:51,Eric Gordon makes 8-foot two point shot,35 - 35
9:23,Channing Frye  misses 25-foot three point jumper,35 - 35
9:23,Eric Gordon defensive rebound,35 - 35
9:11,Sam Dekker  misses 26-foot three point jumper,35 - 35
9:11,Deron Williams defensive rebound,35 - 35
9:04,Sam Dekker personal foul  (Channing Frye draws the foul),35 - 35
9:04,Trevor Ariza enters the game for Sam Dekker,35 - 35
9:00,Trevor Ariza personal foul  (LeBron James draws the foul),35 - 35
8:49,J.R. Smith  misses 26-foot three point jumper,35 - 35
8:48,Trevor Ariza defensive rebound,35 - 35
8:41,Lou Williams  misses 14-foot two point shot,35 - 35
8:41,Deron Williams defensive rebound,35 - 35
8:36,Derrick Williams makes dunk (J.R. Smith assists),37 - 35
8:27,Clint Capela makes layup (Patrick Beverley assists),37 - 37
8:07,Deron Williams  misses 26-foot three point pullup jump shot,37 - 37
8:06,Clint Capela defensive rebound,37 - 37
7:58,Trevor Ariza  misses 26-foot three point jumper,37 - 37
7:56,J.R. Smith defensive rebound,37 - 37
7:50,Deron Williams  lost ball turnover (Lou Williams steals),37 - 37
7:39,Trevor Ariza makes layup (Patrick Beverley assists),37 - 40
7:39,Derrick Williams shooting foul  (Trevor Ariza draws the foul),37 - 39
7:39,Richard Jefferson enters the game for J.R. Smith,37 - 39
7:39,Ryan Anderson enters the game for Lou Williams,37 - 39
7:39,Trevor Ariza makes free throw 1 of 1,37 - 40
7:24,Deron Williams  misses 20-foot jumper,37 - 40
7:24,Cavaliers offensive team rebound,37 - 40
7:24,Clint Capela loose ball foul  (Richard Jefferson draws the foul),37 - 40
7:24,Iman Shumpert enters the game for LeBron James,37 - 40
7:24,Kyrie Irving enters the game for Derrick Williams,37 - 40
7:18,Clint Capela shooting foul  (Iman Shumpert draws the foul),37 - 40
7:18,Iman Shumpert makes free throw 1 of 2,38 - 40
7:18,Iman Shumpert makes free throw 2 of 2,39 - 40
6:58,Patrick Beverley makes 25-foot  three point jumper  (Ryan Anderson assists),39 - 43
6:41,Richard Jefferson makes 24-foot  three point jumper  (Kyrie Irving assists),42 - 43
6:26,Eric Gordon  misses 26-foot three point jumper,42 - 43
6:24,Iman Shumpert defensive rebound,42 - 43
6:05,Richard Jefferson makes 25-foot  three point jumper  (Kyrie Irving assists),45 - 43
5:50,Ryan Anderson  misses 25-foot,45 - 43
5:48,Iman Shumpert defensive rebound,45 - 43
5:33,Kyrie Irving makes 25-foot  three point jumper  (Deron Williams assists),48 - 43
5:33,Rockets 20 Sec. timeout,48 - 43
5:33,Full timeout,48 - 43
5:33,Nene  enters the game for Clint Capela,48 - 43
5:33,James Harden enters the game for Patrick Beverley,48 - 43
5:18,Kyrie Irving blocks Trevor Ariza 's 4-foot  layup,48 - 43
5:18,Cavaliers defensive team rebound,48 - 43
