time,play,score
12:00,Tristan Thompson vs. Steven Adams (Victor Oladipo gains possession),0 - 0
11:49,Domantas Sabonis  out of bounds lost ball turnover,0 - 0
11:26,Kyrie Irving makes 7-foot two point shot,2 - 0
11:07,Steven Adams makes 5-foot two point shot,2 - 2
10:49,Tristan Thompson makes 6-foot two point shot (LeBron James assists),4 - 2
10:38,Jordan McRae shooting foul  (Victor Oladipo draws the foul),4 - 2
10:38,Victor Oladipo makes free throw 1 of 2,4 - 3
10:38,Victor Oladipo misses free throw 2 of 2,4 - 3
10:37,LeBron James defensive rebound,4 - 3
10:26,LeBron James makes 13-foot two point shot,6 - 3
10:15,Steven Adams  misses two point shot,6 - 3
10:15,Kevin Love defensive rebound,6 - 3
9:52,Tristan Thompson  misses 12-foot two point jumper,6 - 3
9:51,Victor Oladipo defensive rebound,6 - 3
9:44,Victor Oladipo makes 20-foot two point shot,6 - 5
9:25,Kevin Love  misses two point jumper,6 - 5
9:25,Thunder defensive team rebound,6 - 5
9:11,Domantas Sabonis  misses 14-foot jumper,6 - 5
9:11,Steven Adams offensive rebound,6 - 5
9:02,Victor Oladipo makes 16-foot two point shot,6 - 7
8:40,Kevin Love  misses 25-foot three point jumper,6 - 7
8:40,Russell Westbrook defensive rebound,6 - 7
8:34,Russell Westbrook  bad pass (Kyrie Irving steals),6 - 7
8:15,LeBron James  bad pass (Victor Oladipo steals),6 - 7
8:10,Domantas Sabonis makes two point shot (Victor Oladipo assists),6 - 9
7:50,Kevin Love  misses 18-foot two point jumper,6 - 9
7:50,Russell Westbrook defensive rebound,6 - 9
7:46,Victor Oladipo makes two point shot (Russell Westbrook assists),6 - 11
7:45,Cavaliers Full timeout,6 - 11
7:31,Jordan McRae makes 24-foot  three point jumper,9 - 11
7:16,Domantas Sabonis makes 17-foot jumper (Russell Westbrook assists),9 - 13
6:54,LeBron James  misses 15-foot,9 - 13
6:52,Russell Westbrook defensive rebound,9 - 13
6:45,Tristan Thompson shooting foul  (Russell Westbrook draws the foul),9 - 13
6:45,Russell Westbrook makes free throw 1 of 2,9 - 14
6:45,Russell Westbrook makes free throw 2 of 2,9 - 15
6:31,LeBron James  misses 23-foot three point jumper,9 - 15
6:31,Steven Adams defensive rebound,9 - 15
6:18,Domantas Sabonis  misses 4-foot hook shot,9 - 15
6:18,Tristan Thompson defensive rebound,9 - 15
6:03,LeBron James makes 7-foot two point shot,11 - 15
6:03,Andre Roberson shooting foul  (LeBron James draws the foul),11 - 15
6:03,LeBron James misses free throw 1 of 1,11 - 15
6:01,Russell Westbrook defensive rebound,11 - 15
5:56,Andre Roberson makes two point shot (Russell Westbrook assists),11 - 17
5:39,Kevin Love  misses 4-foot two point shot,11 - 17
5:39,Russell Westbrook defensive rebound,11 - 17
5:33,Russell Westbrook  bad pass (Kevin Love steals),11 - 17
5:28,LeBron James makes two point shot,13 - 17
5:11,Russell Westbrook  misses 25-foot three point jumper,13 - 17
5:11,Kevin Love defensive rebound,13 - 17
4:54,Tristan Thompson  misses 4-foot jumper,13 - 17
4:54,Russell Westbrook defensive rebound,13 - 17
4:48,Kyrie Irving blocks Russell Westbrook 's 2-foot  shot,13 - 17
4:48,Thunder offensive team rebound,13 - 17
4:48,Anthony Morrow enters the game for Victor Oladipo,13 - 17
4:48,Kyle Korver enters the game for LeBron James,13 - 17
4:48,Richard Jefferson enters the game for Jordan McRae,13 - 17
4:43,Steven Adams offensive foul  (Tristan Thompson draws the foul),13 - 17
4:43,Steven Adams  turnover,13 - 17
4:33,Kevin Love  misses 19-foot jumper,13 - 17
4:33,Steven Adams defensive rebound,13 - 17
4:24,Domantas Sabonis  misses layup,13 - 17
4:22,Richard Jefferson defensive rebound,13 - 17
4:15,Kyrie Irving makes 25-foot  three pointer,16 - 17
4:09,Andre Roberson makes layup (Russell Westbrook assists),16 - 19
4:09,Richard Jefferson shooting foul  (Andre Roberson draws the foul),16 - 19
4:09,Andre Roberson misses free throw 1 of 1,16 - 19
4:07,Kevin Love defensive rebound,16 - 19
3:53,Kyle Korver Out-of-Bounds Bad Pass Turnover,16 - 19
3:53,Alex Abrines enters the game for Andre Roberson,16 - 19
3:44,Russell Westbrook  misses 13-foot step back jumpshot,16 - 19
3:44,Cavaliers defensive team rebound,16 - 19
3:44,Russell Westbrook loose ball foul  (Kevin Love draws the foul),16 - 19
3:31,Kevin Love makes 19-foot two point shot (Kyrie Irving assists),18 - 19
