time,play,score
12:00,Tristan Thompson vs. Mason Plumlee,0 - 0
11:41,Mason Plumlee blocks Kevin Love's  shot,0 - 0
11:40,Al-Farouq Aminu defensive rebound,0 - 0
11:33,Al-Farouq Aminu  out of bounds lost ball turnover,0 - 0
11:18,Kevin Love  misses three point jumper,0 - 0
11:15,Trail Blazers defensive team rebound,0 - 0
11:02,Damian Lillard makes 25-foot  three pointer,0 - 3
10:49,Tristan Thompson makes two point shot,2 - 3
10:30,Mason Plumlee  misses,2 - 3
10:30,Tristan Thompson defensive rebound,2 - 3
10:23,Kevin Love  misses three point jumper,2 - 3
10:22,Kyrie Irving offensive rebound,2 - 3
10:18,Kevin Love makes 25-foot  three point jumper  (Kyrie Irving assists),5 - 3
10:07,C.J. McCollum makes 10-foot Driving Floating Jump Shot,5 - 5
9:52,LeBron James makes 14-foot two point shot,7 - 5
9:47,C.J. McCollum  misses Running Pullup Jump Shot,7 - 5
9:45,LeBron James defensive rebound,7 - 5
9:33,LeBron James  misses 5-foot,7 - 5
9:33,Mason Plumlee defensive rebound,7 - 5
9:17,Al-Farouq Aminu makes layup (Damian Lillard assists),7 - 7
8:56,DeAndre Liggins  misses three point jumper,7 - 7
8:55,Al-Farouq Aminu defensive rebound,7 - 7
8:47,Al-Farouq Aminu makes 4-foot two point shot,7 - 9
8:22,Kyrie Irving  misses 20-foot jumper,7 - 9
8:22,C.J. McCollum defensive rebound,7 - 9
8:11,Al-Farouq Aminu makes Driving Floating Jump Shot (C.J. McCollum assists),7 - 11
7:50,Kevin Love makes 16-foot two point shot,9 - 11
7:39,DeAndre Liggins blocks Damian Lillard's  shot,9 - 11
7:39,Trail Blazers offensive team rebound,9 - 11
7:30,Al-Farouq Aminu makes two point shot (Damian Lillard assists),9 - 13
7:11,Kyrie Irving  misses 19-foot two point jumper,9 - 13
7:09,Cavaliers offensive team rebound,9 - 13
7:03,Mason Plumlee blocks Kevin Love's  layup,9 - 13
7:03,Damian Lillard defensive rebound,9 - 13
6:58,Tristan Thompson blocks Maurice Harkless 's 2-foot  layup,9 - 13
6:58,Maurice Harkless offensive rebound,9 - 13
6:56,Maurice Harkless  misses driving layup,9 - 13
6:54,LeBron James defensive rebound,9 - 13
6:48,Kevin Love makes  three point jumper  (LeBron James assists),12 - 13
6:30,Maurice Harkless makes layup (Mason Plumlee assists),12 - 15
6:24,Kyrie Irving  out of bounds lost ball turnover,12 - 15
6:05,Al-Farouq Aminu  misses 11-foot,12 - 15
6:05,Tristan Thompson defensive rebound,12 - 15
6:03,Tristan Thompson  lost ball turnover (Mason Plumlee steals),12 - 15
5:48,LeBron James blocks Mason Plumlee 's 1-foot  layup,12 - 15
5:47,Kevin Love defensive rebound,12 - 15
5:47,Al-Farouq Aminu shooting foul  (LeBron James draws the foul),13 - 15
5:47,Trail Blazers Full timeout,12 - 15
5:47,LeBron James makes free throw 1 of 2,14 - 15
5:47,LeBron James makes free throw 2 of 2,14 - 15
5:31,C.J. McCollum  misses 25-foot three point jumper,14 - 15
5:31,LeBron James defensive rebound,14 - 15
5:28,C.J. McCollum shooting foul  (LeBron James draws the foul),14 - 15
5:28,LeBron James makes free throw 1 of 2,15 - 15
5:28,Evan Turner enters the game for Maurice Harkless,15 - 15
5:28,Allen Crabbe enters the game for C.J. McCollum,15 - 15
5:28,LeBron James makes free throw 2 of 2,16 - 15
5:13,Mason Plumlee  misses 18-foot jumper,16 - 15
5:13,Kevin Love defensive rebound,16 - 15
5:03,Kyle Korver enters the game for DeAndre Liggins,16 - 15
4:52,LeBron James  misses 16-foot,16 - 15
4:52,Tristan Thompson offensive rebound,16 - 15
4:46,Kyrie Irving makes 5-foot Driving Floating Jump Shot (LeBron James assists),18 - 15
4:30,Allen Crabbe makes 12-foot two point shot (Damian Lillard assists),18 - 17
4:18,Kevin Love  misses 23-foot three point jumper,18 - 17
4:16,Allen Crabbe defensive rebound,18 - 17
4:01,Damian Lillard makes layup (Mason Plumlee assists),18 - 19
3:46,Kyrie Irving Out-of-Bounds Bad Pass Turnover,18 - 19
3:46,Ed Davis enters the game for Mason Plumlee,18 - 19
3:33,Al-Farouq Aminu steps out of bounds turnover,18 - 19
3:21,Kyle Korver  misses 20-foot jumper,18 - 19
3:20,Al-Farouq Aminu defensive rebound,18 - 19
3:06,Evan Turner makes 14-foot two point shot,18 - 21
2:53,Kyrie Irving makes driving layup,20 - 21
2:30,Allen Crabbe makes 5-foot two point shot (Ed Davis assists),20 - 23
2:20,Tristan Thompson  misses 3-foot jumper,20 - 23
2:17,Ed Davis defensive rebound,20 - 23
2:10,Kyle Korver shooting foul  (Allen Crabbe draws the foul),20 - 23
2:10,Cavaliers Full timeout,20 - 23
2:10,Richard Jefferson enters the game for LeBron James,20 - 23
2:10,Kay Felder enters the game for Kyrie Irving,20 - 23
2:10,Allen Crabbe misses free throw 1 of 3,20 - 23
2:10,Trail Blazers offensive team rebound,20 - 23
2:10,Allen Crabbe makes free throw 2 of 3,20 - 24
2:10,Allen Crabbe makes free throw 3 of 3,20 - 25
1:52,Tristan Thompson offensive foul  (Damian Lillard draws the foul),20 - 25
1:52,Tristan Thompson  turnover,20 - 25
1:34,Damian Lillard  misses 27-foot three point pullup jump shot,20 - 25
1:32,Kyle Korver defensive rebound,20 - 25
1:21,Cavaliers 20 Sec. timeout,20 - 25
1:21,Channing Frye enters the game for Kevin Love,20 - 25
1:21,C.J. McCollum enters the game for Damian Lillard,20 - 25
1:10,C.J. McCollum blocks Kay Felder 's 7-foot  Driving Floating Jump Shot,20 - 25
1:08,Channing Frye offensive rebound,20 - 25
1:08,shot clock turnover,20 - 25
50.0,Evan Turner  misses 13-foot two point jumper,20 - 25
50.0,Ed Davis offensive rebound,20 - 25
49.0,Ed Davis makes 4-foot two point shot,20 - 27
39.0,Kay Felder  misses 9-foot two point jumper,20 - 27
39.0,Evan Turner defensive rebound,20 - 27
29.0,C.J. McCollum  misses 22-foot two point jumper,20 - 27
29.0,Trail Blazers offensive team rebound,20 - 27
29.0,Channing Frye loose ball foul  (Ed Davis draws the foul),20 - 27
29.0,Maurice Harkless enters the game for Al-Farouq Aminu,20 - 27
20.0,Evan Turner  bad pass (Kay Felder steals),20 - 27
1.0,Kay Felder  misses 19-foot step back jumpshot,20 - 27
1.0,C.J. McCollum defensive rebound,20 - 27
0.0,C.J. McCollum  misses 49-foot three point jumper,20 - 27
0.0,Trail Blazers offensive team rebound,20 - 27
0.0,End of the 1st Quarter,20 - 27
11:48,Ed Davis offensive foul  (Kyle Korver draws the foul),20 - 27
11:48,Ed Davis  turnover,20 - 27
11:33,Allen Crabbe personal foul  (Channing Frye draws the foul),20 - 27
11:29,Channing Frye makes 24-foot  three point jumper  (Iman Shumpert assists),23 - 27
11:07,Evan Turner  misses 15-foot two point jumper,23 - 27
11:07,Iman Shumpert defensive rebound,23 - 27
10:52,Channing Frye  misses 6-foot,23 - 27
10:51,Trail Blazers defensive team rebound,23 - 27
10:33,C.J. McCollum makes 6-foot jumper (Evan Turner assists),23 - 29
10:22,C.J. McCollum shooting foul  (Kay Felder draws the foul),23 - 29
10:22,Kay Felder makes free throw 1 of 2,24 - 29
10:22,Kay Felder misses free throw 2 of 2,24 - 29
10:22,Maurice Harkless defensive rebound,24 - 29
10:11,C.J. McCollum  misses 19-foot two point jumper,24 - 29
10:10,Iman Shumpert defensive rebound,24 - 29
10:00,Channing Frye  misses Driving Floating Jump Shot,24 - 29
9:57,Allen Crabbe defensive rebound,24 - 29
9:34,Maurice Harkless  misses 7-foot jumper,24 - 29
9:33,Maurice Harkless offensive rebound,24 - 29
9:30,Allen Crabbe  misses 24-foot three point jumper,24 - 29
9:30,Maurice Harkless offensive rebound,24 - 29
9:26,Channing Frye blocks Maurice Harkless 's 5-foot  jumper,24 - 29
9:25,Richard Jefferson defensive rebound,24 - 29
9:18,Kyle Korver  misses 25-foot three point jumper,24 - 29
9:15,Allen Crabbe defensive rebound,24 - 29
9:03,C.J. McCollum makes 6-foot two point shot,24 - 31
8:52,Channing Frye offensive foul  (Maurice Harkless draws the foul),24 - 31
8:52,Channing Frye  turnover,24 - 31
8:52,Official timeout,24 - 31
8:41,Allen Crabbe makes jumper (Ed Davis assists),24 - 33
8:41,Kyle Korver shooting foul  (Allen Crabbe draws the foul),24 - 33
8:41,Kyrie Irving enters the game for Kay Felder,24 - 33
8:41,LeBron James enters the game for Richard Jefferson,24 - 33
8:41,Allen Crabbe makes free throw 1 of 1,24 - 34
8:22,Maurice Harkless shooting foul  (Iman Shumpert draws the foul),24 - 34
8:22,Iman Shumpert misses free throw 1 of 2,24 - 34
8:22,Cavaliers offensive team rebound,24 - 34
8:22,Kevin Love enters the game for Channing Frye,24 - 34
8:22,Iman Shumpert misses free throw 2 of 2,24 - 34
8:21,Ed Davis defensive rebound,24 - 34
8:03,Ed Davis  misses 6-foot two point shot,24 - 34
8:02,Kevin Love defensive rebound,24 - 34
7:48,Kevin Love  misses 6-foot,24 - 34
7:46,Maurice Harkless defensive rebound,24 - 34
7:37,Maurice Harkless  misses 24-foot three point jumper,24 - 34
7:35,Kevin Love defensive rebound,24 - 34
7:28,Kyrie Irving  misses,24 - 34
7:28,Ed Davis defensive rebound,24 - 34
7:20,C.J. McCollum  misses 23-foot three point jumper,24 - 34
7:20,Kevin Love defensive rebound,24 - 34
7:05,C.J. McCollum blocks Kevin Love 's 2-foot  layup,24 - 34
7:05,Evan Turner defensive rebound,24 - 34
7:01,Allen Crabbe makes 25-foot Running Pullup Jump Shot (Evan Turner assists),24 - 37
6:39,Ed Davis shooting foul  (Kevin Love draws the foul),24 - 37
6:39,Damian Lillard enters the game for C.J. McCollum,24 - 37
6:39,Al-Farouq Aminu enters the game for Ed Davis,24 - 37
6:39,DeAndre Liggins enters the game for Kyle Korver,24 - 37
6:39,Kevin Love makes free throw 1 of 2,25 - 37
6:39,Kevin Love makes free throw 2 of 2,26 - 37
6:20,Damian Lillard  misses 28-foot three point jumper,26 - 37
6:20,Kevin Love defensive rebound,26 - 37
6:16,LeBron James offensive Charge  (Maurice Harkless draws the foul),26 - 37
6:16,LeBron James  turnover,26 - 37
6:03,Allen Crabbe makes 26-foot  three point jumper  (Evan Turner assists),26 - 40
5:45,Al-Farouq Aminu blocks Kyrie Irving 's 2-foot  layup,26 - 40
5:43,Al-Farouq Aminu defensive rebound,26 - 40
5:39,Maurice Harkless makes two point shot (Evan Turner assists),26 - 42
5:39,Cavaliers Full timeout,26 - 42
5:28,Maurice Harkless personal foul  (LeBron James draws the foul),26 - 42
5:28,LeBron James makes free throw 1 of 2,27 - 42
5:28,Tristan Thompson enters the game for Iman Shumpert,27 - 42
5:28,Mason Plumlee enters the game for Evan Turner,27 - 42
5:28,LeBron James makes free throw 2 of 2,28 - 42
5:20,DeAndre Liggins personal foul  (Damian Lillard draws the foul),28 - 42
5:15,Damian Lillard  misses 9-foot two point jumper,28 - 42
5:15,LeBron James defensive rebound,28 - 42
5:09,LeBron James makes two point shot,30 - 42
4:43,Allen Crabbe makes 22-foot  three point jumper  (Maurice Harkless assists),30 - 45
4:26,Maurice Harkless shooting foul  (Kevin Love draws the foul),30 - 45
4:26,Kevin Love makes free throw 1 of 2,31 - 45
4:26,Evan Turner enters the game for Maurice Harkless,31 - 45
4:26,Kevin Love makes free throw 2 of 2,32 - 45
4:09,Damian Lillard  lost ball turnover (DeAndre Liggins steals),32 - 45
4:00,Kevin Love  misses 24-foot three point jumper,32 - 45
3:59,Allen Crabbe defensive rebound,32 - 45
3:51,DeAndre Liggins shooting foul  (Mason Plumlee draws the foul),32 - 45
3:51,Mason Plumlee misses free throw 1 of 2,32 - 45
3:51,Trail Blazers offensive team rebound,32 - 45
3:51,Mason Plumlee misses free throw 2 of 2,32 - 45
3:50,Tristan Thompson defensive rebound,32 - 45
3:35,Evan Turner shooting foul  (LeBron James draws the foul),32 - 45
3:35,LeBron James makes free throw 1 of 3,33 - 45
3:35,LeBron James makes free throw 2 of 3,34 - 45
3:35,C.J. McCollum enters the game for Allen Crabbe,34 - 45
3:35,LeBron James misses free throw 3 of 3,34 - 45
3:34,Al-Farouq Aminu defensive rebound,34 - 45
3:23,Damian Lillard  misses 10-foot two point shot,34 - 45
3:23,Tristan Thompson defensive rebound,34 - 45
3:12,Kyrie Irving  misses driving layup,34 - 45
3:11,Tristan Thompson makes tip shot,36 - 45
3:11,Tristan Thompson offensive rebound,34 - 45
3:11,Trail Blazers Full timeout,36 - 45
2:55,Damian Lillard  misses driving layup,36 - 45
2:55,LeBron James defensive rebound,36 - 45
2:47,Kevin Love makes 24-foot  three point jumper  (LeBron James assists),39 - 45
2:23,Mason Plumlee makes 12-foot jumper,39 - 47
2:12,LeBron James  bad pass (Evan Turner steals),39 - 47
2:06,Evan Turner  lost ball turnover (Kyrie Irving steals),39 - 47
2:05,Cavaliers Full timeout,39 - 47
1:47,DeAndre Liggins  misses 24-foot three point jumper,39 - 47
1:46,Tristan Thompson offensive rebound,39 - 47
1:44,Kevin Love makes two point shot (Tristan Thompson assists),41 - 47
1:19,Al-Farouq Aminu  misses 17-foot two point jumper,41 - 47
1:17,LeBron James defensive rebound,41 - 47
1:08,Evan Turner blocks LeBron James 's 1-foot  layup,41 - 47
1:07,LeBron James offensive rebound,41 - 47
1:00,LeBron James  misses three point jumper,41 - 47
59.0,Evan Turner defensive rebound,41 - 47
57.0,Mason Plumlee makes two point shot (C.J. McCollum assists),41 - 49
44.0,C.J. McCollum blocks Kyrie Irving's  layup,41 - 49
44.0,Cavaliers offensive team rebound,41 - 49
44.0,Iman Shumpert enters the game for DeAndre Liggins,41 - 49
29.0,Kevin Love  misses 25-foot three point jumper,41 - 49
28.0,Evan Turner defensive rebound,41 - 49
23.0,Iman Shumpert personal foul  (Damian Lillard draws the foul),41 - 49
8.0,C.J. McCollum  misses 21-foot two point jumper,41 - 49
8.0,Tristan Thompson defensive rebound,41 - 49
