time,play,score
12:00,Amir Johnson vs. Robin Lopez (Al Horford gains possession),0 - 0
11:45,Jae Crowder  misses 24-foot three point jumper,0 - 0
11:42,Taj Gibson defensive rebound,0 - 0
11:30,Robin Lopez  misses layup,0 - 0
11:29,Jae Crowder defensive rebound,0 - 0
11:17,Isaiah Thomas  misses 26-foot three point jumper,0 - 0
11:15,Michael Carter-Williams defensive rebound,0 - 0
11:10,Michael Carter-Williams makes jumper (Jimmy Butler assists),0 - 2
10:52,Al Horford makes two point shot,2 - 2
10:27,Jerian Grant  misses 25-foot three point jumper,2 - 2
10:26,Celtics defensive team rebound,2 - 2
10:26,Robin Lopez loose ball foul  (Amir Johnson draws the foul),2 - 2
10:12,Marcus Smart  misses 21-foot jumper,2 - 2
10:11,Michael Carter-Williams defensive rebound,2 - 2
10:04,Amir Johnson blocks Michael Carter-Williams 's 3-foot  layup,2 - 2
10:03,Amir Johnson defensive rebound,2 - 2
9:52,Amir Johnson makes layup (Isaiah Thomas assists),4 - 2
9:33,Amir Johnson blocks Jimmy Butler 's 2-foot  layup,4 - 2
9:33,Bulls offensive team rebound,4 - 2
9:29,Taj Gibson makes 10-foot two point shot (Jimmy Butler assists),4 - 4
9:15,Al Horford makes 20-foot jumper (Isaiah Thomas assists),6 - 4
8:59,Robin Lopez  out of bounds lost ball turnover,6 - 4
8:56,Amir Johnson makes driving dunk (Marcus Smart assists),8 - 4
8:56,Bulls Full timeout,8 - 4
8:38,Al Horford defensive 3-seconds (Technical Foul),8 - 4
8:38,Jimmy Butler makes technical free throw,8 - 5
8:26,Taj Gibson makes 7-foot two point shot (Jimmy Butler assists),8 - 7
8:04,Amir Johnson makes dunk (Isaiah Thomas assists),10 - 7
7:41,Jimmy Butler  misses 18-foot two point shot,10 - 7
7:41,Isaiah Thomas defensive rebound,10 - 7
7:24,Al Horford makes 24-foot  three point jumper,13 - 7
7:16,Marcus Smart personal foul  (Michael Carter-Williams draws the foul),13 - 7
7:03,Michael Carter-Williams  misses 12-foot two point shot,13 - 7
7:01,Al Horford defensive rebound,13 - 7
6:58,Jae Crowder  out of bounds lost ball turnover,13 - 7
6:35,Taj Gibson  lost ball turnover (Amir Johnson steals),13 - 7
6:24,Isaiah Thomas makes 10-foot two point shot,15 - 7
6:11,Michael Carter-Williams  misses driving layup,15 - 9
6:11,Robin Lopez makes tip shot,15 - 9
6:11,Robin Lopez offensive rebound,15 - 7
5:58,Amir Johnson makes two point shot (Isaiah Thomas assists),17 - 9
5:37,Jimmy Butler makes 19-foot jumper (Robin Lopez assists),17 - 11
5:18,Amir Johnson makes two point shot,19 - 11
