time,play,score
12:00,Amir Johnson vs. Hassan Whiteside (Al Horford gains possession),0 - 0
11:42,Al Horford  misses 10-foot hook shot,0 - 0
11:41,Celtics offensive team rebound,0 - 0
11:41,Rodney McGruder loose ball foul  (Amir Johnson draws the foul),0 - 0
11:27,Avery Bradley makes 17-foot two point shot,2 - 0
11:00,Hassan Whiteside makes 9-foot two point shot,2 - 2
10:45,Al Horford  misses 26-foot three point jumper,2 - 2
10:45,Goran Dragic defensive rebound,2 - 2
10:33,Hassan Whiteside makes 5-foot two point shot (Josh McRoberts assists),2 - 4
10:15,Jae Crowder  misses 6-foot jump bank shot,2 - 4
10:14,Amir Johnson offensive rebound,2 - 4
10:10,Hassan Whiteside blocks Isaiah Thomas 's 9-foot  jumper,2 - 4
10:08,Isaiah Thomas offensive rebound,2 - 4
10:07,shot clock turnover,2 - 4
9:49,Josh McRoberts  lost ball turnover (Al Horford steals),2 - 4
9:41,Avery Bradley makes 25-foot  three point jumper,5 - 4
9:18,Josh McRoberts makes 19-foot jumper (Rodney McGruder assists),5 - 6
8:56,Avery Bradley  misses 25-foot three point jumper,5 - 6
8:56,Goran Dragic defensive rebound,5 - 6
8:48,Goran Dragic makes two point shot,5 - 8
8:34,Isaiah Thomas makes 17-foot two point shot,7 - 8
8:21,Goran Dragic  misses 16-foot jumper,7 - 8
8:19,Avery Bradley defensive rebound,7 - 8
8:04,Isaiah Thomas makes 2-foot two point shot (Amir Johnson assists),9 - 8
7:46,Hassan Whiteside  misses 12-foot jumper,9 - 8
7:45,Celtics defensive team rebound,9 - 8
7:39,Amir Johnson makes two point shot (Isaiah Thomas assists),11 - 8
7:16,Amir Johnson shooting foul  (Hassan Whiteside draws the foul),11 - 8
7:16,Hassan Whiteside makes free throw 1 of 2,11 - 9
7:16,Hassan Whiteside makes free throw 2 of 2,11 - 10
7:01,Isaiah Thomas makes 23-foot  three point jumper  (Al Horford assists),14 - 10
6:43,Goran Dragic  bad pass (Jae Crowder steals),14 - 10
6:30,Jae Crowder makes 25-foot  three point jumper  (Isaiah Thomas assists),17 - 10
6:28,Heat Full timeout,17 - 10
6:13,Goran Dragic  misses 17-foot jumper,17 - 10
6:11,Hassan Whiteside offensive rebound,17 - 10
