time,play,score
12:00,Amir Johnson vs. Rudy Gobert (Isaiah Thomas gains possession),0 - 0
11:41,Marcus Smart makes 6-foot Driving Floating Jump Shot,2 - 0
11:18,George Hill  misses 24-foot three point jumper,2 - 0
11:18,Al Horford defensive rebound,2 - 0
11:10,Isaiah Thomas makes 24-foot  three point jumper,5 - 0
10:55,Al Horford defensive 3-seconds (Technical Foul),5 - 0
10:55,Gordon Hayward makes technical free throw,5 - 1
10:45,Al Horford blocks Rudy Gobert 's 2-foot  layup,5 - 1
10:45,Marcus Smart defensive rebound,5 - 1
10:40,Amir Johnson makes dunk (Marcus Smart assists),7 - 1
10:12,shot clock turnover,7 - 1
9:52,Amir Johnson  out of bounds lost ball turnover,7 - 1
9:40,Jaylen Brown personal foul  (Gordon Hayward draws the foul),7 - 1
9:27,Joe Ingles  misses 12-foot two point shot,7 - 1
9:26,Derrick Favors makes tip shot,7 - 3
9:26,Derrick Favors offensive rebound,7 - 1
9:10,Marcus Smart  misses 24-foot three point jumper,7 - 3
9:10,Rudy Gobert defensive rebound,7 - 3
9:03,George Hill makes 23-foot jumper,7 - 5
9:03,Isaiah Thomas away from play foul  (Rudy Gobert draws the foul),7 - 6
9:03,Rudy Gobert makes free throw 1 of 1,7 - 6
8:51,Amir Johnson makes layup (Isaiah Thomas assists),9 - 6
8:41,Gordon Hayward makes 25-foot  three point jumper,9 - 9
8:29,Amir Johnson Out-of-Bounds Bad Pass Turnover,9 - 9
8:07,Joe Ingles  bad pass (Amir Johnson steals),9 - 9
8:00,Jaylen Brown makes two point shot (Amir Johnson assists),11 - 9
7:48,Rudy Gobert  out of bounds lost ball turnover,11 - 9
7:37,George Hill personal foul  (Isaiah Thomas draws the foul),11 - 9
7:31,Isaiah Thomas  misses jumper,11 - 9
7:31,Rudy Gobert defensive rebound,11 - 9
7:18,Jaylen Brown personal foul  (Gordon Hayward draws the foul),11 - 9
7:09,Derrick Favors makes 16-foot jumper (Gordon Hayward assists),11 - 11
6:58,Marcus Smart offensive foul  (George Hill draws the foul),11 - 11
6:58,Marcus Smart  turnover,11 - 11
6:58,Trey Lyles enters the game for Derrick Favors,11 - 11
6:39,Gordon Hayward  misses 9-foot two point jumper,11 - 11
6:39,Jaylen Brown defensive rebound,11 - 11
6:30,Isaiah Thomas makes 9-foot two point shot,13 - 11
6:13,Joe Ingles  misses 24-foot three point jumper,13 - 11
6:13,Al Horford defensive rebound,13 - 11
6:03,Marcus Smart makes 10-foot two point shot,15 - 11
5:58,Jazz Full timeout,15 - 11
5:58,Dante Exum enters the game for George Hill,15 - 11
5:48,Dante Exum  misses 23-foot three point jumper,15 - 11
5:48,Rudy Gobert offensive rebound,15 - 11
5:37,Dante Exum makes dunk (Joe Ingles assists),15 - 13
5:11,Joe Ingles defensive 3-seconds (Technical Foul),15 - 13
5:11,Isaiah Thomas makes technical free throw,16 - 13
5:11,Alec Burks enters the game for Joe Ingles,16 - 13
5:11,Terry Rozier enters the game for Marcus Smart,16 - 13
5:01,Al Horford makes 7-foot jumper,18 - 13
5:01,Trey Lyles shooting foul  (Al Horford draws the foul),18 - 13
5:01,Al Horford misses free throw 1 of 1,18 - 13
5:01,Rudy Gobert defensive rebound,18 - 13
4:43,Gordon Hayward  misses 25-foot three point jumper,18 - 13
4:41,Al Horford defensive rebound,18 - 13
4:31,Isaiah Thomas makes driving layup,20 - 13
4:20,Trey Lyles  misses 24-foot three point jumper,20 - 13
4:18,Amir Johnson defensive rebound,20 - 13
4:07,Al Horford steps out of bounds turnover,20 - 13
3:54,Amir Johnson shooting foul  (Gordon Hayward draws the foul),20 - 13
3:54,Gordon Hayward makes free throw 1 of 2,20 - 14
3:54,Kelly Olynyk enters the game for Al Horford,20 - 14
3:54,Gordon Hayward makes free throw 2 of 2,20 - 15
3:40,Isaiah Thomas  bad pass (Rudy Gobert steals),20 - 15
3:26,Trey Lyles makes 4-foot two point shot,20 - 17
3:12,Rudy Gobert shooting foul  (Amir Johnson draws the foul),20 - 17
3:12,Amir Johnson misses free throw 1 of 2,20 - 17
3:12,Celtics offensive team rebound,20 - 17
3:12,Amir Johnson makes free throw 2 of 2,21 - 17
2:57,Alec Burks  misses 18-foot two point jumper,21 - 17
2:56,Jaylen Brown defensive rebound,21 - 17
2:46,Isaiah Thomas makes 25-foot  three point jumper,24 - 17
2:31,Gordon Hayward makes 25-foot  three point jumper  (Trey Lyles assists),24 - 20
2:29,Celtics Full timeout,24 - 20
2:29,George Hill enters the game for Dante Exum,24 - 20
2:29,Joe Johnson enters the game for Gordon Hayward,24 - 20
2:29,Derrick Favors enters the game for Rudy Gobert,24 - 20
2:29,Gerald Green enters the game for Isaiah Thomas,24 - 20
2:29,Marcus Smart enters the game for Jaylen Brown,24 - 20
2:12,Kelly Olynyk  misses 13-foot jumper,24 - 20
2:11,Trey Lyles defensive rebound,24 - 20
1:55,Kelly Olynyk shooting foul  (Alec Burks draws the foul),24 - 20
1:55,Alec Burks misses free throw 1 of 2,24 - 20
1:55,Jazz offensive team rebound,24 - 20
1:55,Jonas Jerebko enters the game for Amir Johnson,24 - 20
1:55,Alec Burks makes free throw 2 of 2,24 - 21
1:55,Celtics 20 Sec. timeout,24 - 21
1:40,Gerald Green makes 20-foot two point shot,26 - 21
1:25,George Hill  lost ball turnover (Kelly Olynyk steals),26 - 21
1:14,Kelly Olynyk makes 4-foot jumper (Marcus Smart assists),28 - 21
1:14,Derrick Favors defensive goaltending violation,28 - 21
57.0,George Hill makes driving layup,28 - 23
42.0,Kelly Olynyk makes 24-foot  three point jumper  (Marcus Smart assists),31 - 23
31.0,George Hill  misses Driving Floating Jump Shot,31 - 23
31.0,Kelly Olynyk defensive rebound,31 - 23
