time,play,score
12:00,Amir Johnson vs. Kosta Koufos (Arron Afflalo gains possession),0 - 0
11:38,Al Horford personal foul  (Anthony Tolliver draws the foul),0 - 0
11:26,Darren Collison  misses 18-foot jumper,0 - 0
11:25,Amir Johnson defensive rebound,0 - 0
11:07,Al Horford makes 11-foot jumper,2 - 0
10:51,Anthony Tolliver  misses 12-foot jumper,2 - 0
10:45,Kosta Koufos  misses,2 - 0
10:45,Kosta Koufos offensive rebound,2 - 0
10:45,Al Horford defensive rebound,2 - 0
10:42,Al Horford  bad pass (Darren Collison steals),2 - 0
10:37,Arron Afflalo Out-of-Bounds Bad Pass Turnover,2 - 0
10:23,Kosta Koufos shooting foul  (Jaylen Brown draws the foul),2 - 0
10:23,Jaylen Brown makes free throw 1 of 2,3 - 0
10:23,Jaylen Brown makes free throw 2 of 2,4 - 0
9:59,Arron Afflalo makes 22-foot jumper (Ty Lawson assists),4 - 2
9:45,Isaiah Thomas makes 26-foot  three pointer,7 - 2
9:26,Darren Collison makes driving layup (Kosta Koufos assists),7 - 4
9:11,Isaiah Thomas  misses 25-foot three point jumper,7 - 4
9:11,Arron Afflalo defensive rebound,7 - 4
9:04,Ty Lawson makes 7-foot two point shot,7 - 6
8:41,Amir Johnson  misses 9-foot two point shot,7 - 6
8:41,Anthony Tolliver defensive rebound,7 - 6
8:22,Darren Collison  misses 20-foot jumper,7 - 6
8:22,Al Horford defensive rebound,7 - 6
8:22,Al Horford  bad pass (Ty Lawson steals),7 - 6
8:17,Ty Lawson  misses two point jumper,7 - 6
8:15,Al Horford defensive rebound,7 - 6
8:07,Jaylen Brown  misses 25-foot three point jumper,7 - 6
8:06,Kosta Koufos defensive rebound,7 - 6
7:56,Anthony Tolliver  misses 25-foot three point jumper,7 - 6
7:54,Al Horford defensive rebound,7 - 6
7:41,Amir Johnson makes layup (Isaiah Thomas assists),9 - 6
7:22,Arron Afflalo  bad pass (Jae Crowder steals),9 - 6
7:11,Darren Collison shooting foul  (Jae Crowder draws the foul),9 - 6
7:11,Jae Crowder makes free throw 1 of 2,10 - 6
7:11,Jae Crowder makes free throw 2 of 2,11 - 6
7:00,Kosta Koufos  misses 7-foot jumper,11 - 6
7:00,Kings offensive team rebound,11 - 6
7:00,Isaiah Thomas loose ball foul  (Anthony Tolliver draws the foul),11 - 6
6:48,Kosta Koufos  lost ball turnover (Jae Crowder steals),11 - 6
6:43,Arron Afflalo shooting foul  (Isaiah Thomas draws the foul),11 - 6
6:43,Isaiah Thomas makes free throw 1 of 2,12 - 6
6:43,Isaiah Thomas makes free throw 2 of 2,13 - 6
6:31,Anthony Tolliver  bad pass (Jaylen Brown steals),13 - 6
6:26,Jaylen Brown  lost ball turnover (Darren Collison steals),13 - 6
6:15,Kosta Koufos makes two point shot (Ty Lawson assists),13 - 8
5:58,Al Horford makes driving layup,15 - 8
5:58,Anthony Tolliver shooting foul  (Al Horford draws the foul),16 - 8
5:58,Kings Full timeout,15 - 8
5:58,Marcus Smart enters the game for Jaylen Brown,15 - 8
5:58,Al Horford makes free throw 1 of 1,16 - 8
5:37,Al Horford blocks Darren Collison 's 3-foot  layup,16 - 8
5:35,Marcus Smart defensive rebound,16 - 8
5:31,Isaiah Thomas  misses 11-foot two point jumper,16 - 8
5:30,Anthony Tolliver defensive rebound,16 - 8
5:09,Anthony Tolliver makes 25-foot  three point jumper  (Darren Collison assists),16 - 11
4:50,Isaiah Thomas makes 24-foot  three point jumper  (Amir Johnson assists),19 - 11
4:41,Ty Lawson  misses 7-foot jumper,19 - 11
4:41,Al Horford defensive rebound,19 - 11
4:35,Amir Johnson  out of bounds lost ball turnover,19 - 11
4:35,Ben McLemore enters the game for Ty Lawson,19 - 11
4:13,Anthony Tolliver  misses 24-foot three point jumper,19 - 11
4:11,Marcus Smart defensive rebound,19 - 11
4:03,Jae Crowder  misses 25-foot three point jumper,19 - 11
4:03,Kosta Koufos defensive rebound,19 - 11
3:57,Darren Collison makes driving layup,19 - 13
3:43,Arron Afflalo shooting foul  (Isaiah Thomas draws the foul),21 - 13
3:43,Isaiah Thomas makes free throw 1 of 2,20 - 13
3:43,Kelly Olynyk enters the game for Al Horford,20 - 13
3:43,Willie Cauley-Stein enters the game for Kosta Koufos,20 - 13
3:43,Isaiah Thomas makes free throw 2 of 2,21 - 13
