time,play,score
12:00,Amir Johnson vs. Bismack Biyombo (Serge Ibaka gains possession),0 - 0
11:36,Al Horford blocks Serge Ibaka 's 1-foot  layup,0 - 0
11:36,Magic offensive team rebound,0 - 0
11:34,Marcus Smart shooting foul  (D.J. Augustin draws the foul),0 - 0
11:34,D.J. Augustin misses free throw 1 of 3,0 - 0
11:34,Magic offensive team rebound,0 - 0
11:34,D.J. Augustin makes free throw 2 of 3,0 - 1
11:34,D.J. Augustin makes free throw 3 of 3,0 - 2
11:12,Marcus Smart makes 18-foot jumper (Al Horford assists),2 - 2
10:48,Evan Fournier makes driving layup,2 - 4
10:25,Amir Johnson makes dunk (Al Horford assists),4 - 4
10:06,Evan Fournier makes 21-foot jumper (D.J. Augustin assists),4 - 6
9:49,Jae Crowder  misses jumper,4 - 6
9:48,Bismack Biyombo defensive rebound,4 - 6
9:37,Aaron Gordon  misses 16-foot two point jumper,4 - 6
9:36,Bismack Biyombo offensive rebound,4 - 6
9:29,D.J. Augustin makes 24-foot  three point jumper  (Evan Fournier assists),4 - 9
9:03,Amir Johnson makes two point shot (Avery Bradley assists),6 - 9
8:41,Serge Ibaka makes 25-foot  three point jumper  (Aaron Gordon assists),6 - 12
8:26,Marcus Smart makes 28-foot  three point jumper  (Jae Crowder assists),9 - 12
8:15,Jae Crowder personal foul  (Evan Fournier draws the foul),9 - 12
8:06,D.J. Augustin  out of bounds lost ball turnover,9 - 12
7:54,Bismack Biyombo kicked ball violation,9 - 12
7:47,Avery Bradley makes 19-foot two point shot (Al Horford assists),11 - 12
7:31,Evan Fournier  misses 20-foot two point jumper,11 - 12
7:31,Avery Bradley defensive rebound,11 - 12
7:22,Amir Johnson  misses 6-foot hook shot,11 - 12
7:20,Serge Ibaka defensive rebound,11 - 12
7:05,Al Horford shooting foul  (Evan Fournier draws the foul),11 - 12
7:05,Evan Fournier makes free throw 1 of 2,11 - 13
7:05,Evan Fournier makes free throw 2 of 2,11 - 14
6:52,Aaron Gordon personal foul  (Al Horford draws the foul),11 - 14
6:46,Avery Bradley makes 17-foot jumper (Amir Johnson assists),13 - 14
6:31,Evan Fournier  misses 20-foot jumper,13 - 14
6:30,Amir Johnson defensive rebound,13 - 14
6:22,Jae Crowder  misses 27-foot three point running jumper,13 - 14
6:22,Evan Fournier defensive rebound,13 - 14
6:16,Aaron Gordon makes layup (Evan Fournier assists),13 - 16
5:58,Al Horford  misses 19-foot two point jumper,13 - 16
5:58,Serge Ibaka defensive rebound,13 - 16
5:43,Aaron Gordon makes 25-foot  three point jumper  (D.J. Augustin assists),13 - 19
5:26,Avery Bradley  misses jumper,13 - 19
5:24,D.J. Augustin defensive rebound,13 - 19
5:24,Avery Bradley technical foul(1st technical foul),13 - 19
5:24,Magic Full timeout,13 - 19
5:24,Kelly Olynyk enters the game for Amir Johnson,13 - 19
5:24,Nikola Vucevic enters the game for Bismack Biyombo,13 - 19
5:24,Elfrid Payton enters the game for D.J. Augustin,13 - 19
5:24,Evan Fournier makes technical free throw,13 - 20
5:05,Serge Ibaka  misses 18-foot jumper,13 - 20
5:05,Marcus Smart defensive rebound,13 - 20
4:52,Jae Crowder makes 20-foot jumper (Kelly Olynyk assists),15 - 20
4:28,Evan Fournier makes 26-foot  three point jumper  (Elfrid Payton assists),15 - 23
4:11,Kelly Olynyk  misses 25-foot three point jumper,15 - 23
4:09,Nikola Vucevic defensive rebound,15 - 23
4:07,Elfrid Payton  bad pass (Marcus Smart steals),15 - 23
3:54,Al Horford makes 2-foot two point shot,17 - 23
3:54,Evan Fournier shooting foul  (Al Horford draws the foul),17 - 23
3:54,Jaylen Brown enters the game for Jae Crowder,17 - 23
3:54,Al Horford makes free throw 1 of 1,18 - 23
3:43,Nikola Vucevic  misses 19-foot jumper,18 - 23
3:42,Avery Bradley defensive rebound,18 - 23
3:34,Aaron Gordon shooting foul  (Avery Bradley draws the foul),18 - 23
3:34,Avery Bradley makes free throw 1 of 3,19 - 23
3:34,Avery Bradley makes free throw 2 of 3,20 - 23
3:34,Terry Rozier enters the game for Marcus Smart,20 - 23
3:34,Jeff Green enters the game for Aaron Gordon,20 - 23
3:34,Avery Bradley makes free throw 3 of 3,21 - 23
3:24,Nikola Vucevic 3 second turnover,21 - 23
3:12,Al Horford makes driving dunk (Avery Bradley assists),23 - 23
2:58,Al Horford personal foul  (Nikola Vucevic draws the foul),23 - 23
2:58,Celtics Full timeout,23 - 23
2:58,Jonas Jerebko enters the game for Al Horford,23 - 23
2:53,Serge Ibaka offensive foul  (Terry Rozier draws the foul),23 - 23
2:53,Serge Ibaka  turnover,23 - 23
2:31,Serge Ibaka blocks Avery Bradley 's 3-foot  layup,23 - 23
2:29,Nikola Vucevic defensive rebound,23 - 23
2:17,Nikola Vucevic  misses 6-foot hook shot,23 - 23
2:15,Jonas Jerebko defensive rebound,23 - 23
2:10,Jodie Meeks enters the game for Serge Ibaka,23 - 23
1:59,Jonas Jerebko  traveling,23 - 23
1:45,Nikola Vucevic makes 9-foot two point shot,23 - 25
1:22,Jaylen Brown  lost ball turnover (Jeff Green steals),23 - 25
1:19,Jeff Green  lost ball turnover (Avery Bradley steals),23 - 25
1:06,Elfrid Payton personal foul  (Terry Rozier draws the foul),23 - 25
1:00,Avery Bradley  misses 19-foot jumper,23 - 25
59.0,Jaylen Brown offensive rebound,23 - 25
52.0,Jaylen Brown makes layup (Avery Bradley assists),25 - 25
42.0,Nikola Vucevic makes two point shot (Elfrid Payton assists),25 - 27
30.0,Elfrid Payton personal foul  (Terry Rozier draws the foul),25 - 27
30.0,Terry Rozier misses free throw 1 of 2,25 - 27
30.0,Celtics offensive team rebound,25 - 27
30.0,Amir Johnson enters the game for Kelly Olynyk,25 - 27
30.0,Terry Rozier makes free throw 2 of 2,26 - 27
12.0,Nikola Vucevic  misses 24-foot three point jumper,26 - 27
11.0,Terry Rozier defensive rebound,26 - 27
2.0,Avery Bradley  misses,26 - 27
1.0,Amir Johnson offensive rebound,26 - 27
0.0,Terry Rozier  misses 31-foot three point jumper,26 - 27
0.0,Celtics offensive team rebound,26 - 27
0.0,End of the 1st Quarter,26 - 27
11:45,Kelly Olynyk  misses 26-foot three point jumper,26 - 27
11:45,Elfrid Payton defensive rebound,26 - 27
11:27,Jaylen Brown shooting foul  (Bismack Biyombo draws the foul),26 - 27
11:27,Bismack Biyombo misses free throw 1 of 2,26 - 27
11:27,Magic offensive team rebound,26 - 27
11:27,Tyler Zeller enters the game for Jonas Jerebko,26 - 27
11:27,Bismack Biyombo misses free throw 2 of 2,26 - 27
11:27,Kelly Olynyk defensive rebound,26 - 27
11:12,Jaylen Brown makes driving dunk (Tyler Zeller assists),28 - 27
10:57,Magic Full timeout,28 - 27
10:41,Jeff Green  misses 15-foot,28 - 27
10:40,Nikola Vucevic offensive rebound,28 - 27
10:38,Kelly Olynyk personal foul  (Nikola Vucevic draws the foul),28 - 27
10:30,Jodie Meeks makes two point shot (Nikola Vucevic assists),28 - 29
10:11,Kelly Olynyk  misses 25-foot three point jumper,28 - 29
10:10,Bismack Biyombo defensive rebound,28 - 29
10:00,Nikola Vucevic makes 14-foot jumper,28 - 31
9:45,Terry Rozier  misses 27-foot three point jumper,28 - 31
9:44,Nikola Vucevic defensive rebound,28 - 31
9:32,Elfrid Payton makes two point shot,28 - 33
9:18,Terry Rozier makes 2-foot layup (Kelly Olynyk assists),30 - 33
9:18,Bismack Biyombo shooting foul  (Terry Rozier draws the foul),30 - 33
9:18,Amir Johnson enters the game for Kelly Olynyk,30 - 33
9:18,Terry Rozier makes free throw 1 of 1,31 - 33
9:04,Nikola Vucevic  misses 20-foot jumper,31 - 33
9:03,Tyler Zeller defensive rebound,31 - 33
8:52,Jaylen Brown  misses 25-foot three point jumper,31 - 33
8:51,Elfrid Payton defensive rebound,31 - 33
8:41,Elfrid Payton  misses 15-foot jumper,31 - 33
8:41,Magic offensive team rebound,31 - 33
8:41,Gerald Green loose ball foul  (Bismack Biyombo draws the foul),31 - 33
8:30,Elfrid Payton  bad pass (Tyler Zeller steals),31 - 33
8:21,Gerald Green  misses 26-foot three point jumper,31 - 33
8:19,Bismack Biyombo defensive rebound,31 - 33
8:11,Bismack Biyombo  bad pass (Terry Rozier steals),31 - 33
8:07,Terry Rozier makes two point shot,33 - 33
7:52,Elfrid Payton makes driving layup,33 - 35
7:31,Jodie Meeks shooting foul  (Jaylen Brown draws the foul),33 - 35
7:31,Jaylen Brown makes free throw 1 of 2,34 - 35
7:31,Jaylen Brown misses free throw 2 of 2,34 - 35
7:28,Jeff Green defensive rebound,34 - 35
7:13,Jodie Meeks  misses 7-foot jumper,34 - 35
7:13,Celtics defensive team rebound,34 - 35
7:13,Bismack Biyombo loose ball foul  (Tyler Zeller draws the foul),34 - 35
6:54,Jaylen Brown  misses 26-foot three point jumper,34 - 35
6:52,Celtics offensive team rebound,34 - 35
6:48,Jaylen Brown makes dunk (Gerald Green assists),36 - 35
6:37,Nikola Vucevic  bad pass (Gerald Green steals),36 - 35
6:33,Gerald Green  bad pass (Nikola Vucevic steals),36 - 35
6:26,Elfrid Payton makes two point shot,36 - 37
6:05,Jodie Meeks personal foul  (Amir Johnson draws the foul),36 - 37
6:05,Jae Crowder enters the game for Jaylen Brown,36 - 37
6:05,Serge Ibaka enters the game for Nikola Vucevic,36 - 37
6:05,Al Horford enters the game for Tyler Zeller,36 - 37
6:00,Jae Crowder  misses 17-foot jumper,36 - 37
5:58,Serge Ibaka defensive rebound,36 - 37
5:35,Serge Ibaka makes 26-foot  three point jumper  (Elfrid Payton assists),36 - 40
5:31,Celtics Full timeout,36 - 40
5:31,Avery Bradley enters the game for Amir Johnson,36 - 40
5:31,Jonas Jerebko enters the game for Terry Rozier,36 - 40
5:31,Marcus Smart enters the game for Gerald Green,36 - 40
5:31,Evan Fournier enters the game for Bismack Biyombo,36 - 40
5:31,Aaron Gordon enters the game for Jodie Meeks,36 - 40
5:31,Bismack Biyombo enters the game for Jeff Green,36 - 40
5:16,Marcus Smart  lost ball turnover (Serge Ibaka steals),36 - 40
5:03,Aaron Gordon  misses 6-foot jumper,36 - 40
5:03,Jae Crowder defensive rebound,36 - 40
4:58,Jae Crowder  bad pass (Aaron Gordon steals),36 - 40
4:52,Marcus Smart shooting foul  (Aaron Gordon draws the foul),36 - 40
4:52,Aaron Gordon misses free throw 1 of 2,36 - 40
4:52,Magic offensive team rebound,36 - 40
4:52,D.J. Augustin enters the game for Elfrid Payton,36 - 40
4:52,Aaron Gordon misses free throw 2 of 2,36 - 40
4:52,Al Horford defensive rebound,36 - 40
4:39,Al Horford  misses 25-foot three point jumper,36 - 40
4:37,Jonas Jerebko offensive rebound,36 - 40
4:30,Marcus Smart makes two point shot,38 - 40
4:16,Al Horford blocks Aaron Gordon 's 2-foot  layup,38 - 40
4:13,Jae Crowder defensive rebound,38 - 40
4:05,Al Horford  misses 26-foot three point jumper,38 - 40
4:05,Celtics offensive team rebound,38 - 40
4:05,D.J. Augustin loose ball foul  (Jae Crowder draws the foul),38 - 40
4:05,Jae Crowder makes free throw 1 of 2,39 - 40
4:05,Nikola Vucevic enters the game for Bismack Biyombo,39 - 40
4:05,Jae Crowder makes free throw 2 of 2,40 - 40
3:41,Nikola Vucevic  bad pass (Marcus Smart steals),40 - 40
3:41,Serge Ibaka personal foul  (Marcus Smart draws the foul),42 - 40
3:41,Marcus Smart makes free throw 1 of 2,41 - 40
3:41,Marcus Smart makes free throw 2 of 2,42 - 40
3:20,Evan Fournier  misses 25-foot three point jumper,42 - 40
3:19,Al Horford defensive rebound,42 - 40
3:12,Avery Bradley makes 16-foot two point shot,44 - 40
2:50,Evan Fournier  misses two point shot,44 - 40
2:47,Al Horford defensive rebound,44 - 40
