time,play,score
12:00,Amir Johnson vs. Andre Drummond (Reggie Jackson gains possession),0 - 0
11:41,Andre Drummond makes 8-foot jumper (Marcus Morris assists),0 - 2
11:19,Al Horford makes 12-foot two point shot,2 - 2
11:00,Marcus Morris  misses 16-foot two point jumper,2 - 2
10:59,Isaiah Thomas defensive rebound,2 - 2
10:55,Jae Crowder makes layup (Isaiah Thomas assists),4 - 2
10:36,Reggie Jackson  misses 25-foot three point jumper,4 - 2
10:34,Amir Johnson defensive rebound,4 - 2
10:30,Jaylen Brown makes layup (Jae Crowder assists),6 - 2
10:30,Pistons Full timeout,6 - 2
10:23,Al Horford personal foul  (Jon Leuer draws the foul),6 - 2
10:14,Jon Leuer makes 25-foot  three point jumper  (Reggie Jackson assists),6 - 5
9:48,Al Horford  misses 10-foot step back jumpshot,6 - 5
9:47,Reggie Jackson defensive rebound,6 - 5
9:36,Andre Drummond makes two point shot (Reggie Jackson assists),6 - 7
9:22,Jon Leuer personal foul  (Isaiah Thomas draws the foul),6 - 7
9:10,Isaiah Thomas  misses layup,6 - 7
9:08,Reggie Jackson defensive rebound,6 - 7
9:07,Reggie Jackson  bad pass (Jaylen Brown steals),6 - 7
8:52,Amir Johnson  misses 4-foot jumper,6 - 7
8:51,Jon Leuer defensive rebound,6 - 7
8:41,Andre Drummond  misses 8-foot hook shot,6 - 7
8:40,Al Horford defensive rebound,6 - 7
8:32,Jaylen Brown  misses layup,6 - 7
8:32,Andre Drummond defensive rebound,6 - 7
8:21,Jon Leuer  misses 22-foot three point jumper,6 - 7
8:21,Amir Johnson defensive rebound,6 - 7
8:07,Isaiah Thomas makes 7-foot two point shot,8 - 7
7:54,Reggie Jackson makes 6-foot two point shot,8 - 9
7:35,Jaylen Brown makes 26-foot  three point jumper  (Jae Crowder assists),11 - 9
7:20,Reggie Jackson  misses 19-foot jumper,11 - 9
7:20,Jaylen Brown defensive rebound,11 - 9
7:11,Isaiah Thomas makes driving layup (Jae Crowder assists),13 - 9
6:58,Kentavious Caldwell-Pope  misses 27-foot three point jumper,13 - 9
6:58,Al Horford defensive rebound,13 - 9
6:48,Jaylen Brown makes driving layup (Al Horford assists),15 - 9
6:33,Jon Leuer  misses 12-foot jumper,15 - 9
6:33,Jae Crowder defensive rebound,15 - 9
6:11,Isaiah Thomas  misses 10-foot jumper,15 - 9
6:11,Andre Drummond defensive rebound,15 - 9
6:05,Kentavious Caldwell-Pope  misses layup,15 - 9
6:05,Amir Johnson defensive rebound,15 - 9
6:01,Amir Johnson  bad pass (Andre Drummond steals),15 - 9
5:54,Al Horford blocks Reggie Jackson's  layup,15 - 9
5:54,Amir Johnson defensive rebound,15 - 9
5:50,Isaiah Thomas makes layup (Amir Johnson assists),17 - 9
5:31,Andre Drummond makes 9-foot two point shot (Marcus Morris assists),17 - 11
5:31,Amir Johnson shooting foul  (Andre Drummond draws the foul),17 - 11
5:31,Tobias Harris enters the game for Marcus Morris,17 - 11
5:31,Andre Drummond misses free throw 1 of 1,17 - 11
5:30,Amir Johnson defensive rebound,17 - 11
5:11,Al Horford  misses layup,17 - 11
5:11,Amir Johnson offensive rebound,17 - 11
5:07,Amir Johnson makes two point shot,19 - 11
4:58,Kentavious Caldwell-Pope makes 25-foot  three point jumper  (Jon Leuer assists),19 - 14
4:43,Isaiah Thomas  misses 27-foot three point jumper,19 - 14
4:43,Andre Drummond defensive rebound,19 - 14
4:33,Jon Leuer makes 26-foot  three point jumper  (Reggie Jackson assists),19 - 17
4:07,Al Horford  misses 6-foot jumper,19 - 17
4:07,Celtics offensive team rebound,19 - 17
4:07,Kelly Olynyk enters the game for Amir Johnson,19 - 17
4:07,Marcus Smart enters the game for Jaylen Brown,19 - 17
4:01,Al Horford  misses 27-foot three point jumper,19 - 17
4:00,Jon Leuer defensive rebound,19 - 17
3:54,Tobias Harris  lost ball turnover (Jae Crowder steals),19 - 17
3:53,Jon Leuer personal foul  (Jae Crowder draws the foul),19 - 17
3:53,Terry Rozier enters the game for Isaiah Thomas,19 - 17
3:53,Marcus Morris enters the game for Jon Leuer,19 - 17
3:39,Terry Rozier makes 26-foot  three point jumper  (Al Horford assists),22 - 17
3:21,Tobias Harris  misses three point jumper,22 - 17
3:21,Jae Crowder defensive rebound,22 - 17
3:15,Jae Crowder  misses 25-foot three point jumper,22 - 17
3:14,Kentavious Caldwell-Pope defensive rebound,22 - 17
3:09,Kentavious Caldwell-Pope  misses 26-foot three point jumper,22 - 17
3:09,Reggie Jackson offensive rebound,22 - 17
2:59,Kentavious Caldwell-Pope makes 16-foot jumper (Reggie Jackson assists),22 - 19
2:43,Terry Rozier makes layup (Kelly Olynyk assists),24 - 19
2:29,Reggie Jackson makes 17-foot two point shot,24 - 21
2:14,Kentavious Caldwell-Pope blocks Marcus Smart 's 2-foot  layup,24 - 21
2:13,Marcus Smart offensive rebound,24 - 21
2:09,Jae Crowder  misses 26-foot three point jumper,24 - 21
2:09,Tobias Harris defensive rebound,24 - 21
1:58,Andre Drummond  misses 6-foot hook shot,24 - 21
1:57,Kelly Olynyk defensive rebound,24 - 21
1:46,Kelly Olynyk  misses driving layup,24 - 21
1:45,Andre Drummond defensive rebound,24 - 21
1:40,Marcus Morris  traveling,24 - 21
1:40,Celtics Full timeout,24 - 21
1:40,Jonas Jerebko enters the game for Jae Crowder,24 - 21
1:40,James Young enters the game for Al Horford,24 - 21
1:40,Aron Baynes enters the game for Andre Drummond,24 - 21
1:40,Ish Smith enters the game for Reggie Jackson,24 - 21
1:30,Kelly Olynyk makes 26-foot  three point jumper  (Marcus Smart assists),27 - 21
1:10,Marcus Morris  misses 22-foot jumper,27 - 21
1:10,Kelly Olynyk defensive rebound,27 - 21
1:01,Jonas Jerebko  misses 25-foot three point jumper,27 - 21
1:01,Ish Smith defensive rebound,27 - 21
59.0,Kentavious Caldwell-Pope makes dunk (Ish Smith assists),27 - 23
43.0,James Young  misses 23-foot three point jumper,27 - 23
43.0,Terry Rozier offensive rebound,27 - 23
43.0,Ish Smith loose ball foul  (Terry Rozier draws the foul),27 - 23
24.0,Kelly Olynyk  lost ball turnover (Tobias Harris steals),27 - 23
20.0,Tobias Harris  out of bounds lost ball turnover,27 - 23
1.0,Jonas Jerebko  misses 8-foot jumper,27 - 23
0.0,Jonas Jerebko offensive rebound,27 - 23
0.0,Jonas Jerebko  misses layup,27 - 23
