time,play,score
12:00,Amir Johnson vs. Mason Plumlee (Noah Vonleh gains possession),0 - 0
11:47,Mason Plumlee  bad pass (Marcus Smart steals),0 - 0
11:40,Jaylen Brown makes 25-foot  three point jumper  (Marcus Smart assists),3 - 0
11:22,Damian Lillard  misses 26-foot three point pullup jump shot,3 - 0
11:22,Jaylen Brown defensive rebound,3 - 0
11:07,Al Horford  misses,3 - 0
11:07,Noah Vonleh defensive rebound,3 - 0
10:57,Damian Lillard makes 22-foot two point shot,3 - 2
10:33,Isaiah Thomas  misses 25-foot three point pullup jump shot,3 - 2
10:33,Damian Lillard defensive rebound,3 - 2
10:19,C.J. McCollum makes 14-foot jumper,3 - 4
9:57,Al Horford makes 12-foot two point shot,5 - 4
9:42,Al Horford shooting foul  (Mason Plumlee draws the foul),5 - 4
9:42,Mason Plumlee misses free throw 1 of 2,5 - 4
9:42,Trail Blazers offensive team rebound,5 - 4
9:42,Mason Plumlee makes free throw 2 of 2,5 - 5
9:25,Al Horford  lost ball turnover (Maurice Harkless steals),5 - 5
9:18,Mason Plumlee makes layup (Noah Vonleh assists),5 - 7
9:03,Maurice Harkless blocks Isaiah Thomas 's 26-foot,5 - 7
8:59,Al Horford offensive rebound,5 - 7
8:55,Noah Vonleh blocks Isaiah Thomas 's 2-foot  layup,5 - 7
8:52,Maurice Harkless defensive rebound,5 - 8
8:52,Jaylen Brown personal foul  (Mason Plumlee draws the foul),5 - 8
8:52,Mason Plumlee makes free throw 1 of 2,5 - 8
8:52,Mason Plumlee misses free throw 2 of 2,5 - 8
8:30,Jaylen Brown defensive rebound,5 - 8
8:30,Al Horford  misses 11-foot jumper,5 - 7
8:27,Noah Vonleh defensive rebound,5 - 7
8:17,Mason Plumlee  misses two point shot,5 - 8
8:12,Amir Johnson defensive rebound,5 - 8
8:07,Isaiah Thomas  misses 26-foot three point jumper,5 - 8
8:04,Noah Vonleh defensive rebound,5 - 8
7:47,C.J. McCollum makes 21-foot jumper,5 - 10
7:37,Maurice Harkless personal foul  (Isaiah Thomas draws the foul),5 - 10
7:31,Jaylen Brown  misses layup,5 - 10
7:30,Amir Johnson offensive rebound,5 - 10
7:28,Amir Johnson  misses,5 - 10
7:26,Amir Johnson offensive rebound,5 - 10
7:26,Amir Johnson  misses,5 - 10
7:24,Amir Johnson offensive rebound,5 - 10
7:24,Noah Vonleh shooting foul  (Amir Johnson draws the foul),5 - 10
7:24,Amir Johnson misses free throw 1 of 2,5 - 10
7:24,Celtics offensive team rebound,5 - 10
7:24,Amir Johnson makes free throw 2 of 2,6 - 10
7:09,Maurice Harkless  misses,6 - 10
7:09,Mason Plumlee offensive rebound,6 - 10
7:07,Mason Plumlee makes two point shot,6 - 12
7:05,Celtics Full timeout,6 - 12
6:52,Marcus Smart  misses 24-foot three point jumper,6 - 12
6:52,Damian Lillard defensive rebound,6 - 12
6:41,Noah Vonleh  misses 17-foot jumper,6 - 12
6:39,Al Horford defensive rebound,6 - 12
6:26,Isaiah Thomas makes 2-foot two point shot,8 - 12
6:05,C.J. McCollum makes 4-foot two point shot,8 - 14
5:47,Jaylen Brown  misses driving layup,8 - 14
5:45,Mason Plumlee defensive rebound,8 - 14
5:37,Damian Lillard makes  three point jumper  (C.J. McCollum assists),8 - 17
5:13,Marcus Smart makes 22-foot two point shot,10 - 17
4:56,Amir Johnson personal foul  (Mason Plumlee draws the foul),10 - 17
4:56,Kelly Olynyk enters the game for Jaylen Brown,10 - 17
4:56,James Young enters the game for Amir Johnson,10 - 17
4:56,Allen Crabbe enters the game for C.J. McCollum,10 - 17
4:45,Noah Vonleh makes dunk (Mason Plumlee assists),10 - 19
4:26,Marcus Smart makes two point shot,12 - 19
4:09,James Young shooting foul  (Mason Plumlee draws the foul),12 - 19
