time,play,score
12:00,DeAndre Jordan vs. Nerlens Noel (Luc Mbah a Moute gains possession),0 - 0
11:41,J.J. Redick makes Driving Floating Jump Shot (Austin Rivers assists),2 - 0
11:18,T.J. McConnell  misses 6-foot two point jumper,2 - 0
11:18,DeAndre Jordan defensive rebound,2 - 0
11:03,Blake Griffin  misses 5-foot,2 - 0
11:03,Blake Griffin offensive rebound,2 - 0
10:55,Blake Griffin makes layup,4 - 0
10:37,Nerlens Noel  misses layup,4 - 0
10:37,DeAndre Jordan defensive rebound,4 - 0
10:29,Austin Rivers  misses 6-foot two point shot,4 - 0
10:27,Ersan Ilyasova defensive rebound,4 - 0
10:18,Ersan Ilyasova makes 25-foot  three point jumper  (T.J. McConnell assists),4 - 3
10:02,J.J. Redick  misses 17-foot two point jumper,4 - 3
10:00,Ersan Ilyasova defensive rebound,4 - 3
9:47,Nerlens Noel makes two point shot (T.J. McConnell assists),4 - 5
9:29,Austin Rivers  bad pass (Nerlens Noel steals),4 - 5
9:26,Blake Griffin shooting foul  (Nerlens Noel draws the foul),4 - 5
9:26,Nerlens Noel makes free throw 1 of 2,4 - 6
9:26,Nerlens Noel makes free throw 2 of 2,4 - 7
9:15,DeAndre Jordan  bad pass (Nik Stauskas steals),4 - 7
9:07,Robert Covington  misses 24-foot three point jumper,4 - 7
9:07,DeAndre Jordan defensive rebound,4 - 7
8:57,Blake Griffin  misses 17-foot jumper,4 - 7
8:56,Robert Covington defensive rebound,4 - 7
8:51,Nik Stauskas makes 25-foot  three point jumper  (T.J. McConnell assists),4 - 10
8:27,Austin Rivers makes 25-foot  three point jumper  (DeAndre Jordan assists),7 - 10
8:17,T.J. McConnell  misses 16-foot two point jumper,7 - 10
8:15,J.J. Redick defensive rebound,7 - 10
8:07,J.J. Redick makes 24-foot  three point jumper  (Blake Griffin assists),10 - 10
7:43,Ersan Ilyasova  misses 12-foot two point shot,10 - 10
7:41,Blake Griffin defensive rebound,10 - 10
7:33,J.J. Redick makes 24-foot  three point jumper  (Blake Griffin assists),13 - 10
7:15,Nerlens Noel  misses 16-foot jumper,13 - 10
7:13,Blake Griffin defensive rebound,13 - 10
6:56,DeAndre Jordan makes layup (Blake Griffin assists),15 - 10
6:46,Ersan Ilyasova  misses 15-foot two point jumper,15 - 10
6:45,Luc Mbah a Moute defensive rebound,15 - 10
6:35,Austin Rivers  misses,15 - 10
6:35,Ersan Ilyasova defensive rebound,15 - 10
6:26,Nik Stauskas makes 24-foot  three point jumper  (Ersan Ilyasova assists),15 - 13
6:09,Blake Griffin  misses,15 - 13
6:07,Nerlens Noel defensive rebound,15 - 13
5:48,T.J. McConnell  misses 10-foot jumper,15 - 13
5:47,DeAndre Jordan defensive rebound,15 - 13
5:41,Clippers Full timeout,15 - 13
5:41,Gerald Henderson enters the game for Nik Stauskas,15 - 13
5:41,Dario Saric enters the game for Ersan Ilyasova,15 - 13
5:41,Richaun Holmes enters the game for Nerlens Noel,15 - 13
5:41,Raymond Felton enters the game for Luc Mbah a Moute,15 - 13
