time,play,score
12:00,DeAndre Jordan vs. Hassan Whiteside (Blake Griffin gains possession),0 - 0
11:45,Blake Griffin  bad pass (Hassan Whiteside steals),0 - 0
11:34,Josh McRoberts  bad pass (Blake Griffin steals),0 - 0
11:12,Blake Griffin  misses 18-foot jumper,0 - 0
11:11,Wayne Ellington defensive rebound,0 - 0
10:53,Wayne Ellington makes 25-foot  three point jumper  (Goran Dragic assists),0 - 3
10:37,J.J. Redick  misses 17-foot two point shot,0 - 3
10:37,Hassan Whiteside defensive rebound,0 - 3
10:26,Hassan Whiteside  misses 10-foot jumper,0 - 3
10:26,DeAndre Jordan defensive rebound,0 - 3
10:18,Blake Griffin makes 17-foot jumper (Chris Paul assists),2 - 3
9:47,Rodney McGruder  misses 16-foot two point shot,2 - 3
9:45,DeAndre Jordan defensive rebound,2 - 3
9:41,Josh McRoberts personal block  (Blake Griffin draws the foul),2 - 3
9:34,J.J. Redick makes 19-foot jumper (Chris Paul assists),4 - 3
9:19,Hassan Whiteside makes jumper (Goran Dragic assists),4 - 5
9:07,Chris Paul makes 16-foot two point shot,6 - 5
8:53,Goran Dragic makes driving layup,6 - 7
8:37,Chris Paul  misses 24-foot three point jumper,6 - 7
8:36,Hassan Whiteside defensive rebound,6 - 7
8:27,Josh McRoberts makes 25-foot  three point jumper  (Goran Dragic assists),6 - 10
8:22,Blake Griffin  out of bounds lost ball turnover,6 - 10
8:11,Goran Dragic  misses 18-foot jumper,6 - 10
8:10,Blake Griffin defensive rebound,6 - 10
8:02,Austin Rivers makes 25-foot  three point jumper  (Chris Paul assists),9 - 10
7:41,Goran Dragic  misses 22-foot jumper,9 - 10
7:41,DeAndre Jordan defensive rebound,9 - 10
7:35,Chris Paul makes 24-foot  three point jumper,12 - 10
7:11,DeAndre Jordan blocks Josh McRoberts 's 1-foot  shot,12 - 10
7:11,DeAndre Jordan defensive rebound,12 - 10
7:07,J.J. Redick  misses 25-foot three point jumper,12 - 10
7:05,Rodney McGruder defensive rebound,12 - 10
6:54,Wayne Ellington makes 18-foot two point shot (Josh McRoberts assists),12 - 12
6:46,Chris Paul makes two point shot,14 - 12
6:26,Wayne Ellington makes 3-foot two point shot (Hassan Whiteside assists),14 - 14
6:01,Blake Griffin  misses layup,14 - 14
6:00,Hassan Whiteside defensive rebound,14 - 14
5:47,Hassan Whiteside makes 8-foot jumper (Goran Dragic assists),14 - 16
5:41,Clippers Full timeout,14 - 16
5:41,Josh Richardson enters the game for Rodney McGruder,14 - 16
5:31,J.J. Redick  misses 25-foot three point jumper,14 - 16
5:31,Hassan Whiteside defensive rebound,14 - 16
5:11,Goran Dragic makes 2-foot layup (Josh McRoberts assists),14 - 18
4:48,Austin Rivers makes 25-foot  three point jumper  (J.J. Redick assists),17 - 18
4:30,Hassan Whiteside  misses 11-foot hook shot,17 - 18
4:28,DeAndre Jordan defensive rebound,17 - 18
4:22,Austin Rivers  misses 24-foot three point jumper,17 - 18
4:22,Hassan Whiteside defensive rebound,17 - 18
4:01,Josh McRoberts makes 25-foot  three point jumper  (Josh Richardson assists),17 - 21
3:34,Blake Griffin makes 20-foot jumper,19 - 21
3:16,Josh McRoberts  misses 19-foot jumper,19 - 21
3:15,DeAndre Jordan defensive rebound,19 - 21
3:05,Chris Paul makes 12-foot two point shot,21 - 21
3:02,Heat Full timeout,21 - 21
3:02,James Johnson enters the game for Josh McRoberts,21 - 21
3:02,Raymond Felton enters the game for Austin Rivers,21 - 21
3:02,Jamal Crawford enters the game for J.J. Redick,21 - 21
2:50,Wayne Ellington makes 16-foot jumper (Hassan Whiteside assists),21 - 23
2:36,DeAndre Jordan makes 6-foot two point shot (Blake Griffin assists),23 - 23
2:36,Hassan Whiteside shooting foul  (DeAndre Jordan draws the foul),23 - 23
2:36,DeAndre Jordan misses free throw 1 of 1,23 - 23
2:35,Raymond Felton offensive rebound,23 - 23
2:16,Blake Griffin makes driving layup,25 - 23
2:04,James Johnson  misses 24-foot three point jumper,25 - 23
2:03,DeAndre Jordan defensive rebound,25 - 23
1:58,Hassan Whiteside personal foul  (DeAndre Jordan draws the foul),25 - 23
1:58,Willie Reed enters the game for Hassan Whiteside,25 - 23
1:54,James Johnson personal foul  (Blake Griffin draws the foul),25 - 23
1:54,Blake Griffin makes free throw 1 of 2,26 - 23
1:54,Blake Griffin makes free throw 2 of 2,27 - 23
1:37,Josh Richardson makes 17-foot jumper (Goran Dragic assists),27 - 25
1:27,Josh Richardson blocks Chris Paul 's 8-foot  shot,27 - 25
1:25,Clippers offensive team rebound,27 - 25
1:25,Marreese Speights enters the game for DeAndre Jordan,27 - 25
1:25,Rodney McGruder enters the game for Goran Dragic,27 - 25
1:25,Justise Winslow enters the game for Willie Reed,27 - 25
1:16,Blake Griffin makes two point shot (Chris Paul assists),29 - 25
1:04,Justise Winslow  misses 16-foot jumper,29 - 25
1:02,Jamal Crawford defensive rebound,29 - 25
56.0,Jamal Crawford steps out of bounds turnover,29 - 25
56.0,Alan Anderson enters the game for Chris Paul,29 - 25
34.0,Justise Winslow makes 8-foot two point shot,29 - 27
27.0,Jamal Crawford makes 16-foot two point shot,31 - 27
4.0,Josh Richardson  misses 17-foot jumper,31 - 27
3.0,Blake Griffin defensive rebound,31 - 27
1.0,Jamal Crawford  misses 24-foot three point jumper,31 - 27
0.0,Clippers offensive team rebound,31 - 27
0.0,End of the 1st Quarter,31 - 27
11:52,Justise Winslow makes driving layup,31 - 29
11:34,Jamal Crawford  misses 20-foot jumper,31 - 29
11:33,Luke Babbitt defensive rebound,31 - 29
11:18,Josh Richardson  misses 19-foot jumper,31 - 29
11:18,Jamal Crawford defensive rebound,31 - 29
11:12,Raymond Felton  misses two point shot,31 - 29
11:11,Clippers offensive team rebound,31 - 29
11:11,James Johnson loose ball foul  (Marreese Speights draws the foul),31 - 29
11:06,Marreese Speights makes 2-foot layup (Raymond Felton assists),33 - 29
10:42,Luke Babbitt  misses 23-foot three point jumper,33 - 29
10:41,Justise Winslow offensive rebound,33 - 29
10:32,Josh Richardson  misses 25-foot three point jumper,33 - 29
10:30,Wesley Johnson defensive rebound,33 - 29
10:18,Wesley Johnson makes 5-foot two point shot (Jamal Crawford assists),35 - 29
10:03,Luke Babbitt  misses 24-foot three point jumper,35 - 29
10:03,Wesley Johnson defensive rebound,35 - 29
9:56,Jamal Crawford makes 16-foot two point shot,37 - 29
9:33,Justise Winslow  misses 17-foot jumper,37 - 29
9:33,Clippers defensive team rebound,37 - 29
9:33,James Johnson loose ball foul  (Wesley Johnson draws the foul),37 - 29
9:33,Derrick Williams enters the game for James Johnson,37 - 29
9:19,Marreese Speights makes 3-foot two point shot (Jamal Crawford assists),39 - 29
9:19,Heat Full timeout,39 - 29
9:12,Wesley Johnson personal foul  (Justise Winslow draws the foul),39 - 29
8:53,Rodney McGruder  misses 24-foot three point jumper,39 - 29
8:52,Wesley Johnson defensive rebound,39 - 29
8:47,Jamal Crawford  misses 17-foot two point jumper,39 - 29
8:45,Clippers offensive team rebound,39 - 29
8:45,Derrick Williams loose ball foul  (Marreese Speights draws the foul),39 - 29
8:45,Goran Dragic enters the game for Luke Babbitt,39 - 29
8:33,Marreese Speights Out-of-Bounds Bad Pass Turnover,39 - 29
8:22,Goran Dragic  misses 12-foot jumper,39 - 29
8:21,Derrick Williams offensive rebound,39 - 29
8:19,Derrick Williams  misses 2-foot,39 - 29
8:18,Heat offensive team rebound,39 - 29
8:18,Austin Rivers enters the game for Alan Anderson,39 - 29
8:11,Justise Winslow  misses,39 - 29
8:11,Justise Winslow offensive rebound,39 - 29
8:10,Justise Winslow  misses two point shot,39 - 29
8:08,Marreese Speights defensive rebound,39 - 29
7:52,Rodney McGruder shooting foul  (Marreese Speights draws the foul),39 - 29
7:52,Marreese Speights makes free throw 1 of 2,40 - 29
7:52,Marreese Speights makes free throw 2 of 2,41 - 29
7:43,Derrick Williams makes 3-foot layup (Goran Dragic assists),41 - 31
7:43,Marreese Speights shooting foul  (Derrick Williams draws the foul),41 - 31
7:43,Derrick Williams makes free throw 1 of 1,41 - 32
7:28,Raymond Felton  misses 8-foot jumper,41 - 32
7:28,Marreese Speights offensive rebound,41 - 32
7:26,Marreese Speights  misses 3-foot jump bank shot,41 - 32
7:26,Goran Dragic defensive rebound,41 - 32
7:20,Goran Dragic  misses two point shot,41 - 32
7:20,Clippers defensive team rebound,41 - 32
7:20,DeAndre Jordan enters the game for Marreese Speights,41 - 32
7:20,Hassan Whiteside enters the game for Derrick Williams,41 - 32
7:11,Josh Richardson shooting foul  (Austin Rivers draws the foul),41 - 32
7:11,Austin Rivers misses free throw 1 of 2,41 - 32
7:11,Clippers offensive team rebound,41 - 32
7:11,Austin Rivers makes free throw 2 of 2,42 - 32
6:54,Rodney McGruder  misses 17-foot jumper,42 - 32
6:54,Raymond Felton defensive rebound,42 - 32
6:46,Hassan Whiteside blocks Jamal Crawford 's 3-foot  layup,42 - 32
6:45,Rodney McGruder defensive rebound,42 - 32
6:43,Raymond Felton personal foul  (Josh Richardson draws the foul),42 - 34
6:43,Josh Richardson makes free throw 1 of 2,42 - 34
6:43,Wayne Ellington enters the game for Rodney McGruder,42 - 33
6:43,Chris Paul enters the game for Raymond Felton,42 - 33
6:43,Blake Griffin enters the game for Wesley Johnson,42 - 33
6:43,Josh Richardson makes free throw 2 of 2,42 - 34
6:20,Jamal Crawford makes 24-foot  three point jumper,45 - 34
5:54,Hassan Whiteside makes two point shot,45 - 36
5:54,Blake Griffin shooting foul  (Hassan Whiteside draws the foul),45 - 36
5:54,Hassan Whiteside misses free throw 1 of 1,45 - 36
5:54,DeAndre Jordan defensive rebound,45 - 36
5:39,Blake Griffin makes driving dunk (Jamal Crawford assists),47 - 36
5:31,Official timeout,47 - 36
5:31,J.J. Redick enters the game for Jamal Crawford,47 - 36
5:18,DeAndre Jordan blocks Justise Winslow 's 4-foot  hook shot,47 - 36
5:16,Wayne Ellington offensive rebound,47 - 36
5:13,Wayne Ellington  misses 47-foot Regular Jump Shot,47 - 36
5:11,shot clock turnover,47 - 36
5:11,Heat offensive team rebound,47 - 36
4:54,Austin Rivers  misses 24-foot three point jumper,47 - 36
4:54,DeAndre Jordan offensive rebound,47 - 36
4:50,DeAndre Jordan makes 4-foot two point shot,49 - 36
4:41,Blake Griffin shooting foul  (Hassan Whiteside draws the foul),49 - 36
4:41,Hassan Whiteside misses free throw 1 of 2,49 - 36
4:41,Heat offensive team rebound,49 - 36
4:41,Hassan Whiteside misses free throw 2 of 2,49 - 36
4:39,DeAndre Jordan defensive rebound,49 - 36
4:31,Wayne Ellington shooting foul  (J.J. Redick draws the foul),49 - 36
4:31,J.J. Redick makes free throw 1 of 2,50 - 36
4:31,J.J. Redick misses free throw 2 of 2,50 - 36
4:31,Hassan Whiteside defensive rebound,50 - 36
4:16,Hassan Whiteside makes 18-foot jumper (Goran Dragic assists),50 - 38
3:59,J.J. Redick makes 20-foot jumper (Chris Paul assists),52 - 38
