time,play,score
12:00,DeAndre Jordan vs. Rudy Gobert (Boris Diaw gains possession),0 - 0
11:41,Boris Diaw  misses 18-foot jumper,0 - 0
11:40,Blake Griffin defensive rebound,0 - 0
11:17,Chris Paul makes 17-foot jumper,2 - 0
11:02,George Hill  misses Driving Floating Jump Shot,2 - 0
11:00,DeAndre Jordan defensive rebound,2 - 0
10:38,Blake Griffin makes  three point jumper  (Chris Paul assists),5 - 0
10:22,George Hill makes 19-foot jumper (Gordon Hayward assists),5 - 2
10:03,J.J. Redick makes 9-foot Driving Floating Jump Shot,7 - 2
10:03,Rodney Hood shooting foul  (J.J. Redick draws the foul),8 - 2
10:03,J.J. Redick makes free throw 1 of 1,8 - 2
9:55,Gordon Hayward  misses 18-foot jumper,8 - 2
9:53,Blake Griffin defensive rebound,8 - 2
9:44,DeAndre Jordan makes 6-foot two point shot (Chris Paul assists),10 - 2
9:22,Rudy Gobert makes driving layup (George Hill assists),10 - 4
9:04,Chris Paul  misses 19-foot jumper,10 - 4
9:04,Rudy Gobert defensive rebound,10 - 4
8:53,Blake Griffin personal foul  (Rudy Gobert draws the foul),10 - 4
8:44,Boris Diaw makes two point shot (George Hill assists),10 - 6
8:27,J.J. Redick  misses 18-foot step back jumpshot,10 - 6
8:26,Rudy Gobert defensive rebound,10 - 6
8:04,George Hill  misses 19-foot jumper,10 - 6
8:04,Chris Paul defensive rebound,10 - 6
7:52,DeAndre Jordan  misses layup,10 - 6
7:52,Gordon Hayward defensive rebound,10 - 6
7:35,Rodney Hood  misses 17-foot step back jumpshot,10 - 6
7:35,Luc Mbah a Moute defensive rebound,10 - 6
7:09,Chris Paul  misses 15-foot two point jumper,10 - 6
7:09,George Hill defensive rebound,10 - 6
7:01,Gordon Hayward makes 25-foot  three point jumper  (George Hill assists),10 - 9
7:01,Clippers Full timeout,10 - 9
6:41,Blake Griffin  misses 17-foot jumper,10 - 9
6:41,George Hill defensive rebound,10 - 9
6:24,Gordon Hayward  misses 25-foot three point jumper,10 - 9
6:24,Boris Diaw offensive rebound,10 - 9
6:18,Rudy Gobert makes two point shot (Boris Diaw assists),10 - 11
6:09,Chris Paul Out-of-Bounds Bad Pass Turnover,10 - 11
6:09,Joe Ingles enters the game for Rodney Hood,10 - 11
6:09,Joe Johnson enters the game for Boris Diaw,10 - 11
5:54,Luc Mbah a Moute personal foul  (George Hill draws the foul),10 - 11
5:48,Gordon Hayward makes 17-foot two point shot,10 - 13
5:39,Joe Ingles personal foul  (J.J. Redick draws the foul),10 - 13
5:26,Gordon Hayward shooting foul  (Chris Paul draws the foul),13 - 13
5:26,Chris Paul makes free throw 1 of 3,11 - 13
5:26,Chris Paul makes free throw 2 of 3,12 - 13
5:26,Chris Paul makes free throw 3 of 3,13 - 13
5:05,Luc Mbah a Moute shooting foul  (Gordon Hayward draws the foul),13 - 15
5:05,Gordon Hayward makes free throw 1 of 2,13 - 14
5:05,Austin Rivers enters the game for Luc Mbah a Moute,13 - 14
5:05,Gordon Hayward makes free throw 2 of 2,13 - 15
4:48,J.J. Redick makes 20-foot two point shot,15 - 15
4:31,Joe Ingles  misses jumper,15 - 15
4:30,Blake Griffin defensive rebound,15 - 15
4:18,Chris Paul makes 11-foot two point shot,17 - 15
3:53,George Hill  misses three point jumper,17 - 15
3:51,Chris Paul defensive rebound,17 - 15
3:46,J.J. Redick  misses 25-foot three point jumper,17 - 15
3:46,Rudy Gobert defensive rebound,17 - 15
3:34,Joe Johnson  misses 25-foot three point jumper,17 - 15
3:33,DeAndre Jordan defensive rebound,17 - 15
3:28,Chris Paul makes 24-foot  three pointer  (DeAndre Jordan assists),20 - 15
3:05,Rudy Gobert  misses layup,20 - 15
3:05,Rudy Gobert makes two point shot,20 - 17
3:05,Rudy Gobert offensive rebound,20 - 15
2:43,J.J. Redick  misses 23-foot three point jumper,20 - 17
2:43,Joe Johnson defensive rebound,20 - 17
2:19,Rudy Gobert makes two point shot (George Hill assists),20 - 19
2:00,Blake Griffin  misses hook shot,20 - 19
1:59,Rudy Gobert defensive rebound,20 - 19
1:49,Jazz Full timeout,20 - 19
1:49,Dante Exum enters the game for George Hill,20 - 19
1:49,Jeff Withey enters the game for Rudy Gobert,20 - 19
1:49,Rodney Hood enters the game for Gordon Hayward,20 - 19
1:49,Jamal Crawford enters the game for J.J. Redick,20 - 19
1:49,Marreese Speights enters the game for DeAndre Jordan,20 - 19
1:49,Jamal Crawford kicked ball violation,20 - 19
1:40,Rodney Hood  misses Driving Floating Jump Shot,20 - 19
1:39,Chris Paul defensive rebound,20 - 19
1:25,Chris Paul makes driving layup,22 - 19
1:25,Jeff Withey shooting foul  (Chris Paul draws the foul),23 - 19
1:25,Chris Paul makes free throw 1 of 1,23 - 19
1:04,Joe Johnson  misses 10-foot two point shot,23 - 19
1:04,Blake Griffin defensive rebound,23 - 19
58.0,Chris Paul makes 25-foot  three point running jumper  (Blake Griffin assists),26 - 19
49.0,Austin Rivers personal foul  (Rodney Hood draws the foul),26 - 19
49.0,Raymond Felton enters the game for Chris Paul,26 - 19
36.0,Rodney Hood makes two point shot,26 - 21
26.0,Raymond Felton  misses 19-foot jumper,26 - 21
24.0,Joe Ingles defensive rebound,26 - 21
3.0,Rodney Hood  misses driving layup,26 - 23
3.0,Jeff Withey makes tip shot,26 - 23
3.0,Jeff Withey offensive rebound,26 - 21
1.0,Raymond Felton makes 22-foot jumper,28 - 23
0.0,End of the 1st Quarter,28 - 23
11:52,Rodney Hood personal foul  (Austin Rivers draws the foul),28 - 23
11:44,Marreese Speights makes 24-foot  three point jumper  (Austin Rivers assists),31 - 23
11:18,Marreese Speights shooting foul  (Joe Ingles draws the foul),31 - 26
11:18,Joe Ingles makes free throw 1 of 3,31 - 24
11:18,Joe Ingles makes free throw 2 of 3,31 - 25
11:18,Joe Ingles makes free throw 3 of 3,31 - 26
11:03,Austin Rivers  misses 19-foot step back jumpshot,31 - 26
11:03,Joe Johnson defensive rebound,31 - 26
10:41,Joe Ingles makes 28-foot  three point jumper,31 - 29
10:26,Jeff Withey shooting foul  (Austin Rivers draws the foul),32 - 29
10:26,Austin Rivers makes free throw 1 of 2,32 - 29
10:26,Alec Burks enters the game for Rodney Hood,32 - 29
10:26,Boris Diaw enters the game for Jeff Withey,32 - 29
10:26,Austin Rivers misses free throw 2 of 2,32 - 29
10:26,Joe Ingles defensive rebound,32 - 29
10:06,Dante Exum  misses driving layup,32 - 29
10:06,Wesley Johnson defensive rebound,32 - 29
9:56,Jamal Crawford makes 16-foot two point shot,34 - 29
9:32,Joe Ingles  misses 25-foot three point jumper,34 - 29
9:32,Joe Ingles offensive rebound,34 - 29
9:17,Austin Rivers personal foul  (Boris Diaw draws the foul),34 - 29
9:08,Alec Burks  misses 21-foot two point jumper,34 - 29
9:07,Raymond Felton defensive rebound,34 - 29
8:55,Raymond Felton makes two point shot,36 - 29
8:33,Joe Ingles makes driving layup,36 - 31
8:17,Austin Rivers makes driving layup,38 - 31
8:12,Jazz Full timeout,38 - 31
8:12,Gordon Hayward enters the game for Joe Ingles,38 - 31
8:12,George Hill enters the game for Dante Exum,38 - 31
8:12,Rudy Gobert enters the game for Joe Johnson,38 - 31
7:58,Gordon Hayward makes 24-foot  three point jumper,38 - 34
7:39,Austin Rivers makes driving layup,40 - 34
7:26,Boris Diaw steps out of bounds turnover,40 - 34
7:26,DeAndre Jordan enters the game for Marreese Speights,40 - 34
7:13,Jamal Crawford  misses 20-foot two point jumper,40 - 34
7:11,George Hill defensive rebound,40 - 34
7:11,Jamal Crawford personal foul  (George Hill draws the foul),40 - 34
6:58,George Hill  misses 18-foot jumper,40 - 34
6:58,DeAndre Jordan defensive rebound,40 - 34
6:47,Austin Rivers makes driving layup,42 - 34
6:30,George Hill  misses 24-foot three point jumper,42 - 34
6:28,Jamal Crawford defensive rebound,42 - 34
6:28,Jamal Crawford  out of bounds lost ball turnover,42 - 34
6:28,Joe Ingles enters the game for Boris Diaw,42 - 34
6:16,Gordon Hayward makes 16-foot two point shot,42 - 36
6:01,Austin Rivers makes 10-foot Driving Floating Jump Shot,44 - 36
5:48,DeAndre Jordan blocks Gordon Hayward's  shot,44 - 36
5:48,Jazz offensive team rebound,44 - 36
5:48,Full timeout,44 - 36
5:48,Chris Paul enters the game for Raymond Felton,44 - 36
5:48,J.J. Redick enters the game for Jamal Crawford,44 - 36
5:48,Blake Griffin enters the game for Wesley Johnson,44 - 36
5:48,Joe Johnson enters the game for Alec Burks,44 - 36
5:41,Gordon Hayward  misses 20-foot jumper,44 - 36
5:41,J.J. Redick defensive rebound,44 - 36
5:37,Joe Johnson personal foul  (Blake Griffin draws the foul),44 - 36
5:37,Rodney Hood enters the game for Gordon Hayward,44 - 36
5:28,Blake Griffin  misses two point shot,44 - 36
5:26,George Hill defensive rebound,44 - 36
5:18,George Hill  misses Driving Floating Jump Shot,44 - 36
5:18,Blake Griffin defensive rebound,44 - 36
5:09,Rodney Hood personal foul  (Austin Rivers draws the foul),44 - 36
5:09,Alec Burks enters the game for Rodney Hood,44 - 36
4:58,Austin Rivers  misses 25-foot three point jumper,44 - 36
4:58,Alec Burks defensive rebound,44 - 36
4:35,Joe Johnson makes 18-foot two point shot,44 - 38
4:22,DeAndre Jordan makes dunk (J.J. Redick assists),46 - 38
4:03,Joe Johnson  misses 25-foot three point jumper,46 - 38
4:03,Rudy Gobert offensive rebound,46 - 38
3:59,Rudy Gobert makes two point shot,46 - 40
3:31,Joe Ingles shooting foul  (J.J. Redick draws the foul),48 - 40
3:31,J.J. Redick makes free throw 1 of 2,47 - 40
3:31,Gordon Hayward enters the game for Alec Burks,47 - 40
3:31,J.J. Redick makes free throw 2 of 2,48 - 40
3:21,Gordon Hayward makes two point shot (Joe Ingles assists),48 - 42
3:03,J.J. Redick makes 21-foot two point shot,50 - 42
2:39,George Hill makes layup (Rudy Gobert assists),50 - 44
2:17,Chris Paul  misses 25-foot three point jumper,50 - 44
2:17,Jazz defensive team rebound,50 - 44
2:17,DeAndre Jordan loose ball foul  (George Hill draws the foul),50 - 44
2:17,Clippers Full timeout,50 - 44
2:17,Luc Mbah a Moute enters the game for Austin Rivers,50 - 44
2:04,Joe Ingles makes layup (Gordon Hayward assists),50 - 46
1:46,J.J. Redick makes 25-foot  three point jumper  (Blake Griffin assists),53 - 46
1:20,Joe Johnson makes layup,53 - 48
1:05,Chris Paul  misses 24-foot three point jumper,53 - 48
1:04,Chris Paul offensive rebound,53 - 48
46.0,Rudy Gobert shooting foul  (Blake Griffin draws the foul),54 - 48
46.0,Blake Griffin makes free throw 1 of 2,54 - 48
46.0,Jazz 20 Sec. timeout,54 - 48
46.0,Blake Griffin misses free throw 2 of 2,54 - 48
44.0,Rudy Gobert defensive rebound,54 - 48
35.0,Luc Mbah a Moute shooting foul  (George Hill draws the foul),54 - 49
35.0,George Hill misses free throw 1 of 3,54 - 48
35.0,Jazz offensive team rebound,54 - 48
35.0,George Hill makes free throw 2 of 3,54 - 49
35.0,Jamal Crawford enters the game for Luc Mbah a Moute,54 - 49
35.0,George Hill misses free throw 3 of 3,54 - 49
33.0,Chris Paul defensive rebound,54 - 49
27.0,Chris Paul makes 17-foot two point shot,56 - 49
5.0,Gordon Hayward  misses 13-foot jumper,56 - 49
3.0,Rudy Gobert offensive rebound,56 - 49
1.0,DeAndre Jordan blocks Joe Johnson's  layup,56 - 49
1.0,DeAndre Jordan defensive rebound,56 - 49
1.0,Joe Ingles  misses 16-foot jumper,56 - 49
1.0,Jazz offensive team rebound,56 - 49
1.0,DeAndre Jordan Out-of-Bounds Bad Pass Turnover,56 - 49
0.0,End of the 2nd Quarter,56 - 49
11:45,J.J. Redick  misses 15-foot jumper,56 - 49
11:45,George Hill defensive rebound,56 - 49
11:30,J.J. Redick shooting foul  (Rodney Hood draws the foul),56 - 51
11:30,Rodney Hood makes free throw 1 of 2,56 - 50
11:30,Rodney Hood makes free throw 2 of 2,56 - 51
11:25,Rodney Hood personal foul  (J.J. Redick draws the foul),56 - 51
11:25,Joe Ingles enters the game for Rodney Hood,56 - 51
11:08,DeAndre Jordan makes two point shot (Blake Griffin assists),58 - 51
10:52,Joe Ingles makes 24-foot  three point jumper  (Gordon Hayward assists),58 - 54
10:27,Chris Paul  misses 25-foot three point jumper,58 - 54
10:27,Joe Ingles defensive rebound,58 - 54
10:18,Joe Ingles makes layup,58 - 56
10:07,J.J. Redick makes 16-foot two point shot (Chris Paul assists),60 - 56
9:49,Gordon Hayward offensive Charge  (Blake Griffin draws the foul),60 - 56
9:49,Gordon Hayward  turnover,60 - 56
