time,play,score
12:00,DeAndre Jordan vs. Kosta Koufos (DeMarcus Cousins gains possession),0 - 0
11:41,Arron Afflalo makes 11-foot two point shot,0 - 2
11:26,Kosta Koufos personal foul  (DeAndre Jordan draws the foul),0 - 2
11:21,DeAndre Jordan makes two point shot,2 - 2
10:59,DeMarcus Cousins makes 18-foot jumper (Rudy Gay assists),2 - 4
10:45,J.J. Redick  misses driving layup,2 - 4
10:44,Kosta Koufos defensive rebound,2 - 4
10:30,Ty Lawson makes 16-foot two point shot,2 - 6
10:22,Blake Griffin makes 19-foot two point shot (Chris Paul assists),4 - 6
10:07,Rudy Gay makes 17-foot two point shot (Ty Lawson assists),4 - 8
9:49,DeAndre Jordan makes two point shot,6 - 8
9:36,DeMarcus Cousins  misses 6-foot jumper,6 - 8
9:34,Chris Paul defensive rebound,6 - 8
9:30,Blake Griffin makes driving layup (Chris Paul assists),8 - 8
9:14,DeMarcus Cousins makes 4-foot two point shot,8 - 10
8:56,DeAndre Jordan makes 7-foot two point shot,10 - 10
8:37,DeMarcus Cousins  misses 11-foot two point jumper,10 - 10
8:37,Luc Mbah a Moute defensive rebound,10 - 10
8:30,J.J. Redick makes  three point jumper  (Blake Griffin assists),13 - 10
8:15,J.J. Redick personal foul  (Arron Afflalo draws the foul),13 - 10
8:04,DeMarcus Cousins  misses 4-foot hook shot,13 - 10
8:03,DeAndre Jordan defensive rebound,13 - 10
8:00,Kosta Koufos shooting foul  (Luc Mbah a Moute draws the foul),13 - 10
8:00,Luc Mbah a Moute misses free throw 1 of 2,13 - 10
8:00,Clippers offensive team rebound,13 - 10
8:00,Willie Cauley-Stein enters the game for Kosta Koufos,13 - 10
8:00,Luc Mbah a Moute misses free throw 2 of 2,13 - 10
7:58,Arron Afflalo defensive rebound,13 - 10
7:47,Willie Cauley-Stein  misses driving layup,13 - 10
7:45,Chris Paul defensive rebound,13 - 10
7:41,Chris Paul Out-of-Bounds Bad Pass Turnover,13 - 10
7:26,Rudy Gay  misses 18-foot jumper,13 - 10
7:24,DeAndre Jordan defensive rebound,13 - 10
7:16,Willie Cauley-Stein shooting foul  (Blake Griffin draws the foul),13 - 10
7:16,Blake Griffin makes free throw 1 of 2,14 - 10
7:16,Blake Griffin misses free throw 2 of 2,14 - 10
7:15,DeMarcus Cousins defensive rebound,14 - 10
6:54,Willie Cauley-Stein makes 5-foot two point shot (DeMarcus Cousins assists),14 - 12
6:41,Chris Paul  misses 25-foot three point jumper,14 - 12
6:39,Blake Griffin offensive rebound,14 - 12
6:31,J.J. Redick  misses 19-foot two point jumper,14 - 12
