time,play,score
12:00,DeAndre Jordan vs. Kristaps Porzingis (Blake Griffin gains possession),0 - 0
11:45,J.J. Redick makes 25-foot  three point jumper  (Austin Rivers assists),3 - 0
11:27,Kristaps Porzingis  misses 4-foot hook shot,3 - 0
11:25,Kyle O'Quinn offensive rebound,3 - 0
11:23,Kyle O'Quinn  misses layup,3 - 0
11:22,Kyle O'Quinn offensive rebound,3 - 0
11:07,Derrick Rose makes 2-foot two point shot (Courtney Lee assists),3 - 2
10:57,Austin Rivers makes 7-foot two point shot,5 - 2
10:36,Derrick Rose  misses 25-foot three point jumper,5 - 2
10:33,Kristaps Porzingis offensive rebound,5 - 2
10:33,Kristaps Porzingis makes layup,5 - 4
10:06,Luc Mbah a Moute  misses 23-foot three point jumper,5 - 4
10:03,Derrick Rose defensive rebound,5 - 4
9:59,Courtney Lee makes jumper (Derrick Rose assists),5 - 6
9:53,Kyle O'Quinn shooting foul  (Blake Griffin draws the foul),5 - 6
9:53,Blake Griffin misses free throw 1 of 2,5 - 6
9:53,Clippers offensive team rebound,5 - 6
9:53,Blake Griffin makes free throw 2 of 2,6 - 6
9:34,Kristaps Porzingis makes 14-foot two point shot,6 - 8
9:18,DeAndre Jordan makes two point shot (Blake Griffin assists),8 - 8
9:07,Kristaps Porzingis makes 25-foot  three point jumper  (Derrick Rose assists),8 - 11
8:57,Blake Griffin makes 25-foot  three point jumper  (Austin Rivers assists),11 - 11
8:44,Kristaps Porzingis  misses 25-foot three point jumper,11 - 11
8:42,Knicks offensive team rebound,11 - 11
8:42,Luc Mbah a Moute loose ball foul  (Kyle O'Quinn draws the foul),11 - 11
8:32,Kyle O'Quinn makes 5-foot jumper (Courtney Lee assists),11 - 13
8:17,Blake Griffin makes 20-foot jumper,13 - 13
8:08,Derrick Rose makes 15-foot jumper,13 - 15
7:52,Blake Griffin  misses layup,13 - 15
7:50,DeAndre Jordan offensive rebound,13 - 15
7:50,Kyle O'Quinn blocks DeAndre Jordan's  layup,13 - 15
7:48,DeAndre Jordan offensive rebound,13 - 15
7:46,DeAndre Jordan makes layup,15 - 15
7:37,Kyle O'Quinn makes 14-foot jumper (Derrick Rose assists),15 - 17
7:35,Clippers Full timeout,15 - 17
7:24,J.J. Redick  misses 21-foot jumper,15 - 17
