time,play,score
12:00,DeAndre Jordan vs. Ivica Zubac (Luc Mbah a Moute gains possession),0 - 0
11:37,JJ Redick makes 17-foot two point shot (Blake Griffin assists),2 - 0
11:18,D'Angelo Russell  misses 19-foot two point jumper,2 - 0
11:15,Chris Paul defensive rebound,2 - 0
11:07,Chris Paul makes 17-foot jumper,4 - 0
10:48,Julius Randle  misses 16-foot step back jumpshot,4 - 0
10:45,DeAndre Jordan defensive rebound,4 - 0
10:41,Jordan Clarkson personal foul  (JJ Redick draws the foul),4 - 0
10:26,Blake Griffin  misses 19-foot jumper,4 - 0
10:22,DeAndre Jordan offensive rebound,4 - 0
10:15,JJ Redick makes 25-foot  three point jumper  (DeAndre Jordan assists),7 - 0
10:00,Ivica Zubac makes 12-foot two point shot (Brandon Ingram assists),7 - 2
9:38,Blake Griffin  misses 21-foot jumper,7 - 2
9:37,Ivica Zubac defensive rebound,7 - 2
9:22,Ivica Zubac  misses 20-foot jumper,7 - 2
9:21,Chris Paul defensive rebound,7 - 2
9:11,DeAndre Jordan makes dunk (Chris Paul assists),9 - 2
8:56,Julius Randle  misses 20-foot jumper,9 - 2
8:55,DeAndre Jordan defensive rebound,9 - 2
8:45,Blake Griffin makes two point shot (Chris Paul assists),11 - 2
8:45,Lakers Full timeout,11 - 2
8:36,Brandon Ingram offensive foul  (Luc Mbah a Moute draws the foul),11 - 2
8:36,Brandon Ingram  turnover,11 - 2
8:22,JJ Redick makes 6-foot two point shot (Chris Paul assists),13 - 2
8:07,JJ Redick personal foul  (D'Angelo Russell draws the foul),13 - 2
8:03,D'Angelo Russell  bad pass (Chris Paul steals),13 - 2
7:56,Chris Paul  misses 24-foot three point jumper,13 - 2
7:54,Ivica Zubac defensive rebound,13 - 2
7:37,Brandon Ingram makes driving layup,13 - 4
7:24,Luc Mbah a Moute  misses 23-foot three point jumper,13 - 4
7:22,Jordan Clarkson defensive rebound,13 - 4
7:16,Ivica Zubac  misses layup,13 - 4
7:15,JJ Redick defensive rebound,13 - 4
7:09,JJ Redick makes 26-foot Running Pullup Jump Shot,16 - 4
7:07,technical foul(1st technical foul),16 - 4
7:07,Chris Paul makes technical free throw,17 - 4
6:50,Ivica Zubac makes 16-foot jumper (D'Angelo Russell assists),17 - 6
6:31,JJ Redick offensive foul  (Brandon Ingram draws the foul),17 - 6
6:31,JJ Redick  turnover,17 - 6
6:31,Jamal Crawford enters the game for JJ Redick,17 - 6
6:20,Julius Randle makes 9-foot jumper (Jordan Clarkson assists),17 - 8
6:03,DeAndre Jordan  traveling,17 - 8
5:56,Jamal Crawford personal foul  (Jordan Clarkson draws the foul),17 - 8
5:50,Jordan Clarkson  misses 26-foot three point pullup jump shot,17 - 8
5:48,Chris Paul defensive rebound,17 - 8
5:35,Blake Griffin makes 25-foot  three point jumper  (Jamal Crawford assists),20 - 8
5:24,DeAndre Jordan shooting foul  (Jordan Clarkson draws the foul),20 - 8
5:24,Jordan Clarkson makes free throw 1 of 2,20 - 9
5:24,Austin Rivers enters the game for Luc Mbah a Moute,20 - 9
5:24,Jordan Clarkson makes free throw 2 of 2,20 - 10
5:05,Chris Paul makes 16-foot two point shot,22 - 10
4:52,Ivica Zubac makes dunk (Jordan Clarkson assists),22 - 12
4:35,Chris Paul makes  three point jumper  (Blake Griffin assists),25 - 12
4:20,Brandon Ingram makes driving layup (Jordan Clarkson assists),25 - 14
4:03,Chris Paul  misses 7-foot step back jumpshot,25 - 14
3:59,DeAndre Jordan  misses,25 - 14
3:59,DeAndre Jordan offensive rebound,25 - 14
3:55,DeAndre Jordan  misses 2-foot,25 - 14
3:55,DeAndre Jordan offensive rebound,25 - 14
3:53,DeAndre Jordan makes dunk,27 - 14
3:53,DeAndre Jordan offensive rebound,25 - 14
3:44,Ivica Zubac makes dunk (Julius Randle assists),27 - 16
3:35,Clippers Full timeout,27 - 16
3:35,David Nwaba enters the game for Jordan Clarkson,27 - 16
3:24,Blake Griffin  misses 26-foot three point jumper,27 - 16
3:23,DeAndre Jordan offensive rebound,27 - 16
3:21,DeAndre Jordan  misses 2-foot,27 - 16
3:18,DeAndre Jordan offensive rebound,27 - 16
3:15,David Nwaba kicked ball violation,27 - 16
3:15,Marreese Speights enters the game for DeAndre Jordan,27 - 16
3:03,Austin Rivers  misses 24-foot three point jumper,27 - 16
3:02,Ivica Zubac defensive rebound,27 - 16
2:49,D'Angelo Russell makes 19-foot jumper (Julius Randle assists),27 - 18
2:39,Jamal Crawford  misses 25-foot three point jumper,27 - 18
2:36,Marreese Speights offensive rebound,27 - 18
2:28,Chris Paul makes 19-foot two point shot,29 - 18
2:13,Ivica Zubac  misses 17-foot jumper,29 - 18
2:11,Austin Rivers defensive rebound,29 - 18
1:58,Chris Paul makes 15-foot two point shot (Blake Griffin assists),31 - 18
1:47,D'Angelo Russell makes 17-foot two point shot,31 - 20
1:30,Marreese Speights  misses 25-foot three point jumper,31 - 20
1:29,David Nwaba defensive rebound,31 - 20
1:15,Julius Randle offensive Charge  (Marreese Speights draws the foul),31 - 20
1:15,Julius Randle  turnover,31 - 20
1:15,Larry Nance Jr. enters the game for Ivica Zubac,31 - 20
1:15,Raymond Felton enters the game for Chris Paul,31 - 20
59.0,Blake Griffin  misses 26-foot three point jumper,31 - 20
58.0,Brandon Ingram defensive rebound,31 - 20
53.0,Brandon Ingram  misses,31 - 20
53.0,Larry Nance Jr. makes tip shot,31 - 22
53.0,Larry Nance Jr. offensive rebound,31 - 20
38.0,Blake Griffin  lost ball turnover (Brandon Ingram steals),31 - 22
36.0,Marreese Speights personal foul  (Larry Nance Jr. draws the foul),31 - 22
36.0,Paul Pierce enters the game for Blake Griffin,31 - 22
28.0,Brandon Ingram makes two point shot (D'Angelo Russell assists),31 - 24
3.0,Austin Rivers makes 2-foot two point shot,33 - 24
0.0,Julius Randle  misses Running Pullup Jump Shot,33 - 24
0.0,Lakers offensive team rebound,33 - 24
0.0,End of the 1st Quarter,33 - 24
11:41,Corey Brewer  misses 9-foot jumper,33 - 24
11:38,Paul Pierce defensive rebound,33 - 24
11:33,Jamal Crawford makes 22-foot Running Pullup Jump Shot,35 - 24
11:26,David Nwaba  misses two point shot,35 - 24
11:25,Marreese Speights defensive rebound,35 - 24
