time,play,score
12:00,DeAndre Jordan vs. Brook Lopez (Isaiah Whitehead gains possession),0 - 0
11:42,Bojan Bogdanovic  misses driving layup,0 - 0
11:41,J.J. Redick defensive rebound,0 - 0
11:34,J.J. Redick makes 20-foot two point shot,2 - 0
11:23,Brook Lopez  misses 19-foot jumper,2 - 0
11:22,DeAndre Jordan defensive rebound,2 - 0
11:11,Paul Pierce makes 24-foot  three point jumper  (Chris Paul assists),5 - 0
10:56,Sean Kilpatrick  misses 13-foot Running Jumper,5 - 0
10:56,DeAndre Jordan defensive rebound,5 - 0
10:32,Chris Paul makes two point shot,7 - 0
10:14,Brook Lopez  misses 8-foot hook shot,7 - 0
10:12,Clippers defensive team rebound,7 - 0
9:52,Chris Paul  misses step back jumpshot,7 - 0
9:52,Bojan Bogdanovic defensive rebound,7 - 0
9:45,Bojan Bogdanovic  misses 19-foot two point jumper,7 - 0
9:44,DeAndre Jordan defensive rebound,7 - 0
9:25,Trevor Booker personal foul  (Chris Paul draws the foul),7 - 0
9:17,J.J. Redick  misses 24-foot three point jumper,7 - 0
9:15,Brook Lopez defensive rebound,7 - 0
9:10,Paul Pierce kicked ball violation,7 - 0
9:02,Trevor Booker  misses 25-foot three point jumper,7 - 0
9:00,Paul Pierce defensive rebound,7 - 0
8:48,Paul Pierce  misses 25-foot three point jumper,7 - 0
8:48,Bojan Bogdanovic defensive rebound,7 - 0
8:37,Brook Lopez makes 25-foot  three point jumper  (Bojan Bogdanovic assists),7 - 3
8:21,J.J. Redick  misses 24-foot three point jumper,7 - 3
8:19,Brook Lopez defensive rebound,7 - 3
8:12,Isaiah Whitehead makes 25-foot  three point jumper  (Trevor Booker assists),7 - 6
7:41,Chris Paul makes 19-foot jumper,9 - 6
7:20,Trevor Booker makes two point shot,9 - 8
7:09,J.J. Redick makes 26-foot  three point jumper  (Chris Paul assists),12 - 8
6:58,Brook Lopez makes 24-foot  three point jumper  (Isaiah Whitehead assists),12 - 11
6:43,J.J. Redick  misses 24-foot three point jumper,12 - 11
6:43,Nets defensive team rebound,12 - 11
6:30,Sean Kilpatrick  misses 22-foot jumper,12 - 11
6:28,DeAndre Jordan defensive rebound,12 - 11
6:11,Chris Paul  misses two point shot,12 - 11
6:11,DeAndre Jordan offensive rebound,12 - 11
5:58,J.J. Redick  misses 23-foot two point jumper,12 - 11
5:58,Chris Paul offensive rebound,12 - 11
5:56,DeAndre Jordan makes two point shot (Chris Paul assists),14 - 11
5:54,Nets Full timeout,14 - 11
5:54,Justin Hamilton enters the game for Brook Lopez,14 - 11
5:54,Joe Harris enters the game for Bojan Bogdanovic,14 - 11
5:43,Sean Kilpatrick  misses 25-foot three point jumper,14 - 11
5:43,Trevor Booker offensive rebound,14 - 11
5:33,Trevor Booker  misses driving layup,14 - 11
5:31,Paul Pierce defensive rebound,14 - 11
5:16,Isaiah Whitehead shooting foul  (Luc Mbah a Moute draws the foul),14 - 11
5:16,Luc Mbah a Moute misses free throw 1 of 2,14 - 11
5:16,Clippers offensive team rebound,14 - 11
5:16,Luc Mbah a Moute makes free throw 2 of 2,15 - 11
5:03,Sean Kilpatrick  bad pass (Luc Mbah a Moute steals),15 - 11
4:56,J.J. Redick makes two point shot,17 - 11
4:28,Justin Hamilton  misses 14-foot two point shot,17 - 11
4:28,DeAndre Jordan defensive rebound,17 - 11
4:09,Chris Paul  misses 25-foot three point jumper,17 - 11
4:09,Clippers offensive team rebound,17 - 11
4:09,Joe Harris loose ball foul  (DeAndre Jordan draws the foul),17 - 11
4:09,Wesley Johnson enters the game for Paul Pierce,17 - 11
4:09,Randy Foye enters the game for Sean Kilpatrick,17 - 11
4:01,DeAndre Jordan makes two point shot (Chris Paul assists),19 - 11
3:51,DeAndre Jordan blocks Isaiah Whitehead 's 2-foot  shot,19 - 11
3:50,Jamal Crawford enters the game for Luc Mbah a Moute,19 - 11
3:50,Nets offensive team rebound,19 - 11
3:45,Trevor Booker  misses 24-foot three point jumper,19 - 11
3:44,Chris Paul defensive rebound,19 - 11
3:38,J.J. Redick  lost ball turnover (Joe Harris steals),19 - 11
3:38,DeAndre Jordan personal foul  (Joe Harris draws the foul),19 - 11
3:27,Trevor Booker makes 2-foot layup (Isaiah Whitehead assists),19 - 13
3:27,Wesley Johnson shooting foul  (Trevor Booker draws the foul),19 - 13
3:27,Trevor Booker makes free throw 1 of 1,19 - 14
3:06,J.J. Redick makes 24-foot  three point jumper  (Chris Paul assists),22 - 14
2:48,Joe Harris  misses driving layup,22 - 14
2:47,DeAndre Jordan defensive rebound,22 - 14
2:45,DeAndre Jordan  bad pass (Trevor Booker steals),22 - 14
2:43,Trevor Booker makes layup,22 - 16
2:39,DeAndre Jordan possession lost ball turnover Trevor Booker,22 - 16
2:38,DeAndre Jordan kicked ball violation,22 - 16
2:38,Clippers Full timeout,22 - 16
2:38,Austin Rivers enters the game for J.J. Redick,22 - 16
2:38,Brook Lopez enters the game for Trevor Booker,22 - 16
2:38,Bojan Bogdanovic enters the game for Isaiah Whitehead,22 - 16
2:28,Brook Lopez  misses 25-foot three point jumper,22 - 16
2:25,DeAndre Jordan defensive rebound,22 - 16
2:16,Wesley Johnson  misses 25-foot three point jumper,22 - 16
2:15,Randy Foye defensive rebound,22 - 16
2:09,Wesley Johnson personal foul  (Justin Hamilton draws the foul),22 - 16
2:02,Joe Harris makes jumper (Justin Hamilton assists),22 - 18
1:49,Chris Paul makes driving layup,24 - 18
1:32,Brook Lopez makes two point shot (Randy Foye assists),24 - 20
1:15,Chris Paul makes jumper,26 - 20
1:04,Wesley Johnson personal foul  (Justin Hamilton draws the foul),26 - 20
1:04,Raymond Felton enters the game for Chris Paul,26 - 20
