time,play,score
12:00,Marreese Speights vs. Mason Plumlee (Jameer Nelson gains possession),0 - 0
11:40,Mason Plumlee  misses layup,0 - 0
11:38,Marreese Speights defensive rebound,0 - 0
11:30,Austin Rivers  misses 18-foot jumper,0 - 0
11:30,Mason Plumlee defensive rebound,0 - 0
11:21,Nikola Jokic makes layup (Mason Plumlee assists),0 - 2
11:04,Luc Mbah a Moute makes jumper (Chris Paul assists),2 - 2
10:52,Juancho Hernangomez makes layup (Nikola Jokic assists),2 - 4
10:33,Marreese Speights  misses three point jumper,2 - 4
10:32,Nikola Jokic defensive rebound,2 - 4
10:22,Gary Harris makes two point shot (Mason Plumlee assists),2 - 6
10:02,Luc Mbah a Moute  misses 16-foot jumper,2 - 6
10:00,Juancho Hernangomez defensive rebound,2 - 6
9:40,Mason Plumlee  misses hook shot,2 - 6
9:37,Chris Paul defensive rebound,2 - 6
9:26,J.J. Redick makes 20-foot jumper (Chris Paul assists),4 - 6
9:11,Gary Harris  bad pass (J.J. Redick steals),4 - 6
9:03,Luc Mbah a Moute  misses layup,4 - 6
9:02,Jameer Nelson defensive rebound,4 - 6
8:52,Mason Plumlee  misses 7-foot two point shot,4 - 6
8:51,Chris Paul defensive rebound,4 - 6
8:44,Luc Mbah a Moute  misses two point shot,4 - 6
8:42,Mason Plumlee defensive rebound,4 - 6
8:32,Mason Plumlee makes 2-foot two point shot (Nikola Jokic assists),4 - 8
8:23,Juancho Hernangomez personal foul  (J.J. Redick draws the foul),4 - 8
8:11,Chris Paul makes 19-foot jumper,6 - 8
8:03,Marreese Speights shooting foul  (Mason Plumlee draws the foul),6 - 8
8:03,Mason Plumlee misses free throw 1 of 2,6 - 8
8:03,Nuggets offensive team rebound,6 - 8
8:03,Mason Plumlee misses free throw 2 of 2,6 - 8
8:00,Luc Mbah a Moute defensive rebound,6 - 8
7:52,Chris Paul  bad pass (Jameer Nelson steals),6 - 8
7:46,Juancho Hernangomez  misses layup,6 - 8
7:45,Marreese Speights defensive rebound,6 - 8
7:28,Chris Paul makes 19-foot jumper,8 - 8
7:03,Jameer Nelson  misses 25-foot three point jumper,8 - 8
7:01,Mason Plumlee offensive rebound,8 - 8
6:54,Mason Plumlee  misses 6-foot hook shot,8 - 8
6:52,Marreese Speights defensive rebound,8 - 8
6:47,Marreese Speights makes 25-foot  three point jumper  (Austin Rivers assists),11 - 8
6:28,Gary Harris makes driving layup,11 - 10
6:28,Luc Mbah a Moute shooting foul  (Gary Harris draws the foul),11 - 10
6:28,Gary Harris makes free throw 1 of 1,11 - 11
6:13,Marreese Speights offensive foul  (Mason Plumlee draws the foul),11 - 11
6:13,Marreese Speights  turnover,11 - 11
6:01,Juancho Hernangomez  misses 25-foot three point jumper,11 - 11
6:01,J.J. Redick defensive rebound,11 - 11
5:52,Chris Paul  misses 25-foot three point jumper,11 - 11
5:50,Juancho Hernangomez defensive rebound,11 - 11
5:35,Nikola Jokic makes two point shot,11 - 13
5:26,Luc Mbah a Moute makes dunk (Chris Paul assists),13 - 13
5:11,Mason Plumlee makes layup (Nikola Jokic assists),13 - 15
5:05,Clippers Full timeout,13 - 15
5:05,Wesley Johnson enters the game for Luc Mbah a Moute,13 - 15
5:05,Brandon Bass enters the game for Marreese Speights,13 - 15
5:05,Will Barton enters the game for Juancho Hernangomez,13 - 15
5:05,Jamal Murray enters the game for Gary Harris,13 - 15
4:50,Chris Paul  misses 17-foot jumper,13 - 15
4:48,Jamal Murray defensive rebound,13 - 15
4:43,Austin Rivers personal foul  (Mason Plumlee draws the foul),13 - 15
4:43,Raymond Felton enters the game for Austin Rivers,13 - 15
4:43,Jamal Crawford enters the game for J.J. Redick,13 - 15
4:37,Nikola Jokic makes 4-foot two point shot (Jameer Nelson assists),13 - 17
4:13,Wesley Johnson  misses 14-foot jumper,13 - 17
4:11,Nikola Jokic defensive rebound,13 - 17
4:09,Nikola Jokic Out-of-Bounds Bad Pass Turnover,13 - 17
4:01,Brandon Bass  misses layup,13 - 17
4:00,Mason Plumlee defensive rebound,13 - 17
4:00,Chris Paul personal foul  (Mason Plumlee draws the foul),13 - 17
4:00,Kenneth Faried enters the game for Mason Plumlee,13 - 17
3:49,Jamal Murray makes 2-foot two point shot (Will Barton assists),13 - 19
3:29,Raymond Felton  misses 20-foot jumper,13 - 19
3:28,Kenneth Faried defensive rebound,13 - 19
3:18,Alan Anderson enters the game for Chris Paul,13 - 19
3:09,Nikola Jokic makes 3-foot layup (Jameer Nelson assists),13 - 21
2:50,Jamal Crawford  misses 10-foot two point shot,13 - 21
2:50,Nikola Jokic defensive rebound,13 - 21
2:42,Nikola Jokic  misses jumper,13 - 21
2:41,Nuggets offensive team rebound,13 - 21
2:41,Alan Anderson loose ball foul  (Kenneth Faried draws the foul),13 - 22
2:41,Nuggets Full timeout,13 - 21
2:41,Mason Plumlee enters the game for Nikola Jokic,13 - 21
2:41,Gary Harris enters the game for Jameer Nelson,13 - 21
2:41,Kenneth Faried makes free throw 1 of 2,13 - 22
2:41,Kenneth Faried makes free throw 2 of 2,13 - 23
2:21,Alan Anderson makes 25-foot  three point jumper  (Wesley Johnson assists),16 - 23
2:04,Brandon Bass blocks Will Barton 's 3-foot  jumper,16 - 23
2:00,Kenneth Faried offensive rebound,16 - 23
2:00,Kenneth Faried makes two point shot,16 - 25
1:44,Wesley Johnson makes 7-foot jumper (Jamal Crawford assists),18 - 25
1:25,Kenneth Faried  misses 9-foot hook shot,18 - 25
1:23,Raymond Felton defensive rebound,18 - 25
1:08,Jamal Crawford  lost ball turnover (Jamal Murray steals),18 - 25
1:02,Jamal Murray  misses layup,18 - 25
1:00,Will Barton offensive rebound,18 - 25
1:00,Will Barton makes layup,18 - 27
43.0,Mason Plumlee blocks Raymond Felton 's 2-foot  layup,18 - 27
42.0,Kenneth Faried defensive rebound,18 - 27
22.0,Kenneth Faried  misses two point shot,18 - 27
19.0,Wesley Johnson defensive rebound,18 - 27
6.0,Jamal Murray personal take foul  (Jamal Crawford draws the foul),18 - 27
0.0,Kenneth Faried shooting foul  (Brandon Bass draws the foul),18 - 27
0.0,Brandon Bass misses free throw 1 of 2,18 - 27
0.0,Clippers offensive team rebound,18 - 27
0.0,Brandon Bass makes free throw 2 of 2,19 - 27
0.0,End of the 1st Quarter,19 - 27
11:44,Jamal Crawford  misses layup,19 - 27
11:42,Mason Plumlee defensive rebound,19 - 27
11:26,Jamal Murray  misses 24-foot three point jumper,19 - 27
11:26,Jamal Crawford defensive rebound,19 - 27
11:18,Mason Plumlee blocks Brandon Bass 's 2-foot  layup,19 - 27
11:15,Brandon Bass offensive rebound,19 - 27
11:11,Brandon Bass makes two point shot,21 - 27
10:59,Will Barton makes 26-foot  three point jumper  (Gary Harris assists),21 - 30
10:45,Jamal Crawford  misses 19-foot jumper,21 - 30
10:45,Will Barton defensive rebound,21 - 30
10:26,Jamal Murray  misses three point jumper,21 - 30
10:26,Kenneth Faried offensive rebound,21 - 30
10:22,Jamal Crawford blocks Kenneth Faried 's 8-foot  jumper,21 - 30
10:19,Jamal Crawford defensive rebound,21 - 30
10:07,Brandon Bass makes 12-foot jumper,23 - 30
9:55,Will Barton makes 26-foot  three point jumper  (Mason Plumlee assists),23 - 33
9:38,Wesley Johnson  misses 24-foot three point jumper,23 - 33
9:37,Mason Plumlee defensive rebound,23 - 33
9:29,Mason Plumlee makes two point shot (Kenneth Faried assists),23 - 35
9:29,Clippers Full timeout,23 - 35
9:29,J.J. Redick enters the game for Wesley Johnson,23 - 35
9:29,Marreese Speights enters the game for Raymond Felton,23 - 35
9:29,Austin Rivers enters the game for Alan Anderson,23 - 35
9:29,Juancho Hernangomez enters the game for Kenneth Faried,23 - 35
9:06,Jamal Crawford makes 25-foot  three point jumper,26 - 35
8:53,Marreese Speights shooting foul  (Gary Harris draws the foul),26 - 35
8:53,Gary Harris makes free throw 1 of 2,26 - 36
8:53,Chris Paul enters the game for Marreese Speights,26 - 36
8:53,Paul Pierce enters the game for Jamal Crawford,26 - 36
8:53,Gary Harris makes free throw 2 of 2,26 - 37
8:37,Paul Pierce  misses 25-foot three point jumper,26 - 37
8:36,Juancho Hernangomez defensive rebound,26 - 37
8:30,Will Barton makes 25-foot  three pointer  (Juancho Hernangomez assists),26 - 40
8:08,Chris Paul  bad pass (Jamal Murray steals),26 - 40
8:03,Will Barton  misses three point jumper,26 - 40
8:02,Austin Rivers defensive rebound,26 - 40
7:52,J.J. Redick makes 20-foot jumper,28 - 40
7:35,Juancho Hernangomez makes  three point jumper  (Will Barton assists),28 - 43
7:07,Paul Pierce  misses 20-foot jumper,28 - 43
7:07,Jamal Murray defensive rebound,28 - 43
