time,play,score
12:00,DeAndre Jordan vs. Pau Gasol (Chris Paul gains possession),0 - 0
11:47,DeAndre Jordan  misses two point shot,0 - 0
11:45,Kyle Anderson defensive rebound,0 - 0
11:36,Pau Gasol makes  three point jumper  (Kyle Anderson assists),0 - 3
11:10,Blake Griffin  misses 26-foot three point jumper,0 - 3
11:08,Kawhi Leonard defensive rebound,0 - 3
10:59,Kawhi Leonard makes driving dunk,0 - 5
10:45,Luc Richard Mbah a Moute  misses layup,0 - 5
10:42,Pau Gasol defensive rebound,0 - 5
10:36,LaMarcus Aldridge makes 24-foot  three point jumper  (Kawhi Leonard assists),0 - 8
10:36,Clippers Full timeout,0 - 8
10:18,Pau Gasol blocks DeAndre Jordan's  layup,0 - 8
10:15,Patty Mills defensive rebound,0 - 8
10:03,Pau Gasol  misses three point jumper,0 - 8
10:02,J.J. Redick defensive rebound,0 - 8
9:48,Luc Richard Mbah a Moute makes dunk (Chris Paul assists),2 - 8
9:33,Kawhi Leonard  misses layup,2 - 8
9:33,DeAndre Jordan defensive rebound,2 - 8
9:23,J.J. Redick makes layup (Blake Griffin assists),4 - 8
9:23,LaMarcus Aldridge shooting foul  (J.J. Redick draws the foul),4 - 8
9:23,J.J. Redick makes free throw 1 of 1,5 - 8
9:15,Chris Paul personal foul  (Patty Mills draws the foul),5 - 8
9:11,Kawhi Leonard makes 20-foot jumper (Patty Mills assists),5 - 10
8:57,J.J. Redick  misses 22-foot jumper,5 - 10
8:56,Pau Gasol defensive rebound,5 - 10
8:49,Kawhi Leonard  misses 26-foot three point pullup jump shot,5 - 10
8:48,Blake Griffin defensive rebound,5 - 10
8:36,Blake Griffin makes 20-foot jumper (Chris Paul assists),7 - 10
8:21,Kawhi Leonard  misses 20-foot jumper,7 - 10
8:21,Clippers defensive team rebound,7 - 10
8:15,Kyle Anderson personal foul  (Chris Paul draws the foul),7 - 10
7:54,Blake Griffin makes 21-foot two point shot (Chris Paul assists),9 - 10
7:37,LaMarcus Aldridge  misses 15-foot jumper,9 - 10
7:35,Chris Paul defensive rebound,9 - 10
7:22,Luc Richard Mbah a Moute makes 22-foot  three point jumper  (DeAndre Jordan assists),12 - 10
7:09,Patty Mills  misses 19-foot two point jumper,12 - 10
7:09,Chris Paul defensive rebound,12 - 10
7:03,Blake Griffin makes dunk (Chris Paul assists),14 - 10
6:46,LaMarcus Aldridge  misses 14-foot two point shot,14 - 10
6:45,DeAndre Jordan defensive rebound,14 - 10
6:35,DeAndre Jordan makes 4-foot two point shot,16 - 10
6:35,Spurs Full timeout,16 - 10
6:35,Manu Ginobili enters the game for Kyle Anderson,16 - 10
6:16,DeAndre Jordan personal foul  (Pau Gasol draws the foul),16 - 10
6:11,Kawhi Leonard  misses 18-foot two point jumper,16 - 10
6:09,Chris Paul defensive rebound,16 - 10
