time,play,score
12:00,DeAndre Jordan vs. Alex Len (Blake Griffin gains possession),0 - 0
11:38,JJ Redick  lost ball turnover (Devin Booker steals),0 - 0
11:30,Marquese Chriss makes layup (Devin Booker assists),0 - 2
11:17,Devin Booker personal foul  (JJ Redick draws the foul),0 - 2
11:08,Blake Griffin makes 20-foot jumper,2 - 2
10:55,Alex Len offensive foul  (JJ Redick draws the foul),2 - 2
10:55,Alex Len  turnover,2 - 2
10:41,Blake Griffin  misses 20-foot jumper,2 - 2
10:40,DeAndre Jordan offensive rebound,2 - 2
10:37,Luc Mbah a Moute  traveling,2 - 2
10:18,Devin Booker  misses 18-foot two point jumper,2 - 2
10:15,Chris Paul defensive rebound,2 - 2
10:14,Marquese Chriss shooting foul  (Blake Griffin draws the foul),2 - 2
10:14,Blake Griffin makes free throw 1 of 2,3 - 2
10:14,Blake Griffin makes free throw 2 of 2,4 - 2
10:04,Blake Griffin shooting foul  (Alex Len draws the foul),4 - 2
10:04,Alex Len makes free throw 1 of 2,4 - 3
10:04,Alex Len makes free throw 2 of 2,4 - 4
9:57,JJ Redick  bad pass (Tyler Ulis steals),4 - 4
9:52,TJ Warren makes 3-foot two point shot (Tyler Ulis assists),4 - 6
9:45,Chris Paul makes 8-foot jumper,6 - 6
9:34,Tyler Ulis  misses 16-foot jumper,6 - 6
9:34,Chris Paul defensive rebound,6 - 6
9:23,Luc Mbah a Moute steps out of bounds turnover,6 - 6
9:11,Alex Len makes layup (Devin Booker assists),6 - 8
8:56,Alex Len blocks Chris Paul's  jumper,6 - 8
8:55,Devin Booker defensive rebound,6 - 8
8:52,Marquese Chriss makes two point shot (Devin Booker assists),6 - 10
8:37,JJ Redick  misses 20-foot jumper,6 - 10
8:37,DeAndre Jordan offensive rebound,6 - 10
8:37,DeAndre Jordan makes tip shot,8 - 10
8:29,Devin Booker makes layup (Tyler Ulis assists),8 - 12
8:29,JJ Redick shooting foul  (Devin Booker draws the foul),8 - 12
8:29,Devin Booker makes free throw 1 of 1,8 - 13
8:17,JJ Redick makes 25-foot  three point jumper  (Chris Paul assists),11 - 13
7:54,Devin Booker makes 19-foot jumper,11 - 15
7:39,JJ Redick  misses 25-foot three point jumper,11 - 15
7:39,Chris Paul offensive rebound,11 - 15
7:26,Luc Mbah a Moute  misses,11 - 15
7:26,DeAndre Jordan offensive rebound,11 - 15
7:22,Chris Paul makes  three point jumper  (DeAndre Jordan assists),14 - 15
7:13,DeAndre Jordan blocks Tyler Ulis 's 3-foot  layup,14 - 15
7:13,Suns offensive team rebound,14 - 15
7:05,TJ Warren  misses 18-foot two point jumper,14 - 15
7:03,DeAndre Jordan defensive rebound,14 - 15
7:00,Blake Griffin makes dunk (Chris Paul assists),16 - 15
7:00,Suns Full timeout,16 - 15
6:50,Alex Len  lost ball turnover (Chris Paul steals),16 - 15
6:45,Blake Griffin  bad pass,16 - 15
6:33,Marquese Chriss  misses three point jumper,16 - 15
6:33,DeAndre Jordan defensive rebound,16 - 15
6:22,Chris Paul makes 20-foot two point shot,18 - 15
6:11,Devin Booker makes 19-foot jumper,18 - 17
5:54,JJ Redick  misses jumper,18 - 17
5:54,Tyler Ulis defensive rebound,18 - 17
5:43,Tyler Ulis  bad pass (Luc Mbah a Moute steals),18 - 17
5:41,Alex Len personal foul  (Luc Mbah a Moute draws the foul),18 - 17
5:41,Alan Williams enters the game for Alex Len,18 - 17
5:20,Alan Williams shooting foul  (JJ Redick draws the foul),18 - 17
5:20,JJ Redick makes free throw 1 of 2,19 - 17
5:20,JJ Redick misses free throw 2 of 2,19 - 17
5:20,Alan Williams defensive rebound,19 - 17
5:07,Marquese Chriss makes  three point jumper  (Devin Booker assists),19 - 20
4:58,Chris Paul  misses 14-foot jumper,19 - 20
4:58,TJ Warren defensive rebound,19 - 20
4:52,TJ Warren  double dribble turnover,19 - 20
4:41,Blake Griffin  misses 7-foot hook shot,19 - 20
4:39,Alan Williams defensive rebound,19 - 20
4:35,Marquese Chriss makes 2-foot layup (Tyler Ulis assists),19 - 22
4:18,Blake Griffin makes 21-foot jumper (Chris Paul assists),21 - 22
4:09,Devin Booker makes two point shot,21 - 24
4:01,Clippers Full timeout,21 - 24
4:01,Paul Pierce enters the game for Luc Mbah a Moute,21 - 24
4:01,Jamal Crawford enters the game for Blake Griffin,21 - 24
4:01,Raymond Felton enters the game for JJ Redick,21 - 24
3:51,DeAndre Jordan  misses,21 - 24
3:50,TJ Warren defensive rebound,21 - 24
