time,play,score
12:00,Marc Gasol vs. Rudy Gobert (JaMychal Green gains possession),0 - 0
11:45,Marc Gasol  misses 21-foot jumper,0 - 0
11:45,Rodney Hood defensive rebound,0 - 0
11:25,Rodney Hood  misses 25-foot three point jumper,0 - 0
11:23,James Ennis defensive rebound,0 - 0
11:10,JaMychal Green  misses three point jumper,0 - 0
11:10,Rodney Hood defensive rebound,0 - 0
10:56,Trey Lyles  misses 23-foot three point jumper,0 - 0
10:56,Rudy Gobert offensive rebound,0 - 0
10:53,Marc Gasol blocks Trey Lyles's  shot,0 - 0
10:53,Jazz offensive team rebound,0 - 0
10:37,Rodney Hood makes 7-foot Driving Floating Jump Shot,0 - 2
10:18,Marc Gasol  misses 17-foot jumper,0 - 2
10:17,Gordon Hayward defensive rebound,0 - 2
9:59,Rudy Gobert  bad pass (Mike Conley steals),0 - 2
9:45,Marc Gasol makes 24-foot  three point jumper  (Mike Conley assists),3 - 2
9:21,Gordon Hayward makes 19-foot two point shot,3 - 4
9:07,Tony Allen makes 2-foot two point shot,5 - 4
8:45,Gordon Hayward  misses 8-foot two point shot,5 - 4
8:45,James Ennis defensive rebound,5 - 4
8:37,JaMychal Green makes  three point jumper  (James Ennis assists),8 - 4
8:15,George Hill  misses 24-foot three point jumper,8 - 4
8:14,Rudy Gobert offensive rebound,8 - 4
8:11,James Ennis shooting foul  (Rudy Gobert draws the foul),8 - 4
8:11,Rudy Gobert makes free throw 1 of 2,8 - 5
8:11,Rudy Gobert makes free throw 2 of 2,8 - 6
7:54,James Ennis  bad pass (Trey Lyles steals),8 - 6
7:50,George Hill makes two point shot (Trey Lyles assists),8 - 8
7:35,Mike Conley makes layup (Marc Gasol assists),10 - 8
7:22,George Hill makes 24-foot  three point jumper  (Trey Lyles assists),10 - 11
7:01,Mike Conley  misses 24-foot three point jumper,10 - 11
7:01,Rudy Gobert defensive rebound,10 - 11
6:52,George Hill makes layup (Gordon Hayward assists),10 - 13
6:48,Grizzlies Full timeout,10 - 13
6:48,Zach Randolph enters the game for JaMychal Green,10 - 13
6:48,Vince Carter enters the game for James Ennis,10 - 13
6:48,Joe Ingles enters the game for Rodney Hood,10 - 13
6:48,Boris Diaw enters the game for Trey Lyles,10 - 13
6:33,George Hill personal foul  (Mike Conley draws the foul),10 - 13
6:26,Mike Conley makes 24-foot  three point jumper  (Marc Gasol assists),13 - 13
6:01,George Hill makes 22-foot jumper (Boris Diaw assists),13 - 15
5:47,Vince Carter  misses 26-foot three point jumper,13 - 15
5:46,Gordon Hayward defensive rebound,13 - 15
5:33,Gordon Hayward  misses 24-foot three point jumper,13 - 15
5:33,Vince Carter defensive rebound,13 - 15
5:22,Zach Randolph  misses 17-foot jumper,13 - 15
5:20,Gordon Hayward defensive rebound,13 - 15
5:11,Alec Burks enters the game for George Hill,13 - 15
5:11,Troy Daniels enters the game for Tony Allen,13 - 15
5:11,Andrew Harrison enters the game for Mike Conley,13 - 15
5:07,Joe Ingles makes 25-foot  three point jumper  (Gordon Hayward assists),13 - 18
4:46,Andrew Harrison  misses 25-foot three point jumper,13 - 18
4:45,Rudy Gobert defensive rebound,13 - 18
