time,play,score
12:00,Marc Gasol vs. Myles Turner (Mike Conley gains possession),0 - 0
11:37,Marc Gasol  misses 11-foot jumper,0 - 0
11:36,Paul George defensive rebound,0 - 0
11:26,Myles Turner  bad pass (Tony Allen steals),2 - 0
11:10,Mike Conley makes 3-foot two point shot,2 - 0
10:49,Myles Turner makes 17-foot jumper (Jeff Teague assists),2 - 2
10:29,Marc Gasol  misses 21-foot jumper,2 - 2
10:29,Thaddeus Young defensive rebound,2 - 2
10:12,Tony Allen vs. Jeff Teague,2 - 2
10:04,Paul George makes 26-foot  three point jumper  (Thaddeus Young assists),2 - 5
9:48,Tony Allen  misses 12-foot jumper,2 - 5
9:48,Tony Allen offensive rebound,2 - 5
9:47,Tony Allen makes two point shot,4 - 5
9:37,C.J. Miles  lost ball turnover (Tony Allen steals),4 - 5
9:30,Chandler Parsons makes layup (Tony Allen assists),6 - 5
9:22,Marc Gasol kicked ball violation,6 - 5
9:15,Thaddeus Young makes 3-foot dunk (Myles Turner assists),6 - 7
8:56,JaMychal Green makes 23-foot  three point jumper  (Marc Gasol assists),9 - 7
8:41,C.J. Miles makes 26-foot  three point jumper  (Paul George assists),9 - 10
8:19,Chandler Parsons  misses layup,9 - 10
8:17,Myles Turner defensive rebound,9 - 10
8:14,Chandler Parsons personal foul  (Jeff Teague draws the foul),9 - 10
8:00,Jeff Teague  misses jumper,9 - 10
7:58,Mike Conley defensive rebound,9 - 10
7:43,JaMychal Green makes 3-foot dunk (Marc Gasol assists),11 - 10
7:33,Paul George offensive Charge  (JaMychal Green draws the foul),11 - 10
7:33,Paul George  turnover,11 - 10
7:16,Tony Allen makes  three point jumper  (Mike Conley assists),14 - 10
7:03,Thaddeus Young  misses 6-foot Running Jumper,14 - 10
7:03,Chandler Parsons defensive rebound,14 - 10
6:58,Tony Allen makes layup (Chandler Parsons assists),16 - 10
6:41,Paul George makes 20-foot jumper (C.J. Miles assists),16 - 12
6:26,Tony Allen makes layup (Mike Conley assists),18 - 12
6:05,C.J. Miles  misses 27-foot three point jumper,18 - 12
6:03,Tony Allen defensive rebound,18 - 12
5:48,Marc Gasol  misses 26-foot three point jumper,18 - 12
5:47,C.J. Miles defensive rebound,18 - 12
5:41,Thaddeus Young makes 5-foot jumper (Jeff Teague assists),18 - 14
5:35,Grizzlies Full timeout,18 - 14
5:35,Vince Carter enters the game for Chandler Parsons,18 - 14
5:35,Zach Randolph enters the game for JaMychal Green,18 - 14
5:35,Monta Ellis enters the game for Thaddeus Young,18 - 14
5:35,Lavoy Allen enters the game for C.J. Miles,18 - 14
5:20,Mike Conley  misses 25-foot three point jumper,18 - 14
5:20,Lavoy Allen defensive rebound,18 - 14
5:05,Jeff Teague  misses 22-foot two point jumper,18 - 14
5:05,Vince Carter defensive rebound,18 - 14
4:52,Marc Gasol makes two point shot,20 - 14
4:28,Lavoy Allen makes 20-foot jumper (Jeff Teague assists),20 - 16
4:11,Vince Carter makes 25-foot  three point jumper  (Mike Conley assists),23 - 16
3:47,Paul George  misses 11-foot jumper,23 - 16
3:47,Mike Conley defensive rebound,23 - 16
3:40,Marc Gasol  misses 6-foot two point shot,23 - 16
3:40,Lavoy Allen defensive rebound,23 - 16
3:31,Myles Turner makes two point shot (Jeff Teague assists),23 - 18
3:16,Vince Carter  misses 26-foot three point jumper,23 - 18
3:15,Lavoy Allen defensive rebound,23 - 18
3:05,Paul George  misses 26-foot three point jumper,23 - 18
3:04,Tony Allen defensive rebound,23 - 18
3:00,Mike Conley makes layup (Tony Allen assists),25 - 18
2:51,Pacers Full timeout,25 - 18
2:51,Toney Douglas enters the game for Marc Gasol,25 - 18
2:51,James Ennis enters the game for Tony Allen,25 - 18
2:51,JaMychal Green enters the game for Mike Conley,25 - 18
2:51,Glenn Robinson III enters the game for Paul George,25 - 18
2:51,Rodney Stuckey enters the game for Jeff Teague,25 - 18
2:33,Monta Ellis makes 27-foot  three pointer,25 - 21
2:20,Myles Turner shooting block foul  (Zach Randolph draws the foul),25 - 21
2:20,Zach Randolph makes free throw 1 of 2,26 - 21
2:20,Rakeem Christmas enters the game for Myles Turner,26 - 21
2:20,Zach Randolph misses free throw 2 of 2,26 - 21
2:20,Lavoy Allen defensive rebound,26 - 21
2:10,Glenn Robinson III makes 19-foot two point shot,26 - 23
1:39,Toney Douglas  misses 25-foot three point jumper,26 - 23
1:39,Lavoy Allen defensive rebound,26 - 23
1:37,JaMychal Green personal foul  (Rakeem Christmas draws the foul),26 - 23
