time,play,score
12:00,Marc Gasol vs. Anthony Davis (Tim Frazier gains possession),0 - 0
11:44,Anthony Davis  misses layup,0 - 0
11:42,Marc Gasol defensive rebound,0 - 0
11:22,Marc Gasol makes 14-foot jumper,2 - 0
11:10,Tim Frazier makes 16-foot two point shot,2 - 2
10:52,Marc Gasol makes two point shot,4 - 2
10:33,Buddy Hield makes 27-foot  three point jumper  (Tim Frazier assists),4 - 5
10:21,Marc Gasol  misses 25-foot three point jumper,4 - 5
10:19,Tim Frazier defensive rebound,4 - 5
10:11,Tim Frazier  misses layup,4 - 5
10:11,Marc Gasol defensive rebound,4 - 5
10:07,JaMychal Green makes layup (Marc Gasol assists),6 - 5
10:07,Buddy Hield shooting foul  (JaMychal Green draws the foul),6 - 5
10:07,JaMychal Green misses free throw 1 of 1,6 - 5
10:06,Omer Asik defensive rebound,6 - 5
9:52,Buddy Hield  misses 25-foot three point jumper,6 - 5
9:52,JaMychal Green defensive rebound,6 - 5
9:40,JaMychal Green  misses 24-foot three point jumper,6 - 5
9:38,Buddy Hield defensive rebound,6 - 5
9:27,Anthony Davis  misses 25-foot three point jumper,6 - 5
9:26,Marc Gasol defensive rebound,6 - 5
9:21,Marc Gasol  misses 7-foot hook shot,6 - 5
9:18,Anthony Davis defensive rebound,6 - 5
9:07,Omer Asik  misses layup,6 - 5
9:07,JaMychal Green defensive rebound,6 - 5
8:48,Marc Gasol Out-of-Bounds Bad Pass Turnover,6 - 5
8:30,Solomon Hill  bad pass (Tony Allen steals),6 - 5
8:27,Troy Williams makes layup,8 - 5
8:15,JaMychal Green personal foul  (Anthony Davis draws the foul),8 - 5
8:11,Solomon Hill  misses layup,8 - 5
8:10,JaMychal Green defensive rebound,8 - 5
8:02,Marc Gasol  misses 19-foot jumper,8 - 5
8:00,Anthony Davis defensive rebound,8 - 5
7:52,Marc Gasol kicked ball violation,8 - 5
7:43,Tim Frazier  misses 21-foot jumper,8 - 5
7:43,Troy Williams defensive rebound,8 - 5
7:30,Troy Williams  misses 25-foot three point jumper,8 - 5
7:28,Omer Asik defensive rebound,8 - 5
7:16,Tony Allen blocks Omer Asik 's 2-foot  layup,8 - 5
7:16,Pelicans offensive team rebound,8 - 5
7:16,Terrence Jones enters the game for Omer Asik,8 - 5
7:13,Solomon Hill  misses three point jumper,8 - 5
7:13,Tony Allen defensive rebound,8 - 5
6:56,Andrew Harrison  misses 15-foot jumper,8 - 5
6:56,Buddy Hield defensive rebound,8 - 5
6:41,JaMychal Green personal foul  (Anthony Davis draws the foul),8 - 5
6:41,Jarell Martin enters the game for JaMychal Green,8 - 5
6:35,Tim Frazier  bad pass (Marc Gasol steals),8 - 5
6:24,Tony Allen makes 4-foot jumper (Marc Gasol assists),10 - 5
6:11,Terrence Jones makes layup (Tim Frazier assists),10 - 7
6:00,Grizzlies Full timeout,10 - 7
5:48,Marc Gasol  misses 9-foot,10 - 7
5:43,Anthony Davis defensive rebound,10 - 7
5:26,Jarell Martin shooting foul  (Terrence Jones draws the foul),10 - 7
5:26,Terrence Jones makes free throw 1 of 2,10 - 8
5:26,Troy Daniels enters the game for Tony Allen,10 - 8
5:26,Terrence Jones makes free throw 2 of 2,10 - 9
5:11,Andrew Harrison  bad pass (Buddy Hield steals),10 - 9
5:01,Anthony Davis makes layup,10 - 11
4:46,Buddy Hield personal foul  (Andrew Harrison draws the foul),10 - 11
4:46,Langston Galloway enters the game for Buddy Hield,10 - 11
4:37,Andrew Harrison  misses 25-foot three point jumper,10 - 11
4:37,Terrence Jones defensive rebound,10 - 11
4:26,Tim Frazier  bad pass (Andrew Harrison steals),10 - 11
4:18,Terrence Jones shooting foul  (Andrew Harrison draws the foul),10 - 11
4:18,Andrew Harrison misses free throw 1 of 2,10 - 11
4:18,Grizzlies offensive team rebound,10 - 11
4:18,Alexis Ajinca enters the game for Anthony Davis,10 - 11
4:18,Andrew Harrison makes free throw 2 of 2,11 - 11
4:00,Marc Gasol personal foul  (Langston Galloway draws the foul),11 - 11
4:00,Wade Baldwin IV enters the game for Andrew Harrison,11 - 11
3:49,Langston Galloway  misses 25-foot three point jumper,11 - 11
3:48,Jarell Martin defensive rebound,11 - 11
3:40,Alexis Ajinca shooting foul  (Marc Gasol draws the foul),11 - 11
3:40,Marc Gasol misses free throw 1 of 2,11 - 11
3:40,Grizzlies offensive team rebound,11 - 11
3:40,Anthony Brown enters the game for Solomon Hill,11 - 11
3:40,Marc Gasol makes free throw 2 of 2,12 - 11
3:33,Tim Frazier  misses 3-foot jumper,12 - 11
3:32,Troy Williams defensive rebound,12 - 11
3:29,Anthony Brown blocks Troy Williams 's 4-foot  shot,12 - 11
3:28,Jarell Martin offensive rebound,12 - 11
3:17,Marc Gasol  lost ball turnover (Tim Frazier steals),12 - 11
3:03,Terrence Jones  misses layup,12 - 11
3:02,Jarell Martin defensive rebound,12 - 11
2:46,Marc Gasol  misses 7-foot hook shot,12 - 11
2:43,Alexis Ajinca defensive rebound,12 - 11
2:39,Langston Galloway makes 25-foot  three point jumper  (Tim Frazier assists),12 - 14
2:29,Grizzlies 20 Sec. timeout,12 - 14
2:29,Deyonta Davis enters the game for Marc Gasol,12 - 14
2:29,Toney Douglas enters the game for Troy Williams,12 - 14
2:29,Pelicans Full timeout,12 - 14
2:21,Troy Daniels  misses 23-foot jumper,12 - 14
2:19,Terrence Jones defensive rebound,12 - 14
2:15,Langston Galloway  misses 20-foot jumper,12 - 14
2:13,Terrence Jones offensive rebound,12 - 14
2:06,Langston Galloway  misses layup,12 - 14
2:06,Jarell Martin defensive rebound,12 - 14
2:01,Toney Douglas  misses 25-foot three point jumper,12 - 14
2:00,Terrence Jones defensive rebound,12 - 14
1:54,Anthony Brown makes dunk (Terrence Jones assists),12 - 16
1:43,Terrence Jones defensive 3-seconds (Technical Foul),12 - 16
1:43,Troy Daniels makes technical free throw,13 - 16
1:43,Solomon Hill enters the game for Tim Frazier,13 - 16
1:25,Jarell Martin makes 21-foot jumper (Wade Baldwin IV assists),15 - 16
1:08,Alexis Ajinca  misses 26-foot three point jumper,15 - 16
1:06,Jarell Martin defensive rebound,15 - 16
53.0,Jarell Martin  misses layup,15 - 16
51.0,Jarell Martin offensive rebound,15 - 16
49.0,Jarell Martin  misses layup,15 - 16
46.0,Pelicans defensive team rebound,15 - 16
44.0,Solomon Hill makes layup,15 - 18
44.0,Troy Daniels shooting foul  (Solomon Hill draws the foul),15 - 19
44.0,Solomon Hill makes free throw 1 of 1,15 - 19
35.0,Deyonta Davis  lost ball turnover (Solomon Hill steals),15 - 19
31.0,Deyonta Davis personal foul  (Solomon Hill draws the foul),15 - 19
31.0,Solomon Hill makes free throw 1 of 2,15 - 20
31.0,Solomon Hill makes free throw 2 of 2,15 - 21
11.0,Wade Baldwin IV makes driving layup,17 - 21
0.0,End of the 1st Quarter,17 - 21
12:00,Terrence Jones defensive 3-seconds (Technical Foul),17 - 21
12:00,Troy Daniels makes technical free throw,18 - 21
11:33,Troy Daniels  misses layup,18 - 21
11:33,Alexis Ajinca defensive rebound,18 - 21
11:25,Deyonta Davis blocks Anthony Brown's  jumper,18 - 21
11:25,Pelicans offensive team rebound,18 - 21
11:11,Anthony Brown  misses 30-foot three point jumper,18 - 21
11:10,Toney Douglas defensive rebound,18 - 21
11:07,Toney Douglas  bad pass (Anthony Brown steals),18 - 21
11:02,Anthony Brown  misses layup,18 - 21
10:59,Deyonta Davis defensive rebound,18 - 21
10:53,Jarell Martin  misses 12-foot jumper,18 - 21
10:52,Terrence Jones defensive rebound,18 - 21
10:45,Anthony Brown  misses 27-foot three point jumper,18 - 21
10:45,Toney Douglas defensive rebound,18 - 21
