time,play,score
12:00,Marc Gasol vs. Montrezl Harrell (Mike Conley gains possession),0 - 0
11:38,Mike Conley makes 25-foot  three point jumper  (Marc Gasol assists),3 - 0
11:32,Trevor Ariza  lost ball turnover (Chandler Parsons steals),3 - 0
11:15,Marc Gasol  bad pass (Trevor Ariza steals),3 - 0
11:10,James Harden  bad pass (Marc Gasol steals),3 - 0
11:06,Ryan Anderson shooting foul  (Chandler Parsons draws the foul),3 - 0
11:06,Chandler Parsons makes free throw 1 of 2,4 - 0
11:06,Chandler Parsons makes free throw 2 of 2,5 - 0
10:53,Ryan Anderson makes 6-foot two point shot,5 - 2
10:37,Chandler Parsons  misses 27-foot three point jumper,5 - 2
10:36,Montrezl Harrell defensive rebound,5 - 2
10:26,Ryan Anderson  misses 28-foot three point jumper,5 - 2
10:23,Tony Allen defensive rebound,5 - 2
10:14,Ryan Anderson shooting foul  (Tony Allen draws the foul),5 - 2
10:14,Tony Allen makes free throw 1 of 2,6 - 2
10:14,Eric Gordon enters the game for Ryan Anderson,6 - 2
10:14,Tony Allen makes free throw 2 of 2,7 - 2
10:03,JaMychal Green personal foul  (Eric Gordon draws the foul),7 - 2
9:56,Patrick Beverley makes 3-foot jumper (James Harden assists),7 - 4
9:45,JaMychal Green makes 20-foot jumper (Tony Allen assists),9 - 4
9:36,James Harden makes 24-foot  three point jumper,9 - 7
9:17,Marc Gasol makes 7-foot two point shot,11 - 7
9:06,Eric Gordon makes driving layup,11 - 9
8:56,Mike Conley  bad pass (Montrezl Harrell steals),11 - 9
8:44,Patrick Beverley  misses 23-foot three point jumper,11 - 9
8:44,Rockets offensive team rebound,11 - 9
8:44,Chandler Parsons loose ball foul  (Montrezl Harrell draws the foul),11 - 9
8:38,Patrick Beverley makes two point shot (Montrezl Harrell assists),11 - 11
8:17,Tony Allen offensive Charge  (James Harden draws the foul),11 - 11
8:17,Tony Allen  turnover,11 - 11
8:07,Tony Allen shooting foul  (James Harden draws the foul),11 - 11
8:07,James Harden makes free throw 1 of 3,11 - 12
8:07,James Harden misses free throw 2 of 3,11 - 12
8:07,Rockets offensive team rebound,11 - 12
8:07,James Harden makes free throw 3 of 3,11 - 13
8:03,Grizzlies Full timeout,11 - 13
8:03,Ryan Anderson enters the game for Eric Gordon,11 - 13
7:41,Tony Allen makes 15-foot jumper (Chandler Parsons assists),13 - 13
7:22,Trevor Ariza makes 17-foot two point shot,13 - 15
6:58,Chandler Parsons  misses 18-foot jumper,13 - 15
6:56,Montrezl Harrell defensive rebound,13 - 15
6:35,Trevor Ariza  misses 24-foot three point jumper,13 - 15
6:33,Marc Gasol defensive rebound,13 - 15
6:20,JaMychal Green makes 26-foot  three point jumper  (Mike Conley assists),16 - 15
6:00,James Harden  misses 14-foot jumper,16 - 15
5:58,Marc Gasol defensive rebound,16 - 15
5:50,Tony Allen makes driving layup,18 - 15
5:33,James Harden  bad pass (Mike Conley steals),18 - 15
5:28,Mike Conley makes two point shot,20 - 15
5:18,Ryan Anderson makes 27-foot  three point jumper  (James Harden assists),20 - 18
5:01,James Ennis enters the game for Tony Allen,20 - 18
5:01,Eric Gordon enters the game for Patrick Beverley,20 - 18
5:01,Zach Randolph enters the game for JaMychal Green,20 - 18
5:01,Nene  enters the game for Montrezl Harrell,20 - 18
4:50,Chandler Parsons  misses 14-foot two point shot,20 - 18
4:48,Trevor Ariza defensive rebound,20 - 18
4:41,James Ennis blocks James Harden's  layup,20 - 18
4:41,Chandler Parsons defensive rebound,20 - 18
4:35,Mike Conley  misses 24-foot three point jumper,20 - 18
4:33,Trevor Ariza defensive rebound,20 - 18
4:26,James Harden makes layup,20 - 20
4:13,Zach Randolph Out-of-Bounds Bad Pass Turnover,20 - 20
4:01,James Harden makes driving layup,20 - 22
3:46,Ryan Anderson shooting foul  (Marc Gasol draws the foul),20 - 22
3:46,Marc Gasol misses free throw 1 of 2,20 - 22
3:46,Grizzlies offensive team rebound,20 - 22
3:46,Vince Carter enters the game for Chandler Parsons,20 - 22
3:46,Sam Dekker enters the game for Ryan Anderson,20 - 22
3:46,Marc Gasol makes free throw 2 of 2,21 - 22
3:35,Zach Randolph shooting foul  (Nene  draws the foul),21 - 22
3:35,Nene  makes free throw 1 of 2,21 - 23
3:35,Nene  makes free throw 2 of 2,21 - 24
3:26,Marc Gasol offensive foul  (Nene  draws the foul),21 - 24
3:26,Marc Gasol  turnover,21 - 24
3:13,Sam Dekker  misses 24-foot three point jumper,21 - 24
3:12,Zach Randolph defensive rebound,21 - 24
2:58,Mike Conley  misses 27-foot three point jumper,21 - 24
2:56,Trevor Ariza defensive rebound,21 - 24
2:53,Vince Carter shooting foul  (James Harden draws the foul),21 - 24
2:53,Rockets Full timeout,21 - 24
2:53,James Harden makes free throw 1 of 2,21 - 25
2:53,James Harden makes free throw 2 of 2,21 - 26
2:38,Mike Conley makes 19-foot jumper (Marc Gasol assists),23 - 26
2:19,James Harden  traveling,23 - 26
2:19,Tony Allen enters the game for Mike Conley,23 - 26
2:19,Corey Brewer enters the game for Trevor Ariza,23 - 26
2:04,James Ennis  misses driving layup,23 - 26
2:02,Corey Brewer defensive rebound,23 - 26
1:59,Sam Dekker  misses layup,23 - 26
1:57,Nene  offensive rebound,23 - 26
1:54,Corey Brewer makes dunk (Nene  assists),23 - 28
1:43,Nene  shooting foul  (Vince Carter draws the foul),23 - 28
1:43,Vince Carter misses free throw 1 of 2,23 - 28
