time,play,score
12:00,Marc Gasol vs. Steven Adams (JaMychal Green gains possession),0 - 0
11:37,Chandler Parsons  misses 26-foot three point jumper,0 - 0
11:37,Victor Oladipo defensive rebound,0 - 0
11:18,Victor Oladipo makes 23-foot  three point jumper  (Steven Adams assists),0 - 3
11:07,Tony Allen  misses 4-foot two point shot,0 - 3
11:06,Victor Oladipo defensive rebound,0 - 3
10:56,Marc Gasol kicked ball violation,0 - 3
10:49,Russell Westbrook makes 14-foot two point shot (Domantas Sabonis assists),0 - 5
10:26,Chandler Parsons makes 18-foot two point shot,2 - 5
10:03,Steven Adams makes layup,2 - 7
9:53,Marc Gasol  misses 18-foot jumper,2 - 7
9:53,Russell Westbrook defensive rebound,2 - 7
9:51,Marc Gasol personal foul  (Steven Adams draws the foul),2 - 7
9:41,Andre Roberson  misses 25-foot three point jumper,2 - 7
9:41,Steven Adams offensive rebound,2 - 7
9:38,Steven Adams  misses putback layup.,2 - 7
9:37,JaMychal Green defensive rebound,2 - 7
9:26,Chandler Parsons makes driving layup,4 - 7
9:11,Domantas Sabonis  bad pass (Chandler Parsons steals),4 - 7
8:57,Tony Allen makes two point shot (Marc Gasol assists),6 - 7
8:41,Andre Roberson makes layup (Russell Westbrook assists),6 - 9
8:30,Chandler Parsons  misses 23-foot three point jumper,6 - 9
8:30,Domantas Sabonis defensive rebound,6 - 9
8:14,Domantas Sabonis  traveling,6 - 9
7:58,Marc Gasol makes 5-foot two point shot,8 - 9
7:50,Russell Westbrook makes 13-foot two point shot,8 - 11
7:33,Chandler Parsons makes 12-foot two point shot (Mike Conley assists),10 - 11
7:22,Marc Gasol personal foul  (Domantas Sabonis draws the foul),10 - 11
7:11,Steven Adams makes 5-foot two point shot,10 - 13
6:48,Marc Gasol  misses 13-foot,10 - 13
6:48,Russell Westbrook defensive rebound,10 - 13
6:43,Steven Adams makes two point shot (Russell Westbrook assists),10 - 15
6:33,Grizzlies Full timeout,10 - 15
6:33,Zach Randolph enters the game for Marc Gasol,10 - 15
6:16,Zach Randolph  misses 14-foot jumper,10 - 15
6:16,Grizzlies offensive team rebound,10 - 15
6:16,Domantas Sabonis loose ball foul  (JaMychal Green draws the foul),10 - 15
6:09,Mike Conley  misses 8-foot two point shot,10 - 15
6:07,Zach Randolph makes tip shot,12 - 15
6:07,Zach Randolph offensive rebound,10 - 15
5:43,Victor Oladipo steps out of bounds turnover,12 - 15
5:43,Enes Kanter enters the game for Domantas Sabonis,12 - 15
5:43,Alex Abrines enters the game for Victor Oladipo,12 - 15
5:37,Russell Westbrook blocks Mike Conley 's 2-foot  layup,12 - 15
5:35,Andre Roberson defensive rebound,12 - 15
5:31,JaMychal Green blocks Enes Kanter 's 2-foot  shot,12 - 15
5:28,Russell Westbrook offensive rebound,12 - 15
5:28,Russell Westbrook  misses 24-foot three point jumper,12 - 15
5:28,JaMychal Green defensive rebound,12 - 15
5:28,Enes Kanter double personal foul  (JaMychal Green draws the foul),12 - 15
5:26,JaMychal Green vs. Steven Adams (Enes Kanter gains possession),12 - 15
5:26,JaMychal Green  double personal turnover,12 - 15
5:26,Vince Carter enters the game for Tony Allen,12 - 15
5:13,Andre Roberson makes dunk (Russell Westbrook assists),12 - 17
4:54,Mike Conley  misses 25-foot three point jumper,12 - 17
4:52,Enes Kanter defensive rebound,12 - 17
4:45,Russell Westbrook  misses 14-foot step back jumpshot,12 - 17
