time,play,score
12:00,JaMychal Green vs. Karl-Anthony Towns (Jarell Martin gains possession),0 - 0
11:42,James Ennis  misses 19-foot jumper,0 - 0
11:41,Wade Baldwin IV offensive rebound,0 - 0
11:30,Troy Williams makes 20-foot two point shot,2 - 0
11:07,Zach LaVine makes 24-foot  three point jumper  (Gorgui Dieng assists),2 - 3
10:51,Gorgui Dieng blocks Jarell Martin 's 2-foot  layup,2 - 3
10:48,Zach LaVine defensive rebound,2 - 3
10:42,Zach LaVine  lost ball turnover (Wade Baldwin IV steals),2 - 3
10:36,Troy Williams makes layup,5 - 3
10:36,Gorgui Dieng shooting foul  (Troy Williams draws the foul),5 - 3
10:36,Karl-Anthony Towns defensive goaltending violation,4 - 3
10:36,Troy Williams makes free throw 1 of 1,5 - 3
10:27,JaMychal Green personal foul  (Zach LaVine draws the foul),5 - 3
10:18,Karl-Anthony Towns makes two point shot,5 - 5
10:04,Jarell Martin makes dunk (Wade Baldwin IV assists),7 - 5
9:48,Andrew Wiggins  misses 14-foot two point jumper,7 - 5
9:48,James Ennis defensive rebound,7 - 5
9:37,Andrew Wiggins shooting foul  (Jarell Martin draws the foul),7 - 5
9:37,Jarell Martin misses free throw 1 of 2,7 - 5
9:37,Grizzlies offensive team rebound,7 - 5
9:37,Jarell Martin makes free throw 2 of 2,8 - 5
9:22,Karl-Anthony Towns makes jumper,8 - 7
9:10,Wade Baldwin IV Out-of-Bounds Bad Pass Turnover,8 - 7
9:00,Zach LaVine  misses 24-foot three point jumper,8 - 7
9:00,James Ennis defensive rebound,8 - 7
8:52,Jarell Martin  misses 24-foot three point jumper,8 - 7
8:52,Kris Dunn defensive rebound,8 - 7
8:48,Kris Dunn  bad pass (Wade Baldwin IV steals),8 - 7
8:41,Troy Williams  bad pass (Kris Dunn steals),8 - 7
8:34,Kris Dunn  misses driving layup,8 - 7
8:33,Wade Baldwin IV defensive rebound,8 - 7
8:27,JaMychal Green  bad pass (Kris Dunn steals),8 - 7
8:23,Jarell Martin shooting foul  (Zach LaVine draws the foul),8 - 7
8:23,Zach LaVine makes free throw 1 of 2,8 - 8
8:23,Zach LaVine makes free throw 2 of 2,8 - 9
8:04,Wade Baldwin IV  bad pass (Gorgui Dieng steals),8 - 9
7:56,Zach LaVine  lost ball turnover (James Ennis steals),8 - 9
7:52,James Ennis makes driving dunk,10 - 9
7:31,Karl-Anthony Towns  misses layup,10 - 9
7:31,Karl-Anthony Towns offensive rebound,10 - 9
7:28,Karl-Anthony Towns  misses layup,10 - 9
7:26,Kris Dunn offensive rebound,10 - 11
7:26,Kris Dunn makes tip shot,10 - 11
7:09,Wade Baldwin IV makes 21-foot two point shot,12 - 11
6:56,Andrew Wiggins  misses 16-foot jumper,12 - 11
6:54,Jarell Martin defensive rebound,12 - 11
6:33,Jarell Martin  misses 24-foot three point jumper,12 - 11
6:33,Gorgui Dieng defensive rebound,12 - 11
6:15,Kris Dunn makes 25-foot  three point jumper,12 - 14
6:07,Grizzlies Full timeout,12 - 14
6:07,Zach Randolph enters the game for James Ennis,12 - 14
6:07,Andrew Harrison enters the game for Jarell Martin,12 - 14
5:56,JaMychal Green  bad pass,12 - 14
5:43,Kris Dunn  lost ball turnover (JaMychal Green steals),12 - 14
5:30,JaMychal Green  misses 23-foot three point jumper,12 - 14
5:28,Zach LaVine defensive rebound,12 - 14
5:18,Zach LaVine makes 23-foot  three point jumper  (Gorgui Dieng assists),12 - 17
5:00,Troy Williams makes driving layup,14 - 17
4:41,Gorgui Dieng makes 19-foot jumper (Zach LaVine assists),14 - 19
4:20,JaMychal Green  misses,14 - 19
4:18,Gorgui Dieng defensive rebound,14 - 19
4:13,Zach LaVine  misses 24-foot three point jumper,14 - 19
4:11,Wade Baldwin IV defensive rebound,14 - 19
4:07,Wade Baldwin IV  lost ball turnover (Kris Dunn steals),14 - 19
4:03,Zach LaVine makes two point shot (Karl-Anthony Towns assists),14 - 21
3:54,Karl-Anthony Towns personal take foul  (Andrew Harrison draws the foul),14 - 21
3:54,Brandon Rush enters the game for Zach LaVine,14 - 21
3:54,Tyus Jones enters the game for Kris Dunn,14 - 21
3:54,Vince Carter enters the game for Troy Williams,14 - 21
3:49,Tony Allen enters the game for Wade Baldwin IV,14 - 21
3:41,Vince Carter  misses 24-foot three point jumper,14 - 21
3:39,Andrew Harrison offensive rebound,14 - 21
3:30,Zach Randolph  misses 21-foot jumper,14 - 21
3:29,Karl-Anthony Towns defensive rebound,14 - 21
3:20,Gorgui Dieng  bad pass (Andrew Harrison steals),14 - 21
3:16,Zach Randolph offensive foul  (Karl-Anthony Towns draws the foul),14 - 21
3:16,Zach Randolph  turnover,14 - 21
3:03,Karl-Anthony Towns  misses 9-foot two point shot,14 - 21
3:02,Vince Carter defensive rebound,14 - 21
2:55,Andrew Harrison  misses driving layup,14 - 21
2:54,Karl-Anthony Towns defensive rebound,14 - 21
2:47,Gorgui Dieng makes 1-foot layup (Brandon Rush assists),14 - 23
2:40,Grizzlies 20 Sec. timeout,14 - 23
2:40,Timberwolves Full timeout,14 - 23
2:40,James Ennis enters the game for JaMychal Green,14 - 23
2:28,Andrew Harrison  traveling,14 - 23
2:04,Karl-Anthony Towns makes 18-foot two point shot,14 - 25
1:54,Andrew Harrison  misses driving layup,14 - 25
1:54,Karl-Anthony Towns defensive rebound,14 - 25
1:47,Zach Randolph shooting foul  (Karl-Anthony Towns draws the foul),14 - 25
1:47,Karl-Anthony Towns makes free throw 1 of 2,14 - 26
1:47,Karl-Anthony Towns misses free throw 2 of 2,14 - 26
1:47,James Ennis defensive rebound,14 - 26
1:29,Brandon Rush blocks Tony Allen's  jumper,14 - 26
1:28,Tony Allen offensive rebound,14 - 26
1:24,Tony Allen  misses 5-foot hook shot,14 - 26
1:23,Tony Allen offensive rebound,14 - 26
1:15,Zach Randolph makes driving layup,16 - 26
1:08,Andrew Wiggins makes driving layup (Tyus Jones assists),16 - 28
59.0,Nemanja Bjelica enters the game for Karl-Anthony Towns,16 - 28
50.0,Andrew Harrison  misses driving layup,16 - 28
50.0,Nemanja Bjelica defensive rebound,16 - 28
43.0,Brandon Rush  misses 24-foot three point jumper,16 - 28
42.0,Zach Randolph defensive rebound,16 - 28
35.0,Tyus Jones personal foul  (Andrew Harrison draws the foul),16 - 28
27.0,Andrew Harrison  bad pass (Gorgui Dieng steals),16 - 28
19.0,Andrew Wiggins  lost ball turnover (Vince Carter steals),16 - 28
3.0,Vince Carter  misses three point jumper,16 - 28
2.0,Gorgui Dieng defensive rebound,16 - 28
1.0,James Ennis personal foul  (Gorgui Dieng draws the foul),16 - 28
