time,play,score
12:00,JaMychal Green vs. Zaza Pachulia (Mike Conley gains possession),0 - 0
11:44,JaMychal Green  out of bounds lost ball turnover,0 - 0
11:29,Klay Thompson  misses 26-foot three point jumper,0 - 0
11:29,Zaza Pachulia offensive rebound,0 - 0
11:23,Stephen Curry  bad pass (Tony Allen steals),0 - 0
11:22,Tony Allen makes two point shot,2 - 0
11:07,Draymond Green makes 27-foot  three pointer  (Stephen Curry assists),2 - 3
10:53,Mike Conley  lost ball turnover (Patrick McCaw steals),2 - 3
10:45,Patrick McCaw  misses layup,2 - 3
10:44,JaMychal Green defensive rebound,2 - 3
10:25,Zach Randolph makes 18-foot two point shot (Mike Conley assists),4 - 3
10:15,Stephen Curry  misses 29-foot three point jumper,4 - 3
10:15,Zach Randolph defensive rebound,4 - 3
10:07,Tony Allen  bad pass (Draymond Green steals),4 - 3
9:55,Stephen Curry makes 24-foot  three point jumper  (Klay Thompson assists),4 - 6
9:26,Zach Randolph makes 7-foot two point shot,6 - 6
9:11,Zaza Pachulia makes 5-foot two point shot (Draymond Green assists),6 - 8
8:57,Mike Conley  misses 26-foot three point jumper,6 - 8
8:56,Stephen Curry defensive rebound,6 - 8
8:48,Stephen Curry  misses reverse layup,6 - 8
8:48,Zaza Pachulia offensive rebound,6 - 8
8:42,Klay Thompson  misses 26-foot three point jumper,6 - 8
8:42,Vince Carter defensive rebound,6 - 8
8:26,Tony Allen  misses 8-foot two point shot,6 - 8
8:26,Klay Thompson defensive rebound,6 - 8
8:19,Draymond Green  misses 27-foot three point jumper,6 - 8
8:18,Grizzlies defensive team rebound,6 - 8
7:56,Mike Conley  lost ball turnover (Stephen Curry steals),6 - 8
7:50,Draymond Green makes two point shot (Stephen Curry assists),6 - 10
7:26,Vince Carter  misses 10-foot two point shot,6 - 10
7:26,Grizzlies offensive team rebound,6 - 10
7:26,Draymond Green loose ball foul  (Zach Randolph draws the foul),6 - 10
7:18,JaMychal Green makes driving dunk (Mike Conley assists),8 - 10
7:18,Patrick McCaw shooting foul  (JaMychal Green draws the foul),8 - 10
7:18,JaMychal Green misses free throw 1 of 1,8 - 10
7:18,Draymond Green defensive rebound,8 - 10
7:11,Zaza Pachulia offensive Charge  (Vince Carter draws the foul),8 - 10
7:11,Zaza Pachulia  turnover,8 - 10
6:54,JaMychal Green  misses 24-foot three point jumper,8 - 10
6:54,Zaza Pachulia defensive rebound,8 - 10
6:48,Stephen Curry  misses 27-foot three point jumper,8 - 10
6:48,Tony Allen defensive rebound,8 - 10
6:37,Tony Allen  misses layup,10 - 10
6:37,JaMychal Green makes two point shot,10 - 10
6:37,JaMychal Green offensive rebound,10 - 10
6:28,Warriors Full timeout,10 - 10
6:15,Klay Thompson  misses 15-foot jumper,10 - 10
6:15,JaMychal Green defensive rebound,10 - 10
5:50,shot clock turnover,10 - 10
5:50,Andre Iguodala enters the game for Draymond Green,10 - 10
5:50,Andrew Harrison enters the game for Mike Conley,10 - 10
5:35,Stephen Curry Out-of-Bounds Bad Pass Turnover,10 - 10
5:35,Shaun Livingston enters the game for Patrick McCaw,10 - 10
5:18,Tony Allen makes 1-foot layup (Zach Randolph assists),12 - 10
5:05,Andre Iguodala makes 27-foot  three point jumper  (Stephen Curry assists),12 - 13
4:50,JaMychal Green makes 17-foot jumper (Tony Allen assists),14 - 13
4:35,Stephen Curry  misses 27-foot three point jumper,14 - 13
4:35,Zaza Pachulia offensive rebound,14 - 13
4:31,JaMychal Green personal foul  (Zaza Pachulia draws the foul),14 - 13
4:31,JaVale McGee enters the game for Zaza Pachulia,14 - 13
4:31,James Ennis III enters the game for JaMychal Green,14 - 13
4:28,Klay Thompson makes 23-foot two point shot (Stephen Curry assists),14 - 15
4:13,Vince Carter  misses 25-foot three point jumper,14 - 15
4:13,James Ennis III offensive rebound,14 - 15
3:51,Andrew Harrison  misses 26-foot three point jumper,14 - 15
3:49,Vince Carter makes two point shot,16 - 15
3:49,Vince Carter offensive rebound,14 - 15
3:40,Klay Thompson  misses 26-foot three point jumper,16 - 15
3:40,Zach Randolph defensive rebound,16 - 15
3:40,JaVale McGee personal foul  (Zach Randolph draws the foul),16 - 15
3:40,Draymond Green enters the game for Klay Thompson,16 - 15
3:21,Zach Randolph makes 19-foot jumper (Tony Allen assists),18 - 15
3:09,JaVale McGee  misses 7-foot jump bank shot,18 - 15
3:08,Andrew Harrison defensive rebound,18 - 15
2:58,Andrew Harrison makes 26-foot  three point jumper  (Vince Carter assists),21 - 15
2:45,Grizzlies Full timeout,21 - 15
2:45,Mike Conley enters the game for Tony Allen,21 - 15
2:35,Shaun Livingston makes two point shot,21 - 17
2:15,James Ennis III  misses 26-foot three point jumper,21 - 17
2:14,Shaun Livingston defensive rebound,21 - 17
2:09,JaVale McGee makes layup (Andre Iguodala assists),21 - 19
2:09,James Ennis III shooting foul  (JaVale McGee draws the foul),21 - 19
2:09,Brandan Wright enters the game for Zach Randolph,21 - 19
2:09,JaMychal Green enters the game for Vince Carter,21 - 19
2:09,JaVale McGee makes free throw 1 of 1,21 - 20
1:47,JaMychal Green makes dunk (Andrew Harrison assists),23 - 20
1:36,Draymond Green  misses 5-foot,23 - 20
1:35,JaVale McGee offensive rebound,23 - 20
1:23,Stephen Curry makes 28-foot  three point jumper  (Shaun Livingston assists),23 - 23
59.0,James Ennis III makes driving layup (Andrew Harrison assists),25 - 23
45.0,Andre Iguodala makes driving dunk (Shaun Livingston assists),25 - 25
26.0,Mike Conley makes  three pointer,28 - 25
7.0,Stephen Curry  misses 26-foot three point jumper,28 - 25
