time,play,score
12:00,Dwight Howard vs. Robin Lopez (Dennis Schroder gains possession),0 - 0
11:38,Tim Hardaway Jr. makes 20-foot two point shot,2 - 0
11:17,Jimmy Butler makes 14-foot jumper (Robin Lopez assists),2 - 2
10:59,Ersan Ilyasova makes driving layup (Tim Hardaway Jr. assists),4 - 2
10:44,Dennis Schroder blocks Rajon Rondo 's 3-foot  layup,4 - 2
10:41,Rajon Rondo offensive rebound,4 - 2
10:38,Robin Lopez  misses 19-foot jumper,4 - 2
10:37,Tim Hardaway Jr. defensive rebound,4 - 2
10:26,Dwight Howard  lost ball turnover (Nikola Mirotic steals),4 - 2
10:12,Paul Zipser makes 24-foot  three point jumper  (Nikola Mirotic assists),4 - 5
9:57,Dennis Schroder  misses Driving Floating Jump Shot,4 - 5
9:56,Rajon Rondo defensive rebound,4 - 5
9:36,Robin Lopez makes 20-foot jumper (Rajon Rondo assists),4 - 7
9:12,Dwight Howard makes 18-foot jumper (Dennis Schroder assists),6 - 7
9:00,Rajon Rondo  misses 25-foot three point jumper,6 - 7
8:59,Taurean Prince defensive rebound,6 - 7
8:47,Dennis Schroder  misses 19-foot two point jumper,6 - 7
8:45,Jimmy Butler defensive rebound,6 - 7
8:32,Dennis Schroder shooting foul  (Paul Zipser draws the foul),6 - 7
8:32,Paul Zipser makes free throw 1 of 2,6 - 8
8:32,Paul Zipser makes free throw 2 of 2,6 - 9
8:11,Taurean Prince makes 2-foot two point shot (Tim Hardaway Jr. assists),8 - 9
7:56,Paul Zipser makes  three point jumper  (Nikola Mirotic assists),8 - 12
7:39,Dwight Howard makes two point shot (Ersan Ilyasova assists),10 - 12
7:26,Rajon Rondo makes 26-foot  three point jumper  (Jimmy Butler assists),10 - 15
7:07,Dwight Howard  misses 23-foot jumper,10 - 15
7:05,Paul Zipser defensive rebound,10 - 15
7:00,Dennis Schroder kicked ball violation,10 - 15
6:54,Rajon Rondo makes driving layup,10 - 17
6:47,Hawks Full timeout,10 - 17
6:37,Ersan Ilyasova  misses 19-foot two point shot,10 - 17
6:35,Rajon Rondo defensive rebound,10 - 17
6:24,Paul Zipser  misses 23-foot three point jumper,10 - 17
6:22,Dennis Schroder defensive rebound,10 - 17
6:09,Taurean Prince  misses two point shot,10 - 17
6:09,Robin Lopez defensive rebound,10 - 17
6:07,Rajon Rondo  out of bounds lost ball turnover,10 - 17
5:52,Dennis Schroder makes 16-foot two point shot,12 - 17
5:28,Jimmy Butler  misses 17-foot step back jumpshot,12 - 17
5:26,Ersan Ilyasova defensive rebound,12 - 17
5:18,Ersan Ilyasova  misses 14-foot jumper,12 - 17
5:16,Jimmy Butler defensive rebound,12 - 17
5:05,Nikola Mirotic  misses two point shot,12 - 17
5:03,Dwight Howard defensive rebound,12 - 17
4:56,Tim Hardaway Jr.  misses 25-foot three point jumper,12 - 17
4:56,Nikola Mirotic defensive rebound,12 - 17
4:46,Rajon Rondo  misses two point shot,12 - 17
4:45,Dennis Schroder defensive rebound,12 - 17
4:43,Dennis Schroder  lost ball turnover (Rajon Rondo steals),12 - 17
4:39,Nikola Mirotic  misses,12 - 17
4:37,Nikola Mirotic offensive rebound,12 - 17
4:35,Nikola Mirotic  misses 19-foot step back jumpshot,12 - 17
4:35,Hawks defensive team rebound,12 - 17
4:35,Jimmy Butler loose ball foul  (Dwight Howard draws the foul),12 - 17
4:35,Kent Bazemore enters the game for Ersan Ilyasova,12 - 17
4:35,Denzel Valentine enters the game for Paul Zipser,12 - 17
4:35,Mike Muscala enters the game for Taurean Prince,12 - 17
4:35,Bobby Portis enters the game for Nikola Mirotic,12 - 17
4:16,Dennis Schroder  misses 25-foot three point jumper,12 - 17
4:16,Hawks offensive team rebound,12 - 17
4:16,Rajon Rondo loose ball foul  (Mike Muscala draws the foul),12 - 17
4:05,Dwight Howard makes two point shot (Kent Bazemore assists),14 - 17
3:53,Robin Lopez makes 4-foot two point shot (Jimmy Butler assists),14 - 19
3:34,Kent Bazemore makes 24-foot  step back jumpshot  (Dennis Schroder assists),17 - 19
3:08,Rajon Rondo  misses 26-foot three point jumper,17 - 19
3:06,Robin Lopez offensive rebound,17 - 19
2:53,Jimmy Butler  misses 13-foot two point jumper,17 - 19
2:51,Kent Bazemore defensive rebound,17 - 19
2:44,Dwight Howard makes two point shot (Mike Muscala assists),19 - 19
2:44,Bulls Full timeout,19 - 19
2:44,Mike Dunleavy enters the game for Dwight Howard,19 - 19
2:44,Kris Humphries enters the game for Tim Hardaway Jr.,19 - 19
2:30,Rajon Rondo  out of bounds lost ball turnover,19 - 19
2:08,Mike Dunleavy  misses 26-foot three point jumper,19 - 19
2:06,Rajon Rondo defensive rebound,19 - 19
2:00,Kris Humphries kicked ball violation,19 - 19
2:00,Michael Carter-Williams enters the game for Rajon Rondo,19 - 19
1:54,Robin Lopez makes 15-foot jumper (Jimmy Butler assists),19 - 21
1:39,Dennis Schroder makes driving layup,21 - 21
1:21,Kent Bazemore shooting foul  (Jimmy Butler draws the foul),21 - 21
1:21,Jimmy Butler makes free throw 1 of 2,21 - 22
1:21,Jimmy Butler makes free throw 2 of 2,21 - 23
1:08,Bobby Portis personal foul  (Dennis Schroder draws the foul),21 - 23
57.0,Mike Muscala 3 second turnover,21 - 23
46.0,Michael Carter-Williams  misses 27-foot three point jumper,21 - 23
44.0,Mike Dunleavy defensive rebound,21 - 23
29.0,Kris Humphries  misses 25-foot three point jumper,21 - 23
28.0,Jimmy Butler defensive rebound,21 - 23
6.0,Bobby Portis  misses three point jumper,21 - 23
5.0,Mike Dunleavy defensive rebound,21 - 23
0.0,Kent Bazemore  misses 28-foot three point jumper,21 - 23
0.0,Hawks offensive team rebound,21 - 23
0.0,End of the 1st Quarter,21 - 23
11:51,Michael Carter-Williams makes driving layup,21 - 25
11:26,Jose Calderon makes 20-foot two point shot (Tim Hardaway Jr. assists),23 - 25
11:11,Denzel Valentine  misses 16-foot two point jumper,23 - 25
11:11,Kris Humphries defensive rebound,23 - 25
10:59,Jose Calderon  bad pass (Bobby Portis steals),23 - 25
10:48,Denzel Valentine  misses 26-foot three point jumper,23 - 25
10:48,Kris Humphries defensive rebound,23 - 25
10:33,Kris Humphries  misses 21-foot jumper,23 - 25
10:32,Jose Calderon offensive rebound,23 - 25
10:25,Mike Muscala  misses 20-foot jumper,23 - 25
10:23,Paul Zipser defensive rebound,23 - 25
10:12,Michael Carter-Williams makes 24-foot  three point jumper,23 - 28
9:56,Kris Humphries  misses Driving Floating Jump Shot,23 - 28
9:56,Bobby Portis defensive rebound,23 - 28
9:45,Bobby Portis  misses 26-foot three point jumper,23 - 28
9:44,Tim Hardaway Jr. defensive rebound,23 - 28
9:33,Mike Muscala makes 25-foot  three point jumper  (Tim Hardaway Jr. assists),26 - 28
9:18,Joffrey Lauvergne  misses 19-foot jumper,26 - 28
9:17,Mike Dunleavy defensive rebound,26 - 28
9:03,Tim Hardaway Jr.  misses driving layup,26 - 28
9:03,Denzel Valentine defensive rebound,26 - 28
8:48,Denzel Valentine makes 25-foot  three point jumper  (Paul Zipser assists),26 - 31
8:29,Mike Muscala makes 26-foot  three point jumper  (Tim Hardaway Jr. assists),29 - 31
8:07,Joffrey Lauvergne  misses 6-foot two point shot,29 - 31
8:06,Jose Calderon defensive rebound,29 - 31
8:00,Tim Hardaway Jr. makes 26-foot Running Pullup Jump Shot (Jose Calderon assists),32 - 31
7:58,Bulls Full timeout,32 - 31
7:58,Dwight Howard enters the game for Kris Humphries,32 - 31
7:41,Denzel Valentine makes 20-foot two point shot (Michael Carter-Williams assists),32 - 33
7:24,Denzel Valentine blocks Tim Hardaway Jr. 's 2-foot  layup,32 - 33
7:22,Michael Carter-Williams defensive rebound,32 - 33
7:11,Joffrey Lauvergne makes 5-foot two point shot,32 - 35
7:00,Michael Carter-Williams personal foul  (Mike Dunleavy draws the foul),32 - 35
7:00,Ersan Ilyasova enters the game for Mike Muscala,32 - 35
6:58,Paul Zipser shooting foul  (Tim Hardaway Jr. draws the foul),32 - 35
6:58,Tim Hardaway Jr. makes free throw 1 of 2,33 - 35
6:58,Tim Hardaway Jr. makes free throw 2 of 2,34 - 35
6:48,Michael Carter-Williams  misses 15-foot two point jumper,34 - 35
6:48,Michael Carter-Williams offensive rebound,34 - 35
6:45,Joffrey Lauvergne makes two point shot (Bobby Portis assists),34 - 37
6:31,Jose Calderon Out-of-Bounds Bad Pass Turnover,34 - 37
6:31,Taurean Prince enters the game for Mike Dunleavy,34 - 37
6:31,Jimmy Butler enters the game for Paul Zipser,34 - 37
6:31,Rajon Rondo enters the game for Bobby Portis,34 - 37
6:31,Nikola Mirotic enters the game for Michael Carter-Williams,34 - 37
6:18,Dennis Schroder enters the game for Jose Calderon,34 - 37
6:18,Ersan Ilyasova vs. Denzel Valentine,34 - 37
6:18,Rajon Rondo jump ball violation,34 - 37
6:18,Rajon Rondo  jumpball violation turnover,34 - 37
6:00,Dennis Schroder makes two point shot,36 - 37
5:43,Nikola Mirotic makes 25-foot  three point jumper  (Jimmy Butler assists),36 - 40
5:28,Taurean Prince  misses 25-foot three point jumper,36 - 40
5:28,Bulls defensive team rebound,36 - 40
5:28,Full timeout,36 - 40
5:28,Robin Lopez enters the game for Joffrey Lauvergne,36 - 40
5:18,Rajon Rondo makes 20-foot jumper (Denzel Valentine assists),36 - 42
5:05,Ersan Ilyasova  traveling,36 - 42
5:05,Kent Bazemore enters the game for Tim Hardaway Jr.,36 - 42
4:43,Denzel Valentine  misses 26-foot three point jumper,36 - 42
4:43,Kent Bazemore defensive rebound,36 - 42
4:33,Ersan Ilyasova  misses 15-foot jumper,36 - 42
4:31,Rajon Rondo defensive rebound,36 - 42
