time,play,score
12:00,Dwight Howard vs. Kosta Koufos (Ben McLemore gains possession),0 - 0
11:41,Darren Collison  misses 24-foot three point jumper,0 - 0
11:38,Kent Bazemore defensive rebound,0 - 0
11:23,Paul Millsap makes 25-foot  three point jumper  (Dennis Schroder assists),3 - 0
11:07,Ben McLemore  out of bounds lost ball turnover,3 - 0
10:52,Kent Bazemore  bad pass (DeMarcus Cousins steals),3 - 0
10:47,DeMarcus Cousins  lost ball turnover (Paul Millsap steals),3 - 0
10:33,Arron Afflalo shooting foul  (Kent Bazemore draws the foul),3 - 0
10:33,Kent Bazemore misses free throw 1 of 2,3 - 0
10:33,Hawks offensive team rebound,3 - 0
10:33,Kent Bazemore makes free throw 2 of 2,4 - 0
10:19,DeMarcus Cousins makes 20-foot jumper (Ben McLemore assists),4 - 2
10:07,Dennis Schroder  misses 26-foot three point jumper,4 - 2
10:07,Kosta Koufos defensive rebound,4 - 2
9:51,Kosta Koufos  misses 10-foot hook shot,4 - 2
9:49,Paul Millsap defensive rebound,4 - 2
9:34,Kosta Koufos personal foul  (Dennis Schroder draws the foul),4 - 2
9:32,Dennis Schroder  misses 18-foot jumper,4 - 2
9:30,Ben McLemore defensive rebound,4 - 2
9:17,Arron Afflalo  misses 12-foot two point jumper,4 - 2
9:15,Dwight Howard defensive rebound,4 - 2
9:00,Paul Millsap  bad pass (Kosta Koufos steals),4 - 2
8:49,DeMarcus Cousins  out of bounds lost ball turnover,4 - 2
8:40,Dennis Schroder  bad pass (Ben McLemore steals),4 - 2
8:27,DeMarcus Cousins  misses 24-foot three point jumper,4 - 2
8:26,Hawks defensive team rebound,4 - 2
8:15,Dwight Howard makes dunk (Tim Hardaway Jr. assists),6 - 2
7:56,Arron Afflalo  misses 24-foot three point jumper,6 - 2
7:54,Dennis Schroder defensive rebound,6 - 2
7:47,DeMarcus Cousins blocks Kent Bazemore 's 4-foot  layup,6 - 2
7:45,Ben McLemore defensive rebound,6 - 2
7:33,Kosta Koufos  misses 10-foot jumper,6 - 2
7:31,Paul Millsap defensive rebound,6 - 2
7:20,Paul Millsap makes 25-foot  three point jumper  (Dennis Schroder assists),9 - 2
7:01,Dennis Schroder shooting foul  (Darren Collison draws the foul),9 - 2
7:01,Darren Collison makes free throw 1 of 2,9 - 3
7:01,Darren Collison makes free throw 2 of 2,9 - 4
6:48,Dennis Schroder  traveling,9 - 4
6:35,Kent Bazemore blocks Darren Collison 's 9-foot  jumper,9 - 4
6:33,Kent Bazemore defensive rebound,9 - 4
6:28,Tim Hardaway Jr.  misses 22-foot three point jumper,9 - 4
6:26,Kosta Koufos defensive rebound,9 - 4
6:18,Ben McLemore  misses 11-foot jumper,9 - 4
6:18,Ben McLemore offensive rebound,9 - 4
6:09,DeMarcus Cousins  lost ball turnover (Dennis Schroder steals),9 - 4
6:05,Tim Hardaway Jr. makes two point shot (Dennis Schroder assists),11 - 4
6:05,Kings Full timeout,11 - 4
5:46,Darren Collison makes 26-foot  three point jumper  (Kosta Koufos assists),11 - 7
5:33,Dwight Howard  traveling,11 - 7
5:16,DeAndre Bembry enters the game for Kent Bazemore,11 - 7
5:11,DeMarcus Cousins  misses 25-foot three point jumper,11 - 7
5:09,DeAndre Bembry defensive rebound,11 - 7
5:07,Dwight Howard makes two point shot (DeAndre Bembry assists),13 - 7
4:48,Ben McLemore makes 25-foot  three point jumper  (DeMarcus Cousins assists),13 - 10
4:31,Tim Hardaway Jr. makes driving layup,15 - 10
4:16,Ben McLemore  misses 18-foot jumper,15 - 10
4:16,Dwight Howard defensive rebound,15 - 10
4:03,Paul Millsap makes 14-foot two point shot,17 - 10
3:42,DeMarcus Cousins  lost ball turnover (Dwight Howard steals),17 - 10
3:35,Dennis Schroder makes 10-foot two point shot,19 - 10
3:35,Kosta Koufos defensive goaltending violation,19 - 10
3:17,Arron Afflalo  misses 15-foot two point shot,19 - 10
3:16,Paul Millsap defensive rebound,19 - 10
2:53,Dwight Howard  bad pass (Kosta Koufos steals),19 - 10
2:47,DeMarcus Cousins makes two point shot,19 - 12
2:46,Hawks Full timeout,19 - 12
2:46,Matt Barnes enters the game for Arron Afflalo,19 - 12
2:46,Anthony Tolliver enters the game for Kosta Koufos,19 - 12
2:46,Malcolm Delaney enters the game for Dwight Howard,19 - 12
2:46,Kris Humphries enters the game for Dennis Schroder,19 - 12
2:35,DeMarcus Cousins shooting foul  (Paul Millsap draws the foul),19 - 12
2:35,Paul Millsap makes free throw 1 of 2,20 - 12
2:35,Paul Millsap makes free throw 2 of 2,21 - 12
2:13,Darren Collison makes driving layup (DeMarcus Cousins assists),21 - 14
2:00,Tim Hardaway Jr. makes 25-foot  three pointer  (DeAndre Bembry assists),24 - 14
1:38,DeMarcus Cousins  misses 12-foot jumper,24 - 14
1:37,Kris Humphries defensive rebound,24 - 14
1:20,Matt Barnes shooting foul  (Tim Hardaway Jr. draws the foul),24 - 14
1:20,Tim Hardaway Jr. makes free throw 1 of 3,25 - 14
1:20,Tim Hardaway Jr. misses free throw 2 of 3,25 - 14
1:20,Hawks offensive team rebound,25 - 14
1:20,Arron Afflalo enters the game for Darren Collison,25 - 14
1:20,Willie Cauley-Stein enters the game for DeMarcus Cousins,25 - 14
