time,play,score
12:00,Dwight Howard vs. Kristaps Porzingis (Paul Millsap gains possession),0 - 0
11:42,Paul Millsap makes 25-foot  three point jumper  (Kent Bazemore assists),3 - 0
11:15,Kyle O'Quinn makes 19-foot jumper (Derrick Rose assists),3 - 2
11:03,Kyle Korver makes 18-foot jumper (Dennis Schroder assists),5 - 2
10:48,Kyle O'Quinn  misses 19-foot jumper,5 - 2
10:48,Kyle O'Quinn offensive rebound,5 - 2
10:41,Kristaps Porzingis  misses jumper,5 - 2
10:40,Kyle Korver defensive rebound,5 - 2
10:32,Dennis Schroder Out-of-Bounds Bad Pass Turnover,5 - 2
10:12,Carmelo Anthony  misses 10-foot two point shot,5 - 2
10:11,Dennis Schroder defensive rebound,5 - 2
10:00,Dennis Schroder  misses driving layup,5 - 2
9:59,Hawks offensive team rebound,5 - 2
9:52,Kent Bazemore  misses 24-foot three point jumper,5 - 2
9:49,Dwight Howard offensive rebound,5 - 2
9:48,Dwight Howard  lost ball turnover (Courtney Lee steals),5 - 2
9:33,Carmelo Anthony  misses 26-foot three point jumper,5 - 2
9:33,Dwight Howard defensive rebound,5 - 2
9:25,Dennis Schroder  double dribble turnover,5 - 2
9:10,Derrick Rose makes 12-foot two point shot,5 - 4
8:52,Paul Millsap  misses 15-foot jumper,5 - 4
8:51,Carmelo Anthony defensive rebound,5 - 4
8:45,Kristaps Porzingis  misses 7-foot two point shot,5 - 4
8:44,Kristaps Porzingis offensive rebound,5 - 4
8:41,Kristaps Porzingis makes layup,5 - 6
8:23,Paul Millsap makes 12-foot jumper,7 - 6
8:03,Courtney Lee makes 14-foot jumper,7 - 8
7:50,Dennis Schroder  misses 27-foot three point jumper,7 - 8
7:50,Courtney Lee defensive rebound,7 - 8
7:41,Kristaps Porzingis  misses layup,7 - 8
7:41,Kyle O'Quinn offensive rebound,7 - 8
7:33,Derrick Rose  misses 25-foot three point jumper,7 - 8
7:33,Dennis Schroder defensive rebound,7 - 8
7:16,Kent Bazemore  misses driving layup,7 - 8
7:16,Dwight Howard offensive rebound,7 - 8
7:16,Dwight Howard makes two point shot,9 - 8
7:03,Courtney Lee  misses 25-foot three point jumper,9 - 8
7:01,Hawks defensive team rebound,9 - 8
7:01,Mike Muscala enters the game for Paul Millsap,9 - 8
6:52,Dennis Schroder  misses driving floating jump shot,9 - 8
6:50,Carmelo Anthony defensive rebound,9 - 8
6:37,Carmelo Anthony makes 14-foot jumper,9 - 10
6:26,Kyle O'Quinn blocks Dennis Schroder's  layup,9 - 10
6:24,Hawks offensive team rebound,9 - 10
6:24,Kent Bazemore  misses layup,9 - 10
6:22,Kyle O'Quinn defensive rebound,9 - 10
6:18,Kristaps Porzingis makes dunk (Derrick Rose assists),9 - 12
6:01,Kyle O'Quinn shooting foul  (Dwight Howard draws the foul),9 - 12
6:01,Dwight Howard makes free throw 1 of 2,10 - 12
6:01,Dwight Howard makes free throw 2 of 2,11 - 12
5:50,Carmelo Anthony makes 13-foot jumper,11 - 14
5:39,Kyle Korver  misses 21-foot jumper,11 - 14
5:37,Kyle O'Quinn defensive rebound,11 - 14
5:26,Courtney Lee  misses 21-foot jumper,11 - 14
5:24,Kyle O'Quinn offensive rebound,11 - 14
5:11,Derrick Rose  misses driving layup,11 - 14
5:11,Kyle O'Quinn offensive rebound,11 - 14
5:07,Kyle O'Quinn makes layup,11 - 16
5:07,Hawks Full timeout,11 - 16
5:07,Willy Hernangomez enters the game for Kristaps Porzingis,11 - 16
5:07,Tim Hardaway Jr. enters the game for Kyle Korver,11 - 16
4:50,Mike Muscala  misses layup,11 - 16
4:50,Dwight Howard offensive rebound,11 - 16
4:50,Dwight Howard makes two point shot,13 - 16
4:35,Kent Bazemore personal foul  (Carmelo Anthony draws the foul),13 - 16
4:35,Taurean Prince enters the game for Kent Bazemore,13 - 16
4:26,Kyle O'Quinn makes layup (Courtney Lee assists),13 - 18
4:07,Dwight Howard  misses 3-foot driving hook shot,13 - 18
4:05,Kyle O'Quinn defensive rebound,13 - 18
3:56,Derrick Rose Out-of-Bounds Bad Pass Turnover,13 - 18
3:56,Malcolm Delaney enters the game for Dennis Schroder,13 - 18
3:43,Tim Hardaway Jr. makes 20-foot jumper,15 - 18
3:20,Carmelo Anthony makes 17-foot jumper,15 - 20
3:02,Taurean Prince  misses jumper,15 - 20
3:01,Mike Muscala offensive rebound,15 - 20
3:01,Mike Muscala  misses 1-foot tip layup,15 - 20
3:00,Taurean Prince offensive rebound,15 - 20
2:50,Kyle O'Quinn shooting foul  (Dwight Howard draws the foul),15 - 20
2:50,Knicks Full timeout,15 - 20
2:50,Brandon Jennings enters the game for Derrick Rose,15 - 20
2:50,Paul Millsap enters the game for Taurean Prince,15 - 20
2:50,Dwight Howard makes free throw 1 of 2,16 - 20
2:50,Dwight Howard misses free throw 2 of 2,16 - 20
2:49,Paul Millsap offensive rebound,16 - 20
2:43,Malcolm Delaney  bad pass (Carmelo Anthony steals),16 - 20
2:33,Carmelo Anthony  misses 25-foot three point jumper,16 - 20
