time,play,score
12:00,Dwight Howard vs. Tyson Chandler (Eric Bledsoe gains possession),0 - 0
11:41,P.J. Tucker makes 16-foot two point shot,0 - 2
11:19,Dennis Schroder makes 17-foot two point shot,2 - 2
11:00,P.J. Tucker makes 13-foot jumper,2 - 4
10:42,Mike Muscala  bad pass (Marquese Chriss steals),2 - 4
10:38,Devin Booker makes driving layup,2 - 6
10:27,Mike Muscala  misses 15-foot two point jumper,2 - 6
10:23,Eric Bledsoe defensive rebound,2 - 6
10:11,P.J. Tucker makes 25-foot  three point jumper  (Eric Bledsoe assists),2 - 9
9:56,Tyson Chandler blocks Dwight Howard 's 4-foot  jumper,2 - 9
9:56,Hawks offensive team rebound,2 - 9
9:53,Dennis Schroder makes jumper (Kyle Korver assists),4 - 9
9:38,Devin Booker  misses 14-foot jumper,4 - 9
9:37,Dwight Howard defensive rebound,4 - 9
9:22,Dwight Howard makes 12-foot two point shot (Dennis Schroder assists),6 - 9
9:02,Marquese Chriss makes 5-foot two point shot,6 - 11
8:53,Kyle Korver makes 25-foot  three point jumper  (Dennis Schroder assists),9 - 11
8:41,Eric Bledsoe  misses 5-foot two point shot,9 - 11
8:38,Dwight Howard defensive rebound,9 - 11
8:36,Dwight Howard  bad pass (Tyson Chandler steals),9 - 11
8:33,Dennis Schroder shooting block foul  (Devin Booker draws the foul),9 - 11
8:33,Devin Booker misses free throw 1 of 2,9 - 11
8:33,Suns offensive team rebound,9 - 11
8:33,Devin Booker misses free throw 2 of 2,9 - 11
8:30,Mike Muscala defensive rebound,9 - 11
8:21,Eric Bledsoe personal foul  (Dennis Schroder draws the foul),9 - 11
8:15,Kent Bazemore  misses 16-foot jumper,9 - 11
8:14,Kent Bazemore offensive rebound,9 - 11
8:11,Mike Muscala  misses 16-foot jumper,9 - 11
8:08,Dwight Howard makes tip shot,11 - 11
8:08,Dwight Howard offensive rebound,9 - 11
8:00,Tyson Chandler makes two point shot (Devin Booker assists),11 - 13
7:50,Dwight Howard makes 21-foot jumper (Kent Bazemore assists),13 - 13
7:33,Kyle Korver blocks Tyson Chandler 's 4-foot  jumper,13 - 13
7:33,Dennis Schroder defensive rebound,13 - 13
7:28,Kent Bazemore makes  three point jumper  (Dennis Schroder assists),16 - 13
7:28,Suns Full timeout,16 - 13
7:13,Dennis Schroder blocks Eric Bledsoe 's 18-foot  jumper,16 - 13
7:11,Dennis Schroder defensive rebound,16 - 13
7:09,Dennis Schroder Out-of-Bounds Bad Pass Turnover,16 - 13
7:00,P.J. Tucker offensive foul  (Dennis Schroder draws the foul),16 - 13
7:00,P.J. Tucker  turnover,16 - 13
6:43,Dennis Schroder  bad pass (Tyson Chandler steals),16 - 13
6:39,Eric Bledsoe  misses driving layup,16 - 13
6:37,Hawks defensive team rebound,16 - 13
6:22,Dennis Schroder makes two point shot,18 - 13
5:54,P.J. Tucker  misses 23-foot three point jumper,18 - 13
5:54,Eric Bledsoe offensive rebound,18 - 13
5:37,Eric Bledsoe makes 16-foot two point shot,18 - 15
5:11,Kent Bazemore makes 22-foot two point shot,20 - 15
4:58,Tyson Chandler Out-of-Bounds Bad Pass Turnover,20 - 15
4:58,Mike Scott enters the game for Mike Muscala,20 - 15
4:58,Brandon Knight enters the game for Eric Bledsoe,20 - 15
4:58,Alex Len enters the game for Tyson Chandler,20 - 15
4:58,Tim Hardaway Jr. enters the game for Kyle Korver,20 - 15
4:47,Mike Scott  misses 27-foot three point jumper,20 - 15
4:45,Devin Booker defensive rebound,20 - 15
4:43,Dennis Schroder shooting foul  (Marquese Chriss draws the foul),20 - 15
4:43,Marquese Chriss makes free throw 1 of 2,20 - 16
4:43,Malcolm Delaney enters the game for Dennis Schroder,20 - 16
4:43,Marquese Chriss makes free throw 2 of 2,20 - 17
4:31,Alex Len personal foul  (Dwight Howard draws the foul),20 - 17
4:31,Jared Dudley enters the game for Marquese Chriss,20 - 17
4:16,Tim Hardaway Jr.  misses 32-foot three point jumper,20 - 17
4:15,P.J. Tucker defensive rebound,20 - 17
4:01,Brandon Knight makes 25-foot  step back jumpshot,20 - 20
3:49,Tim Hardaway Jr. makes 7-foot two point shot,22 - 20
3:44,Malcolm Delaney shooting foul  (Brandon Knight draws the foul),22 - 20
3:44,Brandon Knight misses free throw 1 of 2,22 - 20
3:44,Suns offensive team rebound,22 - 20
3:44,Thabo Sefolosha enters the game for Kent Bazemore,22 - 20
3:44,Kris Humphries enters the game for Dwight Howard,22 - 20
3:44,Brandon Knight makes free throw 2 of 2,22 - 21
3:19,Tim Hardaway Jr.  misses 21-foot jumper,22 - 21
3:17,Brandon Knight defensive rebound,22 - 21
3:13,Kris Humphries shooting foul  (P.J. Tucker draws the foul),22 - 21
3:13,P.J. Tucker makes free throw 1 of 2,22 - 22
3:13,P.J. Tucker makes free throw 2 of 2,22 - 23
3:13,Hawks Full timeout,22 - 23
2:55,Mike Scott  bad pass (Brandon Knight steals),22 - 23
2:55,Malcolm Delaney personal foul  (Brandon Knight draws the foul),22 - 23
2:55,Brandon Knight makes free throw 1 of 2,22 - 24
2:55,Brandon Knight makes free throw 2 of 2,22 - 25
2:40,Thabo Sefolosha Out-of-Bounds Bad Pass Turnover,22 - 25
2:40,Dragan Bender enters the game for P.J. Tucker,22 - 25
2:27,Devin Booker  misses 25-foot three point jumper,22 - 25
2:25,Thabo Sefolosha defensive rebound,22 - 25
2:15,Alex Len personal foul  (Kris Humphries draws the foul),22 - 25
2:09,Malcolm Delaney  misses 17-foot two point jumper,22 - 25
2:04,Jared Dudley defensive rebound,22 - 25
1:58,Brandon Knight  misses 10-foot two point shot,22 - 25
1:54,Mike Scott defensive rebound,22 - 25
1:47,Kris Humphries makes 16-foot jumper (Tim Hardaway Jr. assists),24 - 25
1:30,Jared Dudley makes 26-foot  three point jumper  (Brandon Knight assists),24 - 28
1:22,Devin Booker personal foul  (Malcolm Delaney draws the foul),24 - 28
1:22,Mike Muscala enters the game for Mike Scott,24 - 28
1:17,Mike Muscala  bad pass (Devin Booker steals),24 - 28
1:15,Malcolm Delaney shooting block foul  (Brandon Knight draws the foul),24 - 28
1:15,Brandon Knight makes free throw 1 of 2,24 - 29
1:15,Kent Bazemore enters the game for Malcolm Delaney,24 - 29
1:15,Tyson Chandler enters the game for Alex Len,24 - 29
1:15,Brandon Knight makes free throw 2 of 2,24 - 30
1:00,Kris Humphries  misses jumper,24 - 30
1:00,Tyson Chandler defensive rebound,24 - 30
59.0,Jared Dudley  lost ball turnover (Tim Hardaway Jr. steals),24 - 30
58.0,Tim Hardaway Jr. makes 16-foot jumper,26 - 30
44.0,Brandon Knight makes 16-foot jumper,26 - 32
44.0,Kent Bazemore shooting foul  (Brandon Knight draws the foul),26 - 32
44.0,Brandon Knight makes free throw 1 of 1,26 - 33
37.0,Tim Hardaway Jr. offensive Charge  (Jared Dudley draws the foul),26 - 33
37.0,Tim Hardaway Jr.  turnover,26 - 33
29.0,Brandon Knight makes 25-foot  three pointer,26 - 36
17.0,Dragan Bender personal foul  (Kris Humphries draws the foul),26 - 36
17.0,Kris Humphries misses free throw 1 of 2,26 - 36
17.0,Hawks offensive team rebound,26 - 36
17.0,Kris Humphries makes free throw 2 of 2,27 - 36
