time,play,score
12:00,Hassan Whiteside vs. Nerlens Noel (Luke Babbitt gains possession),0 - 0
11:45,Wayne Ellington  misses 27-foot three point jumper,0 - 0
11:44,Robert Covington defensive rebound,0 - 0
11:26,Gerald Henderson  misses 10-foot jumper,0 - 0
11:25,Hassan Whiteside defensive rebound,0 - 0
11:14,Robert Covington blocks Goran Dragic 's 3-foot  layup,0 - 0
11:14,Heat offensive team rebound,0 - 0
11:14,Nerlens Noel personal foul  (Hassan Whiteside draws the foul),0 - 0
11:03,Hassan Whiteside  misses 8-foot two point shot,0 - 0
11:02,Ersan Ilyasova defensive rebound,0 - 0
10:56,Nerlens Noel makes two point shot (TJ McConnell assists),0 - 2
10:36,Rodney McGruder makes 15-foot jumper,2 - 2
10:30,Nerlens Noel  misses two point shot,2 - 2
10:27,Luke Babbitt defensive rebound,2 - 2
10:15,Hassan Whiteside makes driving layup (Luke Babbitt assists),4 - 2
9:57,Nerlens Noel makes dunk (Ersan Ilyasova assists),4 - 4
9:44,Rodney McGruder  misses layup,4 - 4
9:41,TJ McConnell defensive rebound,4 - 4
9:36,Robert Covington makes 25-foot  three point jumper  (TJ McConnell assists),4 - 7
9:19,Wayne Ellington  misses 25-foot three point jumper,4 - 7
9:18,76ers defensive team rebound,4 - 7
9:07,Luke Babbitt shooting foul  (Ersan Ilyasova draws the foul),4 - 7
9:07,Ersan Ilyasova makes free throw 1 of 2,4 - 8
9:07,Ersan Ilyasova misses free throw 2 of 2,4 - 8
9:06,Hassan Whiteside defensive rebound,4 - 8
8:56,Goran Dragic  misses 17-foot jumper,4 - 8
8:55,Robert Covington defensive rebound,4 - 8
8:48,Nerlens Noel makes layup (TJ McConnell assists),4 - 10
8:30,Goran Dragic  bad pass (Gerald Henderson steals),4 - 10
8:25,Gerald Henderson  misses two point shot,4 - 10
8:22,Luke Babbitt defensive rebound,4 - 10
8:19,Robert Covington shooting foul  (Wayne Ellington draws the foul),4 - 10
8:19,Wayne Ellington makes free throw 1 of 2,5 - 10
8:19,Wayne Ellington makes free throw 2 of 2,6 - 10
8:07,Hassan Whiteside blocks Robert Covington 's 4-foot  jumper,6 - 10
8:07,TJ McConnell offensive rebound,6 - 10
8:04,Robert Covington makes 24-foot  three point jumper  (TJ McConnell assists),6 - 13
7:48,Hassan Whiteside makes 4-foot jumper,8 - 13
7:43,Rodney McGruder personal foul  (Robert Covington draws the foul),8 - 13
7:35,TJ McConnell makes 2-foot two point shot,8 - 15
7:20,Rodney McGruder  lost ball turnover (Robert Covington steals),8 - 15
7:16,Luke Babbitt shooting foul  (Ersan Ilyasova draws the foul),8 - 15
7:16,Ersan Ilyasova makes free throw 1 of 2,8 - 16
7:16,James Johnson enters the game for Luke Babbitt,8 - 16
7:16,Ersan Ilyasova misses free throw 2 of 2,8 - 16
7:16,Hassan Whiteside defensive rebound,8 - 16
7:03,Hassan Whiteside makes 6-foot two point shot (James Johnson assists),10 - 16
6:52,Robert Covington  misses 18-foot jumper,10 - 16
6:50,Goran Dragic defensive rebound,10 - 16
6:47,Gerald Henderson blocks Wayne Ellington 's 4-foot  jumper,10 - 16
6:46,Rodney McGruder offensive rebound,10 - 16
6:46,Dario Saric enters the game for Gerald Henderson,10 - 16
6:46,Nik Stauskas enters the game for Ersan Ilyasova,10 - 16
6:31,Robert Covington shooting foul  (James Johnson draws the foul),10 - 16
6:31,James Johnson misses free throw 1 of 2,10 - 16
6:31,Heat offensive team rebound,10 - 16
6:31,Timothe Luwawu-Cabarrot enters the game for Robert Covington,10 - 16
6:31,Tyler Johnson enters the game for Goran Dragic,10 - 16
6:31,James Johnson makes free throw 2 of 2,11 - 16
6:20,Timothe Luwawu-Cabarrot  misses layup,11 - 16
6:20,Nerlens Noel offensive rebound,11 - 16
6:18,James Johnson blocks Nerlens Noel's  jumper,11 - 16
6:16,Rodney McGruder defensive rebound,11 - 16
6:11,Dario Saric shooting foul  (Wayne Ellington draws the foul),11 - 16
6:11,Wayne Ellington makes free throw 1 of 3,12 - 16
6:11,Wayne Ellington makes free throw 2 of 3,13 - 16
6:11,Wayne Ellington makes free throw 3 of 3,14 - 16
5:58,James Johnson personal foul  (Dario Saric draws the foul),14 - 16
5:58,76ers Full timeout,14 - 16
5:50,James Johnson blocks Dario Saric's  layup,14 - 16
5:48,Hassan Whiteside defensive rebound,14 - 16
5:43,Nik Stauskas blocks Tyler Johnson's  shot,14 - 16
5:41,Timothe Luwawu-Cabarrot defensive rebound,14 - 16
5:26,Dario Saric  misses 26-foot three point jumper,14 - 16
5:24,Hassan Whiteside defensive rebound,14 - 16
5:07,Tyler Johnson makes Driving Floating Jump Shot (Wayne Ellington assists),16 - 16
4:50,Nik Stauskas  misses 26-foot three point jumper,16 - 16
4:48,Nerlens Noel offensive rebound,16 - 16
4:43,Dario Saric makes 25-foot  three point jumper  (Nerlens Noel assists),16 - 19
4:22,Tyler Johnson  bad pass (Nerlens Noel steals),16 - 19
4:15,TJ McConnell  misses 17-foot jumper,16 - 19
4:13,Hassan Whiteside defensive rebound,16 - 19
4:01,Dario Saric blocks Hassan Whiteside 's 5-foot  jumper,16 - 19
3:58,TJ McConnell defensive rebound,16 - 19
3:54,Tyler Johnson shooting foul  (Nik Stauskas draws the foul),16 - 19
3:54,Nik Stauskas makes free throw 1 of 2,16 - 20
3:54,Richaun Holmes enters the game for Nerlens Noel,16 - 20
3:54,Willie Reed enters the game for Rodney McGruder,16 - 20
3:54,Okaro White enters the game for Hassan Whiteside,16 - 20
3:54,Nik Stauskas misses free throw 2 of 2,16 - 20
3:51,Dario Saric offensive rebound,16 - 20
3:50,Dario Saric makes two point shot,16 - 22
3:42,Heat Full timeout,16 - 22
3:42,Sergio Rodriguez enters the game for TJ McConnell,16 - 22
3:32,James Johnson makes 19-foot two point shot,18 - 22
3:16,Timothe Luwawu-Cabarrot Out-of-Bounds Bad Pass Turnover,18 - 22
2:57,Tyler Johnson makes 26-foot  three point jumper  (James Johnson assists),21 - 22
2:47,Gerald Henderson enters the game for Timothe Luwawu-Cabarrot,21 - 22
2:47,Okaro White in bound foul  (Gerald Henderson draws the foul),21 - 23
2:47,Gerald Henderson makes free throw 1 of 1,21 - 23
2:36,Dario Saric  misses 18-foot jumper,21 - 23
2:35,Richaun Holmes offensive rebound,21 - 23
2:24,Sergio Rodriguez  misses 17-foot jumper,21 - 23
2:21,Wayne Ellington defensive rebound,21 - 23
2:11,James Johnson makes layup (Willie Reed assists),23 - 23
1:54,Nik Stauskas  misses 25-foot three point jumper,23 - 23
1:54,James Johnson defensive rebound,23 - 23
1:39,Okaro White  misses 25-foot three point jumper,23 - 23
1:39,Dario Saric defensive rebound,23 - 23
1:16,Dario Saric makes two point shot (Nik Stauskas assists),23 - 25
1:01,James Johnson  misses jumper,23 - 25
1:00,James Johnson makes tip shot,25 - 25
1:00,James Johnson offensive rebound,23 - 25
48.0,Gerald Henderson  misses,25 - 25
46.0,Richaun Holmes offensive rebound,25 - 25
36.0,Nik Stauskas makes 1-foot two point shot (Dario Saric assists),25 - 27
26.0,Richaun Holmes shooting block foul  (Tyler Johnson draws the foul),25 - 27
26.0,Tyler Johnson makes free throw 1 of 2,26 - 27
26.0,Goran Dragic enters the game for Wayne Ellington,26 - 27
26.0,Tyler Johnson makes free throw 2 of 2,27 - 27
3.0,Gerald Henderson  misses 24-foot three point jumper,27 - 27
2.0,Tyler Johnson defensive rebound,27 - 27
0.0,Tyler Johnson  misses three point jumper,27 - 27
0.0,Heat offensive team rebound,27 - 27
0.0,End of the 1st Quarter,27 - 27
11:44,Dario Saric  misses 25-foot three point jumper,27 - 27
11:41,Willie Reed defensive rebound,27 - 27
11:26,James Johnson  bad pass (Sergio Rodriguez steals),27 - 27
11:19,Nik Stauskas  misses layup,27 - 27
11:18,Goran Dragic defensive rebound,27 - 27
11:15,Sergio Rodriguez personal foul  (Goran Dragic draws the foul),27 - 27
11:15,Ersan Ilyasova enters the game for Dario Saric,27 - 27
11:07,Tyler Johnson  misses jumper,27 - 27
11:04,Willie Reed offensive rebound,27 - 27
10:51,Willie Reed  misses 7-foot hook shot,27 - 27
10:48,Willie Reed offensive rebound,27 - 27
10:45,James Johnson  misses layup,27 - 27
10:45,Sergio Rodriguez defensive rebound,27 - 27
10:38,Sergio Rodriguez  misses Running Pullup Jump Shot,27 - 27
10:33,James Johnson defensive rebound,27 - 27
10:30,Richaun Holmes shooting foul  (James Johnson draws the foul),27 - 27
10:30,James Johnson misses free throw 1 of 2,27 - 27
10:30,Heat offensive team rebound,27 - 27
10:30,Nerlens Noel enters the game for Richaun Holmes,27 - 27
10:30,James Johnson makes free throw 2 of 2,28 - 27
10:22,Ersan Ilyasova makes 26-foot  three point jumper  (Sergio Rodriguez assists),28 - 30
10:08,Goran Dragic  lost ball turnover (Nerlens Noel steals),28 - 30
10:02,Ersan Ilyasova makes driving dunk (Nik Stauskas assists),28 - 32
9:45,James Johnson  misses three point jumper,28 - 32
9:45,Heat offensive team rebound,28 - 32
9:45,Gerald Henderson loose ball foul  (Okaro White draws the foul),28 - 32
9:30,Goran Dragic makes 12-foot two point shot,30 - 32
9:30,76ers Full timeout,30 - 32
9:12,Sergio Rodriguez makes driving layup,30 - 34
8:55,Goran Dragic  traveling,30 - 34
8:55,Rodney McGruder enters the game for Tyler Johnson,30 - 34
8:55,Robert Covington enters the game for Gerald Henderson,30 - 34
8:37,Nerlens Noel makes dunk (Sergio Rodriguez assists),30 - 36
8:18,Goran Dragic makes two point shot,32 - 36
8:03,Sergio Rodriguez  misses two point shot,32 - 36
8:02,Willie Reed defensive rebound,32 - 36
7:56,Goran Dragic makes 10-foot two point shot,34 - 36
7:47,Ersan Ilyasova makes 4-foot two point shot (Nik Stauskas assists),34 - 38
7:37,Nik Stauskas shooting foul  (Goran Dragic draws the foul),34 - 38
7:37,Goran Dragic makes free throw 1 of 3,36 - 38
7:37,Hassan Whiteside enters the game for Willie Reed,35 - 38
7:37,Wayne Ellington enters the game for James Johnson,35 - 38
7:37,Goran Dragic makes free throw 2 of 3,36 - 38
7:37,Goran Dragic makes free throw 3 of 3,37 - 38
7:26,Nerlens Noel makes two point shot (Sergio Rodriguez assists),37 - 40
7:07,Goran Dragic makes 2-foot two point shot,39 - 40
7:00,Nik Stauskas  misses driving layup,39 - 40
6:56,Hassan Whiteside defensive rebound,39 - 40
6:52,Goran Dragic Out-of-Bounds Bad Pass Turnover,39 - 40
6:39,Okaro White shooting block foul  (Ersan Ilyasova draws the foul),39 - 40
6:39,Ersan Ilyasova misses free throw 1 of 2,39 - 40
6:39,76ers offensive team rebound,39 - 40
6:39,Ersan Ilyasova makes free throw 2 of 2,39 - 41
6:30,Goran Dragic  bad pass (Nik Stauskas steals),39 - 41
6:22,Robert Covington  bad pass (Goran Dragic steals),39 - 41
