time,play,score
12:00,Hassan Whiteside vs. Tristan Thompson (LeBron James gains possession),0 - 0
11:44,Kyrie Irving makes 13-foot jumper,0 - 2
11:22,Tristan Thompson blocks Hassan Whiteside 's 4-foot  jumper,0 - 2
11:22,Heat offensive team rebound,0 - 2
11:17,Luke Babbitt  misses 11-foot two point shot,0 - 2
11:15,LeBron James defensive rebound,0 - 2
11:11,LeBron James  misses,0 - 2
11:11,Luke Babbitt defensive rebound,0 - 2
11:03,Dion Waiters makes 17-foot jumper,2 - 2
10:48,Kyrie Irving  misses 25-foot three point jumper,2 - 2
10:47,Luke Babbitt defensive rebound,2 - 2
10:33,Goran Dragic  misses 25-foot three point jumper,2 - 2
10:33,Tristan Thompson defensive rebound,2 - 2
10:19,Iman Shumpert makes 13-foot jumper,2 - 4
10:00,Hassan Whiteside  misses 13-foot two point shot,2 - 4
10:00,LeBron James defensive rebound,2 - 4
9:48,Rodney McGruder shooting foul  (LeBron James draws the foul),2 - 4
9:48,LeBron James makes free throw 1 of 2,2 - 5
9:48,LeBron James misses free throw 2 of 2,2 - 5
9:48,Hassan Whiteside defensive rebound,2 - 5
9:37,Iman Shumpert personal block  (Dion Waiters draws the foul),2 - 5
9:26,Dion Waiters  misses driving layup,2 - 5
9:25,LeBron James defensive rebound,2 - 5
9:18,Richard Jefferson  misses 24-foot three point jumper,2 - 5
9:18,Rodney McGruder defensive rebound,2 - 5
9:11,Goran Dragic  lost ball turnover (Richard Jefferson steals),2 - 5
9:03,LeBron James  lost ball turnover (Rodney McGruder steals),2 - 5
9:00,Kyrie Irving blocks Rodney McGruder 's 1-foot  layup,2 - 5
9:00,Heat offensive team rebound,2 - 5
9:00,5 sec inbound turnover,2 - 5
8:53,Iman Shumpert  misses 12-foot jumper,2 - 5
8:52,Hassan Whiteside defensive rebound,2 - 5
8:41,Goran Dragic makes driving layup,4 - 5
8:18,LeBron James makes 12-foot two point shot,4 - 7
8:00,Luke Babbitt makes 25-foot  three point jumper  (Dion Waiters assists),7 - 7
7:41,Dion Waiters blocks Iman Shumpert 's 1-foot  layup,7 - 7
