time,play,score
12:00,Hassan Whiteside vs. Rudy Gobert (Dante Exum gains possession),0 - 0
11:37,Joe Johnson  misses 23-foot three point jumper,0 - 0
11:37,Josh McRoberts defensive rebound,0 - 0
11:19,Josh McRoberts makes 10-foot two point shot (Goran Dragic assists),2 - 0
10:52,Boris Diaw  misses 18-foot two point jumper,2 - 0
10:52,Goran Dragic defensive rebound,2 - 0
10:29,Hassan Whiteside  misses 7-foot jumper,2 - 0
10:27,Joe Johnson defensive rebound,2 - 0
10:19,Gordon Hayward  misses 25-foot three point jumper,2 - 0
10:18,Hassan Whiteside defensive rebound,2 - 0
10:07,Rodney McGruder makes 23-foot  three point jumper  (Goran Dragic assists),5 - 0
9:45,Dante Exum makes 24-foot  three point jumper  (Gordon Hayward assists),5 - 3
9:26,Rudy Gobert blocks Hassan Whiteside's  layup,5 - 3
9:25,Rudy Gobert defensive rebound,5 - 3
9:11,Dante Exum  misses driving layup,5 - 3
9:11,Dante Exum  misses 2-foot,5 - 3
9:11,Dante Exum offensive rebound,5 - 3
9:11,Gordon Hayward offensive rebound,5 - 3
9:06,Dante Exum  misses 23-foot three point jumper,5 - 3
9:06,Jazz offensive team rebound,5 - 3
8:48,Luke Babbitt personal foul  (Boris Diaw draws the foul),5 - 3
8:36,Gordon Hayward makes 24-foot  three point jumper  (Joe Johnson assists),5 - 6
8:15,Rodney McGruder  misses 26-foot three point jumper,5 - 6
8:15,Goran Dragic offensive rebound,5 - 6
7:54,Goran Dragic  misses 15-foot two point shot,5 - 6
7:52,Boris Diaw defensive rebound,5 - 6
7:35,Boris Diaw  misses 25-foot three point jumper,5 - 6
7:35,Goran Dragic defensive rebound,5 - 6
7:22,Hassan Whiteside  misses layup,5 - 6
7:22,Joe Johnson defensive rebound,5 - 6
7:18,Dante Exum  lost ball turnover (Luke Babbitt steals),5 - 6
7:16,Rudy Gobert clear path foul  (Rodney McGruder draws the foul),5 - 6
7:16,Rodney McGruder makes free throw clear path 1 of 2,6 - 6
7:16,Rodney McGruder makes free throw clear path 2 of 2,7 - 6
7:03,Goran Dragic makes two point shot,9 - 6
6:43,Rudy Gobert  misses 8-foot two point shot,9 - 6
6:43,Hassan Whiteside defensive rebound,9 - 6
6:35,Goran Dragic makes 3-foot two point shot,11 - 6
6:09,Joe Johnson  misses 17-foot two point shot,11 - 6
6:07,Rudy Gobert offensive rebound,11 - 6
6:07,Rudy Gobert makes layup,11 - 8
5:54,Goran Dragic makes driving layup,13 - 8
5:48,Goran Dragic shooting foul  (Dante Exum draws the foul),13 - 8
5:48,Jazz Full timeout,13 - 8
5:48,Trey Lyles enters the game for Boris Diaw,13 - 8
5:48,Dante Exum makes free throw 1 of 2,13 - 9
5:48,Dante Exum makes free throw 2 of 2,13 - 10
5:33,Goran Dragic  lost ball turnover (Trey Lyles steals),13 - 10
5:18,Trey Lyles makes layup,13 - 12
4:56,Joe Johnson shooting foul  (Luke Babbitt draws the foul),14 - 12
4:56,Luke Babbitt misses free throw 1 of 2,13 - 12
4:56,Heat offensive team rebound,13 - 12
4:56,Shelvin Mack enters the game for Dante Exum,13 - 12
4:56,Luke Babbitt makes free throw 2 of 2,14 - 12
4:37,Gordon Hayward makes 23-foot jumper,14 - 14
4:18,Josh McRoberts  misses 18-foot jumper,14 - 14
4:18,Jazz defensive team rebound,14 - 14
4:18,Hassan Whiteside loose ball foul  (Rudy Gobert draws the foul),14 - 14
4:18,Tyler Johnson enters the game for Rodney McGruder,14 - 14
4:07,Gordon Hayward makes two point shot (Shelvin Mack assists),14 - 16
4:07,Heat Full timeout,14 - 16
4:07,Wayne Ellington enters the game for Luke Babbitt,14 - 16
3:46,Wayne Ellington makes two point shot (Josh McRoberts assists),16 - 16
3:30,Joe Johnson makes 2-foot two point shot (Trey Lyles assists),16 - 18
3:10,Tyler Johnson  misses layup,16 - 18
3:10,Hassan Whiteside offensive rebound,16 - 18
3:08,Hassan Whiteside makes dunk,18 - 18
2:50,Joe Johnson makes 24-foot  three point jumper  (Shelvin Mack assists),18 - 21
2:29,Josh McRoberts makes 2-foot layup (Goran Dragic assists),20 - 21
2:12,Trey Lyles  traveling,20 - 21
2:12,James Johnson enters the game for Hassan Whiteside,20 - 21
2:12,Willie Reed enters the game for Josh McRoberts,20 - 21
2:12,Joe Ingles enters the game for Joe Johnson,20 - 21
2:12,Jeff Withey enters the game for Rudy Gobert,20 - 21
1:54,Jeff Withey blocks Goran Dragic's  shot,20 - 21
1:53,Shelvin Mack defensive rebound,20 - 21
1:44,Tyler Johnson personal foul  (Gordon Hayward draws the foul),20 - 21
1:44,Rodney McGruder enters the game for Goran Dragic,20 - 21
1:39,James Johnson personal foul  (Gordon Hayward draws the foul),20 - 21
1:39,Gordon Hayward makes free throw 1 of 2,20 - 22
1:39,Gordon Hayward misses free throw 2 of 2,20 - 22
1:39,Willie Reed defensive rebound,20 - 22
1:30,Willie Reed makes dunk (Tyler Johnson assists),22 - 22
