time,play,score
12:00,Hassan Whiteside vs. Anthony Davis (Jrue Holiday gains possession),0 - 0
11:44,Buddy Hield  misses 18-foot jumper,0 - 0
11:41,Goran Dragic defensive rebound,0 - 0
11:27,Justise Winslow makes 8-foot jumper (Goran Dragic assists),2 - 0
11:21,Josh McRoberts shooting foul  (Anthony Davis draws the foul),2 - 0
11:21,Anthony Davis makes free throw 1 of 2,2 - 1
11:21,Anthony Davis makes free throw 2 of 2,2 - 2
11:08,Goran Dragic  misses 12-foot jumper,2 - 2
11:08,Buddy Hield defensive rebound,2 - 2
10:56,Alexis Ajinca makes 13-foot jumper (Jrue Holiday assists),2 - 4
10:38,Josh McRoberts  bad pass (Buddy Hield steals),2 - 4
10:37,Josh Richardson personal foul  (Buddy Hield draws the foul),2 - 4
10:29,Anthony Davis  misses 21-foot jumper,2 - 4
10:27,Hassan Whiteside defensive rebound,2 - 4
10:10,Justise Winslow  misses layup,2 - 4
9:55,Anthony Davis defensive rebound,2 - 4
9:52,Jrue Holiday  misses 6-foot jumper,5 - 4
9:52,Goran Dragic defensive rebound,5 - 4
9:52,Jrue Holiday personal foul  (Goran Dragic draws the foul),5 - 4
9:34,Josh McRoberts Out-of-Bounds Bad Pass Turnover,5 - 4
9:19,Anthony Davis makes two point shot (Jrue Holiday assists),2 - 6
9:10,Goran Dragic makes 4-foot jumper,7 - 6
8:59,Jrue Holiday makes 4-foot jumper,7 - 8
8:44,Josh McRoberts makes 26-foot  three point jumper,10 - 8
8:33,Jrue Holiday makes 3-foot jumper,10 - 10
8:19,Josh McRoberts  misses 26-foot three point jumper,10 - 10
8:18,Dante Cunningham defensive rebound,10 - 10
8:08,Buddy Hield  misses 21-foot jumper,10 - 10
8:07,Justise Winslow defensive rebound,10 - 10
7:56,Justise Winslow  misses 19-foot jumper,10 - 10
7:56,Buddy Hield defensive rebound,10 - 10
7:48,Dante Cunningham  misses 24-foot three point jumper,10 - 10
7:47,Hassan Whiteside defensive rebound,10 - 10
7:26,Hassan Whiteside  misses 16-foot jumper,10 - 10
7:24,Dante Cunningham defensive rebound,10 - 10
7:09,Jrue Holiday  bad pass (Josh Richardson steals),10 - 10
7:09,Goran Dragic makes layup,9 - 10
