time,play,score
12:00,Hassan Whiteside vs. Andre Drummond (Rodney McGruder gains possession),0 - 0
11:38,Rodney McGruder makes 26-foot  three point jumper  (Josh Richardson assists),3 - 0
11:21,Kentavious Caldwell-Pope makes driving layup (Andre Drummond assists),3 - 2
11:00,Hassan Whiteside  misses 5-foot hook shot,3 - 2
11:00,Jon Leuer defensive rebound,3 - 2
10:52,Marcus Morris makes jumper,3 - 4
10:33,Goran Dragic makes 27-foot  three point jumper  (Rodney McGruder assists),6 - 4
10:11,Ish Smith  misses 10-foot jump bank shot,6 - 4
10:11,Rodney McGruder defensive rebound,6 - 4
10:07,Ish Smith personal foul  (Goran Dragic draws the foul),6 - 4
9:56,Goran Dragic  misses 13-foot jumper,6 - 4
9:56,Hassan Whiteside offensive rebound,6 - 4
9:52,Jon Leuer blocks Hassan Whiteside 's 6-foot  jumper,6 - 4
9:52,Ish Smith defensive rebound,6 - 4
9:45,Luke Babbitt shooting foul  (Jon Leuer draws the foul),6 - 4
9:45,Jon Leuer makes free throw 1 of 2,6 - 5
9:45,Jon Leuer makes free throw 2 of 2,6 - 6
9:22,Luke Babbitt  misses 24-foot three point jumper,6 - 6
9:22,Jon Leuer defensive rebound,6 - 6
9:15,Kentavious Caldwell-Pope  misses 26-foot three point jumper,6 - 6
9:15,Andre Drummond offensive rebound,6 - 6
9:11,Andre Drummond  bad pass (Luke Babbitt steals),6 - 6
9:02,Hassan Whiteside makes layup (Goran Dragic assists),8 - 6
8:36,Andre Drummond  misses 7-foot hook shot,8 - 6
8:34,Jon Leuer offensive rebound,8 - 6
8:30,Ish Smith  misses 25-foot three point jumper,8 - 6
8:29,Rodney McGruder defensive rebound,8 - 6
8:14,Josh Richardson makes 18-foot jumper (Luke Babbitt assists),10 - 6
7:56,Hassan Whiteside blocks Kentavious Caldwell-Pope's  layup,10 - 6
7:56,Kentavious Caldwell-Pope offensive rebound,10 - 6
7:50,Kentavious Caldwell-Pope  misses 21-foot jumper,10 - 6
7:50,Goran Dragic defensive rebound,10 - 6
7:35,Hassan Whiteside makes two point shot (Rodney McGruder assists),12 - 6
7:20,Ish Smith makes driving layup,12 - 8
7:05,Rodney McGruder  back court turnover,12 - 8
6:47,Marcus Morris  misses layup,12 - 8
6:46,Luke Babbitt defensive rebound,12 - 8
6:39,Goran Dragic makes layup,14 - 8
6:30,Rodney McGruder personal foul  (Marcus Morris draws the foul),14 - 8
6:18,Kentavious Caldwell-Pope  misses 25-foot three point jumper,14 - 8
6:18,Andre Drummond offensive rebound,14 - 8
6:09,Andre Drummond makes 4-foot two point shot,14 - 10
6:03,Kentavious Caldwell-Pope shooting foul  (Goran Dragic draws the foul),14 - 10
6:03,Goran Dragic makes free throw 1 of 3,15 - 10
6:03,Goran Dragic misses free throw 2 of 3,15 - 10
6:03,Heat offensive team rebound,15 - 10
6:03,Goran Dragic makes free throw 3 of 3,16 - 10
5:41,Andre Drummond makes layup (Marcus Morris assists),16 - 12
5:30,Marcus Morris personal foul  (Rodney McGruder draws the foul),16 - 12
5:30,Pistons Full timeout,16 - 12
5:30,Stanley Johnson enters the game for Marcus Morris,16 - 12
5:30,Willie Reed enters the game for Hassan Whiteside,16 - 12
5:30,Tobias Harris enters the game for Jon Leuer,16 - 12
5:16,Josh Richardson makes 24-foot  three point jumper  (Luke Babbitt assists),19 - 12
5:03,Josh Richardson shooting foul  (Kentavious Caldwell-Pope draws the foul),19 - 12
5:03,Kentavious Caldwell-Pope makes free throw 1 of 3,19 - 13
5:03,Kentavious Caldwell-Pope makes free throw 2 of 3,19 - 14
5:03,Tyler Johnson enters the game for Josh Richardson,19 - 14
5:03,James Johnson enters the game for Luke Babbitt,19 - 14
5:03,Kentavious Caldwell-Pope makes free throw 3 of 3,19 - 15
4:43,Andre Drummond blocks James Johnson 's 4-foot  jumper,19 - 15
4:43,Stanley Johnson defensive rebound,19 - 15
4:31,Stanley Johnson makes driving layup,19 - 17
4:18,Willie Reed  misses layup,19 - 17
4:18,Andre Drummond defensive rebound,19 - 17
4:09,Kentavious Caldwell-Pope  misses three point jumper,19 - 17
4:09,Andre Drummond offensive rebound,19 - 17
4:03,Stanley Johnson  misses 26-foot three point jumper,19 - 17
4:03,Tobias Harris offensive rebound,19 - 17
4:00,Tobias Harris makes tip shot,19 - 19
3:57,Heat Full timeout,19 - 19
3:57,Aron Baynes enters the game for Andre Drummond,19 - 19
3:57,Beno Udrih enters the game for Ish Smith,19 - 19
3:45,Tyler Johnson  misses 20-foot jumper,19 - 19
3:45,Willie Reed offensive rebound,19 - 19
3:41,Willie Reed makes tip shot,21 - 19
3:15,Stanley Johnson  misses 19-foot jumper,21 - 19
