time,play,score
12:00,Hassan Whiteside vs. Mason Plumlee (Ed Davis gains possession),0 - 0
11:44,C.J. McCollum  misses 24-foot three point jumper,0 - 0
11:44,Mason Plumlee offensive rebound,0 - 0
11:33,Ed Davis 3 second turnover,0 - 0
11:25,Rodney McGruder  out of bounds lost ball turnover,0 - 0
11:10,Ed Davis  misses 9-foot,0 - 0
11:08,Josh McRoberts defensive rebound,0 - 0
10:57,Josh McRoberts  misses 15-foot two point jumper,0 - 0
10:57,Mason Plumlee defensive rebound,0 - 0
10:48,C.J. McCollum  misses two point jumper,0 - 0
10:47,Rodney McGruder defensive rebound,0 - 0
10:37,Wayne Ellington makes 18-foot jumper (Goran Dragic assists),2 - 0
10:17,Hassan Whiteside blocks Maurice Harkless's  layup,2 - 0
10:15,Goran Dragic defensive rebound,2 - 0
10:10,Goran Dragic makes 4-foot two point shot,4 - 0
9:45,shot clock turnover,4 - 0
9:30,Hassan Whiteside makes 17-foot jumper (Wayne Ellington assists),6 - 0
9:12,Damian Lillard  misses 16-foot two point jumper,6 - 0
9:12,Ed Davis offensive rebound,6 - 0
9:10,Ed Davis makes two point shot,6 - 2
8:59,Hassan Whiteside makes two point shot (Goran Dragic assists),8 - 2
8:47,Maurice Harkless makes 25-foot  three point jumper  (Damian Lillard assists),8 - 5
8:30,Goran Dragic makes 4-foot two point shot,10 - 5
8:18,Damian Lillard makes 12-foot two point shot,10 - 7
7:58,Goran Dragic  misses 11-foot two point jumper,10 - 7
7:58,Ed Davis defensive rebound,10 - 7
7:48,Damian Lillard  misses 17-foot two point jumper,10 - 7
7:47,Heat defensive team rebound,10 - 7
7:33,Wayne Ellington makes 19-foot two point shot (Goran Dragic assists),12 - 7
7:18,Maurice Harkless  misses 23-foot three point jumper,12 - 7
7:16,Goran Dragic defensive rebound,12 - 7
7:07,Maurice Harkless personal foul  (Rodney McGruder draws the foul),12 - 7
6:52,Hassan Whiteside makes 16-foot two point shot,14 - 7
6:35,Mason Plumlee makes 4-foot two point shot,14 - 9
6:22,Goran Dragic  misses 5-foot two point shot,16 - 9
6:22,Hassan Whiteside makes tip shot,16 - 9
6:22,Hassan Whiteside offensive rebound,14 - 9
6:20,Trail Blazers Full timeout,16 - 9
6:13,C.J. McCollum makes 19-foot two point shot (Damian Lillard assists),16 - 11
5:56,Josh McRoberts makes layup (Goran Dragic assists),18 - 11
5:48,C.J. McCollum  lost ball turnover (Josh McRoberts steals),18 - 11
5:37,Josh McRoberts makes 24-foot  three point jumper  (Goran Dragic assists),21 - 11
5:18,Hassan Whiteside blocks Ed Davis 's 4-foot  shot,21 - 11
5:16,Goran Dragic defensive rebound,21 - 11
5:07,Hassan Whiteside makes 21-foot jumper,23 - 11
4:45,Mason Plumlee makes 7-foot two point shot (Maurice Harkless assists),23 - 13
4:33,Heat Full timeout,23 - 13
4:33,Evan Turner enters the game for Maurice Harkless,23 - 13
4:33,Allen Crabbe enters the game for Mason Plumlee,23 - 13
4:33,Meyers Leonard enters the game for C.J. McCollum,23 - 13
4:33,Tyler Johnson enters the game for Rodney McGruder,23 - 13
4:24,Wayne Ellington  misses 25-foot three point jumper,23 - 13
4:22,Heat offensive team rebound,23 - 13
4:05,Goran Dragic makes 10-foot two point shot,25 - 13
3:42,Damian Lillard makes 1-foot two point shot,25 - 15
3:27,Ed Davis blocks Goran Dragic 's 2-foot  layup,25 - 15
3:27,Meyers Leonard defensive rebound,25 - 15
3:27,Josh McRoberts personal foul  (Meyers Leonard draws the foul),25 - 15
3:27,James Johnson enters the game for Josh McRoberts,25 - 15
3:12,Evan Turner  misses three point jumper,25 - 15
3:10,Ed Davis offensive rebound,25 - 15
3:04,Damian Lillard  misses 10-foot two point shot,25 - 15
3:04,Ed Davis offensive rebound,25 - 15
2:59,Meyers Leonard  misses 25-foot three point jumper,25 - 15
2:58,Tyler Johnson defensive rebound,25 - 15
2:48,Tyler Johnson makes two point shot,27 - 15
2:39,Evan Turner  misses two point jumper,27 - 15
2:38,Hassan Whiteside defensive rebound,27 - 15
2:25,Damian Lillard personal foul  (Goran Dragic draws the foul),27 - 15
2:25,James Johnson technical foul(1st technical foul),27 - 15
2:25,Rodney McGruder enters the game for Wayne Ellington,27 - 15
2:25,Damian Lillard makes technical free throw,27 - 16
2:18,Goran Dragic  misses 14-foot two point jumper,27 - 16
2:17,Evan Turner defensive rebound,27 - 16
2:12,Allen Crabbe makes 25-foot  three point running jumper  (Evan Turner assists),27 - 19
1:54,Goran Dragic  bad pass (Evan Turner steals),27 - 19
1:39,Evan Turner  misses,27 - 19
1:39,Ed Davis  misses 2-foot,27 - 19
1:39,Ed Davis offensive rebound,27 - 19
