time,play,score
12:00,Cody Zeller vs. Thon Maker (Khris Middleton gains possession),0 - 0
11:45,Cody Zeller kicked ball violation,0 - 0
11:33,Khris Middleton  bad pass (Nicolas Batum steals),0 - 0
11:23,Thon Maker shooting foul  (Cody Zeller draws the foul),0 - 0
11:23,Cody Zeller makes free throw 1 of 2,1 - 0
11:23,Cody Zeller makes free throw 2 of 2,2 - 0
11:07,Malcolm Brogdon  misses 26-foot three point jumper,2 - 0
11:04,Thon Maker offensive rebound,2 - 0
11:03,Cody Zeller blocks Thon Maker's  shot,2 - 0
11:00,Michael Kidd-Gilchrist defensive rebound,2 - 0
10:52,Marvin Williams offensive Charge  (Thon Maker draws the foul),2 - 0
10:52,Marvin Williams  turnover,2 - 0
10:41,Giannis Antetokounmpo  misses,2 - 0
10:37,Marvin Williams defensive rebound,2 - 0
10:22,Cody Zeller  misses 18-foot jumper,2 - 0
10:21,Khris Middleton defensive rebound,2 - 0
10:07,Giannis Antetokounmpo makes driving dunk (Tony Snell assists),2 - 2
9:47,Nicolas Batum makes 17-foot two point shot,4 - 2
9:32,Michael Kidd-Gilchrist blocks Malcolm Brogdon's  layup,4 - 2
9:29,Brian Roberts defensive rebound,4 - 2
9:19,Michael Kidd-Gilchrist  misses 17-foot jumper,4 - 2
9:18,Giannis Antetokounmpo defensive rebound,4 - 2
9:12,Giannis Antetokounmpo makes two point shot,4 - 4
8:53,Brian Roberts  misses 27-foot three point jumper,4 - 4
8:52,Giannis Antetokounmpo defensive rebound,4 - 4
8:44,Tony Snell makes 27-foot  three point jumper  (Thon Maker assists),4 - 7
8:27,Michael Kidd-Gilchrist makes driving layup (Brian Roberts assists),6 - 7
8:14,Tony Snell  illegal screen turnover,6 - 7
8:02,Nicolas Batum  misses three point jumper,6 - 7
8:00,Khris Middleton defensive rebound,6 - 7
7:52,Thon Maker makes dunk (Khris Middleton assists),6 - 9
7:37,Brian Roberts Out-of-Bounds Bad Pass Turnover,6 - 9
7:24,Malcolm Brogdon makes 24-foot  three point jumper  (Giannis Antetokounmpo assists),6 - 12
7:03,Marvin Williams makes 6-foot Driving Floating Jump Shot (Nicolas Batum assists),8 - 12
6:48,Khris Middleton makes  three point jumper  (Tony Snell assists),8 - 15
6:43,Hornets Full timeout,8 - 15
6:31,Michael Kidd-Gilchrist  misses 17-foot jumper,8 - 15
6:30,Giannis Antetokounmpo defensive rebound,8 - 15
6:15,Giannis Antetokounmpo  misses 18-foot jumper,8 - 15
6:13,Cody Zeller defensive rebound,8 - 15
6:01,Michael Kidd-Gilchrist  misses 17-foot jumper,8 - 15
6:01,Giannis Antetokounmpo defensive rebound,8 - 15
5:54,Giannis Antetokounmpo  bad pass (Brian Roberts steals),8 - 15
5:50,Giannis Antetokounmpo blocks Brian Roberts's  shot,8 - 15
5:50,Hornets offensive team rebound,8 - 15
5:50,Greg Monroe enters the game for Thon Maker,8 - 15
5:50,Matthew Dellavedova enters the game for Malcolm Brogdon,8 - 15
5:39,Cody Zeller possession lost ball turnoverGreg Monroe,8 - 15
