time,play,score
12:00,Cody Zeller vs. Tristan Thompson (Marvin Williams gains possession),0 - 0
11:38,Nicolas Batum makes 22-foot jumper,2 - 0
11:25,Kevin Love makes 17-foot jumper (LeBron James assists),2 - 2
11:10,Cody Zeller  lost ball turnover (LeBron James steals),2 - 2
11:03,J.R. Smith  misses 25-foot three point jumper,2 - 2
11:02,Michael Kidd-Gilchrist defensive rebound,2 - 2
10:52,Michael Kidd-Gilchrist  misses 14-foot two point jumper,2 - 2
10:52,Tristan Thompson defensive rebound,2 - 2
10:37,Kevin Love makes layup,2 - 4
10:26,Tristan Thompson shooting foul  (Kemba Walker draws the foul),2 - 4
10:26,Kemba Walker makes free throw 1 of 2,3 - 4
10:26,Kemba Walker misses free throw 2 of 2,3 - 4
10:26,Kevin Love defensive rebound,3 - 4
10:15,Marvin Williams personal foul  (Kevin Love draws the foul),3 - 4
10:02,shot clock turnover,3 - 4
9:51,Cody Zeller makes 5-foot jumper (Nicolas Batum assists),5 - 4
9:34,LeBron James makes 25-foot  three point jumper  (Kyrie Irving assists),5 - 7
9:18,Kemba Walker makes 26-foot  three point jumper,8 - 7
9:06,Kevin Love makes 8-foot two point shot (Kyrie Irving assists),8 - 9
8:48,Nicolas Batum  misses 24-foot three point jumper,8 - 9
8:48,Kyrie Irving defensive rebound,8 - 9
8:38,J.R. Smith makes 25-foot  three point jumper  (LeBron James assists),8 - 12
8:23,Kemba Walker  lost ball turnover (Kevin Love steals),8 - 12
8:18,Kyrie Irving  misses two point shot,8 - 12
8:18,Cody Zeller defensive rebound,8 - 12
8:10,Kyrie Irving personal foul  (Kemba Walker draws the foul),8 - 12
8:00,Nicolas Batum  lost ball turnover (Tristan Thompson steals),8 - 12
7:54,LeBron James  bad pass (Cody Zeller steals),8 - 12
7:50,Cody Zeller  bad pass (LeBron James steals),8 - 12
7:46,Tristan Thompson makes layup (LeBron James assists),8 - 14
7:41,Hornets Full timeout,8 - 14
7:30,Marvin Williams  misses,8 - 14
7:28,LeBron James defensive rebound,8 - 14
7:22,LeBron James makes 19-foot jumper,8 - 16
7:03,Cody Zeller makes layup (Michael Kidd-Gilchrist assists),10 - 16
6:50,LeBron James  misses 22-foot jumper,10 - 16
6:50,Cody Zeller defensive rebound,10 - 16
6:41,Marvin Williams  misses 24-foot three point jumper,10 - 16
6:41,Kyrie Irving defensive rebound,10 - 16
6:33,Tristan Thompson makes dunk (LeBron James assists),10 - 18
