time,play,score
12:00,Cody Zeller vs. Dwight Howard (Dennis Schroder gains possession),0 - 0
11:41,Dwight Howard makes dunk,0 - 2
11:23,Marvin Williams  misses 24-foot three point jumper,0 - 2
11:22,Dwight Howard defensive rebound,0 - 2
11:07,Paul Millsap makes 10-foot two point shot,0 - 4
10:52,Michael Kidd-Gilchrist makes 20-foot jumper (Nicolas Batum assists),2 - 4
10:33,Taurean Prince  misses 23-foot three point jumper,2 - 4
10:32,Dwight Howard offensive rebound,2 - 4
10:32,Dwight Howard makes two point shot,2 - 6
10:32,Michael Kidd-Gilchrist shooting foul  (Dwight Howard draws the foul),2 - 6
10:32,Dwight Howard misses free throw 1 of 1,2 - 6
10:30,Marvin Williams defensive rebound,2 - 6
10:19,Nicolas Batum  misses 22-foot two point jumper,2 - 6
10:18,Dwight Howard defensive rebound,2 - 6
10:07,Dwight Howard offensive foul  (Brian Roberts draws the foul),2 - 6
10:07,Dwight Howard  turnover,2 - 6
9:57,Cody Zeller makes two point shot (Nicolas Batum assists),4 - 6
9:48,Cody Zeller shooting foul  (Dwight Howard draws the foul),4 - 6
9:48,Dwight Howard makes free throw 1 of 2,4 - 7
9:48,Dwight Howard makes free throw 2 of 2,4 - 8
9:27,Marvin Williams makes 12-foot Driving Floating Jump Shot (Nicolas Batum assists),6 - 8
9:15,Taurean Prince  misses driving layup,6 - 8
9:12,Brian Roberts defensive rebound,6 - 8
9:03,Marvin Williams  misses 23-foot three point jumper,6 - 8
9:00,Tim Hardaway Jr. defensive rebound,6 - 8
8:55,Dennis Schroder  misses driving layup,6 - 8
8:52,Brian Roberts defensive rebound,6 - 8
8:47,Brian Roberts makes 21-foot two point shot,8 - 8
8:30,Michael Kidd-Gilchrist shooting foul  (Dwight Howard draws the foul),8 - 8
8:30,Dwight Howard makes free throw 1 of 2,8 - 9
8:30,Dwight Howard makes free throw 2 of 2,8 - 10
8:21,Taurean Prince personal foul  (Nicolas Batum draws the foul),8 - 10
8:11,Michael Kidd-Gilchrist makes 12-foot two point shot (Nicolas Batum assists),10 - 10
8:00,Tim Hardaway Jr.  bad pass (Marvin Williams steals),10 - 10
7:56,Tim Hardaway Jr. shooting foul  (Michael Kidd-Gilchrist draws the foul),10 - 10
7:56,Michael Kidd-Gilchrist makes free throw 1 of 2,11 - 10
7:56,Michael Kidd-Gilchrist makes free throw 2 of 2,12 - 10
7:45,Dwight Howard makes two point shot (Tim Hardaway Jr. assists),12 - 12
7:30,Michael Kidd-Gilchrist  misses 20-foot jumper,12 - 12
7:28,Michael Kidd-Gilchrist offensive rebound,12 - 12
7:22,Brian Roberts  misses 25-foot three point jumper,12 - 12
7:22,Tim Hardaway Jr. defensive rebound,12 - 12
7:16,Paul Millsap  misses two point shot,12 - 12
7:13,Marvin Williams defensive rebound,12 - 12
6:54,Cody Zeller  misses 20-foot jumper,12 - 12
6:52,Dennis Schroder defensive rebound,12 - 12
6:47,Taurean Prince makes two point shot (Dennis Schroder assists),12 - 14
6:28,Nicolas Batum  misses 24-foot three point jumper,12 - 14
6:28,Dennis Schroder defensive rebound,12 - 14
6:20,Paul Millsap makes two point shot (Dwight Howard assists),12 - 16
6:01,Brian Roberts makes 22-foot two point shot,14 - 16
6:01,Hawks Full timeout,14 - 16
6:01,Kent Bazemore enters the game for Taurean Prince,14 - 16
6:01,Frank Kaminsky enters the game for Michael Kidd-Gilchrist,14 - 16
5:47,Dennis Schroder  bad pass (Nicolas Batum steals),14 - 16
5:39,Kent Bazemore shooting foul  (Marvin Williams draws the foul),16 - 16
5:39,Marvin Williams makes free throw 1 of 2,16 - 16
5:39,Marvin Williams makes free throw 2 of 2,16 - 16
5:24,Paul Millsap  misses driving layup,16 - 16
5:22,Nicolas Batum defensive rebound,16 - 16
5:15,Marvin Williams  misses Driving Floating Jump Shot,16 - 16
5:13,Paul Millsap defensive rebound,16 - 16
5:01,Kent Bazemore makes 25-foot  three point jumper  (Dennis Schroder assists),16 - 19
4:41,Nicolas Batum  misses 15-foot two point shot,16 - 19
4:39,Kent Bazemore defensive rebound,16 - 19
4:30,Paul Millsap Out-of-Bounds Bad Pass Turnover,16 - 19
4:30,Mike Dunleavy enters the game for Paul Millsap,16 - 19
4:30,Ersan Ilyasova enters the game for Tim Hardaway Jr.,16 - 19
4:13,Dennis Schroder shooting foul  (Cody Zeller draws the foul),16 - 19
4:13,Cody Zeller makes free throw 1 of 2,17 - 19
4:13,Mike Muscala enters the game for Dwight Howard,17 - 19
4:13,Cody Zeller makes free throw 2 of 2,18 - 19
3:59,Dennis Schroder makes 6-foot two point shot (Ersan Ilyasova assists),18 - 21
3:50,Marvin Williams offensive foul  (Kent Bazemore draws the foul),18 - 21
3:50,Marvin Williams  turnover,18 - 21
3:50,Briante Weber enters the game for Brian Roberts,18 - 21
3:50,Miles Plumlee enters the game for Cody Zeller,18 - 21
3:42,Miles Plumlee shooting foul  (Dennis Schroder draws the foul),18 - 21
3:42,Dennis Schroder makes free throw 1 of 2,18 - 22
3:42,Dennis Schroder makes free throw 2 of 2,18 - 23
3:30,Miles Plumlee  traveling,18 - 23
3:15,Mike Muscala makes 19-foot jumper (Dennis Schroder assists),18 - 25
3:01,Ersan Ilyasova shooting foul  (Briante Weber draws the foul),18 - 25
3:01,Briante Weber makes free throw 1 of 2,19 - 25
3:01,Treveon Graham enters the game for Marvin Williams,19 - 25
3:01,Briante Weber makes free throw 2 of 2,20 - 25
2:44,Dennis Schroder makes driving layup,20 - 27
2:27,Treveon Graham makes 9-foot Driving Floating Jump Shot (Frank Kaminsky assists),22 - 27
2:14,Mike Dunleavy makes 25-foot  three point jumper  (Dennis Schroder assists),22 - 30
1:55,Mike Dunleavy blocks Treveon Graham 's 3-foot  layup,22 - 30
1:55,Hawks defensive team rebound,22 - 30
1:55,Hornets Full timeout,22 - 30
1:55,Jeremy Lamb enters the game for Nicolas Batum,22 - 30
1:55,Taurean Prince enters the game for Dennis Schroder,22 - 30
1:42,Mike Muscala  bad pass (Treveon Graham steals),22 - 30
1:20,Frank Kaminsky  misses 17-foot two point jumper,22 - 30
1:19,Hawks defensive team rebound,22 - 30
1:19,Miles Plumlee loose ball foul  (Ersan Ilyasova draws the foul),22 - 30
1:19,Ersan Ilyasova makes free throw 1 of 2,22 - 31
1:19,Ersan Ilyasova makes free throw 2 of 2,22 - 32
1:01,Miles Plumlee  misses hook shot,22 - 32
1:00,Ersan Ilyasova defensive rebound,22 - 32
53.0,Kent Bazemore makes 25-foot  three point jumper  (Taurean Prince assists),22 - 35
40.0,Jeremy Lamb makes 12-foot Driving Floating Jump Shot (Briante Weber assists),24 - 35
32.0,Kent Bazemore  lost ball turnover (Miles Plumlee steals),24 - 35
28.0,Treveon Graham makes two point shot,26 - 35
18.0,Ersan Ilyasova makes 25-foot  three point jumper  (Kent Bazemore assists),26 - 38
1.0,Jeremy Lamb  misses 26-foot three point jumper,26 - 38
0.0,Hornets offensive team rebound,26 - 38
0.0,End of the 1st Quarter,26 - 38
11:40,Treveon Graham makes two point shot (Miles Plumlee assists),28 - 38
11:19,Briante Weber personal block  (Taurean Prince draws the foul),28 - 38
11:19,Jose Calderon enters the game for Kent Bazemore,28 - 38
11:19,Paul Millsap enters the game for Ersan Ilyasova,28 - 38
11:12,Mike Muscala makes dunk (Mike Dunleavy assists),28 - 40
11:02,Jose Calderon shooting foul  (Briante Weber draws the foul),28 - 40
11:02,Briante Weber makes free throw 1 of 2,29 - 40
11:02,Tim Hardaway Jr. enters the game for Mike Dunleavy,29 - 40
11:02,Briante Weber misses free throw 2 of 2,29 - 40
11:00,Tim Hardaway Jr. defensive rebound,29 - 40
10:37,Taurean Prince makes driving layup (Jose Calderon assists),29 - 42
10:22,Jeremy Lamb  misses 13-foot two point jumper,29 - 42
10:19,Tim Hardaway Jr. defensive rebound,29 - 42
10:10,Paul Millsap  misses 25-foot three point jumper,29 - 42
10:08,Hawks offensive team rebound,29 - 42
10:08,Frank Kaminsky loose ball foul  (Mike Muscala draws the foul),29 - 42
10:02,Tim Hardaway Jr. makes 2-foot layup (Mike Muscala assists),29 - 44
9:38,Frank Kaminsky  misses 25-foot three point jumper,29 - 44
9:34,Paul Millsap defensive rebound,29 - 44
9:34,Paul Millsap  bad pass (Briante Weber steals),29 - 44
9:30,Briante Weber  misses 8-foot two point shot,29 - 44
9:26,Paul Millsap defensive rebound,29 - 44
9:17,Jose Calderon makes 25-foot  three point jumper  (Tim Hardaway Jr. assists),29 - 47
9:10,Hornets Full timeout,29 - 47
9:10,Dwight Howard enters the game for Mike Muscala,29 - 47
9:03,Jeremy Lamb  misses 19-foot jumper,29 - 47
9:02,Paul Millsap defensive rebound,29 - 47
8:40,Tim Hardaway Jr. makes 25-foot  three pointer,29 - 50
8:17,Paul Millsap personal foul  (Treveon Graham draws the foul),29 - 50
8:17,Thabo Sefolosha enters the game for Taurean Prince,29 - 50
8:10,Frank Kaminsky makes driving layup (Briante Weber assists),31 - 50
8:10,Paul Millsap shooting foul  (Frank Kaminsky draws the foul),31 - 50
8:10,Frank Kaminsky misses free throw 1 of 1,31 - 50
8:04,Miles Plumlee offensive rebound,31 - 50
7:48,Frank Kaminsky  misses driving layup,31 - 50
7:46,Dwight Howard defensive rebound,31 - 50
7:43,Paul Millsap offensive Charge  (Frank Kaminsky draws the foul),31 - 50
7:43,Paul Millsap  turnover,31 - 50
7:22,Treveon Graham  misses 18-foot two point jumper,31 - 50
7:20,Jeremy Lamb offensive rebound,31 - 50
7:11,Frank Kaminsky  misses 24-foot three point jumper,31 - 50
7:07,Jeremy Lamb offensive rebound,31 - 50
6:54,Treveon Graham  misses 24-foot three point jumper,31 - 50
6:54,Dwight Howard defensive rebound,31 - 50
6:43,Jose Calderon makes 22-foot two point shot,31 - 52
6:28,Frank Kaminsky makes driving layup,33 - 52
6:16,Tim Hardaway Jr.  misses 24-foot three point jumper,33 - 52
6:16,Treveon Graham defensive rebound,33 - 52
6:07,Jeremy Lamb makes 26-foot  three point jumper  (Treveon Graham assists),36 - 52
6:07,Hawks Full timeout,36 - 52
6:07,Michael Kidd-Gilchrist enters the game for Briante Weber,36 - 52
6:07,Brian Roberts enters the game for Treveon Graham,36 - 52
6:07,Dennis Schroder enters the game for Jose Calderon,36 - 52
5:45,Tim Hardaway Jr. makes 12-foot two point shot (Dennis Schroder assists),36 - 54
5:24,Miles Plumlee  misses 5-foot hook shot,36 - 54
5:24,Hornets offensive team rebound,36 - 54
5:24,Kent Bazemore enters the game for Tim Hardaway Jr.,36 - 54
5:09,Jeremy Lamb makes 12-foot Driving Floating Jump Shot (Brian Roberts assists),38 - 54
4:48,Paul Millsap makes driving layup (Thabo Sefolosha assists),38 - 56
4:47,Paul Millsap technical foul(1st technical foul),38 - 56
4:47,Jeremy Lamb makes technical free throw,39 - 56
4:47,Ersan Ilyasova enters the game for Paul Millsap,39 - 56
4:33,Cody Zeller enters the game for Miles Plumlee,39 - 56
4:22,Jeremy Lamb  misses 16-foot two point shot,39 - 56
4:22,Hornets offensive team rebound,39 - 56
4:22,shot clock turnover,39 - 56
4:11,Dwight Howard makes 9-foot two point shot (Kent Bazemore assists),39 - 58
3:55,Frank Kaminsky Out-of-Bounds Bad Pass Turnover,39 - 58
3:55,Marvin Williams enters the game for Frank Kaminsky,39 - 58
3:40,Dennis Schroder  bad pass (Marvin Williams steals),39 - 58
3:18,Michael Kidd-Gilchrist  misses jumper,39 - 58
3:16,Michael Kidd-Gilchrist offensive rebound,39 - 58
3:15,Michael Kidd-Gilchrist  misses,39 - 58
3:13,Marvin Williams  misses,39 - 58
3:13,Marvin Williams offensive rebound,39 - 58
3:10,Marvin Williams  misses,39 - 58
3:10,Marvin Williams offensive rebound,39 - 58
3:08,Ersan Ilyasova defensive rebound,39 - 58
3:03,Dennis Schroder makes driving layup,39 - 60
2:49,Brian Roberts  misses 18-foot two point jumper,39 - 60
2:48,Dwight Howard defensive rebound,39 - 60
2:39,Ersan Ilyasova  misses 25-foot three point jumper,39 - 60
2:36,Michael Kidd-Gilchrist defensive rebound,39 - 60
2:31,Marvin Williams  misses 25-foot three point jumper,39 - 60
2:28,Dwight Howard blocks Michael Kidd-Gilchrist 's 1-foot  shot,39 - 60
2:28,Michael Kidd-Gilchrist offensive rebound,39 - 60
2:25,Cody Zeller offensive rebound,39 - 60
2:16,Michael Kidd-Gilchrist  misses 21-foot jumper,39 - 60
2:15,Cody Zeller offensive rebound,39 - 60
2:11,Marvin Williams makes 25-foot  three point jumper  (Cody Zeller assists),42 - 60
1:51,Michael Kidd-Gilchrist shooting foul  (Dwight Howard draws the foul),42 - 60
1:51,Official timeout,42 - 60
1:51,Treveon Graham enters the game for Michael Kidd-Gilchrist,42 - 61
1:51,Tim Hardaway Jr. enters the game for Thabo Sefolosha,42 - 60
1:51,Dwight Howard makes free throw 1 of 2,42 - 61
1:51,Dwight Howard misses free throw 2 of 2,42 - 61
1:50,Marvin Williams defensive rebound,42 - 61
1:23,Jeremy Lamb  misses 24-foot,42 - 61
1:23,Marvin Williams offensive rebound,42 - 61
1:21,Marvin Williams  misses,42 - 61
1:20,Dwight Howard defensive rebound,42 - 61
1:08,Dennis Schroder  bad pass (Jeremy Lamb steals),42 - 61
1:05,Jeremy Lamb makes two point shot,44 - 61
44.0,Dwight Howard  misses,44 - 61
42.0,Cody Zeller defensive rebound,44 - 61
35.0,Brian Roberts  bad pass (Dennis Schroder steals),44 - 61
27.0,Ersan Ilyasova makes 14-foot jumper (Dennis Schroder assists),44 - 63
5.0,Brian Roberts Out-of-Bounds Bad Pass Turnover,44 - 63
0.0,Kent Bazemore  misses 25-foot three point jumper,44 - 63
0.0,Hawks offensive team rebound,44 - 63
0.0,End of the 2nd Quarter,44 - 63
11:41,Brian Roberts Out-of-Bounds Bad Pass Turnover,44 - 63
11:25,Taurean Prince makes driving layup (Dennis Schroder assists),44 - 65
11:00,Frank Kaminsky  misses 20-foot step back jumpshot,44 - 65
10:59,Dwight Howard defensive rebound,44 - 65
10:52,Dennis Schroder  misses driving layup,44 - 65
10:49,Cody Zeller defensive rebound,44 - 65
10:41,Brian Roberts  misses 25-foot three point jumper,44 - 65
10:40,Paul Millsap defensive rebound,44 - 65
10:33,Tim Hardaway Jr.  misses 26-foot three point jumper,44 - 65
10:30,Michael Kidd-Gilchrist defensive rebound,44 - 65
10:15,Frank Kaminsky makes 12-foot two point shot (Michael Kidd-Gilchrist assists),46 - 65
9:59,Taurean Prince  misses 22-foot three point jumper,46 - 65
9:56,Cody Zeller defensive rebound,46 - 65
9:48,Jeremy Lamb  misses 25-foot three point jumper,46 - 65
9:48,Tim Hardaway Jr. defensive rebound,46 - 65
9:30,Tim Hardaway Jr.  misses driving layup,46 - 65
9:26,Dwight Howard  misses,46 - 67
9:26,Dwight Howard offensive rebound,46 - 65
9:26,Dwight Howard makes tip shot,46 - 67
