time,play,score
12:00,Frank Kaminsky III vs. Tarik Black (Brandon Ingram gains possession),0 - 0
11:45,D'Angelo Russell makes 26-foot  three point jumper  (Julius Randle assists),0 - 3
11:23,Michael Kidd-Gilchrist  misses jumper,0 - 3
11:22,Julius Randle defensive rebound,0 - 3
11:15,Brandon Ingram makes 21-foot jumper (Julius Randle assists),0 - 5
10:55,Kemba Walker makes 26-foot  three point jumper  (Frank Kaminsky III assists),3 - 5
10:41,Julius Randle makes two point shot (D'Angelo Russell assists),3 - 7
10:30,Tarik Black blocks Kemba Walker 's 3-foot  layup,3 - 7
10:30,Hornets offensive team rebound,3 - 7
10:26,Marvin Williams  bad pass (Julius Randle steals),3 - 7
10:25,D'Angelo Russell  out of bounds lost ball turnover,3 - 7
10:07,Nicolas Batum  lost ball turnover (Julius Randle steals),3 - 7
10:00,D'Angelo Russell makes 26-foot  three point jumper  (Julius Randle assists),3 - 10
9:47,Marvin Williams makes 26-foot  three point jumper  (Kemba Walker assists),6 - 10
9:37,Tarik Black  traveling,6 - 10
9:25,Nicolas Batum makes 27-foot  three point jumper  (Frank Kaminsky III assists),9 - 10
9:11,Julius Randle makes two point shot,9 - 12
8:56,Nicolas Batum  misses 27-foot three point jumper,9 - 12
8:56,Julius Randle defensive rebound,9 - 12
8:44,Brandon Ingram  misses three point jumper,9 - 12
8:41,Tarik Black offensive rebound,9 - 12
8:38,D'Angelo Russell  misses 17-foot jumper,9 - 12
8:34,Michael Kidd-Gilchrist defensive rebound,9 - 12
8:32,Tarik Black shooting foul  (Frank Kaminsky III draws the foul),9 - 12
8:32,Frank Kaminsky III makes free throw 1 of 2,11 - 12
8:32,Frank Kaminsky III makes free throw 2 of 2,11 - 12
8:15,Julius Randle  misses 25-foot three point jumper,11 - 12
8:15,Nicolas Batum defensive rebound,11 - 12
8:03,Kemba Walker  bad pass (D'Angelo Russell steals),11 - 12
7:58,D'Angelo Russell makes two point shot,11 - 14
7:46,Kemba Walker makes 25-foot  three pointer,14 - 14
7:46,D'Angelo Russell shooting foul  (Kemba Walker draws the foul),14 - 14
7:46,Cody Zeller enters the game for Marvin Williams,14 - 14
7:46,Kemba Walker makes free throw 1 of 1,15 - 14
7:33,Nick Young  misses 26-foot three point jumper,15 - 14
7:31,Nicolas Batum defensive rebound,15 - 14
7:24,Kemba Walker possession lost ball turnoverJulius Randle,15 - 14
7:20,Julius Randle makes two point shot,15 - 16
7:03,Tarik Black shooting foul  (Cody Zeller draws the foul),15 - 16
7:03,Cody Zeller misses free throw 1 of 2,15 - 16
7:03,Hornets offensive team rebound,15 - 16
7:03,Larry Nance Jr. enters the game for Tarik Black,15 - 16
7:03,Cody Zeller misses free throw 2 of 2,15 - 16
7:00,Brandon Ingram defensive rebound,15 - 16
6:39,Larry Nance Jr.  bad pass (Michael Kidd-Gilchrist steals),15 - 16
6:35,Larry Nance Jr. shooting foul  (Michael Kidd-Gilchrist draws the foul),15 - 16
6:35,Lakers Full timeout,15 - 16
6:35,Michael Kidd-Gilchrist misses free throw 1 of 2,15 - 16
6:35,Hornets offensive team rebound,15 - 16
6:35,Michael Kidd-Gilchrist makes free throw 2 of 2,16 - 16
6:24,Nick Young  misses 25-foot three point jumper,16 - 16
6:24,Frank Kaminsky III defensive rebound,16 - 16
6:09,Michael Kidd-Gilchrist  lost ball turnover (D'Angelo Russell steals),16 - 16
6:03,D'Angelo Russell makes two point shot,16 - 18
5:43,Frank Kaminsky III  misses 19-foot step back jumpshot,16 - 18
