time,play,score
12:00,Cody Zeller vs. Steven Adams (Victor Oladipo gains possession),0 - 0
11:33,Victor Oladipo  misses 26-foot three point jumper,0 - 0
11:33,Michael Kidd-Gilchrist defensive rebound,0 - 0
11:23,Kemba Walker  misses three point pullup jump shot,0 - 0
11:23,Russell Westbrook defensive rebound,0 - 0
11:21,Russell Westbrook  bad pass (Nicolas Batum steals),0 - 0
11:03,Marvin Williams  misses 25-foot three point jumper,0 - 0
11:03,Russell Westbrook defensive rebound,0 - 0
10:45,Steven Adams makes dunk (Taj Gibson assists),0 - 2
10:26,Victor Oladipo shooting foul  (Michael Kidd-Gilchrist draws the foul),0 - 2
10:26,Michael Kidd-Gilchrist makes free throw 1 of 2,1 - 2
10:26,Michael Kidd-Gilchrist makes free throw 2 of 2,2 - 2
10:17,Steven Adams  lost ball turnover (Nicolas Batum steals),2 - 2
10:06,Taj Gibson blocks Cody Zeller's  shot,2 - 2
10:06,Russell Westbrook defensive rebound,2 - 2
10:00,Taj Gibson makes two point shot (Russell Westbrook assists),2 - 4
9:48,Taj Gibson personal foul  (Marvin Williams draws the foul),2 - 4
9:42,Marvin Williams  misses 25-foot three point jumper,2 - 4
9:41,Russell Westbrook defensive rebound,2 - 4
9:36,Russell Westbrook  misses Running Pullup Jump Shot,2 - 4
9:34,Marvin Williams defensive rebound,2 - 4
9:29,Nicolas Batum  traveling,2 - 4
9:18,Victor Oladipo  bad pass (Kemba Walker steals),2 - 4
9:07,Kemba Walker makes 25-foot  three pointer  (Cody Zeller assists),5 - 4
8:52,Victor Oladipo makes 14-foot two point shot (Russell Westbrook assists),5 - 6
8:33,Cody Zeller  misses 17-foot two point jumper,5 - 6
8:33,Taj Gibson defensive rebound,5 - 6
8:22,Russell Westbrook  misses 12-foot step back jumpshot,5 - 6
8:22,Marvin Williams defensive rebound,5 - 6
8:18,Steven Adams shooting foul  (Cody Zeller draws the foul),5 - 6
8:18,Cody Zeller misses free throw 1 of 2,5 - 6
8:18,Hornets offensive team rebound,5 - 6
8:18,Cody Zeller makes free throw 2 of 2,6 - 6
8:07,Steven Adams  lost ball turnover (Cody Zeller steals),6 - 6
8:03,Marvin Williams  bad pass (Victor Oladipo steals),6 - 6
7:56,Andre Roberson makes dunk (Russell Westbrook assists),6 - 8
7:33,Marvin Williams  misses,6 - 8
7:31,Cody Zeller  misses,6 - 8
7:31,Cody Zeller offensive rebound,6 - 8
7:30,Taj Gibson defensive rebound,6 - 8
7:22,Victor Oladipo makes 25-foot  three point jumper  (Andre Roberson assists),6 - 11
7:01,Cody Zeller  misses driving layup,6 - 11
7:01,Russell Westbrook defensive rebound,6 - 11
6:52,Taj Gibson makes layup (Russell Westbrook assists),6 - 13
6:43,Hornets Full timeout,6 - 13
6:39,Nicolas Batum makes 24-foot  three point jumper  (Kemba Walker assists),9 - 13
6:22,Victor Oladipo  bad pass (Kemba Walker steals),9 - 13
6:05,Nicolas Batum  misses 9-foot jumper,9 - 13
6:05,Russell Westbrook defensive rebound,9 - 13
5:58,Marvin Williams blocks Taj Gibson's  layup,9 - 13
5:58,Kemba Walker defensive rebound,9 - 13
5:46,Marvin Williams makes 10-foot two point shot,11 - 13
5:30,Russell Westbrook makes 25-foot  three point jumper  (Victor Oladipo assists),11 - 16
5:15,Steven Adams shooting foul  (Cody Zeller draws the foul),11 - 16
