time,play,score
12:00,Rudy Gobert vs. Joel Embiid (Derrick Favors gains possession),0 - 0
11:33,Gordon Hayward makes 16-foot two point shot,2 - 0
11:18,Robert Covington makes 25-foot  three point jumper  (Sergio Rodriguez assists),2 - 3
11:03,Rudy Gobert makes driving layup (Rodney Hood assists),4 - 3
10:41,Joel Embiid  misses layup,4 - 3
10:38,Derrick Favors defensive rebound,4 - 3
10:30,Derrick Favors  bad pass (Joel Embiid steals),4 - 3
10:25,Sergio Rodriguez  misses 25-foot three point jumper,4 - 3
10:23,Rudy Gobert defensive rebound,4 - 3
10:18,Gerald Henderson personal foul  (Rodney Hood draws the foul),4 - 3
10:14,Rodney Hood  misses 19-foot Regular Jump Shot,4 - 3
10:11,Joel Embiid defensive rebound,4 - 3
9:52,Dario Saric makes 20-foot two point shot,4 - 5
9:34,Shelvin Mack makes 25-foot  three point jumper  (Derrick Favors assists),7 - 3
9:30,Sergio Rodriguez Out-of-Bounds Bad Pass Turnover,7 - 3
9:11,Gordon Hayward  misses jumper,7 - 3
9:11,Derrick Favors offensive rebound,7 - 3
9:08,Joel Embiid blocks Derrick Favors's  jumper,7 - 3
9:07,Sergio Rodriguez defensive rebound,7 - 5
9:07,Rodney Hood vs. Dario Saric (Gordon Hayward gains possession),7 - 5
9:07,Dario Saric  lost ball turnover (Rodney Hood steals),7 - 5
8:36,Rudy Gobert  misses layup,7 - 5
8:33,Gerald Henderson defensive rebound,7 - 5
8:30,Gerald Henderson  misses 15-foot jumper,7 - 5
8:26,Rodney Hood defensive rebound,7 - 5
8:25,Rodney Hood offensive Charge  (Gerald Henderson draws the foul),7 - 5
8:25,Rodney Hood  turnover,7 - 5
8:07,Rudy Gobert blocks Joel Embiid 's 4-foot  jumper,7 - 5
8:06,Sergio Rodriguez offensive rebound,7 - 5
8:00,Gerald Henderson makes 25-foot  three point jumper  (Sergio Rodriguez assists),7 - 8
7:43,Shelvin Mack  misses jumper,7 - 8
7:41,Derrick Favors offensive rebound,7 - 8
7:31,Gordon Hayward  lost ball turnover (Gerald Henderson steals),7 - 8
7:26,Gerald Henderson  misses layup,7 - 8
7:24,Derrick Favors defensive rebound,7 - 8
