time,play,score
12:00,Rudy Gobert vs. Timofey Mozgov (Brandon Ingram gains possession),0 - 0
11:44,Timofey Mozgov  misses 19-foot jumper,0 - 0
11:42,Boris Diaw defensive rebound,0 - 0
11:23,Gordon Hayward makes 24-foot  three pointer  (Rodney Hood assists),3 - 0
11:07,Luol Deng  misses hook shot,3 - 0
11:03,Luol Deng offensive rebound,3 - 0
11:03,Luol Deng  misses,3 - 0
11:00,Rudy Gobert defensive rebound,3 - 0
10:52,Gordon Hayward  misses 25-foot three point jumper,3 - 0
10:52,Jazz offensive team rebound,3 - 0
10:48,Dante Exum makes 20-foot jumper (Gordon Hayward assists),5 - 0
10:33,Julius Randle  misses 20-foot jumper,5 - 0
10:32,Gordon Hayward defensive rebound,5 - 0
10:22,Rodney Hood  misses 25-foot three point jumper,5 - 0
10:19,Julius Randle defensive rebound,5 - 0
10:11,Metta World Peace  misses 22-foot two point jumper,5 - 0
10:10,Timofey Mozgov offensive rebound,5 - 0
10:10,Dante Exum shooting foul  (Timofey Mozgov draws the foul),5 - 0
10:10,Timofey Mozgov misses free throw 1 of 2,5 - 0
10:10,Lakers offensive team rebound,5 - 0
10:10,Timofey Mozgov makes free throw 2 of 2,5 - 1
10:00,Brandon Ingram personal foul  (Rudy Gobert draws the foul),5 - 1
9:51,Dante Exum makes 24-foot  three point jumper  (Rodney Hood assists),8 - 1
9:33,Metta World Peace makes 1-foot two point shot,8 - 3
9:10,Boris Diaw makes two point shot,10 - 3
8:55,Rudy Gobert blocks Metta World Peace 's 4-foot  jumper,10 - 3
8:52,Gordon Hayward defensive rebound,10 - 3
8:48,Rudy Gobert makes two point shot (Boris Diaw assists),12 - 3
8:15,Julius Randle  misses 19-foot two point jumper,12 - 3
8:14,Rudy Gobert defensive rebound,12 - 3
8:04,Dante Exum  bad pass (Julius Randle steals),12 - 3
8:00,Luol Deng makes two point shot (Metta World Peace assists),12 - 5
8:00,Boris Diaw shooting foul  (Luol Deng draws the foul),12 - 5
8:00,Luol Deng makes free throw 1 of 1,12 - 6
7:41,Dante Exum makes driving layup (Gordon Hayward assists),14 - 6
7:18,Brandon Ingram  misses 5-foot two point shot,14 - 6
7:16,Julius Randle offensive rebound,14 - 6
7:16,Brandon Ingram  misses 24-foot three point jumper,14 - 6
7:16,Lakers offensive team rebound,14 - 6
7:16,shot clock turnover,14 - 6
6:58,Timofey Mozgov shooting foul  (Rudy Gobert draws the foul),14 - 6
6:58,Gordon Hayward misses free throw 1 of 2,15 - 6
6:58,Jazz offensive team rebound,14 - 6
6:58,Jordan Clarkson enters the game for Metta World Peace,14 - 6
6:58,Gordon Hayward makes free throw 2 of 2,15 - 6
6:39,Timofey Mozgov makes 5-foot two point shot,15 - 8
6:16,Rodney Hood  misses 24-foot three point jumper,15 - 8
6:15,Rudy Gobert offensive rebound,15 - 8
6:07,Rodney Hood makes driving dunk,17 - 8
5:54,Lakers Full timeout,17 - 8
5:54,Louis Williams enters the game for Luol Deng,17 - 8
5:54,Joe Johnson enters the game for Gordon Hayward,17 - 8
5:54,Trey Lyles enters the game for Boris Diaw,17 - 8
5:45,Joe Johnson personal foul  (Brandon Ingram draws the foul),17 - 8
5:35,Louis Williams makes 25-foot  three point jumper  (Julius Randle assists),17 - 11
5:35,Dante Exum away from play foul  (Timofey Mozgov draws the foul),17 - 11
