time,play,score
12:00,Rudy Gobert vs. Nikola Jokic (George Hill gains possession),0 - 0
11:34,Joe Ingles  misses 24-foot three point jumper,0 - 0
11:34,Gordon Hayward offensive rebound,0 - 0
11:29,Rudy Gobert  misses 2-foot two point shot,0 - 0
11:27,Nikola Jokic defensive rebound,0 - 0
11:18,Kenneth Faried  misses,0 - 0
11:18,Kenneth Faried offensive rebound,0 - 0
11:17,Rudy Gobert shooting foul  (Kenneth Faried draws the foul),0 - 1
11:17,Kenneth Faried misses free throw 1 of 2,0 - 0
11:17,Nuggets offensive team rebound,0 - 0
11:17,Kenneth Faried makes free throw 2 of 2,0 - 1
10:59,Gordon Hayward makes 25-foot  three point jumper,3 - 1
10:41,Danilo Gallinari  misses 15-foot two point shot,3 - 1
10:40,Kenneth Faried offensive rebound,3 - 1
10:33,Jameer Nelson makes 25-foot  three point jumper  (Kenneth Faried assists),3 - 4
10:14,Gordon Hayward  misses 10-foot two point shot,3 - 4
10:12,Nikola Jokic defensive rebound,3 - 4
10:10,Nikola Jokic  bad pass (Joe Ingles steals),3 - 4
9:56,Rudy Gobert  lost ball turnover (Nikola Jokic steals),3 - 4
9:45,Danilo Gallinari  bad pass (Derrick Favors steals),3 - 4
9:30,Derrick Favors  misses 19-foot jumper,3 - 4
9:29,Kenneth Faried defensive rebound,3 - 4
9:22,Danilo Gallinari  misses 11-foot two point shot,3 - 4
9:21,George Hill defensive rebound,3 - 4
9:15,Gordon Hayward  misses 3-foot Running Jumper,3 - 4
9:14,Kenneth Faried defensive rebound,3 - 4
9:03,Danilo Gallinari  misses 20-foot jumper,3 - 4
9:03,George Hill defensive rebound,3 - 4
8:51,Rudy Gobert 3 second turnover,3 - 4
8:40,Danilo Gallinari  traveling,3 - 4
8:26,Joe Ingles  misses 23-foot three point jumper,3 - 4
8:25,Nikola Jokic defensive rebound,3 - 4
8:19,Gary Harris  misses 25-foot three point pullup jump shot,3 - 4
8:18,Jazz defensive team rebound,3 - 4
8:07,Rudy Gobert  bad pass (Nikola Jokic steals),3 - 4
8:03,Nikola Jokic  bad pass (George Hill steals),3 - 4
7:48,Joe Ingles makes 27-foot  three point jumper  (Rudy Gobert assists),6 - 4
7:33,Nikola Jokic makes 3-foot two point shot,6 - 6
7:09,Gordon Hayward  misses 17-foot jumper,6 - 6
7:09,Nuggets defensive team rebound,6 - 6
7:09,Trey Lyles enters the game for Derrick Favors,6 - 6
7:09,Raul Neto enters the game for George Hill,6 - 6
6:43,Danilo Gallinari  misses 18-foot two point jumper,6 - 6
6:41,Joe Ingles defensive rebound,6 - 6
6:33,Raul Neto  misses 17-foot two point shot,6 - 6
6:31,Danilo Gallinari defensive rebound,6 - 6
6:24,Rudy Gobert blocks Gary Harris's  layup,6 - 6
6:22,Joe Ingles defensive rebound,6 - 6
6:18,Trey Lyles makes 24-foot  three point jumper  (Joe Ingles assists),9 - 6
6:18,Nuggets Full timeout,9 - 6
6:18,Joe Johnson enters the game for Joe Ingles,9 - 6
6:18,Wilson Chandler enters the game for Kenneth Faried,9 - 6
5:58,Danilo Gallinari  misses 12-foot two point shot,9 - 6
5:58,Joe Johnson defensive rebound,9 - 6
5:48,Gordon Hayward makes  three point jumper  (Joe Johnson assists),12 - 6
5:39,Wilson Chandler  misses 6-foot Running Jumper,12 - 6
5:37,Joe Johnson defensive rebound,12 - 6
5:28,Joe Johnson  misses 25-foot three point jumper,12 - 6
5:28,Nikola Jokic defensive rebound,12 - 6
5:20,Nikola Jokic makes driving layup,12 - 8
5:05,Gordon Hayward Out-of-Bounds Bad Pass Turnover,12 - 8
5:05,Will Barton enters the game for Gary Harris,12 - 8
4:48,Will Barton  misses 9-foot jumper,12 - 8
4:48,Jazz defensive team rebound,12 - 8
4:48,Alec Burks enters the game for Gordon Hayward,12 - 8
4:35,Joe Johnson  misses 5-foot two point shot,12 - 8
4:35,Rudy Gobert offensive rebound,12 - 8
4:33,Jazz offensive team rebound,12 - 8
4:33,Danilo Gallinari loose ball foul  (Rudy Gobert draws the foul),12 - 8
4:33,Rudy Gobert  misses 2-foot,12 - 8
4:30,Will Barton shooting foul  (Alec Burks draws the foul),12 - 8
4:30,Alec Burks makes free throw 1 of 2,13 - 8
4:30,Derrick Favors enters the game for Rudy Gobert,13 - 8
4:30,Alec Burks makes free throw 2 of 2,14 - 8
4:13,Alec Burks blocks Will Barton 's 2-foot  layup,14 - 8
4:11,Will Barton offensive rebound,14 - 8
4:07,Nikola Jokic makes dunk (Will Barton assists),14 - 10
3:44,Trey Lyles  misses 17-foot two point shot,14 - 10
3:43,Wilson Chandler defensive rebound,14 - 10
