time,play,score
12:00,Rudy Gobert vs. Andre Drummond (Reggie Jackson gains possession),0 - 0
11:41,Marcus Morris  misses 18-foot jumper,0 - 0
11:41,Joe Johnson defensive rebound,0 - 0
11:30,Andre Drummond personal foul  (Rudy Gobert draws the foul),0 - 0
11:17,Rodney Hood  misses 26-foot three point jumper,0 - 0
11:15,Jazz offensive team rebound,0 - 0
11:15,shot clock turnover,0 - 0
11:00,Reggie Jackson makes driving layup,0 - 2
10:45,Gordon Hayward makes 26-foot  three point jumper  (Rudy Gobert assists),3 - 2
10:15,Jon Leuer makes  three point jumper  (Marcus Morris assists),3 - 5
9:57,George Hill makes 19-foot jumper (Rudy Gobert assists),5 - 5
9:45,Marcus Morris  misses 26-foot three point jumper,5 - 5
9:42,Rudy Gobert defensive rebound,5 - 5
9:33,Joe Johnson makes 24-foot  three point jumper  (Gordon Hayward assists),8 - 5
9:15,Reggie Jackson  misses 6-foot jumper,8 - 5
9:11,Joe Johnson defensive rebound,8 - 5
9:02,Rodney Hood  misses layup,8 - 5
9:00,Pistons defensive team rebound,8 - 5
8:47,Reggie Jackson  misses 17-foot jumper,8 - 5
8:45,Gordon Hayward defensive rebound,8 - 5
8:38,Gordon Hayward makes 14-foot jumper,10 - 5
8:38,Pistons Full timeout,10 - 5
8:22,Andre Drummond  misses 7-foot jumper,10 - 5
8:19,Joe Johnson defensive rebound,10 - 5
8:10,Joe Johnson  bad pass,10 - 5
7:54,Marcus Morris  misses 17-foot jumper,10 - 5
7:52,Rodney Hood defensive rebound,10 - 5
7:41,George Hill  misses jumper,10 - 5
7:41,Rudy Gobert offensive rebound,10 - 5
7:41,Jon Leuer shooting foul  (Rudy Gobert draws the foul),10 - 5
7:41,Rudy Gobert makes free throw 1 of 2,11 - 5
7:41,Rudy Gobert misses free throw 2 of 2,11 - 5
7:37,Andre Drummond defensive rebound,11 - 5
7:20,Marcus Morris  bad pass (Joe Johnson steals),11 - 5
7:09,Gordon Hayward makes 26-foot  three point jumper  (Joe Johnson assists),14 - 5
6:43,Marcus Morris  misses 25-foot three point jumper,14 - 5
6:41,Jon Leuer offensive rebound,14 - 5
6:37,Jon Leuer  misses 6-foot jumper,14 - 5
6:35,Rodney Hood defensive rebound,14 - 5
6:31,Joe Johnson  misses 5-foot two point shot,14 - 5
6:31,Pistons defensive team rebound,14 - 5
6:18,Jon Leuer makes layup (Reggie Jackson assists),14 - 7
5:56,Rudy Gobert  lost ball turnover (Kentavious Caldwell-Pope steals),14 - 7
5:45,Reggie Jackson makes 4-foot two point shot,14 - 9
5:28,Gordon Hayward  misses 25-foot three point jumper,14 - 9
5:26,Andre Drummond defensive rebound,14 - 9
