time,play,score
12:00,Rudy Gobert vs. Jonas Valanciunas (Gordon Hayward gains possession),0 - 0
11:41,Derrick Favors  misses jumper,0 - 0
11:41,DeMarre Carroll defensive rebound,0 - 0
11:19,DeMarre Carroll  misses Driving Floating Jump Shot,0 - 0
11:19,Rodney Hood defensive rebound,0 - 0
11:03,Rodney Hood makes 16-foot two point shot,2 - 0
10:45,DeMar DeRozan makes 19-foot two point shot,2 - 2
10:32,Rodney Hood  misses 20-foot two point jumper,2 - 2
10:32,Lucas Nogueira defensive rebound,2 - 2
10:22,DeMar DeRozan  misses 13-foot two point shot,2 - 2
10:22,Derrick Favors defensive rebound,2 - 2
10:00,Shelvin Mack makes 18-foot two point shot,4 - 2
9:37,Jonas Valanciunas makes 7-foot two point shot,4 - 4
9:18,Shelvin Mack makes 8-foot Driving Floating Jump Shot (Derrick Favors assists),6 - 4
9:04,Kyle Lowry Out-of-Bounds Bad Pass Turnover,6 - 4
8:47,Derrick Favors  bad pass (DeMar DeRozan steals),6 - 4
8:30,Rodney Hood blocks DeMar DeRozan 's 13-foot  shot,6 - 4
8:27,DeMar DeRozan offensive rebound,6 - 4
8:26,DeMar DeRozan  bad pass (Derrick Favors steals),6 - 4
8:19,Shelvin Mack makes 24-foot  three point running jumper  (Rodney Hood assists),9 - 4
8:06,Kyle Lowry  misses 10-foot two point jumper,9 - 4
8:04,Jonas Valanciunas offensive rebound,9 - 4
8:03,Jonas Valanciunas makes tip shot,9 - 6
7:56,Rodney Hood  misses 25-foot three point jumper,9 - 6
7:56,DeMar DeRozan defensive rebound,9 - 6
7:56,Raptors Full timeout,9 - 6
7:39,DeMarre Carroll makes 25-foot  three point jumper  (Kyle Lowry assists),9 - 9
7:22,Gordon Hayward Out-of-Bounds Bad Pass Turnover,9 - 9
7:11,DeMar DeRozan  misses 15-foot two point jumper,9 - 9
7:09,Shelvin Mack defensive rebound,9 - 9
7:01,Lucas Nogueira personal foul  (Shelvin Mack draws the foul),9 - 9
6:48,Derrick Favors makes layup (Rodney Hood assists),11 - 9
6:28,DeMar DeRozan makes 10-foot two point shot,11 - 11
6:13,Shelvin Mack Out-of-Bounds Bad Pass Turnover,11 - 11
5:58,DeMar DeRozan  misses 19-foot two point jumper,11 - 11
5:58,Rudy Gobert defensive rebound,11 - 11
5:41,Derrick Favors makes two point shot,13 - 11
5:26,DeMarre Carroll  misses 26-foot three point jumper,13 - 11
5:24,Derrick Favors defensive rebound,13 - 11
5:11,Shelvin Mack makes 12-foot Driving Floating Jump Shot (Rodney Hood assists),15 - 11
4:54,Rudy Gobert kicked ball violation,15 - 11
4:54,Trey Lyles enters the game for Derrick Favors,15 - 11
4:54,Dante Exum enters the game for Shelvin Mack,15 - 11
4:43,Jonas Valanciunas  misses 5-foot,15 - 13
4:43,Jonas Valanciunas makes tip shot,15 - 13
4:43,Jonas Valanciunas offensive rebound,15 - 11
4:22,Trey Lyles  misses 26-foot three point jumper,15 - 13
4:22,Rudy Gobert offensive rebound,15 - 13
4:13,Gordon Hayward makes 21-foot two point shot,17 - 13
3:58,Gordon Hayward personal foul  (DeMar DeRozan draws the foul),17 - 13
3:58,Pascal Siakam enters the game for Lucas Nogueira,17 - 13
3:58,Terrence Ross enters the game for DeMarre Carroll,17 - 13
3:58,Joe Johnson enters the game for Gordon Hayward,17 - 13
3:43,Kyle Lowry  misses,17 - 13
3:42,Rudy Gobert defensive rebound,17 - 13
3:32,Rodney Hood makes two point shot,19 - 13
3:06,DeMar DeRozan  misses 21-foot step back jumpshot,19 - 13
3:06,Rudy Gobert defensive rebound,19 - 13
2:51,Rudy Gobert  misses hook shot,19 - 13
2:51,DeMar DeRozan defensive rebound,19 - 13
2:46,DeMar DeRozan  misses 8-foot Running Jumper,19 - 13
2:45,Pascal Siakam offensive rebound,19 - 13
2:43,Pascal Siakam  misses,19 - 13
2:42,Rudy Gobert defensive rebound,19 - 13
2:31,Trey Lyles makes 25-foot  three point jumper  (Joe Johnson assists),22 - 13
2:31,Raptors 20 Sec. timeout,22 - 13
2:31,Jazz Full timeout,22 - 13
2:31,Cory Joseph enters the game for Kyle Lowry,22 - 13
2:31,Joe Ingles enters the game for Rudy Gobert,22 - 13
2:31,Derrick Favors enters the game for Rodney Hood,22 - 13
2:15,Terrence Ross makes 29-foot  three pointer,22 - 16
1:47,Trey Lyles  misses,22 - 16
1:47,Pascal Siakam defensive rebound,22 - 16
1:35,Pascal Siakam  misses 5-foot hook shot,22 - 16
1:35,Joe Ingles defensive rebound,22 - 16
1:15,Derrick Favors makes two point shot (Dante Exum assists),24 - 16
56.0,Jonas Valanciunas makes 19-foot jumper (Cory Joseph assists),24 - 18
34.0,Trey Lyles makes 25-foot  three point jumper  (Dante Exum assists),27 - 18
27.0,DeMar DeRozan  misses Driving Floating Jump Shot,27 - 18
26.0,Jonas Valanciunas offensive rebound,27 - 18
25.0,Jonas Valanciunas  misses,27 - 18
25.0,Joe Johnson defensive rebound,27 - 18
1.0,DeMar DeRozan blocks Joe Johnson's  Driving Floating Jump Shot,27 - 18
0.0,Pascal Siakam defensive rebound,27 - 18
0.0,End of the 1st Quarter,27 - 18
11:49,Cory Joseph  misses 17-foot two point jumper,27 - 18
11:48,Derrick Favors defensive rebound,27 - 18
11:41,Cory Joseph personal foul  (Dante Exum draws the foul),27 - 18
11:26,Derrick Favors makes 5-foot two point shot,29 - 18
11:15,Terrence Ross  misses 26-foot three point jumper,29 - 18
11:14,Trey Lyles defensive rebound,29 - 18
11:02,Derrick Favors 3 second turnover,29 - 18
11:02,Rodney Hood enters the game for Joe Johnson,29 - 18
10:48,Cory Joseph  misses 5-foot two point shot,29 - 18
10:47,Derrick Favors defensive rebound,29 - 18
10:45,Derrick Favors possession lost ball turnoverCory Joseph,29 - 18
10:30,Cory Joseph makes driving layup,29 - 20
10:30,Rodney Hood shooting foul  (Cory Joseph draws the foul),29 - 20
10:30,Cory Joseph makes free throw 1 of 1,29 - 21
10:15,Joe Ingles makes driving layup,31 - 21
10:06,Lucas Nogueira  misses,31 - 21
10:04,Joe Ingles defensive rebound,31 - 21
9:53,Dante Exum  misses three point jumper,31 - 21
9:53,Derrick Favors offensive rebound,31 - 21
9:41,Trey Lyles  bad pass (Lucas Nogueira steals),31 - 21
9:37,Kyle Lowry makes 26-foot  three point running jumper  (Lucas Nogueira assists),31 - 24
9:36,Jazz Full timeout,31 - 24
9:36,Shelvin Mack enters the game for Rodney Hood,31 - 24
9:36,Alec Burks enters the game for Dante Exum,31 - 24
9:12,Derrick Favors  misses 18-foot jumper,31 - 24
9:11,Trey Lyles offensive rebound,31 - 24
9:08,Trey Lyles  bad pass (DeMarre Carroll steals),31 - 24
9:03,Terrence Ross makes 23-foot  three point running jumper  (Cory Joseph assists),31 - 27
8:37,Trey Lyles Out-of-Bounds Bad Pass Turnover,31 - 27
8:37,Boris Diaw enters the game for Trey Lyles,31 - 27
8:37,Rudy Gobert enters the game for Derrick Favors,31 - 27
8:19,Kyle Lowry makes driving layup,31 - 29
7:58,Alec Burks makes 21-foot two point shot,33 - 29
7:47,Terrence Ross  misses 27-foot three point pullup jump shot,33 - 29
7:46,Joe Ingles defensive rebound,33 - 29
7:24,Joe Ingles makes 16-foot jumper,35 - 29
7:03,Terrence Ross makes dunk (Lucas Nogueira assists),35 - 31
6:50,DeMarre Carroll shooting foul  (Alec Burks draws the foul),35 - 31
6:50,Alec Burks makes free throw 1 of 3,36 - 31
6:50,Alec Burks makes free throw 2 of 3,37 - 31
6:50,Gordon Hayward enters the game for Joe Ingles,37 - 31
6:50,Alec Burks misses free throw 3 of 3,37 - 31
6:48,Kyle Lowry defensive rebound,37 - 31
6:37,DeMarre Carroll makes 25-foot  three point jumper  (Terrence Ross assists),37 - 34
6:18,Shelvin Mack makes layup (Boris Diaw assists),39 - 34
6:03,Cory Joseph  misses Driving Floating Jump Shot,39 - 34
6:03,Cory Joseph offensive rebound,39 - 34
6:03,Cory Joseph  misses,39 - 34
6:01,Lucas Nogueira  misses 2-foot,39 - 34
6:01,Lucas Nogueira offensive rebound,39 - 34
6:01,Lucas Nogueira offensive rebound,39 - 34
