time,play,score
12:00,Rudy Gobert vs. Pau Gasol (Tony Parker gains possession),0 - 0
11:37,Pau Gasol makes 18-foot jumper (Tony Parker assists),0 - 2
11:18,Rodney Hood  misses 26-foot three point jumper,0 - 2
11:18,Kawhi Leonard defensive rebound,0 - 2
11:17,Derrick Favors loose ball foul  (Kawhi Leonard draws the foul),0 - 2
10:55,Kawhi Leonard makes 17-foot two point shot,0 - 4
10:40,Rudy Gobert makes two point shot (Derrick Favors assists),2 - 4
10:22,LaMarcus Aldridge  misses 19-foot jumper,2 - 4
10:22,Rudy Gobert defensive rebound,2 - 4
10:07,George Hill makes 23-foot  three point jumper  (Derrick Favors assists),5 - 4
9:47,Pau Gasol  misses 20-foot jumper,5 - 4
9:45,Joe Johnson defensive rebound,5 - 4
9:37,Joe Johnson  misses two point jumper,5 - 4
9:37,Rudy Gobert vs. Pau Gasol (Joe Johnson gains possession),5 - 4
9:37,Jazz offensive team rebound,5 - 4
9:18,Joe Johnson makes 25-foot  three point jumper  (George Hill assists),8 - 4
8:51,Derrick Favors blocks Jonathon Simmons 's 2-foot  layup,8 - 4
8:48,Rodney Hood defensive rebound,8 - 4
8:44,Rodney Hood  misses,8 - 4
8:42,Kawhi Leonard defensive rebound,8 - 4
8:37,Kawhi Leonard makes 25-foot  three pointer,8 - 7
8:12,Derrick Favors makes 19-foot jumper (George Hill assists),10 - 7
7:58,LaMarcus Aldridge makes 17-foot jumper (Tony Parker assists),10 - 9
7:43,Pau Gasol shooting foul  (Rodney Hood draws the foul),10 - 9
7:43,Rodney Hood makes free throw 1 of 2,11 - 9
7:43,Rodney Hood makes free throw 2 of 2,12 - 9
7:28,Tony Parker  misses 20-foot two point jumper,12 - 9
7:28,Rudy Gobert defensive rebound,12 - 9
7:18,George Hill makes 26-foot  three point jumper  (Joe Johnson assists),15 - 9
7:00,Kawhi Leonard makes 24-foot  three point jumper  (Jonathon Simmons assists),15 - 12
6:41,Rodney Hood makes two point shot (Derrick Favors assists),17 - 12
6:41,Spurs Full timeout,17 - 12
6:20,Pau Gasol  misses jumper,17 - 12
6:18,Derrick Favors defensive rebound,17 - 12
6:03,Derrick Favors  misses jumper,17 - 12
6:01,Pau Gasol defensive rebound,17 - 12
