time,play,score
12:00,Jeff Withey vs. Steven Adams (Russell Westbrook gains possession),0 - 0
11:32,Steven Adams  misses 18-foot jumper,0 - 0
11:30,Gordon Hayward defensive rebound,0 - 0
11:07,George Hill  bad pass (Steven Adams steals),0 - 0
11:03,Russell Westbrook  misses two point shot,0 - 0
11:02,Jeff Withey defensive rebound,0 - 0
10:41,Joe Johnson  misses 15-foot two point jumper,0 - 0
10:41,Andre Roberson defensive rebound,0 - 0
10:33,Steven Adams makes 2-foot two point shot (Russell Westbrook assists),0 - 2
10:08,Gordon Hayward  misses 13-foot,0 - 2
10:07,Russell Westbrook defensive rebound,0 - 2
10:04,Russell Westbrook  bad pass (Gordon Hayward steals),0 - 2
9:48,Rodney Hood makes 12-foot two point shot,2 - 2
9:26,Steven Adams makes two point shot (Russell Westbrook assists),2 - 4
9:14,George Hill  misses 8-foot two point shot,2 - 4
9:12,Steven Adams defensive rebound,2 - 4
9:06,Taj Gibson makes 2-foot two point shot (Russell Westbrook assists),2 - 6
8:41,Joe Johnson makes two point shot,4 - 6
8:18,Victor Oladipo makes  three point jumper  (Russell Westbrook assists),4 - 9
8:03,Gordon Hayward offensive foul  (Andre Roberson draws the foul),4 - 9
8:03,Gordon Hayward  turnover,4 - 9
8:03,Boris Diaw enters the game for Jeff Withey,4 - 9
7:43,Victor Oladipo  misses 25-foot three point jumper,4 - 9
7:41,Joe Johnson defensive rebound,4 - 9
7:37,Steven Adams personal foul  (George Hill draws the foul),4 - 9
7:37,Jeff Withey enters the game for Boris Diaw,4 - 9
7:24,George Hill  misses 23-foot two point jumper,4 - 9
7:24,Russell Westbrook defensive rebound,4 - 9
7:16,Russell Westbrook  misses three point pullup jump shot,4 - 9
7:16,Rodney Hood defensive rebound,4 - 9
6:58,Gordon Hayward makes 24-foot  three pointer  (Rodney Hood assists),7 - 9
6:43,Andre Roberson  misses 23-foot three point jumper,7 - 9
6:41,Steven Adams offensive rebound,7 - 9
6:37,Steven Adams  lost ball turnover (Jeff Withey steals),7 - 9
6:26,Russell Westbrook blocks Jeff Withey 's 2-foot  shot,7 - 9
6:26,Russell Westbrook defensive rebound,7 - 9
6:16,Russell Westbrook  bad pass (George Hill steals),7 - 9
6:01,Joe Johnson makes 25-foot  three point jumper  (George Hill assists),10 - 9
5:48,Taj Gibson makes 6-foot two point shot (Russell Westbrook assists),10 - 11
5:48,Joe Johnson shooting foul  (Taj Gibson draws the foul),10 - 11
5:48,Thunder Full timeout,10 - 11
5:48,Alex Abrines enters the game for Victor Oladipo,10 - 11
5:48,Enes Kanter enters the game for Steven Adams,10 - 11
5:48,Joe Ingles enters the game for Joe Johnson,10 - 11
5:48,Trey Lyles enters the game for Jeff Withey,10 - 11
5:48,Boris Diaw enters the game for Rodney Hood,10 - 11
5:48,Taj Gibson makes free throw 1 of 1,10 - 12
5:31,Enes Kanter blocks Trey Lyles 's 8-foot  Driving Floating Jump Shot,10 - 12
5:30,Russell Westbrook defensive rebound,10 - 12
5:16,Joe Ingles kicked ball violation,10 - 12
5:03,Russell Westbrook makes 25-foot  three pointer,10 - 15
4:48,Trey Lyles  misses 24-foot three point jumper,10 - 15
4:48,Enes Kanter defensive rebound,10 - 15
4:45,Trey Lyles personal foul  (Taj Gibson draws the foul),10 - 15
4:45,Domantas Sabonis enters the game for Taj Gibson,10 - 15
4:37,Alex Abrines makes driving layup,10 - 17
4:20,Gordon Hayward  misses,10 - 17
4:18,Gordon Hayward  misses,10 - 17
4:18,Gordon Hayward offensive rebound,10 - 17
4:18,Domantas Sabonis defensive rebound,10 - 17
4:09,Russell Westbrook  bad pass (George Hill steals),10 - 17
4:03,Gordon Hayward makes two point shot,12 - 17
3:43,Enes Kanter  misses layup,12 - 17
3:42,Enes Kanter makes tip shot,12 - 19
3:42,Enes Kanter offensive rebound,12 - 17
3:25,Domantas Sabonis shooting foul  (George Hill draws the foul),12 - 19
3:25,George Hill makes free throw 1 of 2,13 - 19
3:25,George Hill makes free throw 2 of 2,14 - 19
3:14,Enes Kanter makes layup (Russell Westbrook assists),14 - 21
2:55,Boris Diaw makes driving layup,16 - 21
2:45,Russell Westbrook makes 25-foot  three pointer,16 - 24
2:43,Jazz Full timeout,16 - 24
2:43,Semaj Christon enters the game for Russell Westbrook,16 - 24
2:43,Dante Exum enters the game for George Hill,16 - 24
2:27,Dante Exum makes 25-foot  three point jumper  (Joe Ingles assists),19 - 24
2:01,Andre Roberson  traveling,19 - 24
1:52,Alex Abrines personal foul  (Boris Diaw draws the foul),19 - 24
1:39,Gordon Hayward  misses three point jumper,19 - 24
1:39,Enes Kanter defensive rebound,19 - 24
1:22,Gordon Hayward kicked ball violation,19 - 24
1:22,Rodney Hood enters the game for Gordon Hayward,19 - 24
1:22,Alec Burks enters the game for Trey Lyles,19 - 24
1:22,Victor Oladipo enters the game for Andre Roberson,19 - 24
1:14,Victor Oladipo makes 25-foot  three pointer,19 - 27
43.0,Joe Ingles makes 15-foot two point shot,21 - 27
32.0,Boris Diaw blocks Victor Oladipo 's 1-foot  layup,21 - 27
32.0,Thunder offensive team rebound,21 - 27
