time,play,score
12:00,Rudy Gobert vs. Zaza Pachulia (Boris Diaw gains possession),0 - 0
11:38,Patrick McCaw shooting foul  (Boris Diaw draws the foul),0 - 0
11:38,Boris Diaw makes free throw 1 of 2,1 - 0
11:38,Boris Diaw makes free throw 2 of 2,2 - 0
11:29,Draymond Green  bad pass (Boris Diaw steals),2 - 0
11:15,Rudy Gobert makes two point shot (George Hill assists),4 - 0
11:15,Zaza Pachulia defensive goaltending violation,4 - 0
11:03,Kevin Durant makes 20-foot two point shot (Stephen Curry assists),4 - 2
10:44,Draymond Green blocks Dante Exum 's 21-foot  jumper,4 - 2
10:41,Dante Exum offensive rebound,4 - 2
10:40,George Hill makes 27-foot  three point jumper  (Dante Exum assists),7 - 2
10:26,Stephen Curry  misses 15-foot jumper,7 - 2
10:26,Rudy Gobert defensive rebound,7 - 2
10:22,Boris Diaw makes layup (George Hill assists),9 - 2
10:10,Zaza Pachulia makes two point shot (Stephen Curry assists),9 - 4
9:59,George Hill makes 2-foot layup (Joe Ingles assists),11 - 4
9:41,Patrick McCaw makes 25-foot  three pointer  (Draymond Green assists),11 - 7
9:22,Kevin Durant shooting foul  (Boris Diaw draws the foul),11 - 7
9:22,Boris Diaw makes free throw 1 of 2,12 - 7
9:22,Boris Diaw makes free throw 2 of 2,13 - 7
9:03,Stephen Curry makes 25-foot  step back jumpshot  (Kevin Durant assists),13 - 10
8:41,Joe Ingles makes 25-foot three point  step back jumpshot,16 - 10
8:29,Draymond Green makes 27-foot  three pointer  (Zaza Pachulia assists),16 - 13
8:11,Kevin Durant blocks Joe Ingles 's 26-foot   three point jumper,16 - 13
8:11,Rudy Gobert offensive rebound,16 - 13
8:08,Joe Ingles  misses 26-foot three point jumper,16 - 13
8:07,Zaza Pachulia defensive rebound,16 - 13
8:00,Kevin Durant  bad pass (George Hill steals),16 - 13
7:52,George Hill makes two point shot,18 - 13
7:45,George Hill shooting foul  (Stephen Curry draws the foul),18 - 13
7:45,Stephen Curry makes free throw 1 of 3,18 - 14
7:45,Stephen Curry makes free throw 2 of 3,18 - 15
7:45,Stephen Curry misses free throw 3 of 3,18 - 15
7:43,Rudy Gobert defensive rebound,18 - 15
7:24,George Hill  misses three point jumper,18 - 15
7:24,Zaza Pachulia defensive rebound,18 - 15
7:18,Zaza Pachulia offensive Charge  (George Hill draws the foul),18 - 15
7:18,Zaza Pachulia  turnover,18 - 15
6:54,Dante Exum  misses three point jumper,18 - 15
6:54,Zaza Pachulia defensive rebound,18 - 15
6:54,Joe Ingles personal foul  (Stephen Curry draws the foul),18 - 15
6:41,Rudy Gobert blocks Patrick McCaw's  shot,18 - 15
6:41,George Hill defensive rebound,18 - 15
6:24,George Hill makes 26-foot  three pointer  (Boris Diaw assists),21 - 15
6:24,Warriors Full timeout,21 - 15
6:24,Shelvin Mack enters the game for George Hill,21 - 15
6:15,Zaza Pachulia makes two point shot (Kevin Durant assists),21 - 17
6:03,Shelvin Mack  misses 26-foot three point jumper,21 - 17
6:03,Draymond Green defensive rebound,21 - 17
5:52,Kevin Durant  misses 25-foot three point jumper,21 - 17
5:52,Shelvin Mack defensive rebound,21 - 17
5:31,Shelvin Mack makes 11-foot two point shot,23 - 17
5:18,Stephen Curry makes 26-foot  step back jumpshot  (Zaza Pachulia assists),23 - 20
5:01,Dante Exum  misses layup,23 - 20
5:01,Dante Exum offensive rebound,23 - 20
4:52,Dante Exum makes driving dunk (Shelvin Mack assists),25 - 20
4:41,Stephen Curry makes 18-foot two point shot (Zaza Pachulia assists),25 - 22
4:31,Joe Johnson enters the game for Boris Diaw,25 - 22
4:31,Andre Iguodala enters the game for Patrick McCaw,25 - 22
4:31,JaVale McGee enters the game for Zaza Pachulia,25 - 22
4:28,Shelvin Mack  bad pass (Stephen Curry steals),25 - 22
4:22,Draymond Green makes two point shot (Kevin Durant assists),25 - 24
4:05,Shelvin Mack makes driving layup,27 - 24
4:05,JaVale McGee defensive goaltending violation,27 - 24
3:55,JaVale McGee makes two point shot (Draymond Green assists),27 - 26
3:26,JaVale McGee blocks Dante Exum 's 2-foot  layup,27 - 26
3:25,Kevin Durant defensive rebound,27 - 26
3:23,Shelvin Mack personal foul  (Kevin Durant draws the foul),27 - 26
3:23,Shaun Livingston enters the game for Draymond Green,27 - 26
3:23,Alec Burks enters the game for Dante Exum,27 - 26
3:10,Stephen Curry makes two point shot (Shaun Livingston assists),27 - 28
2:46,Shelvin Mack makes 3-foot two point shot,29 - 28
2:46,JaVale McGee defensive goaltending violation,29 - 28
2:25,Andre Iguodala  misses 19-foot two point jumper,29 - 28
2:24,Joe Johnson defensive rebound,29 - 28
2:14,Joe Ingles  misses 20-foot jumper,29 - 28
2:14,Stephen Curry defensive rebound,29 - 28
2:08,Stephen Curry Out-of-Bounds Bad Pass Turnover,29 - 28
2:08,Jazz Full timeout,29 - 28
2:08,Ian Clark enters the game for Kevin Durant,29 - 28
2:08,George Hill enters the game for Joe Ingles,29 - 28
2:08,Joel Bolomboy enters the game for Rudy Gobert,29 - 28
1:54,Joe Johnson makes 26-foot  three point jumper  (George Hill assists),32 - 28
1:37,Stephen Curry makes 25-foot  three pointer  (Shaun Livingston assists),32 - 31
1:14,Shelvin Mack  misses 9-foot jumper,32 - 31
1:14,JaVale McGee defensive rebound,32 - 31
1:02,Shaun Livingston makes 14-foot two point shot,32 - 33
43.0,Joe Johnson  misses 11-foot fadeaway bank shot,32 - 33
43.0,JaVale McGee defensive rebound,32 - 33
37.0,Andre Iguodala  lost ball turnover (Joe Johnson steals),32 - 33
21.0,Andre Iguodala blocks Alec Burks 's 6-foot  jumper,32 - 33
21.0,Alec Burks offensive rebound,32 - 33
21.0,Alec Burks Out-of-Bounds Bad Pass Turnover,32 - 33
21.0,Kevin Durant enters the game for Shaun Livingston,32 - 33
0.0,End of the 1st Quarter,32 - 33
11:45,David West makes 19-foot jumper (Shaun Livingston assists),32 - 35
11:26,Joe Johnson makes 27-foot  three pointer  (George Hill assists),35 - 35
11:12,David West  misses 8-foot two point shot,35 - 35
11:11,Joel Bolomboy defensive rebound,35 - 35
11:03,George Hill makes 28-foot  three point jumper,38 - 35
10:56,Ian Clark  back court turnover,38 - 35
10:41,Joe Johnson  misses 17-foot two point shot,38 - 35
10:41,Andre Iguodala defensive rebound,38 - 35
10:23,Draymond Green  misses 11-foot jumper,38 - 35
10:23,Alec Burks defensive rebound,38 - 35
10:15,Dante Exum  misses three point jumper,38 - 35
10:15,David West defensive rebound,38 - 35
10:07,Draymond Green  misses 26-foot three point jumper,38 - 35
10:07,Joe Johnson defensive rebound,38 - 35
9:56,George Hill makes 28-foot  three point jumper  (Joe Johnson assists),41 - 35
9:37,David West  bad pass (Dante Exum steals),41 - 35
9:23,Dante Exum Out-of-Bounds Bad Pass Turnover,41 - 35
9:06,David West  misses 15-foot two point shot,41 - 35
9:06,Alec Burks defensive rebound,41 - 35
8:53,Andre Iguodala blocks Alec Burks 's 9-foot  jumper,41 - 35
8:53,Jazz offensive team rebound,41 - 35
8:53,Official timeout,41 - 35
8:53,Shelvin Mack enters the game for George Hill,41 - 35
8:53,Joe Ingles enters the game for Alec Burks,41 - 35
8:49,Joel Bolomboy  misses 27-foot three point jumper,41 - 35
8:49,Andre Iguodala defensive rebound,41 - 35
8:37,Ian Clark  misses 26-foot three point pullup jump shot,41 - 35
8:36,Joel Bolomboy defensive rebound,41 - 35
8:21,Joe Ingles makes driving layup (Shelvin Mack assists),43 - 35
8:03,Draymond Green  misses three point jumper,43 - 35
8:03,Jazz defensive team rebound,43 - 35
8:03,Boris Diaw enters the game for Joe Johnson,43 - 35
7:48,Boris Diaw  misses three point jumper,43 - 35
7:47,Joel Bolomboy offensive rebound,43 - 35
7:46,Joel Bolomboy makes two point shot,45 - 35
7:33,David West makes 5-foot two point shot (Shaun Livingston assists),45 - 37
7:20,Andre Iguodala personal foul  (Joe Ingles draws the foul),45 - 37
7:20,Kevin Durant enters the game for Andre Iguodala,45 - 37
7:20,Zaza Pachulia enters the game for Draymond Green,45 - 37
