time,play,score
12:00,Kosta Koufos vs. Rudy Gobert (Dante Exum gains possession),0 - 0
11:49,Boris Diaw Out-of-Bounds Bad Pass Turnover,0 - 0
11:30,Rudy Gobert blocks Rudy Gay's  shot,0 - 0
11:29,Kings offensive team rebound,0 - 0
11:23,DeMarcus Cousins makes 14-foot two point shot,2 - 0
11:07,Rudy Gobert 3 second turnover,2 - 0
10:52,Rudy Gay makes 23-foot  three point jumper  (DeMarcus Cousins assists),5 - 0
10:42,Joe Ingles  bad pass (Rudy Gay steals),5 - 0
10:37,Rudy Gay makes two point shot (Ben McLemore assists),7 - 0
10:25,Dante Exum  bad pass (Rudy Gay steals),7 - 0
10:19,Rudy Gay makes two point shot,9 - 0
10:00,Gordon Hayward  misses 22-foot jumper,9 - 0
10:00,DeMarcus Cousins defensive rebound,9 - 0
9:56,Joe Ingles kicked ball violation,9 - 0
9:40,Kosta Koufos makes 4-foot two point shot,11 - 0
9:40,Jazz Full timeout,11 - 0
9:22,Boris Diaw makes 25-foot  three point jumper  (Gordon Hayward assists),11 - 3
9:03,Darren Collison  lost ball turnover (Dante Exum steals),11 - 3
8:57,Dante Exum makes two point shot (Joe Ingles assists),11 - 5
8:30,Kosta Koufos  misses 10-foot hook shot,11 - 5
8:29,DeMarcus Cousins offensive rebound,11 - 5
8:27,DeMarcus Cousins  misses layup,11 - 5
8:27,Kings offensive team rebound,11 - 5
8:22,Rudy Gobert blocks Rudy Gay 's 3-foot  jumper,11 - 5
8:21,Darren Collison offensive rebound,11 - 5
8:12,Boris Diaw shooting foul  (DeMarcus Cousins draws the foul),11 - 5
8:12,DeMarcus Cousins makes free throw 1 of 2,12 - 5
8:12,DeMarcus Cousins misses free throw 2 of 2,12 - 5
8:11,Joe Ingles defensive rebound,12 - 5
7:58,Dante Exum  misses two point shot,12 - 5
7:58,Kings defensive team rebound,12 - 5
7:48,Rudy Gay  misses 10-foot jumper,12 - 5
7:48,Rudy Gobert defensive rebound,12 - 5
7:39,Rudy Gobert makes two point shot (Joe Ingles assists),12 - 8
7:39,Kosta Koufos shooting foul  (Rudy Gobert draws the foul),12 - 7
7:39,Rudy Gobert makes free throw 1 of 1,12 - 8
7:26,Darren Collison  bad pass (Dante Exum steals),12 - 8
7:22,DeMarcus Cousins shooting foul  (Gordon Hayward draws the foul),12 - 8
7:22,Gordon Hayward makes free throw 1 of 2,12 - 9
7:22,Gordon Hayward makes free throw 2 of 2,12 - 10
7:15,Rudy Gay  bad pass (Gordon Hayward steals),12 - 10
7:07,Joe Ingles makes 25-foot  three point jumper  (Gordon Hayward assists),12 - 13
6:54,Kings Full timeout,12 - 13
6:46,Ben McLemore  misses 24-foot three point jumper,12 - 13
6:45,Dante Exum defensive rebound,12 - 13
6:33,Rudy Gobert makes two point shot (Boris Diaw assists),12 - 15
6:07,DeMarcus Cousins  misses,12 - 15
6:07,Ben McLemore offensive rebound,12 - 15
5:58,Rudy Gay makes 19-foot two point shot,14 - 15
5:50,Boris Diaw makes layup (Joe Ingles assists),14 - 17
5:37,Rudy Gobert blocks DeMarcus Cousins 's 3-foot  layup,14 - 17
5:37,Boris Diaw defensive rebound,14 - 17
5:31,Gordon Hayward makes 25-foot  three point jumper  (Dante Exum assists),14 - 20
5:15,Darren Collison makes 9-foot Driving Floating Jump Shot,16 - 20
4:48,Gordon Hayward makes 17-foot two point shot,16 - 22
4:26,DeMarcus Cousins  misses 16-foot two point shot,16 - 22
4:26,Gordon Hayward defensive rebound,16 - 22
4:18,Gordon Hayward  misses 24-foot three point jumper,16 - 22
4:16,DeMarcus Cousins defensive rebound,16 - 22
4:07,Rudy Gay  misses 10-foot jumper,16 - 22
4:07,Rudy Gobert defensive rebound,16 - 22
3:55,Dante Exum  misses driving layup,16 - 22
3:54,Rudy Gay defensive rebound,16 - 22
3:46,Darren Collison  misses 18-foot step back jumpshot,16 - 22
3:45,Joe Ingles defensive rebound,16 - 22
3:42,Joe Ingles  lost ball turnover (Ben McLemore steals),16 - 22
