time,play,score
12:00,Kosta Koufos vs. Nikola Vucevic (Ty Lawson gains possession),0 - 0
11:37,Arron Afflalo  misses 15-foot two point shot,0 - 0
11:37,Elfrid Payton defensive rebound,0 - 0
11:30,Evan Fournier makes two point shot (Elfrid Payton assists),0 - 2
11:06,DeMarcus Cousins makes layup,2 - 2
10:48,DeMarcus Cousins blocks Elfrid Payton 's 2-foot  shot,2 - 2
10:48,Ty Lawson defensive rebound,2 - 2
10:29,Rudy Gay makes layup,4 - 2
10:15,Nikola Vucevic makes 15-foot two point shot,4 - 4
9:48,Ty Lawson  misses layup,4 - 4
9:47,Aaron Gordon defensive rebound,4 - 4
9:42,Elfrid Payton makes two point shot,4 - 6
9:27,Rudy Gay  traveling,4 - 6
9:15,Nikola Vucevic  misses 20-foot jumper,4 - 6
9:15,Aaron Gordon offensive rebound,4 - 6
9:11,Aaron Gordon  misses,4 - 6
9:10,Kosta Koufos defensive rebound,4 - 6
8:56,Ty Lawson  misses 26-foot,4 - 6
8:55,Serge Ibaka defensive rebound,4 - 6
8:42,Evan Fournier makes driving layup (Elfrid Payton assists),4 - 8
8:17,DeMarcus Cousins makes 17-foot two point shot,6 - 8
8:10,Evan Fournier  bad pass (DeMarcus Cousins steals),6 - 8
8:00,DeMarcus Cousins makes 26-foot  three point jumper  (Arron Afflalo assists),9 - 8
7:45,Nikola Vucevic  misses 18-foot jumper,9 - 8
7:43,Kosta Koufos defensive rebound,9 - 8
7:35,Serge Ibaka shooting foul  (Rudy Gay draws the foul),9 - 8
7:35,Rudy Gay misses free throw 1 of 2,9 - 8
7:35,Kings offensive team rebound,9 - 8
7:35,Rudy Gay misses free throw 2 of 2,9 - 8
7:35,Aaron Gordon defensive rebound,9 - 8
7:15,Nikola Vucevic  lost ball turnover (Rudy Gay steals),9 - 8
7:11,Rudy Gay makes two point shot,11 - 8
7:11,Aaron Gordon defensive goaltending violation,11 - 8
7:11,Elfrid Payton shooting foul  (Rudy Gay draws the foul),11 - 8
7:11,Rudy Gay misses free throw 1 of 1,11 - 8
7:09,Kosta Koufos offensive rebound,11 - 8
7:07,Kosta Koufos  misses layup,11 - 8
7:05,Elfrid Payton defensive rebound,11 - 8
6:52,Serge Ibaka makes 5-foot two point shot (Elfrid Payton assists),11 - 10
